date,equity
2000-01-03,100000.0
2000-01-04,100032.46825396825
2000-01-05,100064.94704981167
2000-01-06,100097.43639095301
2000-01-07,100129.93628081614
2000-01-10,100162.44672282606
2000-01-11,100194.96772040885
2000-01-12,100227.49927699173
2000-01-13,100260.04139600301
2000-01-14,100292.59408087216
2000-01-18,100325.1573350297
2000-01-19,100357.73116190724
2000-01-20,100390.31556493767
2000-01-21,100422.91054755484
2000-01-24,100455.51611319373
2000-01-25,100488.1322652905
2000-01-26,100520.75900728234
2000-01-27,100553.39634260767
2000-01-28,100586.04427470584
2000-01-31,100618.7028070176
2000-02-01,100651.37194298455
2000-02-02,100683.53245278158
2000-02-03,100715.70323862722
2000-02-04,100747.88430380491
2000-02-07,100780.07565159914
2000-02-08,100812.27728529542
2000-02-09,100844.48920818043
2000-02-10,100876.7114235417
2000-02-11,100908.94393466799
2000-02-14,100941.18674484902
2000-02-15,100973.43985737556
2000-02-16,101005.70327553952
2000-02-17,101037.97700263374
2000-02-18,101070.26104195221
2000-02-22,101102.55539678989
2000-02-23,101134.86007044285
2000-02-24,101167.1750662082
2000-02-25,101199.50038738413
2000-02-28,101231.83603726981
2000-02-29,101264.18201916554
2000-03-01,101296.53833637266
2000-03-02,101328.90499219343
2000-03-03,101361.28198993143
2000-03-06,101393.66933289109
2000-03-07,101426.06702437793
2000-03-08,101458.47506769857
2000-03-09,101490.89346616069
2000-03-10,101523.32222307296
2000-03-13,101555.76134174518
2000-03-14,101588.21082548818
2000-03-15,101620.67067761386
2000-03-16,101653.14090143515
2000-03-17,101685.62150026603
2000-03-20,101718.1124774216
2000-03-21,101750.61383621792
2000-03-22,101783.12557997227
2000-03-23,101815.64771200284
2000-03-24,101848.18023562893
2000-03-27,101880.72315417085
2000-03-28,101913.27647095012
2000-03-29,101945.84018928916
2000-03-30,101978.41431251155
2000-03-31,102010.99884394187
2000-04-03,102043.5937869058
2000-04-04,102075.98857858419
2000-04-05,102108.39365432344
2000-04-06,102140.80901738831
2000-04-07,102173.23467104461
2000-04-10,102205.67061855923
2000-04-11,102238.11686320006
2000-04-12,102270.573408236
2000-04-13,102303.04025693705
2000-04-14,102335.51741257419
2000-04-17,102368.00487841947
2000-04-18,102400.50265774595
2000-04-19,102433.01075382777
2000-04-20,102465.52916994008
2000-04-24,102498.05790935911
2000-04-25,102530.5969753621
2000-04-26,102563.14637122725
2000-04-27,102595.706100234
2000-04-28,102628.27616566264
2000-05-01,102660.8565707946
2000-05-02,102695.3009177115
2000-05-03,102729.75682125353
2000-05-04,102764.22428529811
2000-05-05,102798.70331372399
2000-05-08,102833.1939104112
2000-05-09,102867.69607924105
2000-05-10,102902.20982409618
2000-05-11,102936.73514886061
2000-05-12,102971.27205741948
2000-05-15,103005.82055365942
2000-05-16,103040.38064146815
2000-05-17,103074.952324735
2000-05-18,103109.53560735035
2000-05-19,103144.13049320586
2000-05-22,103178.73698619474
2000-05-23,103213.35509021133
2000-05-24,103247.98480915133
2000-05-25,103282.6261469117
2000-05-26,103317.27910739076
2000-05-30,103351.94369448815
2000-05-31,103386.61991210468
2000-06-01,103421.30776414265
2000-06-02,103454.29998212343
2000-06-05,103487.30272488362
2000-06-06,103520.31599578062
2000-06-07,103553.33979817308
2000-06-08,103586.37413542061
2000-06-09,103619.41901088387
2000-06-12,103652.47442792467
2000-06-13,103685.54038990586
2000-06-14,103718.61690019137
2000-06-15,103751.70396214614
2000-06-16,103784.80157913628
2000-06-19,103817.90975452893
2000-06-20,103851.0284916923
2000-06-21,103884.15779399563
2000-06-22,103917.29766480938
2000-06-23,103950.4481075049
2000-06-26,103983.60912545474
2000-06-27,104016.78072203246
2000-06-28,104049.96290061281
2000-06-29,104083.15566457143
2000-06-30,104116.35901728523
2000-07-03,104149.57296213204
2000-07-05,104182.69004658223
2000-07-06,104215.81766147685
2000-07-07,104248.95581016417
2000-07-10,104282.10449599383
2000-07-11,104315.26372231632
2000-07-12,104348.43349248328
2000-07-13,104381.61380984735
2000-07-14,104414.80467776238
2000-07-17,104448.0060995831
2000-07-18,104481.21807866545
2000-07-19,104514.44061836638
2000-07-20,104547.67372204398
2000-07-21,104580.91739305729
2000-07-24,104614.17163476645
2000-07-25,104647.43645053271
2000-07-26,104680.71184371832
2000-07-27,104713.99781768674
2000-07-28,104747.29437580232
2000-07-31,104780.60152143064
2000-08-01,104813.91925793825
2000-08-02,104846.70688196644
2000-08-03,104879.50476253594
2000-08-04,104912.31290285509
2000-08-07,104945.1313061334
2000-08-08,104977.95997558127
2000-08-09,105010.79891441014
2000-08-10,105043.64812583246
2000-08-11,105076.50761306168
2000-08-14,105109.37737931224
2000-08-15,105142.25742779957
2000-08-16,105175.14776174021
2000-08-17,105208.04838435155
2000-08-18,105240.9592988521
2000-08-21,105273.88050846136
2000-08-22,105306.81201639978
2000-08-23,105339.75382588888
2000-08-24,105372.70594015115
2000-08-25,105405.66836241016
2000-08-28,105438.64109589036
2000-08-29,105471.62414381733
2000-08-30,105504.61750941757
2000-08-31,105537.62119591862
2000-09-01,105570.63520654908
2000-09-05,105604.0407718323
2000-09-06,105637.45690759081
2000-09-07,105670.8836171694
2000-09-08,105704.32090391398
2000-09-11,105737.76877117142
2000-09-12,105771.22722228973
2000-09-13,105804.69626061793
2000-09-14,105838.1758895061
2000-09-15,105871.66611230548
2000-09-18,105905.16693236813
2000-09-19,105938.67835304742
2000-09-20,105972.2003776977
2000-09-21,106005.73300967437
2000-09-22,106039.27625233386
2000-09-25,106072.8301090337
2000-09-26,106106.3945831325
2000-09-27,106139.96967798987
2000-09-28,106173.55539696655
2000-09-29,106207.15174342427
2000-10-02,106240.75872072593
2000-10-03,106273.99268505115
2000-10-04,106307.23704554072
2000-10-05,106340.49180544668
2000-10-06,106373.75696802215
2000-10-09,106407.03253652132
2000-10-10,106440.31851419932
2000-10-11,106473.61490431234
2000-10-12,106506.92171011752
2000-10-13,106540.23893487311
2000-10-16,106573.56658183836
2000-10-17,106606.90465427344
2000-10-18,106640.25315543968
2000-10-19,106673.61208859942
2000-10-20,106706.98145701586
2000-10-23,106740.3612639534
2000-10-24,106773.75151267734
2000-10-25,106807.1522064541
2000-10-26,106840.56334855105
2000-10-27,106873.98494223665
2000-10-30,106907.41699078027
2000-10-31,106940.85949745243
2000-11-01,106974.31246552458
2000-11-02,107007.22404665733
2000-11-03,107040.14575332536
2000-11-06,107073.0775886438
2000-11-07,107106.01955572891
2000-11-08,107138.97165769775
2000-11-09,107171.93389766847
2000-11-10,107204.90627876007
2000-11-13,107237.88880409258
2000-11-14,107270.88147678692
2000-11-15,107303.88429996507
2000-11-16,107336.89727674989
2000-11-17,107369.92041026523
2000-11-20,107402.9537036359
2000-11-21,107435.99715998764
2000-11-22,107469.05078244724
2000-11-24,107502.11457414231
2000-11-27,107535.18853820159
2000-11-28,107568.2726777546
2000-11-29,107601.36699593203
2000-11-30,107634.47149586533
2000-12-01,107667.58618068705
2000-12-04,107699.37802627319
2000-12-05,107731.17925928484
2000-12-06,107762.98988249387
2000-12-07,107794.80989867306
2000-12-08,107826.6393105959
2000-12-11,107858.47812103677
2000-12-12,107890.32633277084
2000-12-13,107922.18394857408
2000-12-14,107954.05097122339
2000-12-15,107985.92740349626
2000-12-18,108017.81324817124
2000-12-19,108049.70850802757
2000-12-20,108081.61318584534
2000-12-21,108113.5272844055
2000-12-22,108145.45080648977
2000-12-26,108177.38375488066
2000-12-27,108209.3261323616
2000-12-28,108241.2779417168
2000-12-29,108273.23918573125
2001-01-02,108308.2518296251
2001-01-03,124250.57840848948
2001-01-04,120132.9938630957
2001-01-05,116975.81800479168
2001-01-08,120191.39127204473
2001-01-09,116441.83556640605
2001-01-10,116009.04487093404
2001-01-11,114378.80096238306
2001-01-12,114934.72079245978
2001-01-16,116302.93448903355
2001-01-17,116144.52076836494
2001-01-18,115612.53285660082
2001-01-19,115113.4202055611
2001-01-22,114989.96733598625
2001-01-23,113297.86086084961
2001-01-24,112051.6277294298
2001-01-25,115379.71029194804
2001-01-26,115069.85002701737
2001-01-29,113888.12499505516
2001-01-30,114522.20979586618
2001-01-31,115007.60719213769
2001-02-01,114365.79402173668
2001-02-02,110800.9344777887
2001-02-05,112911.49192945068
2001-02-06,109965.46919338424
2001-02-07,108593.60835708158
2001-02-08,108099.67150278875
2001-02-09,106692.00861797166
2001-02-12,106425.42829646029
2001-02-13,105431.32595545924
2001-02-14,104127.49331128773
2001-02-15,105492.77050639456
2001-02-16,98996.18070472898
2001-02-20,97454.13482445979
2001-02-21,96735.7633475849
2001-02-22,97055.26715403782
2001-02-23,96471.5291219229
2001-02-26,97339.4497642311
2001-02-27,96731.4728038304
2001-02-28,95464.66078593595
2001-03-01,96020.14836716028
2001-03-02,97209.88291578369
2001-03-05,101240.19266618325
2001-03-06,104133.83515840031
2001-03-07,106034.09737354275
2001-03-08,106607.99843471663
2001-03-09,105298.1648238854
2001-03-12,101686.85016017889
2001-03-13,103796.59143496564
2001-03-14,102828.27750955516
2001-03-15,103906.59894175331
2001-03-16,102137.42984698155
2001-03-19,103266.89329386539
2001-03-20,100334.41942186221
2001-03-21,96009.49740557927
2001-03-22,97455.26545817759
2001-03-23,98690.95585778568
2001-03-26,99054.83137968299
2001-03-27,100520.89531652817
2001-03-28,97649.90260047818
2001-03-29,97938.55003713504
2001-03-30,95841.53450469318
2001-04-02,91993.53909501132
2001-04-03,92046.50472970336
2001-04-04,90663.14603358718
2001-04-05,96334.1509878492
2001-04-06,91348.46818099113
2001-04-09,90768.42890206487
2001-04-10,93519.08209450361
2001-04-11,97255.71946473922
2001-04-12,99570.073703396
2001-04-16,97266.03831563736
2001-04-17,95821.21263328497
2001-04-18,101086.9279096722
2001-04-19,104920.93026468744
2001-04-20,104196.90714464095
2001-04-23,102566.67918629387
2001-04-24,100956.53779721516
2001-04-25,102618.89768407818
2001-04-26,102536.91524655718
2001-04-27,104490.57978820505
2001-04-30,104408.26015395348
2001-05-01,105443.63925808528
2001-05-02,106829.52672566251
2001-05-03,106426.18078804402
2001-05-04,104419.49652801169
2001-05-07,103216.35789436576
2001-05-08,102915.58960365245
2001-05-09,100947.62734532444
2001-05-10,101698.93211913713
2001-05-11,100363.43833756783
2001-05-14,99748.72198065672
2001-05-15,102341.5895621686
2001-05-16,105509.30339249456
2001-05-17,105591.10526722415
2001-05-18,106781.27719871575
2001-05-21,109181.65496523991
2001-05-22,108692.11259477503
2001-05-23,107053.5694135128
2001-05-24,106211.99182019867
2001-05-25,106223.44600781427
2001-05-29,103203.92756901473
2001-05-30,101301.68294677469
2001-05-31,101712.5556357629
2001-06-01,103483.56363446257
2001-06-04,100918.6858633229
2001-06-05,102608.29328822925
2001-06-06,101930.69893546526
2001-06-07,104461.9318270485
2001-06-08,105567.35363388169
2001-06-11,104199.26022597455
2001-06-12,104740.60178703576
2001-06-13,104015.56386541987
2001-06-14,103929.91275048362
2001-06-15,103686.9349221353
2001-06-18,103464.64105423815
2001-06-19,101436.91156662065
2001-06-20,99955.84659675743
2001-06-21,100794.89128870261
2001-06-22,101110.93075022272
2001-06-25,102093.93030801098
2001-06-26,103452.00276602396
2001-06-27,104019.20646188135
2001-06-28,104932.88084723178
2001-06-29,105124.77418716131
2001-07-02,105368.07362965985
2001-07-03,104949.18768616655
2001-07-05,103885.60156096326
2001-07-06,101931.42856394663
2001-07-09,102221.4699943483
2001-07-10,100997.358694326
2001-07-11,100826.87036551745
2001-07-12,104083.80456189039
2001-07-13,100138.61560357446
2001-07-16,98084.4200524579
2001-07-17,99370.31938793846
2001-07-18,95821.73520423583
2001-07-19,95876.83034972596
2001-07-20,95996.55434976802
2001-07-23,95444.01581859495
2001-07-24,95089.8247943855
2001-07-25,96387.95160934012
2001-07-26,96559.37824315968
2001-07-27,96285.62660268894
2001-07-30,95405.97427812718
2001-07-31,94336.64347191721
2001-08-01,94689.24839656233
2001-08-02,95025.85018576715
2001-08-03,94637.4016682663
2001-08-06,93436.11312131914
2001-08-07,93368.34769644095
2001-08-08,91609.31262676987
2001-08-09,91587.03471054768
2001-08-10,91674.06922682395
2001-08-13,92248.65733031223
2001-08-14,91310.76156792142
2001-08-15,89409.78192939704
2001-08-16,90825.68431015077
2001-08-17,88041.86393191386
2001-08-20,88245.09615054225
2001-08-21,87826.7859349824
2001-08-22,90225.49071055812
2001-08-23,90272.2831228046
2001-08-24,92531.71931627371
2001-08-27,92176.06817260718
2001-08-28,91044.28248305658
2001-08-29,90223.80999265164
2001-08-30,88849.10805718885
