date,equity
2000-01-03,100000.0
2000-01-04,100031.40476190475
2000-01-05,100062.81938640021
2000-01-06,100094.24387658369
2000-01-07,100125.67823555348
2000-01-10,100157.1224664089
2000-01-11,100188.57657225012
2000-01-12,100220.0405561784
2000-01-13,100251.51442129591
2000-01-14,100282.99817070585
2000-01-18,100314.4918075123
2000-01-19,100345.99533482039
2000-01-20,100377.50875573624
2000-01-21,100409.03207336692
2000-01-24,100440.56529082042
2000-01-25,100472.10841120579
2000-01-26,100503.66143763301
2000-01-27,100535.22437321307
2000-01-28,100566.79722105787
2000-01-31,100598.3799842804
2000-02-01,100629.9726659945
2000-02-02,100661.1360114979
2000-02-03,100692.30900774528
2000-02-04,100723.49165772532
2000-02-07,100754.68396442759
2000-02-08,100785.88593084259
2000-02-09,100817.09755996184
2000-02-10,100848.31885477762
2000-02-11,100879.5498182833
2000-02-14,100910.79045347306
2000-02-15,100942.04076334204
2000-02-16,100973.30075088638
2000-02-17,101004.57041910304
2000-02-18,101035.84977098998
2000-02-22,101067.13880954604
2000-02-23,101098.43753777102
2000-02-24,101129.74595866565
2000-02-25,101161.0640752316
2000-02-28,101192.3918904714
2000-02-29,101223.7294073886
2000-03-01,101255.07662898765
2000-03-02,101286.43355827383
2000-03-03,101317.80019825355
2000-03-06,101349.17655193401
2000-03-07,101380.56262232334
2000-03-08,101411.95841243066
2000-03-09,101443.363925266
2000-03-10,101474.77916384031
2000-03-13,101506.20413116549
2000-03-14,101537.63883025435
2000-03-15,101569.08326412068
2000-03-16,101600.53743577916
2000-03-17,101632.00134824537
2000-03-20,101663.47500453593
2000-03-21,101694.95840766825
2000-03-22,101726.45156066086
2000-03-23,101757.95446653308
2000-03-24,101789.46712830519
2000-03-27,101820.98954899838
2000-03-28,101852.52173163492
2000-03-29,101884.06367923784
2000-03-30,101915.61539483121
2000-03-31,101947.17688143998
2000-04-03,101978.74814209009
2000-04-04,102010.15112167671
2000-04-05,102041.5637713872
2000-04-06,102072.98609419932
2000-04-07,102104.41809309181
2000-04-10,102135.85977104427
2000-04-11,102167.31113103726
2000-04-12,102198.7721760522
2000-04-13,102230.2429090715
