date,baseline,overlay,scalar
2000-01-04,99668.2038752212,100000.0,1.0
2000-01-05,99925.511741168,100258.16444557277,1.0
2000-01-06,100902.59101044756,101238.49641834798,1.0
2000-01-07,101942.1396800826,102281.50575253493,1.0
2000-01-10,104221.21219974846,104568.16532003264,1.0
2000-01-11,103492.9202710136,103837.44890254142,1.0
2000-01-12,103372.51517963948,103716.64298180379,1.0
2000-01-13,104353.66808800669,104701.0621548387,1.0
2000-01-14,104658.38226662263,104984.29769997383,0.9264281099573063
2000-01-18,104756.2766376825,105067.54644922305,0.8477536471731292
2000-01-19,105062.62388175224,105333.68158202822,0.8661631346784715
2000-01-20,104890.5227674017,105191.53060569437,0.8238480984688261
2000-01-21,104863.62007228423,105168.59288553194,0.8501781431408801
2000-01-24,104443.52639836133,104749.13313518949,0.9955955237299835
2000-01-25,103585.57112929832,103978.46493175058,0.8956408314860276
2000-01-26,103423.23790820576,103815.51599057458,1.0
2000-01-27,102861.52546057149,103251.67300162041,1.0
2000-01-28,101626.71238538048,102012.1763551642,1.0
2000-01-31,103291.9633878532,103683.74355391084,1.0
2000-02-01,104489.51661145032,104885.83902441096,1.0
2000-02-02,105367.75433286824,105756.82902246926,0.988
2000-02-03,105794.80693310672,106173.45690542845,0.972
2000-02-04,105860.58985231257,106236.83453363432,0.96
2000-02-07,105936.99870157818,106312.28806491598,0.984
2000-02-08,105803.8195065118,106183.98311273933,0.96
2000-02-09,105822.50909613085,106201.76450526093,0.948
2000-02-10,105527.77061199112,105905.9697131075,1.0
2000-02-11,105321.9358778024,105701.04987084713,0.992
2000-02-14,105244.44857753372,105625.15003870228,0.976
2000-02-15,105062.42870014031,105449.77887153122,0.96
2000-02-16,104471.7605983807,104873.53274352921,0.972
2000-02-17,106301.50215727018,106629.49278422317,0.956
2000-02-18,105998.54120303386,106346.26196136036,0.9319999999999999
2000-02-22,105912.4060862332,106267.10336923526,0.916
2000-02-23,107628.3585844972,107871.72699442877,0.9319999999999999
