symbol,year,total_revenue,total_debt,ratio
KLAC,2024,9812247000.0,6819643000.0,1.4388212110223364
KLAC,2023,10496056000.0,6063132000.0,1.731127740580281
KLAC,2022,9211883000.0,6774305000.0,1.359827022845886
MRVL,2025,5767300000.0,4343100000.0,1.3279224517050034
MRVL,2024,5507700000.0,4401300000.0,1.2513802740099516
MRVL,2023,5919600000.0,4737500000.0,1.2495197889182057
MRVL,2022,4462400000.0,4726500000.0,0.9441235586586268
BRK-B,2024,424232000000.0,124762000000.0,3.4003302287555504
BRK-B,2023,439337000000.0,128271000000.0,3.4250687996507394
BRK-B,2022,234121000000.0,122744000000.0,1.9073926220426254
BRK-B,2021,354727000000.0,114262000000.0,3.104505434877737
JPM,2025,181847000000.0,499982000000.0,0.3637070934553644
JPM,2024,169439000000.0,454311000000.0,0.37295817182502733
JPM,2023,154952000000.0,436537000000.0,0.35495731175135214
JPM,2022,127727000000.0,339892000000.0,0.37578701469878667
V,2025,40000000000.0,25171000000.0,1.5891303484168289
V,2024,35926000000.0,20836000000.0,1.7242272989057401
V,2023,32653000000.0,20463000000.0,1.5957093290328885
V,2022,29310000000.0,22450000000.0,1.3055679287305122
MA,2025,32791000000.0,19000000000.0,1.7258421052631578
MA,2024,28167000000.0,18226000000.0,1.5454296060572807
MA,2023,25098000000.0,15681000000.0,1.600535680122441
MA,2022,22237000000.0,14023000000.0,1.5857519788918206
BAC,2024,101887000000.0,326670000000.0,0.3118957969816635
BAC,2023,98581000000.0,334302000000.0,0.29488606110642474
BAC,2022,94950000000.0,302914000000.0,0.31345530414573114
BAC,2021,89113000000.0,303870000000.0,0.2932602757758252
WFC,2024,82296000000.0,186649000000.0,0.4409131578524396
WFC,2023,82597000000.0,219471000000.0,0.37634584979336677
WFC,2022,74368000000.0,195392000000.0,0.3806092368162463
WFC,2021,79166000000.0,173907000000.0,0.455220318906082
GS,2024,53512000000.0,342555000000.0,0.15621433054545986
GS,2023,46254000000.0,333248000000.0,0.13879753216823507
GS,2022,47365000000.0,324199000000.0,0.14609853824348626
GS,2021,59339000000.0,321879000000.0,0.18435188378241513
MS,2024,57621000000.0,310421000000.0,0.18562210675179835
MS,2023,50667000000.0,276387000000.0,0.18331904177837596
MS,2022,50210000000.0,246216000000.0,0.20392663352503493
MS,2021,56414000000.0,243168000000.0,0.23199598631398868
AXP,2025,72230000000.0,57759000000.0,1.250541041223013
AXP,2024,65949000000.0,51089000000.0,1.290864961146235
AXP,2023,60515000000.0,49159000000.0,1.231005512724018
