Date,Close,High,Low,Open,Volume
2000-01-03,91.61705017089844,93.3887593491066,90.6327672941161,93.3887593491066,8164300
2000-01-04,88.03426361083984,90.75088444677363,87.96536380702993,90.41622825683976,8089800
2000-01-05,88.1917724609375,89.15636997222902,86.45943407331195,88.15240113394601,12177900
2000-01-06,86.7743911743164,89.13667042588582,86.7743911743164,87.95553080010112,6227200
2000-01-07,91.8138656616211,91.8138656616211,88.23107759335029,88.38856278316439,8066500
2000-01-10,92.12886810302734,92.54226687015633,91.36112753550212,92.12886810302734,5741700
2000-01-11,91.02647399902344,92.03044246224796,90.3965330024904,91.85327155697304,7503700
2000-01-12,90.12095642089844,91.08555381378268,90.00284245442282,91.08555381378268,6907700
2000-01-13,91.34151458740234,91.8139706973372,90.25880266880168,91.0068581761985,5158300
2000-01-14,92.58163452148438,92.89660499827446,91.9516935679042,92.30603535429304,7437300
2000-01-18,91.853271484375,92.36509854365356,91.45955836185303,91.55798664248353,6488500
2000-01-19,92.60132598876953,92.60132598876953,91.34144400252777,91.53830056287804,6157900
2000-01-20,91.1839599609375,92.58164155792078,90.59339027207132,92.58164155792078,5800100
2000-01-21,90.98709869384766,91.6564109732918,90.75087083051443,91.6564109732918,6244800
2000-01-24,88.40831756591797,91.87299445115546,87.81774764229795,91.75488046643146,7896900
2000-01-25,89.41226959228516,89.41226959228516,87.56181751353685,88.51657204352932,9942500
2000-01-26,88.70356750488281,89.16618042906495,88.25079740887476,88.82168144297187,5158100
2000-01-27,88.34922790527344,89.58942428629666,87.01060324004202,89.35319640419699,10922700
2000-01-28,85.59326934814453,88.2311483942925,85.37672703838612,87.83743510382266,11916200
2000-01-31,87.91618347167969,87.98508330198665,85.0420762645894,85.5539035754411,10768700
2000-02-01,88.78230285644531,89.2547585700938,87.26650744182307,88.03424797650186,8419900
2000-02-02,88.86107635498047,89.60913149487618,88.427991800304,88.99887598601389,6205900
2000-02-03,90.19969940185547,90.23907072416094,88.19176196427597,88.7429604765527,7997500
2000-02-04,89.82565307617188,90.71150764299803,89.53036822056316,90.19968055994292,4925400
2000-02-07,89.6878433227539,89.94375683530785,89.09727367839864,89.80595725162496,5845800
2000-02-08,90.90837860107422,91.06586388232337,90.47529407763903,90.69183633935663,4936400
2000-02-09,88.99884033203125,91.00677700840089,88.98899750518629,91.00677700840089,8511500
2000-02-10,89.17603302001953,89.80597409212564,88.7429485329466,89.21540433702617,6690600
2000-02-11,87.36495208740234,89.41226056353796,86.95155326049034,89.3532035882648,9849800
2000-02-14,87.87678527832031,88.05395621638144,87.12873020650666,88.05395621638144,8528800
2000-02-15,88.87090301513672,88.95948847611093,86.80390892573826,87.71929202247186,11078300
2000-02-16,87.56185913085938,88.78237065651433,87.43390227736329,88.42802860067903,8845400
