symbol,year,ebitda,total_debt,debt_ebitda
KLAC,2025,5340702000.0,6088282000.0,1.1399778530987126
KLAC,2024,3903015000.0,6819643000.0,1.747275631787221
KLAC,2023,4501243000.0,6063132000.0,1.346990597930394
KLAC,2022,4012920000.0,6774305000.0,1.6881236107373185
MRVL,2025,651600000.0,4343100000.0,6.665285451197054
MRVL,2024,850700000.0,4401300000.0,5.1737392735394385
MRVL,2023,1648000000.0,4737500000.0,2.8746966019417477
MRVL,2022,901100000.0,4726500000.0,5.245255798468539
UNH,2024,28076000000.0,76904000000.0,2.7391366291494514
UNH,2023,36330000000.0,62537000000.0,1.7213597577759427
UNH,2022,31835000000.0,57623000000.0,1.8100518297471337
UNH,2021,27073000000.0,46003000000.0,1.6992206257156577
JNJ,2025,41055000000.0,47933000000.0,1.167531360370235
JNJ,2024,24781000000.0,36634000000.0,1.4783099955611154
JNJ,2023,23320000000.0,29332000000.0,1.257804459691252
JNJ,2022,26605000000.0,39642000000.0,1.4900206728058636
LLY,2025,31693000000.0,42503000000.0,1.3410847821285456
LLY,2024,18807000000.0,33644000000.0,1.7889083851757324
LLY,2023,11852000000.0,25225300000.0,2.1283580830239623
LLY,2022,8660500000.0,16238600000.0,1.8750187633508457
ABBV,2024,14910000000.0,67144000000.0,4.5032863849765254
ABBV,2023,17172000000.0,59385000000.0,3.4582459818308875
ABBV,2022,24174000000.0,63271000000.0,2.6173161247621413
ABBV,2021,23933000000.0,76684000000.0,3.2041114778757365
MRK,2024,25706000000.0,37111000000.0,1.4436707383490235
MRK,2023,6907000000.0,35055000000.0,5.0752859417981755
MRK,2022,21315000000.0,30691000000.0,1.4398780201735866
MRK,2021,17899000000.0,33102000000.0,1.8493770601709594
PFE,2024,18127000000.0,63649000000.0,3.5112815137639983
PFE,2023,9557000000.0,70845000000.0,7.412891074605001
PFE,2022,41031000000.0,34859000000.0,0.8495771489849139
PFE,2021,30793000000.0,36998000000.0,1.2015068359692138
TMO,2024,11535000000.0,31275000000.0,2.7113133940182053
TMO,2023,11079000000.0,34917000000.0,3.1516382344976983
TMO,2022,11942000000.0,34488000000.0,2.8879584659186066
TMO,2021,11969000000.0,34870000000.0,2.913359512072855
ABT,2024,10790000000.0,15021000000.0,1.3921223354958294
ABT,2023,10544000000.0,15628000000.0,1.4821699544764795
ABT,2022,12131000000.0,17716000000.0,1.4603907344819058
ABT,2021,12282000000.0,19006000000.0,1.5474678391141508
DHR,2024,7276000000.0,17146000000.0,2.3565145684442
DHR,2023,7496000000.0,19536000000.0,2.606189967982924
DHR,2022,9482000000.0,20616000000.0,2.1742248470786754
DHR,2021,8804000000.0,23272000000.0,2.643343934575193
AMGN,2025,16898000000.0,54604000000.0,3.2313883299798793
AMGN,2024,13356000000.0,60099000000.0,4.499775381850854
AMGN,2023,14801000000.0,64613000000.0,4.365448280521586
AMGN,2022,12169000000.0,38945000000.0,3.2003451392883555
BMY,2025,15230000000.0,47139000000.0,3.0951411687458963
BMY,2024,3168000000.0,51200000000.0,16.161616161616163
BMY,2023,19366000000.0,41464000000.0,2.141071981823815
BMY,2022,19221000000.0,40717000000.0,2.118360126944488
MDT,2025,9218000000.0,28516000000.0,3.0935126925580385
MDT,2024,8203000000.0,25024000000.0,3.050591247104718
MDT,2023,8697000000.0,24364000000.0,2.8014257790042545
