date,value,cash,positions,drawdown,leverage,in_protection,risk_on,universe_size
2015-05-01,118456.41162076045,25077.522611362467,5,-0.07382703481315503,1.0,False,True,40
2015-05-04,118720.43291538849,34172.32106131749,5,-0.0717627363765201,1.0,False,True,40
2015-05-05,118173.37158305307,30415.06134633275,5,-0.07604003474623842,1.0,False,True,40
2015-05-06,117711.5829303606,28242.85512407782,5,-0.07965061318519281,1.0,False,True,40
2015-05-07,118004.25065131078,28247.315701990276,5,-0.07736233746234963,1.0,False,True,40
2015-05-08,119937.34462462334,28251.776984390828,5,-0.06224809119445129,1.0,False,True,40
2015-05-11,119390.18589248095,24950.773932535558,5,-0.06652615110224756,1.0,False,True,40
2015-05-12,119505.89826399286,27195.67869881665,5,-0.06562143291295199,1.0,False,True,40
2015-05-13,119451.05659491086,27983.806739080268,5,-0.06605022246156744,1.0,False,True,40
2015-05-14,120432.63602834217,27988.22640379541,5,-0.058375565412711085,1.0,False,True,40
2015-05-15,120214.33533977318,27992.64676653696,5,-0.06008238898830241,1.0,False,True,40
2015-05-18,120501.90980327036,33625.52280083897,5,-0.057833935823758655,1.0,False,True,40
2015-05-19,120473.97637620968,31418.365714736374,5,-0.05805233839576501,1.0,False,True,40
2015-05-20,120374.51900770838,30108.83345571802,5,-0.058829963892217146,1.0,False,True,40
2015-05-21,120865.05234887669,30113.58873973206,5,-0.05499463988656205,1.0,False,True,40
2015-05-22,120470.25044766406,30118.34477477905,5,-0.05808147024470387,1.0,False,True,40
2015-05-26,119723.40958533337,24280.349283630232,5,-0.06392078114838051,1.0,False,True,40
2015-05-27,120597.43870551663,27152.304597189443,5,-0.057087025754105965,1.0,False,True,40
2015-05-28,120202.24897281535,28000.892213670213,5,-0.06017688844316955,1.0,False,True,40
2015-05-29,119863.51979933599,28005.314576805547,5,-0.0628253039970785,1.0,False,True,40
2015-06-01,120240.76050286868,28009.971016014944,5,-0.05987577905199895,1.0,False,True,40
2015-06-02,120202.6493429642,26062.584172312032,5,-0.06017375807645606,1.0,False,True,40
2015-06-03,120646.49852117182,26084.824418663735,5,-0.05670344267645582,1.0,False,True,40
2015-06-04,119624.1054370719,26763.88702349991,5,-0.06469720866456365,1.0,False,True,40
2015-06-05,119493.61804082162,26768.337050747068,5,-0.06571744806782666,1.0,False,True,40
