date,value,cash,positions,drawdown,leverage,in_protection,risk_on,universe_size
2022-07-15,3427925.946737217,1904882.2055517302,2,-0.19328122370227444,0.3,True,False,40
2022-07-18,3405576.8931877036,1905189.1032404024,2,-0.19854078922703045,0.3,True,False,40
2022-07-19,3415961.7258038996,1908537.2984469882,2,-0.1960968509417917,0.3,True,False,40
2022-07-20,3382560.4427047046,1908844.785011738,2,-0.20395741813234136,0.3,True,False,40
2022-07-21,3329773.1205849242,2380936.011380667,2,-0.2163802430609359,0.3,True,False,40
2022-07-22,3318401.525735381,2381319.606626945,2,-0.2190564032884661,0.3,True,False,40
2022-07-25,3324125.6855957727,2381703.263674679,2,-0.217709295063359,0.3,True,False,40
2022-07-26,3323960.896050025,2382086.982533827,2,-0.21774807618720998,0.3,True,False,40
2022-07-27,3325964.9739874154,2382470.7632143465,2,-0.21727644193186796,0.3,True,False,40
2022-07-28,3322880.9857242443,2376079.584792723,2,-0.21800221934842798,0.3,True,False,40
2022-07-29,3323173.1696803058,2376462.3976147175,2,-0.2179334575702711,0.3,True,False,40
2022-08-01,3317304.82523574,2376846.215152745,2,-0.21931449780357012,0.3,True,False,40
2022-08-02,3304505.9740624856,2377230.094680351,2,-0.22232654465549587,0.3,True,False,40
2022-08-03,3305149.205947111,2377614.0362075474,2,-0.2221751682118669,0.3,True,False,40
2022-08-04,3298376.4157532263,2358579.4779354697,2,-0.22376905824981602,0.3,True,False,40
2022-08-05,3307532.2926876023,2358960.407240041,2,-0.2216143390548279,0.3,True,False,40
2022-08-08,3317483.2159123523,2359341.3980677184,2,-0.219272515826545,0.3,True,False,40
2022-08-09,3331218.836661265,2359722.450428438,2,-0.21604001216852414,0.3,True,False,40
2022-08-10,3332356.735122225,2360103.5643321383,2,-0.21577222223716636,0.3,True,False,40
2022-08-11,3340487.045048294,2388674.4118607566,2,-0.21385885719474973,0.3,True,False,40
2022-08-12,3357669.2168441336,2389060.2017360055,2,-0.20981525157996966,0.3,True,False,40
2022-08-15,3363959.7675130693,2389446.053919381,2,-0.20833485048124903,0.3,True,False,40
2022-08-16,3363153.267466859,2389831.9684209465,2,-0.20852465001031475,0.3,True,False,40
2022-08-17,3354812.2161353286,2390217.945250767,2,-0.21048761036236477,0.3,True,False,40
2022-08-18,3364005.025131172,2405501.017088998,2,-0.2083241996764005,0.3,True,False,40
2022-08-19,3348826.1902578548,2405889.524594536,2,-0.21189634542426383,0.3,True,False,40
2022-08-22,3327774.923994991,2406278.0948471194,2,-0.21685049321595093,0.3,True,False,40
2022-08-23,3322448.60452594,2406666.7278568824,2,-0.21810397476456295,0.3,True,False,40
2022-08-24,3325754.059088312,2407055.423633961,2,-0.21732607807102364,0.3,True,False,40
2022-08-25,3341696.8954527997,2389577.9358898043,2,-0.2135741342885402,0.3,True,False,40
2022-08-26,3299394.5537049957,2389963.8716913546,2,-0.22352945243122024,0.3,True,False,40
2022-08-29,3292988.197192409,2390349.8698246,2,-0.22503710696246237,0.3,True,False,40
2022-08-30,3280173.2568758037,1985205.263184165,2,-0.22805294018965921,0.3,True,False,40
