date,value,cash,positions,drawdown,leverage,in_protection,risk_on,regime_score,universe_size
2002-07-19,93652.63312553366,39909.69240941114,2,-0.2026477205635176,0.48879898234344576,True,False,0.10241639557052702,40
2002-07-22,92634.31311496328,39920.03408764263,2,-0.21131762929460157,0.3,True,False,0.08945614935872342,40
2002-07-23,91199.7026361862,39930.37844568201,2,-0.22353180733936712,0.3,True,False,0.08034466040446779,40
2002-07-24,94539.89992116173,39940.72548422369,2,-0.19509359017388878,0.3,True,False,0.04755987256478366,40
2002-07-25,93366.76869712994,48223.68766878382,2,-0.20508155126309846,0.3,True,False,0.04431596756611289,40
2002-07-26,94774.90145845109,53551.895052255844,2,-0.19309280274084803,0.3,True,False,0.04328919776831588,40
2002-07-29,96398.48079417319,53565.77179331502,2,-0.17926975643686716,0.3,True,False,0.0659162942988339,40
2002-07-30,96748.39869629197,53579.65213021226,2,-0.17629057872922,0.3,True,False,0.08538500488663817,40
2002-07-31,96192.78342598671,53593.53606387933,2,-0.18102105012636466,0.3,True,False,0.09987317884703899,40
2002-08-01,94502.34131810005,51785.92395539915,2,-0.1954133616182596,0.3,True,False,0.07879248432644441,40
2002-08-02,93515.32732740606,52497.216601913904,2,-0.2038167329816749,0.3,True,False,0.05146789681754266,40
2002-08-05,92493.77715721042,52510.48673166605,2,-0.21251414307662014,0.34466555892646467,True,False,0.041298650247091374,40
2002-08-06,93324.51419081836,52523.760215812115,2,-0.2054413033149051,0.33095214934340206,True,False,0.06437282813759126,40
2002-08-07,94748.31793021256,52537.0370552,2,-0.19331913312931706,0.33841461666809775,True,False,0.10358334231606334,40
2002-08-08,95363.97712736727,50715.78464502498,2,-0.1880774517390103,0.32711489463814014,True,False,0.12497177483695399,40
2002-08-09,95276.34735787348,49731.91595380544,2,-0.18882352575871994,0.3281340419098871,True,False,0.13800233974678708,40
2002-08-12,95024.41692037004,49744.48707700487,2,-0.19096844472040617,0.3279307960350378,True,False,0.13846916645126756,40
2002-08-13,93655.19671433716,49757.061377904894,2,-0.2026258943392269,0.3283363183838321,True,False,0.1357970447228644,40
2002-08-14,96133.32697259283,49769.63885730875,2,-0.18152725840966275,0.31551401869514917,True,False,0.16007456964516872,40
2002-08-15,95593.85297460202,50415.87840821482,2,-0.18612030408962882,0.32599585517325436,True,False,0.20001752053629127,40
2002-08-16,96054.2592723339,49182.551725486745,2,-0.18220043554229867,0.3425999932322397,True,False,0.22920204774139447,40
