symbol,entry_date,exit_date,exit_reason,pnl,return,days_held
INTC,1997-01-14 00:00:00-05:00,1997-01-24 00:00:00-05:00,hold_expired,281.34993063099245,0.022842860278150717,8
IBM,1997-01-14 00:00:00-05:00,1997-01-24 00:00:00-05:00,hold_expired,-1218.5759583255863,-0.0989364393725523,8
MSFT,1997-01-14 00:00:00-05:00,1997-01-24 00:00:00-05:00,hold_expired,1521.9236220753692,0.12356530024768779,8
C,1997-01-14 00:00:00-05:00,1997-01-24 00:00:00-05:00,hold_expired,666.4709060635115,0.054110913596167334,8
TLAB,1997-01-14 00:00:00-05:00,1997-01-24 00:00:00-05:00,hold_expired,-587.3268898963121,-0.04768519421139814,8
AXP,1997-01-14 00:00:00-05:00,1997-01-24 00:00:00-05:00,hold_expired,634.6460030380359,0.051527042999340696,8
JPM,1997-01-14 00:00:00-05:00,1997-01-24 00:00:00-05:00,hold_expired,-67.43146600508844,-0.005654334515682654,8
SLB,1997-01-14 00:00:00-05:00,1997-01-24 00:00:00-05:00,hold_expired,-182.5311633346848,-0.025510945815055898,8
AMAT,1997-01-24 00:00:00-05:00,1997-02-04 00:00:00-05:00,trailing_stop,447.473554277772,0.035965132507328884,7
INTC,1997-01-24 00:00:00-05:00,1997-02-05 00:00:00-05:00,hold_expired,561.1694024888301,0.045103295438641534,8
AN,1997-01-24 00:00:00-05:00,1997-02-05 00:00:00-05:00,hold_expired,-1034.0738535827222,-0.08311240476879782,8
IBM,1997-01-24 00:00:00-05:00,1997-02-05 00:00:00-05:00,hold_expired,-145.3520282449088,-0.011682489179666886,8
TLAB,1997-01-24 00:00:00-05:00,1997-02-05 00:00:00-05:00,hold_expired,-402.8240449210624,-0.032376483513327205,8
SLB,1997-01-24 00:00:00-05:00,1997-02-05 00:00:00-05:00,hold_expired,-283.33215293277823,-0.022772470744692512,8
PTC,1997-01-24 00:00:00-05:00,1997-02-05 00:00:00-05:00,hold_expired,-722.4262595150029,-0.059970877944325485,8
AXP,1997-01-24 00:00:00-05:00,1997-02-05 00:00:00-05:00,hold_expired,-15.370783587629607,-0.002126647982505186,8
AMAT,1997-02-04 00:00:00-05:00,1997-02-14 00:00:00-05:00,hold_expired,1299.6584314868007,0.13685885438110562,8
INTC,1997-02-05 00:00:00-05:00,1997-02-18 00:00:00-05:00,hold_expired,-213.3861412932176,-0.016782972141348457,8
