date,compass_value,nightshift_value,combined_value,compass_dd,nightshift_dd,combined_dd
2000-10-31,110171.2303579419,50000.0,160171.23035794188,0.0,0.0,0.0
2000-11-01,110694.37440938591,50000.0,160694.3744093859,0.0,0.0,0.0
2000-11-02,112338.22314909592,50000.0,162338.22314909592,0.0,0.0,0.0
2000-11-03,111770.55866098456,50000.0,161770.55866098456,-0.005053173107055051,0.0,-0.003496801166722158
2000-11-06,111177.9017270982,50000.0,161177.90172709821,-0.010328821210370565,0.0,-0.007147555267572675
2000-11-07,110839.39724115896,50000.0,160839.39724115896,-0.013342083094439813,0.0,-0.00923273569749742
2000-11-08,111184.3371543847,50000.0,161184.3371543847,-0.010271535033803922,0.0,-0.007107913172435432
2000-11-09,111465.90764612914,50000.0,161465.90764612914,-0.007765081897450355,0.0,-0.005373444935180943
2000-11-10,111415.69906826374,50000.0,161415.69906826376,-0.00821202307613326,0.0,-0.005682728706380487
2000-11-13,111384.31381688223,50000.0,161384.31381688223,-0.008491404843992028,0.0,-0.005876061187004577
2000-11-14,112173.56368877168,50000.0,162173.56368877168,-0.0014657474162263018,0.0,-0.0010142987716023801
2000-11-15,114626.56880413306,50000.0,164626.56880413304,0.0,0.0,0.0
2000-11-16,112687.36947855962,50000.0,162687.36947855962,-0.01691753793038181,0.0,-0.011779382511948109
2000-11-17,113162.93555914985,50000.0,163162.93555914983,-0.012768708513679578,0.0,-0.008890625951905682
2000-11-20,107214.75736107808,50000.0,157214.75736107808,-0.06466050166536721,0.0,-0.04502196393264611
2000-11-21,108738.4113408803,50000.0,158738.4113408803,-0.05136817340588891,0.0,-0.03576675081078968
2000-11-22,107886.76785871082,50000.0,157886.76785871084,-0.058797894901127135,0.0,-0.04093993450984807
2000-11-24,108149.1687588794,50000.0,158149.16875887942,-0.05650871445277094,0.0,-0.03934601864271503
2000-11-27,110042.53321857036,50000.0,160042.53321857034,-0.039991039018149634,0.0,-0.027845053315887453
2000-11-28,109774.66667439228,50000.0,159774.6666743923,-0.04232790164059967,0.0,-0.02947216943768882
2000-11-29,110203.31646784212,50000.0,160203.31646784212,-0.038588369018086266,0.0,-0.026868398997937925
2000-11-30,109349.97286736449,50000.0,159349.97286736447,-0.04603292231301889,0.0,-0.032051909816856364
2000-12-01,108882.62551709326,50000.0,158882.62551709326,-0.050110051683172195,0.0,-0.0348907429023424
2000-12-04,109144.61400138924,50000.0,159144.61400138924,-0.04782446914302256,0.0,-0.033299332195072584
2000-12-05,109416.54190002353,50000.0,159416.54190002353,-0.04545217534175789,0.0,-0.03164754596998389
2000-12-06,108793.92628656232,50000.0,158793.92628656232,-0.05088386207858326,0.0,-0.035429533397553836
2000-12-07,109387.54192060206,50000.0,159387.54192060206,-0.04570517060912056,0.0,-0.03182370210099073
2000-12-08,110151.8518773573,50000.0,160151.8518773573,-0.03903734512390301,0.0,-0.027181013121275816
2000-12-11,109949.09620235808,50000.0,159949.09620235808,-0.040806181765481966,0.0,-0.028412622796871005
2000-12-12,109749.39649723451,50000.0,159749.39649723453,-0.04254835818415154,0.0,-0.029625669430681054
2000-12-13,109555.78607712607,50000.0,159555.78607712607,-0.04423741179648873,0.0,-0.03080172759380054
2000-12-14,108981.23500530774,50000.0,158981.23500530774,-0.04924978438874606,0.0,-0.034291753997144445
