date,value,cash,positions,drawdown,leverage,in_protection,universe_size
2000-01-03,200000.0,47983.68458464161,2,0.0,2.0,False,40
2000-01-04,190039.9842472329,11505.332943586618,4,-0.04980007876383548,2.0,False,40
2000-01-05,190969.3369475553,37023.867735122614,4,-0.04515331526222348,2.0,False,40
2000-01-06,184734.88108882846,17541.1811265977,4,-0.07632559455585768,2.0,False,40
2000-01-07,193984.98409385633,32693.1950617353,4,-0.03007507953071836,2.0,False,40
2000-01-10,197509.84765360242,47365.25918432082,2,-0.012450761731987878,2.0,False,40
2000-01-11,194254.0443986914,11355.448921103616,4,-0.028729778006543055,2.0,False,40
2000-01-12,195194.88172233582,38016.33245102585,4,-0.0240255913883209,2.0,False,40
2000-01-13,198209.83745205228,18183.613480703334,4,-0.008950812739738613,2.0,False,40
2000-01-14,202636.15803784627,35143.628064615055,4,0.0,2.0,False,40
2000-01-18,210799.39813747164,50576.4203192065,2,0.0,2.0,False,40
2000-01-19,214537.61127568776,12126.204320651432,4,0.0,2.0,False,40
2000-01-20,214213.90010956218,41832.57012600989,4,-0.0015088783929340828,2.0,False,40
2000-01-21,214857.96354030736,20522.420909541364,4,0.0,2.0,False,40
2000-01-24,207350.99829505748,49746.16913427088,2,-0.034939199467193954,2.0,False,40
2000-01-25,210187.36964887736,11926.921461825379,4,-0.021738053430604178,2.0,False,40
2000-01-26,207475.7070016771,40901.695997686744,4,-0.034358775523092716,2.0,False,40
2000-01-27,203539.79008471995,18435.55343046398,4,-0.05267746779822813,2.0,False,40
2000-01-28,200230.1403724333,34684.75614278798,4,-0.06808136373837449,2.0,False,40
2000-01-31,204904.7978187506,49156.8331732892,2,-0.046324397558061836,2.0,False,40
2000-02-01,208805.69499829298,11785.29824914028,4,-0.02816869545949586,2.0,False,40
2000-02-02,205830.6590490569,40521.54653072788,4,-0.04201521946174889,2.0,False,40
2000-02-03,203679.2920004893,203628.5037686313,0,-0.05202819274474289,2.0,False,0
2000-02-04,203628.5037686313,203584.06103963417,0,-0.05226457324012302,2.0,False,0
2000-02-07,203584.06103963417,203539.62801043902,0,-0.05247142025786823,2.0,False,0
2000-02-08,203539.62801043902,203495.2046789288,0,-0.05267822213043095,2.0,False,0
2000-02-09,203495.2046789288,203450.79104298697,0,-0.0528849788676644,2.0,False,0
2000-02-10,203450.79104298697,203406.38710049744,0,-0.05309169047941949,2.0,False,0
2000-02-11,203406.38710049744,203361.99284934456,0,-0.05329835697554497,2.0,False,0
2000-02-14,203361.99284934456,203317.60828741317,0,-0.053504978365887544,2.0,False,0
2000-02-15,203317.60828741317,203273.23341258854,0,-0.05371155466029177,2.0,False,0
2000-02-16,203273.23341258854,203228.86822275643,0,-0.053918085868600016,2.0,False,0
2000-02-17,203228.86822275643,203184.51271580305,0,-0.054124572000652495,2.0,False,0
2000-02-18,203184.51271580305,203140.16688961507,0,-0.05433101306628726,2.0,False,0
2000-02-22,203140.16688961507,203095.83074207965,0,-0.05453740907534031,2.0,False,0
2000-02-23,203095.83074207965,203051.50427108436,0,-0.05474376003764523,2.0,False,0
2000-02-24,203051.50427108436,203007.18747451727,0,-0.05495006596303383,2.0,False,0
2000-02-25,203007.18747451727,202962.88035026687,0,-0.05515632686133548,2.0,False,0
2000-02-28,202962.88035026687,202918.5828962222,0,-0.05536254274237767,2.0,False,0
2000-02-29,202918.5828962222,202874.29511027262,0,-0.05556871361598542,2.0,False,0
2000-03-01,202874.29511027262,202830.01699030807,0,-0.05577483949198189,2.0,False,0
2000-03-02,202830.01699030807,202785.7485342189,0,-0.05598092038018806,2.0,False,0
2000-03-03,202785.7485342189,202741.48973989594,0,-0.056186956290422585,2.0,False,0
2000-03-06,202741.48973989594,48643.037991384816,2,-0.05639294723250213,2.0,False,40
2000-03-07,204558.53518714616,11657.35313752704,4,-0.04793598609729459,2.0,False,40
2000-03-08,209370.6146217137,41327.63867803184,4,-0.025539425340239886,2.0,False,40
2000-03-09,212708.4718259293,18994.29878176236,4,-0.010004245032206207,2.0,False,40
2000-03-10,209040.9059103294,35771.633274874315,4,-0.027073968002524998,2.0,False,40
