date,value,cash,positions,shorts,drawdown,leverage,in_protection,risk_on,protection_stage
2024-05-31,4350451.920835894,841902.6212106564,5,0,-0.033083743528836265,1.590038673385239,False,True,0
2024-06-03,4429517.266292291,826454.5259346715,5,0,-0.01551095586529397,1.7375905668592289,False,True,0
2024-06-04,4422063.216325325,826061.0781519831,5,0,-0.01716766698881852,1.8764580540309193,False,True,0
2024-06-05,4573137.411305547,825713.3914318209,5,0,0.0,1.6937259698845295,False,True,0
2024-06-06,4527047.452189501,882553.2835923723,5,0,-0.010078411158628961,1.6931848495745525,False,True,0
2024-06-07,4532739.109259768,878258.3004360264,5,0,-0.008833826411143286,1.7087767680071493,False,True,0
2024-06-10,4602051.563113721,875040.6684825029,5,0,0.0,1.7044711285219996,False,True,0
2024-06-11,4599296.390729317,874691.6743731941,5,0,-0.0005986835103037204,1.7058266192654705,False,True,0
2024-06-12,4714635.676448355,874350.5441250314,5,0,0.0,1.6573021014253781,False,True,0
2024-06-13,4784858.617184151,913064.5060294517,5,0,0.0,1.8447206659793782,False,True,0
2024-06-14,4777729.00323003,910649.9039466862,5,0,-0.001490036493140306,1.8646301657315372,False,True,0
2024-06-17,4854213.723967163,935015.6233169147,5,0,0.0,1.7894964681693413,False,True,0
2024-06-18,4959888.6243885765,934606.1399446137,5,0,0.0,1.7887582661623889,False,True,0
2024-06-20,4793305.5519950185,934224.7514944779,5,0,-0.03358605102026727,1.7593874380701369,False,True,0
2024-06-21,4715992.303187307,906658.9982964237,5,0,-0.04917374958824514,1.7775158706250995,False,True,0
2024-06-24,4591914.971049353,908027.6118686632,5,0,-0.07418990247680922,1.878380765133015,False,True,0
2024-06-25,4680659.193301183,900226.2240662869,5,0,-0.05629752041494983,1.918049594889259,False,True,0
2024-06-26,4676588.428367626,899799.9333673456,5,0,-0.0571182575810105,1.9195287797448861,False,True,0
2024-06-27,4577870.743127499,872619.5785174276,5,0,-0.07702146362372611,2.0,False,True,0
2024-06-28,4596934.939725784,1113269.3556927675,5,0,-0.07317778929109228,2.0,False,True,0
2024-07-01,4620553.871433281,1042001.3614380455,5,0,-0.06841580096914499,2.0,False,True,0
2024-07-02,4634207.366135978,935414.8504176862,5,0,-0.0656630184498843,2.0,False,True,0
2024-07-03,4743826.013753314,934961.4009052424,5,0,-0.04356198838273263,2.0,False,True,0
2024-07-05,4698640.516885423,928710.176576191,5,0,-0.05267217215696217,2.0,False,True,0
