lookback,skip,hold,positions,target_vol,trail_act,trail_stop,lev_min,lev_max,cagr,sharpe,sortino,max_dd,calmar,trades,win_rate,final_value
90,5,5,5,0.15,0.05,0.03,0.3,1.5,0.14556344263995524,0.7030442186118759,0.9578402752004878,-0.28814343310077933,0.5051770261550393,5213,0.0001918281220026856,3445944.1123218816
90,5,5,5,0.15,0.05,0.03,0.3,2.0,0.1453101848913878,0.7002140959609504,0.9566433189872552,-0.2881487542031251,0.504288784080441,5218,0.00019164430816404754,3426155.3842451237
90,5,5,5,0.15,0.05,0.03,0.3,2.0,0.1453101848913878,0.7002140959609504,0.9566433189872552,-0.2881487542031251,0.504288784080441,5218,0.00019164430816404754,3426155.3842451237
90,5,5,5,0.15,0.05,0.03,0.3,2.0,0.1453101848913878,0.7002140959609504,0.9566433189872552,-0.2881487542031251,0.504288784080441,5218,0.00019164430816404754,3426155.3842451237
90,5,5,5,0.15,0.05,0.03,0.3,2.0,0.1453101848913878,0.7002140959609504,0.9566433189872552,-0.2881487542031251,0.504288784080441,5218,0.00019164430816404754,3426155.3842451237
90,5,5,5,0.15,0.05,0.03,0.5,1.5,0.14526122568273303,0.7013663131283648,0.954903453020235,-0.28814343310077933,0.5041281840767383,5213,0.0001918281220026856,3422342.4978445964
90,5,5,5,0.15,0.05,0.03,0.5,2.0,0.1450080347471321,0.6985417296770513,0.9537077269339796,-0.2881487542031251,0.503240193240299,5218,0.00019164430816404754,3402689.3047177326
90,5,5,5,0.15,0.05,0.03,0.3,2.5,0.14474299474016772,0.6973808968134455,0.9528966340522618,-0.2881487542031243,0.5023203905234802,5218,0.00019164430816404754,3382232.643873355
90,5,5,5,0.15,0.05,0.03,0.3,3.0,0.14464864537496913,0.6969154729255191,0.9522506526902035,-0.28814875420312447,0.5019929576825519,5218,0.00019164430816404754,3374979.0325824125
90,5,5,5,0.15,0.05,0.03,0.5,2.5,0.14444099422936696,0.6957104070010888,0.949966137466136,-0.2881487542031243,0.5012723189757272,5218,0.00019164430816404754,3359067.395579122
90,5,5,5,0.15,0.05,0.03,0.5,3.0,0.1443466697549578,0.6952452777125201,0.9493208308524553,-0.28814875420312447,0.5009449725165344,5218,0.00019164430816404754,3351863.464994507
90,5,5,5,0.2,0.05,0.03,0.3,2.0,0.14316136680517721,0.6831329773009251,0.9395210013394897,-0.3273315001732517,0.43735896706978716,5197,0.00019241870309794111,3262594.054164856
90,5,5,5,0.15,0.05,0.04,0.3,2.0,0.14157213950491232,0.6756349579153268,0.9276181624525156,-0.3093108024313933,0.45770189205181006,5137,0.00019466614755693986,3146484.845062636
90,5,5,5,0.15,0.05,0.03,0.7,1.5,0.13969849719387462,0.6762883682586275,0.9182392834138525,-0.28787650796011416,0.48527230715619946,5150,0.0001941747572815534,3014696.8733424693
90,5,5,5,0.15,0.03,0.05,0.3,2.0,0.13946569554510746,0.6736439002621616,0.9199945966713895,-0.3729130251671642,0.3739898746700782,5138,0.00019462826002335538,2998697.714531881
90,5,5,5,0.15,0.05,0.03,0.7,2.0,0.13943224680669197,0.6734513534104241,0.9169359255292734,-0.28788183105458054,0.4843384742132494,5155,0.00019398642095053346,2996405.688454302
90,5,5,5,0.15,0.05,0.03,0.7,2.5,0.13886797016310393,0.6706293814038425,0.9132130625083138,-0.2878818310545806,0.48237837606630835,5155,0.00019398642095053346,2957992.442407795
90,5,5,5,0.15,0.05,0.03,0.7,3.0,0.1387741050082909,0.6701656338552582,0.9125708697423436,-0.2878818310545804,0.48205232160684813,5155,0.00019398642095053346,2951648.665585782
