date,symbol,action,price,shares,weight,scheduled_exit,pnl,pnl_pct,hold_minutes,strategy
2000-01-03,VZ,BUY,15.486497412686454,378.5421952626522,0.06170834450029173,2000-01-05,,,,
2000-01-03,BRK-B,BUY,36.5,472.2503863907218,0.18144356950801416,2000-01-04,,,,
2000-01-03,UNH,BUY,5.149415814599325,685.5141994355473,0.03715787010216635,2000-01-05,,,,
2000-01-03,DIS,BUY,22.11096938573703,326.7891464172396,0.07605920854760757,2000-01-05,,,,
2000-01-03,BAC,BUY,12.891208988312751,860.0113751249266,0.11670090914801752,2000-01-05,,,,
2000-01-03,WFC,BUY,9.893089848966264,964.7565484317699,0.10046761280014813,2000-01-05,,,,
2000-01-03,PFE,BUY,11.526346598036762,856.6918981477525,0.10394239732401055,2000-01-04,,,,
2000-01-03,JPM,BUY,23.499963556606076,385.4166108792302,0.09533975062918457,2000-01-05,,,,
2000-01-03,HD,BUY,39.918184918616674,370.6488751441554,0.15574347724085957,2000-01-05,,,,
2000-01-03,ADBE,BUY,16.693562052156725,406.5340697071115,0.07143686019969972,2000-01-05,,,,
2000-01-04,BRK-B,SELL,34.298993873545086,472.2503863907218,,,-1039.4259936666786,-0.06030153771109353,666.0,hybrid_666
2000-01-04,PFE,SELL,11.16249290344772,856.6918981477525,,,-311.71051226555755,-0.03156713113685259,666.0,hybrid_666
2000-01-04,BRK-B,BUY,34.5,153.68798272877694,0.18144356950801416,2000-01-06,,,,
2000-01-04,PFE,BUY,11.23425845040269,270.3745081964814,0.10394239732401055,2000-01-05,,,,
2000-01-05,VZ,SELL,15.288896517499662,378.5421952626522,,,-74.80027664987392,-0.012759560145919,666.0,hybrid_666
2000-01-05,UNH,SELL,5.168190721037591,685.5141994355473,,,12.870464956504748,0.0036460264842151373,666.0,hybrid_666
2000-01-05,DIS,SELL,24.307187905981323,326.7891464172396,,,717.7003755763653,0.09932710239565495,666.0,hybrid_666
2000-01-05,BAC,SELL,11.670324705151922,860.0113751249266,,,-1049.9743712295567,-0.0947067326476276,666.0,hybrid_666
2000-01-05,WFC,SELL,9.159131498720209,964.7565484317699,,,-708.0911246760606,-0.07418899064408552,666.0,hybrid_666
2000-01-05,JPM,SELL,21.923048416281375,385.4166108792302,,,-607.7692890280923,-0.06710287599069123,666.0,hybrid_666
2000-01-05,HD,SELL,36.16481631770878,370.6488751441554,,,-1391.1818499279052,-0.09402653473749094,666.0,hybrid_666
2000-01-05,ADBE,SELL,14.826828002843227,406.5340697071115,,,-758.8909901282523,-0.11182359064417444,666.0,hybrid_666
2000-01-05,PFE,SELL,11.296805863026714,270.3745081964814,,,16.91122592718284,0.005567560413547562,666.0,hybrid_666
2000-01-05,VZ,BUY,15.071395536355084,348.1397212761857,0.06170834450029173,2000-01-07,,,,
2000-01-05,UNH,BUY,5.149416316005787,613.5584716910715,0.03715787010216635,2000-01-07,,,,
2000-01-05,DIS,BUY,23.906302018902394,270.5219751599332,0.07605920854760757,2000-01-06,,,,
2000-01-05,BAC,BUY,11.560400728616495,858.3501754967755,0.11670090914801752,2000-01-07,,,,
2000-01-05,WFC,BUY,9.080162553511977,940.7963187421477,0.10046761280014813,2000-01-07,,,,
2000-01-05,PFE,BUY,11.099447442333956,796.2593034455024,0.10394239732401055,2000-01-07,,,,
2000-01-05,JPM,BUY,22.210201759391726,364.99310256970284,0.09533975062918457,2000-01-07,,,,
2000-01-05,HD,BUY,35.91907620808435,368.67853896695766,0.15574347724085957,2000-01-07,,,,
2000-01-05,ADBE,BUY,14.459482523859764,420.08072713067105,0.07143686019969972,2000-01-07,,,,
2000-01-06,BRK-B,SELL,35.70961385800103,153.68798272877694,,,185.90311371695134,0.035061271246406595,666.0,hybrid_666
2000-01-06,DIS,SELL,24.29622818436933,270.5219751599332,,,105.48359644865468,0.016310601495732206,666.0,hybrid_666
2000-01-06,BRK-B,BUY,34.900001525878906,157.86945903784874,0.18144356950801416,2000-01-10,,,,
2000-01-06,DIS,BUY,24.898463819107636,92.76010566738094,0.07605920854760757,2000-01-10,,,,
