date,value,cash,positions,drawdown,leverage,in_protection,risk_on
2015-11-03,152211.49637680367,22479.962035725104,5,-0.030221335879008195,1.2970664953168545,False,True
2015-11-04,153981.3572790107,22474.367254486096,5,-0.01894509602670835,1.2912761073021708,False,True
2015-11-05,156376.85220138475,22468.195558436946,5,-0.003682780623293395,1.3116336096800012,False,True
2015-11-06,156587.17539791446,41840.82909246307,5,-0.0023427573437159745,1.308462263897081,False,True
2015-11-09,155673.41216608675,30981.681496469402,5,-0.008164578345272035,1.2330067407429421,False,True
2015-11-10,155636.1000115061,30977.461306507157,5,-0.008402303696418553,1.2712831812599854,False,True
2015-11-11,156461.46638505018,30973.043122743195,5,-0.0031436818564196203,1.2780667714495426,False,True
2015-11-12,155054.99109685965,30969.241963287823,5,-0.012104698327370374,1.2544156891726645,False,True
2015-11-13,152613.78895854592,30967.040079367463,5,-0.027658226181025883,1.1933748621263394,False,True
2015-11-16,153913.97383743053,20475.05071815402,5,-0.01937441329586995,1.0946342323392264,False,True
2015-11-17,153687.41097705215,20474.30356251184,5,-0.020817903658340787,1.0953150919402823,False,True
2015-11-18,156651.46437811523,20475.390847211507,5,-0.001933155685359864,1.03755346136978,False,True
2015-11-19,156172.4829977505,20473.647146067913,5,-0.004984869479954079,1.1266772066812911,False,True
2015-11-20,157794.76309931325,29248.42890179372,5,0.0,1.1701382006571104,False,True
2015-11-23,158027.0126752333,28346.170800374242,5,0.0,1.1729942374521483,False,True
2015-11-24,157449.22591856334,28343.93893284292,5,-0.0036562531107095357,1.1758269565680803,False,True
2015-11-25,156929.31814817825,28340.130540819096,5,-0.006946246141543908,1.2379478573706177,False,True
2015-11-27,157100.48130462636,28336.31983044131,5,-0.005863120202816774,1.2377033715206993,False,True
2015-11-30,156172.93130829517,28332.531991459215,5,-0.011732686301857248,1.2384904037587912,False,True
2015-12-01,158220.80664706248,31787.17604363713,5,0.0,1.266477224485256,False,True
2015-12-02,157526.21643065676,31784.297385839574,5,-0.0043900055316688944,1.2159905119227152,False,True
2015-12-03,156423.01842292698,31783.63836665764,5,-0.011362527231615994,1.1354319283094054,False,True
