date,symbol,action,shares,price,cost,planned_exit,proceeds,pnl_pct,minutes_held
2000-01-03 00:00:00-05:00,NKE,BUY_RANDOM,4245,4.471375942230225,18999.97186564207,2000-01-03 11:06:00-05:00,,,
2000-01-03 00:00:00-05:00,WMT,BUY_RANDOM,1335,14.210655212402344,18990.195933265684,2000-01-03 11:06:00-05:00,,,
2000-01-03 00:00:00-05:00,REGN,BUY_RANDOM,1550,12.244589805603027,18998.093312883375,2000-01-03 11:06:00-05:00,,,
2000-01-03 00:00:00-05:00,SCHW,BUY_RANDOM,1061,17.877666473388672,18987.172332393646,2000-01-03 11:06:00-05:00,,,
2000-01-04 00:00:00-05:00,NKE,SELL_666,4245,4.227482318878174,,,17927.71678119421,-0.05454554179812534,1440.0
2000-01-04 00:00:00-05:00,WMT,SELL_666,1335,13.678921699523926,,,18243.099108395578,-0.037417944840034384,1440.0
2000-01-04 00:00:00-05:00,REGN,SELL_666,1550,11.933812141418457,,,18478.91141037941,-0.025380814638834282,1440.0
2000-01-04 00:00:00-05:00,SCHW,SELL_666,1061,17.63607406616211,,,18693.1627096138,-0.013513643270288015,1440.0
2000-01-04 00:00:00-05:00,CSCO,BUY_RANDOM,560,32.9996223449707,18498.268301696775,2000-01-04 11:06:00-05:00,,,
2000-01-04 00:00:00-05:00,VZ,BUY_RANDOM,1247,14.815946578979492,18493.96086937141,2000-01-04 11:06:00-05:00,,,
2000-01-04 00:00:00-05:00,BAC,BUY_RANDOM,1581,11.68867015838623,18498.267307929036,2000-01-04 11:06:00-05:00,,,
2000-01-04 00:00:00-05:00,NOC,BUY_RANDOM,1305,14.15937614440918,18496.463854322432,2000-01-04 11:06:00-05:00,,,
2000-01-05 00:00:00-05:00,CSCO,SELL_666,560,32.898521423339844,,,18404.748825073242,-0.0030636993531008585,1440.0
2000-01-05 00:00:00-05:00,VZ,SELL_666,1247,15.310881614685059,,,19073.576704138755,0.03340556292284209,1440.0
2000-01-05 00:00:00-05:00,BAC,SELL_666,1581,11.81694221496582,,,18663.9030562191,0.01097405049859833,1440.0
2000-01-05 00:00:00-05:00,NOC,SELL_666,1305,14.14285945892334,,,18437.975162301063,-0.0011664839832905664,1440.0
2000-01-05 00:00:00-05:00,PG,BUY_RANDOM,720,25.816665649414062,18606.5872668457,2000-01-05 11:06:00-05:00,,,
2000-01-05 00:00:00-05:00,TFC,BUY_RANDOM,1919,9.68875503540039,18611.31363384628,2000-01-05 11:06:00-05:00,,,
2000-01-05 00:00:00-05:00,STT,BUY_RANDOM,904,20.54990005493164,18595.68675930786,2000-01-05 11:06:00-05:00,,,
2000-01-05 00:00:00-05:00,WMT,BUY_RANDOM,1387,13.39975643157959,18604.04763277149,2000-01-05 11:06:00-05:00,,,
2000-01-06 00:00:00-05:00,PG,SELL_666,720,27.00580596923828,,,19424.73611755371,0.04606095674679846,1440.0
2000-01-06 00:00:00-05:00,TFC,SELL_666,1919,10.142167091369629,,,19443.35582968998,0.04679776238666157,1440.0
2000-01-06 00:00:00-05:00,STT,SELL_666,904,21.411745071411133,,,19336.86132701111,0.041939134213582877,1440.0
2000-01-06 00:00:00-05:00,WMT,SELL_666,1387,13.545981407165527,,,18769.48793552685,0.010912509964832265,1440.0
