date,value,cash,positions,drawdown,leverage,in_protection,risk_on,protection_stage,inverse_value
2005-07-18,118952.52801850089,24725.58769745723,5,-0.014751732425888784,1.541286360409055,False,True,0,0.0
2005-07-19,120405.46938835025,24718.77448635816,5,-0.0027174529416546015,1.5158294927486475,False,True,0,0.0
2005-07-20,120297.10030647776,25276.657570148884,5,-0.0036150416852654805,1.508641039919979,False,True,0,0.0
2005-07-21,119475.36265018301,25517.166599051292,5,-0.010421249302298123,1.4677719297586642,False,True,0,0.0
2005-07-22,119142.67094596752,25110.7759548143,5,-0.013176835338801825,1.6922879311479497,False,True,0,0.0
2005-07-25,117463.01319225773,24782.487035363116,5,-0.027088938927744537,1.7862232286108313,False,True,0,0.0
2005-07-26,119269.73350243428,24772.939075108952,5,-0.01212441412743472,1.7859213910403209,False,True,0,0.0
2005-07-27,119970.54400123053,24477.221718039775,5,-0.0063198100442884465,1.8603611283601664,False,True,0,0.0
2005-07-28,120063.32979698759,24836.45356463388,5,-0.005551293006038509,1.85732926738359,False,True,0,0.0
2005-07-29,119172.56973154718,25015.818582674598,5,-0.012929192626321206,1.8211445493612706,False,True,0,0.0
2005-08-01,119765.74677209661,25337.703194794733,5,-0.008016084335968864,1.8121391455516473,False,True,0,0.0
2005-08-02,121752.27003751691,25327.383614785016,5,0.0,1.8518061167419084,False,True,0,0.0
2005-08-03,122034.3659836643,24989.91231972962,5,0.0,2.0,False,True,0,0.0
2005-08-04,120909.93455744191,25120.875841403213,5,-0.009214055542132372,1.8737451040203157,False,True,0,0.0
2005-08-05,119815.67924180384,24987.055351747164,5,-0.01818083557018245,1.9655737133546327,False,True,0,0.0
2005-08-08,119848.57264324851,25316.350384916474,5,-0.017911293452439365,2.0,False,True,0,0.0
2005-08-09,120804.69436922093,25305.41367254393,5,-0.010076437112870153,1.9415951503663806,False,True,0,0.0
2005-08-10,119149.962806736,24779.254677928304,5,-0.023635991006946463,1.941821013101385,False,True,0,0.0
2005-08-11,120312.76741859216,24845.260185467312,5,-0.014107489732052994,1.941023563916619,False,True,0,0.0
2005-08-12,119507.96588747785,24716.07861019014,5,-0.020702365893592947,1.8600981597565243,False,True,0,0.0
2005-08-15,120042.51400499513,25409.264625488497,5,-0.016322057828659576,1.8322850904732135,False,True,0,0.0
2005-08-16,119023.6562613486,25401.488899987195,5,-0.024670999009563595,1.615712104832216,False,True,0,0.0
2005-08-17,118727.66266461693,25124.87277732031,5,-0.027096492798512298,1.6339870166972417,False,True,0,0.0
2005-08-18,117784.06134118016,24673.624909397822,5,-0.03482875178827165,1.674043454570079,False,True,0,0.0
2005-08-19,117632.74746092042,24591.45284510092,5,-0.03606868022187365,1.7355285202459838,False,True,0,0.0
2005-08-22,117758.7427567828,24784.25103197869,5,-0.03503622272642321,1.7449194360544755,False,True,0,0.0
2005-08-23,117849.95378969553,24775.21895303193,5,-0.034288801848889904,1.7451732067229966,False,True,0,0.0
2005-08-24,117771.10278799743,24818.042559873775,5,-0.03493493952545764,1.675353861949829,False,True,0,0.0
2005-08-25,118134.72880983728,24425.185818057387,5,-0.031955237710244964,1.722366694643885,False,True,0,0.0
2005-08-26,117666.96046341682,24365.016844907852,5,-0.0357883247480641,1.7196548676747918,False,True,0,0.0
2005-08-29,118819.61625325277,24802.033563200377,5,-0.026342987112678323,1.6165449618087568,False,True,0,0.0
2005-08-30,117831.54175038426,24793.85053165201,5,-0.0344396777039235,1.6580261650856174,False,True,0,0.0
2005-08-31,118564.5360873876,24917.63427219907,5,-0.028433219350204816,1.463844725178628,False,True,0,0.0
2005-09-01,118458.540577467,24598.72374610817,5,-0.029301790338927672,1.5165637892675274,False,True,0,0.0
2005-09-02,118382.66125910245,24704.96950853951,5,-0.029923576814834946,1.558674820926651,False,True,0,0.0
2005-09-06,120705.30874716745,25208.087636378732,5,-0.010890843950258761,1.4308264861304705,False,True,0,0.0
2005-09-07,122448.13592277133,25201.929471317206,5,0.0,1.4579870570645936,False,True,0,0.0
2005-09-08,123217.32209279142,25410.733004560796,5,0.0,1.4474918746498258,False,True,0,0.0
2005-09-09,124852.81365604419,25341.630281131107,5,0.0,1.3954982486910659,False,True,0,0.0
2005-09-12,123105.21964254003,25457.13471649293,5,-0.013997233721288731,1.426348675455161,False,True,0,0.0
2005-09-13,123173.17051993718,26261.659403039313,5,-0.013452985855282734,1.4276406883874027,False,True,0,0.0
2005-09-14,123182.33926001345,26253.92784116896,5,-0.013379549464000967,1.587720909609371,False,True,0,0.0
2005-09-15,123553.61838815446,25961.740983476535,5,-0.010405814893918822,1.5870537576221062,False,True,0,0.0
2005-09-16,122927.94718667575,25464.28224800068,5,-0.015417085230223457,1.539598767860086,False,True,0,0.0
2005-09-19,123476.34759208196,25791.05424441468,5,-0.011024710005769224,1.5260473653592699,False,True,0,0.0
2005-09-20,124319.69737418953,26240.102565708086,5,-0.004269958090999335,1.452191054772346,False,True,0,0.0
2005-09-21,122501.01713946111,26235.140256563354,5,-0.01883655199843573,1.3835152209007668,False,True,0,0.0
2005-09-22,123153.13665782448,26018.153790830336,5,-0.013613445692158275,1.4388353716522708,False,True,0,0.0
2005-09-23,124673.71556580203,26306.25859678583,5,-0.0014344738015720938,1.4487297514529562,False,True,0,0.0
2005-09-26,126113.41251069469,26234.64776923507,5,0.0,1.4968908974163369,False,True,0,0.0
2005-09-27,125769.90252743533,26607.675922502265,5,-0.002723818001754767,1.552586232084465,False,True,0,0.0
