date,value,cash,positions,drawdown,leverage,in_protection,risk_on,universe_size
2017-12-21,300634.64189403155,300676.5160048668,0,0.0,1.0,False,True,40
2017-12-22,300676.5160048668,300718.3959481675,0,0.0,1.0,False,True,40
2017-12-26,300718.3959481675,300760.281724746,0,0.0,1.0,False,True,40
2017-12-27,300760.281724746,300802.1733354148,0,0.0,1.0,False,True,40
2017-12-28,300802.1733354148,300844.0707809865,0,0.0,1.0,False,True,40
2017-12-29,300844.0707809865,300885.97406227386,0,0.0,1.0,False,True,40
2018-01-02,300885.97406227386,300928.3607768739,0,0.0,1.0,False,True,40
2018-01-03,300928.3607768739,300970.7534626183,0,0.0,1.0,False,True,40
2018-01-04,300970.7534626183,301013.1521203481,0,0.0,1.0,False,True,40
2018-01-05,301013.1521203481,301055.55675090477,0,0.0,1.0,False,True,40
2018-01-08,301055.55675090477,301097.9673551296,0,0.0,1.0,False,True,40
2018-01-09,301097.9673551296,301140.3839338641,0,0.0,1.0,False,True,40
2018-01-10,301140.3839338641,301182.80648795003,0,0.0,1.0,False,True,40
2018-01-11,301182.80648795003,301225.2350182291,0,0.0,1.0,False,True,40
2018-01-12,301225.2350182291,301267.66952554317,0,0.0,1.0,False,True,40
2018-01-16,301267.66952554317,301310.1100107343,0,0.0,1.0,False,True,40
2018-01-17,301310.1100107343,301352.5564746445,0,0.0,1.0,False,True,40
2018-01-18,301352.5564746445,301395.00891811616,0,0.0,1.0,False,True,40
2018-01-19,301395.00891811616,301437.46734199155,0,0.0,1.0,False,True,40
2018-01-22,301437.46734199155,301479.9317471131,0,0.0,1.0,False,True,40
2018-01-23,301479.9317471131,301522.40213432355,0,0.0,1.0,False,True,40
2018-01-24,301522.40213432355,301564.8785044655,0,0.0,1.0,False,True,40
2018-01-25,301564.8785044655,301607.3608583818,0,0.0,1.0,False,True,40
2018-01-26,301607.3608583818,301649.8491969154,0,0.0,1.0,False,True,40
2018-01-29,301649.8491969154,301692.34352090943,0,0.0,1.0,False,True,40
2018-01-30,301692.34352090943,301734.843831207,0,0.0,1.0,False,True,40
2018-01-31,301734.843831207,301777.3501286515,0,0.0,1.0,False,True,40
2018-02-01,301777.3501286515,301823.09574283764,0,0.0,1.0,False,True,40
2018-02-02,301823.09574283764,301868.848291478,0,0.0,1.0,False,True,40
2018-02-05,301868.848291478,301914.6077756238,0,0.0,0.784861100325957,False,True,40
2018-02-06,301914.6077756238,301960.3741963263,0,0.0,0.7300060157578506,False,True,40
2018-02-07,301960.3741963263,302006.147554637,0,0.0,0.7289723892154489,False,True,40
2018-02-08,302006.147554637,302051.92785160756,0,0.0,0.6176430439669353,False,True,40
2018-02-09,302051.92785160756,302097.7150882898,0,0.0,0.6031976583414571,False,True,40
2018-02-12,302097.7150882898,302143.50926573575,0,0.0,0.589920884931086,False,True,40
2018-02-13,302143.50926573575,302189.31038499746,0,0.0,0.5887973736269543,False,True,40
2018-02-14,302189.31038499746,302235.1184471272,0,0.0,0.5825497746895137,False,True,40
2018-02-15,302235.1184471272,302280.93345317757,0,0.0,0.5713138078310142,False,True,40
2018-02-16,302280.93345317757,302326.75540420105,0,0.0,0.5729594586856495,False,True,40
2018-02-20,302326.75540420105,302372.5843012504,0,0.0,0.5769606504201169,False,True,40
2018-02-21,302372.5843012504,302418.4201453786,0,0.0,0.5774903399924185,False,True,40
2018-02-22,302418.4201453786,302464.26293763873,0,0.0,0.5769797152674495,False,True,40
2018-02-23,302464.26293763873,302510.11267908406,0,0.0,0.5602230018267879,False,True,40
2018-02-26,302510.11267908406,302555.96937076794,0,0.0,0.5601758541263424,False,True,40
2018-02-27,302555.96937076794,302601.833013744,0,0.0,0.5553757162488472,False,True,40
2018-02-28,302601.833013744,302647.7036090659,0,0.0,0.5554849681301743,False,True,40
2018-03-01,302647.7036090659,302694.181649263,0,0.0,0.5480995945017937,False,True,40
2018-03-02,302694.181649263,302740.6668271592,0,0.0,0.5454988571066668,False,True,40
2018-03-05,302740.6668271592,302787.1591438505,0,0.0,0.558089045065164,False,True,40
2018-03-06,302787.1591438505,302833.6586004333,0,0.0,0.6821072439717503,False,True,40
2018-03-07,302833.6586004333,302880.1651980041,0,0.0,0.716052735279809,False,True,40
2018-03-08,302880.1651980041,302926.67893765954,0,0.0,0.7189729903926082,False,True,40
2018-03-09,302926.67893765954,302973.1998204964,0,0.0,0.9480543222898186,False,True,40
2018-03-12,302973.1998204964,303019.72784761165,0,0.0,0.9760119839363058,False,True,40
2018-03-13,303019.72784761165,303066.2630201025,0,0.0,0.9931091971093636,False,True,40
2018-03-14,303066.2630201025,303112.8053390663,0,0.0,0.9790045675099134,False,True,40
