date,value,cash,positions,drawdown,leverage,in_protection,risk_on,regime_score,universe_size
2018-12-04,529275.6477659771,291957.55081136856,2,-0.06386214419440633,0.6627991864947005,False,False,0.31862776617605937,40
2018-12-06,531798.8034707899,248486.9484584486,2,-0.059399400477900544,0.6669887280165837,False,False,0.3374075187049752,40
2018-12-07,529915.0422784359,218901.6418176131,2,-0.06273123743450998,0.6755472124028957,False,False,0.25295807867093373,40
2018-12-10,530673.8295318714,218936.56184142685,2,-0.06138915892505668,0.6734968710025618,False,False,0.25867485832174897,40
2018-12-11,533505.7470769342,218971.48743581586,2,-0.05638030346449796,0.6773111339144985,False,False,0.27063295502013557,40
2018-12-12,534411.292224751,219006.4186016687,2,-0.0547786520441266,0.7001310427112583,False,False,0.2872826656540307,40
2018-12-13,539169.6243461946,232132.80331554066,2,-0.04636251794050609,0.7001029987418809,False,False,0.3331198924167059,40
2018-12-14,523904.3966469028,222832.85537651612,2,-0.07336235741378891,0.6751515146374985,False,False,0.3029872475835046,40
2018-12-17,513518.3579029958,222868.40252249286,2,-0.09173230147048941,0.6639796373845007,False,False,0.26952038758790925,40
2018-12-18,514541.5988185944,222903.95533908575,2,-0.08992247976275689,0.6666015835536349,False,False,0.2819781034344132,40
2018-12-19,510286.15799005143,222939.51382719935,2,-0.09744914241869909,0.670897754753597,False,False,0.31826268283449277,40
2018-12-20,509827.6883223675,222975.07798773845,2,-0.09826004466494662,0.6765694046100293,False,False,0.3038371264536141,40
2018-12-21,509646.40916029655,191627.05130423576,2,-0.09858067586496429,0.6568493510509046,False,False,0.2908194942249088,40
2018-12-24,496350.9112310703,191657.62038146763,2,-0.12209662445596549,0.621511624252507,True,False,0.2505443826340343,40
2018-12-26,509434.2160165286,191688.19433519515,2,-0.09895598509270227,0.4924255047556167,False,False,0.16148896501370996,40
2018-12-27,514964.64230135735,191718.77316619625,2,-0.08917423634642398,0.4896880272585098,False,False,0.16541859849382076,40
2018-12-28,514568.6380370788,191749.35687524895,2,-0.08987465508742663,0.516953693501042,False,False,0.15249919322595193,40
2018-12-31,516532.8005067816,266164.44779517467,2,-0.08640061117363139,0.5102297873507898,False,False,0.16111927406152837,40
2019-01-02,515203.8517194397,248452.83602810418,2,-0.08875114302505667,0.5133563230538732,False,False,0.1641645750614272,40
2019-01-03,494965.6967913298,204379.40658225596,2,-0.12454667421911453,0.5133664511761591,True,False,0.12685981527688478,40
2019-01-04,500487.4445319141,204411.2800373301,2,-0.11478027534550626,0.4883099297223577,True,False,0.16842695000408353,40
2019-01-07,507477.378656188,204443.15846314546,2,-0.10241707297460588,0.48454938989972407,True,False,0.1788009163418881,40
2019-01-08,509944.4699679587,204475.0418604772,2,-0.09805349119935146,0.4964862772989479,False,False,0.20745683911003157,40
2019-01-09,519561.9156651294,224578.68902727726,2,-0.08104296930725612,0.4956749051878507,False,False,0.23267479989943615,40
2019-01-10,523556.16324320715,224613.71260854224,2,-0.07397828311003339,0.4950833542528781,False,False,0.3110179008981303,40
2019-01-11,523527.0077842444,224648.7416518181,2,-0.07402985081195515,0.4962072190607395,False,False,0.30753204342568546,40
2019-01-14,521004.45328556746,224683.77615795666,2,-0.07849153116606108,0.4952545587858262,False,False,0.29545511372007727,40
2019-01-15,525722.3428179129,224718.81612780987,2,-0.07014692848241304,0.5022318269787619,False,False,0.32239985600071114,40
2019-01-16,523615.129333943,225092.57336025612,2,-0.07387398889211555,0.5187898213963031,False,False,0.34112947839457486,40
2019-01-17,525925.5887211619,190935.29051160323,3,-0.06978744437451595,0.5177270225015481,False,False,0.42253902488218953,40
2019-01-18,518532.56365141453,128427.46661186089,4,-0.08286359980679925,0.5260463845273695,False,True,0.5492111652404161,40
2019-01-22,514828.05219361855,194887.71431038412,3,-0.08941582533908322,0.5304586154653128,False,False,0.46636779795591277,40
2019-01-23,515592.9829519084,194918.10751344918,3,-0.08806288071953065,0.5590072523040638,False,False,0.49568189241947347,40
2019-01-24,518562.5268487677,159101.38184370103,4,-0.08281060344575056,0.6178645537501907,False,True,0.5069997662519614,40
2019-01-25,518030.6425059048,234137.03779365116,3,-0.0837513553400913,0.8444641129394626,False,False,0.4724577615377561,40
2019-01-28,516331.4324979447,177325.66521582915,3,-0.086756773821235,0.8262178869421013,False,False,0.45212030372098655,40
2019-01-29,515464.24149392045,177353.31957552352,3,-0.0882905876864822,0.8261637650943934,False,False,0.45223832807627884,40
2019-01-30,519209.3764864885,177380.97824798114,3,-0.08166651069287122,0.805815326167312,False,False,0.4609591700585579,40
2019-01-31,518408.0751997022,170639.98593772732,3,-0.08308378441712556,0.8028868464264952,False,False,0.4683994668681932,40
2019-02-01,519550.85250434023,170884.35978444578,3,-0.08106253688733144,0.9590754591804816,False,False,0.48304760238413147,40
2019-02-04,524153.95437669655,177285.98184600103,3,-0.0729209608767388,1.0,False,False,0.47970390708253535,40
2019-02-05,525042.0848154335,106387.2883968465,4,-0.07135011111611939,1.0,False,True,0.5454008036130986,40
2019-02-06,528591.3712759499,106403.28870728397,4,-0.06507243438791148,1.0,False,True,0.5364842053887251,40
2019-02-07,524922.752938839,221246.37907372293,3,-0.07156117521392157,1.0,False,False,0.48230049018479326,40
2019-02-08,526481.2637475536,202971.28498614032,3,-0.06880461353783067,1.0,False,False,0.48981757533625814,40
2019-02-11,529407.6442622317,116102.03897451707,4,-0.06362867999196442,1.0,False,True,0.5100437133109592,40
2019-02-12,534352.6299579246,111777.06655677526,4,-0.05488240888409333,1.0,False,True,0.5138986296644281,40
2019-02-13,533953.7472310895,111793.87747273757,4,-0.055587918805423374,1.0,False,True,0.5437511750047926,40
2019-02-14,532593.1641216024,111810.69091700827,4,-0.05799440276163161,1.0,False,True,0.5451152325462811,40
2019-02-15,535324.1838718356,148832.55338930315,4,-0.05316400675921357,1.0,False,True,0.5401197851595525,40
2019-02-19,534119.2725061605,132731.2359629263,4,-0.05529515174398634,1.0,False,True,0.5385330627657515,40
2019-02-20,534008.1223173211,123688.72022832441,4,-0.05549174476671789,1.0,False,True,0.5508508773115155,40
2019-02-21,530008.1413209934,123707.32261918415,4,-0.06256657174765054,1.0,False,True,0.5368939977318044,40
2019-02-22,531492.6489452707,123725.92780778442,4,-0.0599409006248929,1.0,False,True,0.5937971548222107,40
2019-02-25,534565.3921219836,135039.8322879981,4,-0.054506093221546925,1.0,False,True,0.5908956341063725,40
