date,value,cash,positions,drawdown,leverage,in_protection,risk_on,protection_stage
2005-11-11,119271.87947510598,25465.60846594993,5,-0.04770288086397076,1.0871684031341136,False,True,0
2005-11-14,119789.14866654125,27779.367514596142,5,-0.04357287165317058,1.0856814632397687,False,True,0
2005-11-15,119948.36176105292,27779.162589743843,5,-0.04230167368178423,1.1401962688343767,False,True,0
2005-11-16,120975.38148191094,24693.929484825992,5,-0.03410168617615334,1.248504366265107,False,True,0
2005-11-17,121973.60815627626,24929.431853819446,5,-0.0261315897005525,1.5091921292299662,False,True,0
2005-11-18,123021.17592109554,25253.430603064728,5,-0.017767541368897057,1.5091457441209866,False,True,0
2005-11-21,124026.82198817373,26603.014961473313,5,-0.009738206568744716,1.7022862027930368,False,True,0
2005-11-22,124747.1655612259,26593.66434404047,5,-0.003986799678666195,1.7282950363300744,False,True,0
2005-11-23,124451.80332646883,25903.572901180367,5,-0.00634504712557971,1.7689494856421355,False,True,0
2005-11-25,125756.6533099541,26241.84655597888,5,0.0,2.0,False,True,0
2005-11-28,124385.58722287964,25863.16511939448,5,-0.010902533193970871,2.0,False,True,0
2005-11-29,122730.71236078789,25998.809556363733,5,-0.024061875610733145,2.0,False,True,0
2005-11-30,122550.09547373219,25987.313618838205,5,-0.025498116813896625,2.0,False,True,0
2005-12-01,126403.19815099085,26056.459050189413,5,0.0,2.0,False,True,0
2005-12-02,127469.23440213471,26611.730485299293,5,0.0,2.0,False,True,0
2005-12-05,126849.73959700989,27002.388056437416,5,-0.004859955486752704,2.0,False,True,0
2005-12-06,126837.07324404083,26617.484052785956,5,-0.0049593234089691084,2.0,False,True,0
2005-12-07,126395.39075128685,26606.069122298293,5,-0.008424335926111744,1.9400307185918328,False,True,0
2005-12-08,125453.91703429483,25716.812350245153,5,-0.015810225716756356,1.9302568740129886,False,True,0
2005-12-09,127063.54757584326,26307.265682881436,5,-0.0031826254248268743,2.0,False,True,0
2005-12-12,127772.30549406385,26749.80389157167,5,0.0,2.0,False,True,0
2005-12-13,127887.33015989378,27028.55698442372,5,0.0,1.9683977665428263,False,True,0
2005-12-14,127535.79051826433,27016.59003009443,5,-0.00274882305534046,2.0,False,True,0
2005-12-15,128138.92866409587,27064.11278370637,5,0.0,1.9719662994577194,False,True,0
2005-12-16,129018.9486341459,26288.290644585086,5,0.0,2.0,False,True,0
2005-12-19,128200.15383954249,27432.91331662928,5,-0.006346314268342366,2.0,False,True,0
2005-12-20,130243.47401975958,27579.00489667971,5,0.0,2.0,False,True,0
2005-12-21,132111.35245444885,27566.558697263077,5,0.0,2.0,False,True,0
2005-12-22,133662.70497558202,27858.68023009766,5,0.0,2.0,False,True,0
2005-12-23,133434.55946873303,27544.319331209957,5,-0.001706874830123085,2.0,False,True,0
2005-12-27,133656.82744379775,28693.402571145114,5,-4.397286277679473e-05,1.9908634653858792,False,True,0
2005-12-28,133770.45467220803,28159.802547011306,5,0.0,1.9830647714543068,False,True,0
2005-12-29,132099.66468130896,28147.426881739302,5,-0.012489977663551942,2.0,False,True,0
2005-12-30,131819.28740126317,27641.007546038487,5,-0.014585935853518731,2.0,False,True,0
2006-01-03,136562.09306966024,23578.41849671187,5,0.0,1.609742384962635,False,True,0
2006-01-04,137101.41064254515,26118.44093665793,5,0.0,1.5945928653511776,False,True,0
2006-01-05,137407.77476471456,27575.638993879256,5,0.0,1.5968084710963841,False,True,0
2006-01-06,139790.33956623537,27566.651933309335,5,0.0,1.5837932061222473,False,True,0
2006-01-09,138563.58327807309,35670.58410884715,5,-0.00877568716099317,1.5862140074605242,False,True,0
2006-01-10,141705.15591705608,28770.827293205268,5,0.0,1.588054607899933,False,True,0
2006-01-11,143879.58726571954,28894.14309189797,5,0.0,1.5842717642315278,False,True,0
2006-01-12,143510.2100539302,28662.077639990264,5,-0.0025672662732008386,1.5917966131154906,False,True,0
2006-01-13,142588.15986603778,28652.74919271941,5,-0.008975751350306087,1.6006032573638818,False,True,0
2006-01-17,141981.91623232324,25390.55775267848,5,-0.013189299951852402,1.6020546698212916,False,True,0
2006-01-18,141427.64749578468,27602.161323101853,5,-0.01704160969968988,1.5944083221620227,False,True,0
2006-01-19,143603.18007217292,27592.270327686925,5,-0.0019211008232609531,1.626927200163563,False,True,0
2006-01-20,140117.2194499873,26889.924541738368,5,-0.026149420409330514,1.306333740795534,False,True,0
2006-01-23,143033.98992310363,26885.265889499617,5,-0.005877118211732515,1.2999944278481126,False,True,0
2006-01-24,144406.25367775315,26203.975714917127,5,0.0,1.316990278491095,False,True,0
2006-01-25,143210.90930934757,26680.985146864557,5,-0.00827764960285604,1.316677259812498,False,True,0
2006-01-26,143997.70953294035,26674.75940246873,5,-0.0028291305563848718,1.377786684469021,False,True,0
2006-01-27,144563.39921923238,28474.683793272314,5,0.0,1.328488645950882,False,True,0
2006-01-30,146835.06175477093,28469.0398084117,5,0.0,1.3483786312588517,False,True,0
2006-01-31,147304.68138261797,27720.016456237427,5,0.0,1.3280412477358998,False,True,0
2006-02-01,145886.29881823558,27350.558765339883,5,-0.009628903515280708,1.533617505764449,False,True,0
2006-02-02,142720.49505147967,26809.917395821543,5,-0.03112043886257129,1.4190620928886986,False,True,0
2006-02-03,140734.79908649134,34917.9714748702,5,-0.04460063478268978,1.4015648530992109,False,True,0
2006-02-06,140533.0881930029,37202.24211992734,5,-0.04596997954210374,1.46096269385873,False,True,0
2006-02-07,138523.06297811252,33274.347014326035,5,-0.05961533823691288,1.4177905536096667,False,True,0
2006-02-08,138921.47237292322,30547.251513166164,5,-0.056910676096706685,1.341431650452612,False,True,0
2006-02-09,135642.9851531373,28037.708984498506,5,-0.079167180024577,1.3536495727707236,False,True,0
2006-02-10,137593.17231207274,30983.85719641427,5,-0.06592804097868403,1.354459748582636,False,True,0
2006-02-13,134638.3760957459,32881.751534948664,5,-0.0859871198117042,1.3537737967607535,False,True,0
2006-02-14,135576.56188403504,32653.192967688658,5,-0.0796181043840665,1.274226418956408,False,True,0
2006-02-15,135415.87662577353,31134.916654457138,5,-0.08070894044408375,1.2761773458414474,False,True,0
2006-02-16,138681.7364521124,30133.06577453081,5,-0.0585381594771439,1.2526834413902608,False,True,0
2006-02-17,137530.98989350355,30539.278043576884,5,-0.06635017568605071,1.5216417218428304,False,True,0
2006-02-21,137627.94531901358,32356.50287223091,5,-0.06569197918747373,1.516159655506514,False,True,0
2006-02-22,138205.59734479245,32686.126852118465,5,-0.06177050146961059,1.4899966065881458,False,True,0
2006-02-23,137499.16375709936,32530.75034321802,5,-0.06656623220309728,1.4839910146664155,False,True,0
2006-02-24,137137.79367122217,31271.138807429066,5,-0.06901944741992089,1.5023485449869545,False,True,0
2006-02-27,136840.55728584673,31060.652413497948,5,-0.07103728135829639,1.5835643053112947,False,True,0
2006-02-28,135020.259584009,30923.275974290777,5,-0.08339464627536632,1.4853918607410403,False,True,0
2006-03-01,136998.46604209713,31708.477508698445,5,-0.06996529400006547,1.4717003536805495,False,True,0
2006-03-02,138484.92580985834,32564.027728272773,5,-0.0598742381435297,1.51144340760957,False,True,0
2006-03-03,137231.03956010615,32071.998651109538,5,-0.06838643366904237,1.6521430701613762,False,True,0
2006-03-06,135068.40203086898,31285.241720619208,5,-0.08306782402906632,1.6577863974974985,False,True,0
2006-03-07,134186.908964662,31127.760183299866,5,-0.08905197238017908,1.656315113450781,False,True,0
2006-03-08,133484.33420440272,30718.218285656396,5,-0.09382150688284953,1.79515886547652,False,True,0
2006-03-09,132390.50482398525,25342.025651246444,5,-0.10124713226115165,1.8217334442736526,False,True,0
2006-03-10,132956.0026619878,28000.592712757745,5,-0.09740816507630241,1.7022234634264628,False,True,0
2006-03-13,131582.98384306487,27991.001623381915,5,-0.10672910997795534,1.7020930787645048,False,True,0
2006-03-14,133592.66016758617,29052.499865010206,5,-0.09308611977792731,1.5995142600815924,False,True,0
2006-03-15,133992.40934834816,29607.403429298785,5,-0.09037236229914326,1.7000898069799415,False,True,0
2006-03-16,133323.0265321076,25235.99917615054,5,-0.09491656829421191,1.70710100880567,False,True,0
2006-03-17,134038.69019555836,25225.08122224687,5,-0.09005817780225012,1.7736497185795206,False,True,0
2006-03-20,134576.97039730134,25213.996411771885,5,-0.08640398163760266,1.7844790908758994,False,True,0
2006-03-21,134180.7094410747,27125.509945978254,5,-0.08909405877912521,1.7226242125127857,False,True,0
2006-03-22,135025.4853325496,28316.6361866943,5,-0.083359170494885,1.7222025264146215,False,True,0
2006-03-23,135502.2504451485,22276.075434986316,5,-0.0801225787713639,1.7178793302572637,False,True,0
2006-03-24,136628.2329751461,22265.06692694885,5,-0.07247867689785252,1.7237699692614563,False,True,0
2006-03-27,136326.53360567565,22254.148739389377,5,-0.07452680847546879,1.7181620947704865,False,True,0
2006-03-28,134868.36153590202,24277.00064132228,5,-0.08442582903671006,1.8082674241629955,False,True,0
2006-03-29,135547.16684568586,26515.59457958641,5,-0.07981765702606858,1.8763409660065586,False,True,0
2006-03-30,134970.76427752525,27118.186852252475,5,-0.08373065261283769,1.8675404209160862,False,True,0
2006-03-31,133736.4981275495,27106.153362518064,5,-0.09210965413804911,1.9202770172153245,False,True,0
2006-04-03,134500.76306355887,27093.5551672094,5,-0.08692132659247562,1.9766972619975567,False,True,0
2006-04-04,135583.68573490507,26014.868671657197,5,-0.07956974305024352,1.9276530711724311,False,True,0
2006-04-05,137562.61680050133,26176.591755747762,5,-0.06613547166781496,1.9190617807138906,False,True,0
2006-04-06,136009.91960920562,21928.449459520416,5,-0.0766761902432324,2.0,False,True,0
2006-04-07,133573.76443564266,21915.741606919142,5,-0.093214396298172,1.929024113593946,False,True,0
2006-04-10,134507.60467187964,21902.91184266551,5,-0.08687488130467788,1.9305711109585344,False,True,0
2006-04-11,133299.52150153965,23727.262478667246,5,-0.09507613573190168,2.0,False,True,0
2006-04-12,133577.8019882182,24374.252580752676,5,-0.09318698676483161,2.0,False,True,0
2006-04-13,131204.3353900627,21369.88244891398,5,-0.10929962199052765,2.0,False,True,0
2006-04-17,130517.79502590444,21356.88680005568,5,-0.11396030458197229,2.0,False,True,0
2006-04-18,133476.06424732212,21347.35857160633,5,-0.09387764873118032,1.612319979054602,False,True,0
2006-04-19,135767.70845195962,22578.705101858555,5,-0.07832047713875111,1.665927744451485,False,True,0
2006-04-20,135654.1010092657,23293.750012755558,5,-0.07909171836223157,1.7103143155415714,False,True,0
2006-04-21,135698.5778156088,22791.14402289934,5,-0.07878978086828616,1.7190125518255488,False,True,0
2006-04-24,135599.25315279793,22780.426057651923,5,-0.07946406129086735,1.7122211330373729,False,True,0
2006-04-25,134820.19079167128,22770.042047884468,5,-0.08475284338397046,1.6889748021200732,False,True,0
2006-04-26,135311.9929152693,22368.64670255578,5,-0.0814141706481014,1.751572894879694,False,True,0
2006-04-27,135343.10758944228,22709.10956614191,5,-0.08120294399949166,1.7753401783494378,False,True,0
2006-04-28,135101.10575844801,22628.035345029988,5,-0.08284580985224536,1.7707968913309755,False,True,0
2006-05-01,135895.78650877386,22617.847011774127,5,-0.07745099997338147,1.6613743597355306,False,True,0
2006-05-02,138199.72320653737,22608.206857051347,5,-0.06181037894125606,1.5993799021869954,False,True,0
2006-05-03,136702.4701475497,22759.41238721896,5,-0.07197470667975213,1.622818622447447,False,True,0
2006-05-04,135913.25062293495,23243.9063454739,5,-0.07733244220592173,1.6215968048187395,False,True,0
2006-05-05,137191.63914970116,22930.3734380411,5,-0.06865390928512712,1.5412859910835786,False,True,0
2006-05-08,136306.14079530726,22919.89613179444,5,-0.07466524813792198,1.6860626022535568,False,True,0
2006-05-09,137422.88553406723,22909.318282434113,5,-0.06708405840058249,1.6852890084697545,False,True,0
2006-05-10,137486.6916606194,23176.231879897736,5,-0.06665090090719343,1.8331474613754597,False,True,0
2006-05-11,135061.55958886066,23190.977996049478,5,-0.08311427497647746,1.5801000526635156,False,True,0
2006-05-12,132543.69392907675,23090.191403307683,5,-0.100207184965155,1.4041081109122924,False,True,0
2006-05-15,131406.12868344955,23083.96716594182,5,-0.10792971784700153,1.4020583670269129,False,True,0
2006-05-16,130915.85613560997,23074.246319254307,5,-0.11125800682762207,1.6666022403555572,False,True,0
2006-05-17,128791.22225822812,22532.145905452435,5,-0.12568140367719804,1.3539851735188173,False,True,0
2006-05-18,127861.81360373786,21869.776024490817,5,-0.13199083421101906,1.3529629808730204,False,True,0
2006-05-19,129190.65542747373,21631.161481879033,5,-0.12296979149015495,1.3023956184791925,False,True,0
2006-05-22,128836.05962400424,21627.02577275268,5,-0.12537701847127475,1.279991301732554,False,True,0
2006-05-23,128328.56803874698,21623.231341946062,5,-0.12882220147899648,1.2633048724943283,False,True,0
2006-05-24,126882.5615641731,21709.321290593252,5,-0.13863863406621302,1.2119991006975854,False,True,0
2006-05-25,128585.49767295893,21889.20902919535,5,-0.12707799598735578,1.1397368451662095,False,True,0
2006-05-26,130013.92524013977,23890.2762936596,5,-0.11738090045873126,1.1316339366376102,False,True,0
2006-05-30,128047.58838850995,23891.746681844263,5,-0.13072967412412714,1.0471776182437094,False,True,0
2006-05-31,129180.67526589918,23893.953807494716,5,-0.12303754331909127,1.0211503581903767,False,True,0
2006-06-01,130075.19527106505,22985.99850828474,5,-0.1169649596322063,0.9890170474905309,False,True,0
2006-06-02,130215.03264789763,22670.953311910616,5,-0.11601565255302826,0.9921566325650062,False,True,0
2006-06-05,128155.74290615134,25693.462883797773,5,-0.129995450903071,0.973517283929575,False,True,0
2006-06-06,127535.02750874808,25696.52162937918,5,-0.13420927080055933,0.9736783357983786,False,True,0
2006-06-07,127247.0843701825,23791.96505092139,5,-0.13616401613426435,0.9714612393263923,False,True,0
2006-06-08,126317.73972625742,23794.797427713165,5,-0.1424730121227296,0.9718130369601478,False,True,0
2006-06-09,125568.77095440717,22910.04640383466,5,-0.14755749935572415,0.9981658496891191,False,True,0
2006-06-12,123527.56143544397,88327.76654489165,2,-0.1614145573921978,0.3,True,True,1
2006-06-13,122925.68868444907,88338.28175519462,2,-0.16550046114858669,0.3,True,False,1
2006-06-14,124175.1756501435,88348.79821730833,2,-0.15701813082502458,0.3,True,False,1
2006-06-15,125068.48965544846,88359.31593138182,2,-0.15095373424970726,0.3,True,False,1
2006-06-16,125401.28222668555,88369.83489756413,2,-0.14869452179214335,0.3,True,False,1
2006-06-19,124994.83750991215,89375.04813871879,2,-0.1514537329248682,0.3,True,False,1
2006-06-20,124946.55320394847,89385.68802540198,2,-0.15178151820304453,0.3,True,False,1
2006-06-21,125122.27149336893,89396.32917873834,2,-0.1505886281484234,0.3,True,False,1
2006-06-22,124991.06714684755,89406.97159887866,2,-0.15147932860199947,0.3,True,False,1
2006-06-23,124769.35944767702,89417.61528597376,2,-0.15298442468645215,0.3,True,False,1
2006-06-26,124810.7359900276,89241.66797641393,2,-0.15270353380123236,0.3,True,False,1
2006-06-27,124058.65400129133,89252.29198450636,2,-0.15780915557561961,0.3,True,False,1
2006-06-28,124761.06930389717,89262.91725736165,2,-0.1530407035752291,0.3,True,False,1
2006-06-29,125420.44327133626,89273.54379513039,2,-0.14856444415665435,0.3,True,False,1
2006-06-30,125330.14421230674,89284.17159796314,2,-0.14917745290954643,0.3,True,False,1
2006-07-03,125248.4880600722,89555.8732916779,2,-0.14973178798883996,0.3,True,True,1
2006-07-05,124713.72781816151,89566.534705165,2,-0.15336208837638615,0.3,True,True,1
2006-07-06,124765.98240708209,89577.197387868,2,-0.1530073502348002,0.3,True,True,1
2006-07-07,124967.56362733737,89587.86133993798,2,-0.15163888578164628,0.3,True,True,1
2006-07-10,124808.34892913418,89598.52656152607,2,-0.15271973872337752,0.3,True,True,1
