date,symbol,action,shares,price,cost,stop_price,proceeds,pnl_pct
2000-03-01 00:00:00-05:00,ADBE,BUY,267,24.91622543334961,6659.28482289505,23.670414161682128,,
2000-03-01 00:00:00-05:00,TXN,BUY,133,50.052364349365234,6663.621422924041,47.54974613189697,,
2000-03-01 00:00:00-05:00,AAPL,BUY,6816,0.9770510196685791,6666.239329811096,0.9281984686851501,,
2000-03-01 00:00:00-05:00,ABT,BUY,847,7.856908321380615,6661.45614955759,7.464062905311584,,
2000-03-01 00:00:00-05:00,JPM,BUY,256,25.925092697143555,6643.460554199218,24.628838062286377,,
2000-03-01 00:00:00-05:00,TMO,BUY,473,14.053718566894531,6654.056291023254,13.351032638549803,,
2000-03-01 00:00:00-05:00,DIS,BUY,253,26.221342086791992,6640.6335475063315,24.910274982452393,,
2000-03-01 00:00:00-05:00,DHR,BUY,1616,4.120913982391357,6666.056392539977,3.9148682832717894,,
2000-03-01 00:00:00-05:00,BAC,BUY,563,11.817117691040039,6659.690297315597,11.226261806488036,,
2000-03-01 00:00:00-05:00,VZ,BUY,471,14.124363899230957,6659.227971934318,13.418145704269408,,
2000-03-01 00:00:00-05:00,XOM,BUY,395,16.85370635986328,6663.871226158141,16.011021041870116,,
2000-03-01 00:00:00-05:00,CVX,BUY,462,14.406203269958496,6662.321576631545,13.68589310646057,,
2000-03-01 00:00:00-05:00,HD,BUY,205,32.35626983642578,6639.668351783752,30.73845634460449,,
2000-03-01 00:00:00-05:00,COST,BUY,214,31.023271560668945,6645.619094097136,29.472107982635496,,
2000-03-01 00:00:00-05:00,KO,BUY,540,12.316848754882812,6657.7494259643545,11.70100631713867,,
2000-03-02 00:00:00-05:00,ADBE,SELL_STOP_LOSS,267,20.013662338256836,,,5338.304196470261,-0.19676186941746168
2000-03-02 00:00:00-05:00,AAPL,SELL_STOP_LOSS,6816,0.9147268533706665,,,6228.543454341889,-0.06378803669746262
2000-03-02 00:00:00-05:00,TMO,SELL_PROFIT_TARGET_2,473,16.396007537841797,,,7747.556253833771,0.1666668476245746
2000-03-02 00:00:00-05:00,TXN,BUY_ADD,29,52.67864990234375,,,,
2000-03-02 00:00:00-05:00,ABT,BUY_ADD,197,7.784294128417969,,,,
2000-03-02 00:00:00-05:00,JPM,BUY_ADD,60,25.470584869384766,,,,
2000-03-02 00:00:00-05:00,DIS,BUY_ADD,59,26.079601287841797,,,,
2000-03-02 00:00:00-05:00,DHR,BUY_ADD,383,4.015249252319336,,,,
2000-03-02 00:00:00-05:00,BAC,BUY_ADD,131,11.687438011169434,,,,
2000-03-02 00:00:00-05:00,VZ,BUY_ADD,108,14.204710006713867,,,,
2000-03-02 00:00:00-05:00,XOM,BUY_ADD,90,17.06142807006836,,,,
2000-03-02 00:00:00-05:00,CVX,BUY_ADD,106,14.489974021911621,,,,
2000-03-02 00:00:00-05:00,HD,BUY_ADD,48,32.0654182434082,,,,
2000-03-02 00:00:00-05:00,COST,BUY_ADD,46,33.108177185058594,,,,
2000-03-02 00:00:00-05:00,KO,BUY_ADD,128,11.984784126281738,,,,
2000-03-03 00:00:00-05:00,TXN,SELL_PROFIT_TARGET_1,81,57.131980895996094,,,4623.062762123108,0.13082248033165567
2000-03-06 00:00:00-05:00,ABT,SELL_STOP_LOSS,1044,7.261471271514893,,,7573.395031454086,-0.07417055350084997
