date,value,cash,positions,drawdown,leverage,in_protection,risk_on
2005-01-18,121754.62990494879,24476.826767083134,5,-0.0870684043215753,1.630138406771294,False,True
2005-01-19,120491.42477502604,17855.83212016678,5,-0.0965400759600981,1.5113679486760792,False,True
2005-01-20,119232.6226316229,17847.764166662873,5,-0.10597873344948973,1.5601381972121486,False,True
2005-01-21,119564.42792912676,17839.766967721254,5,-0.10349081541350841,1.5516287009649838,False,True
2005-01-24,118479.67572900926,22587.124845867438,5,-0.11162442444128876,1.5581230889029272,False,True
2005-01-25,118844.40404783387,22579.932027159473,5,-0.10888964543244448,1.536530539406017,False,True
2005-01-26,119945.58401918093,18891.090844523427,5,-0.10063285890074704,1.5683306230578127,False,True
2005-01-27,120124.09149511276,18882.992933429567,5,-0.09929438729625689,1.5667169268972003,False,True
2005-01-28,120201.05430888955,18874.91907942942,5,-0.09871731039623267,1.5640073813494486,False,True
2005-01-31,122315.17127666112,21096.738914966503,5,-0.08286539430609899,1.504271949772319,False,True
2005-02-01,123338.46685438011,23382.1784317205,5,-0.07519259479656917,1.4688544404907955,False,True
2005-02-02,126123.76521712069,35799.72120870376,5,-0.05430807581998194,1.6135052710741433,False,True
2005-02-03,125709.2748138944,35791.97096585394,5,-0.05741597722386429,1.670235536469897,False,True
2005-02-04,127356.85640633226,30282.365648601415,5,-0.045062202313054474,1.567979727202721,False,True
2005-02-07,126226.67563677703,30275.076813276988,5,-0.053536440493242035,1.5684651844444029,False,True
2005-02-08,127290.63987559717,30267.46076526161,5,-0.045558702225307994,1.5877330814327157,False,True
2005-02-09,125819.46753196773,19663.11097119065,5,-0.0565897383036576,1.5770188752264116,False,True
2005-02-10,125747.34360386987,22930.576731268404,5,-0.0571305326275891,1.5749481093075153,False,True
2005-02-11,126346.88217346862,22922.029209784643,5,-0.05263511669604021,1.5995778535063674,False,True
2005-02-14,127971.3192012533,22913.14901371416,5,-0.04045488265473658,1.6154061393040295,False,True
2005-02-15,129870.23659332053,24392.876639244656,5,-0.02621656016831597,1.7291039921257456,False,True
2005-02-16,130020.4953644027,30148.99336483526,5,-0.025089900921305707,1.9713669333587203,False,True
2005-02-17,128346.80853950628,30138.10040032353,5,-0.03763941616283277,1.9006147931447728,False,True
2005-02-18,127822.98840338629,30126.469435439543,5,-0.04156708571502838,2.0,False,True
2005-02-22,126801.8803556615,27404.402799989104,5,-0.049223482848321974,1.6005851374610045,False,True
2005-02-23,126960.71048689797,26159.706056638603,5,-0.0480325544600979,1.5602298318321903,False,True
2005-02-24,128612.50654446031,20082.209685079375,5,-0.03564717895739245,1.5317909757009558,False,True
2005-02-25,129258.35358006484,20074.873070068596,5,-0.030804536297816203,1.4620608187996964,False,True
2005-02-28,128939.71777131068,20068.384638817086,5,-0.03319370784351688,1.4067894128634282,False,True
2005-03-01,129322.80853011206,20061.733503401272,5,-0.030321244940091904,1.4155551671864333,False,True
2005-03-02,128687.31724161947,20054.8100331677,5,-0.03508623889963327,1.4365224562649404,False,True
2005-03-03,127780.84931028516,30256.70854135506,5,-0.04188304995832069,1.440297956341082,False,True
2005-03-04,128076.32061768578,30252.391263418507,5,-0.03966756877002406,1.350740218894898,False,True
2005-03-07,128252.97192291354,30246.983430102642,5,-0.03834301496795382,1.4184391629044437,False,True
2005-03-08,127494.27003252646,23004.73064665494,5,-0.044031857585076835,1.4042161151289867,False,True
2005-03-09,125760.43617944366,23000.497392858706,5,-0.05703236284201753,1.3034615676461112,False,True
2005-03-10,126317.45777872382,20894.3941398996,5,-0.05285574452487276,1.346208922813125,False,True
2005-03-11,126106.79078885847,20889.724405851593,5,-0.05443535222738631,1.3129246384313604,False,True
2005-03-14,126533.49020998119,20884.629278264358,5,-0.051235906065012604,1.3362513276242305,False,True
2005-03-15,126347.03508613526,21328.48234653614,5,-0.05263397013754903,1.2912184262414572,False,True
2005-03-16,126783.17855348147,21324.733522835428,5,-0.04936371132357263,1.2630697419650976,False,True
2005-03-17,127576.97222638367,27180.15374861577,5,-0.043411746088182504,1.2596835861585636,False,True
2005-03-18,128577.78008555254,27176.499336706358,5,-0.0359075623331021,1.2903894222659937,False,True
2005-03-21,128490.16172261086,27172.916947795864,5,-0.03656453588682669,1.286712187676465,False,True
2005-03-22,127821.58771166627,32487.36127849279,5,-0.04157758827848742,1.3633649092415963,False,True
2005-03-23,127191.80623879211,32482.426954928695,5,-0.046299769319229515,1.409665390294779,False,True
2005-03-24,126885.01548575863,28128.181188356215,5,-0.0486001251408101,1.455251450248315,False,True
2005-03-28,127710.4451209631,28120.4185074022,5,-0.04241094946366535,1.5757257636714022,False,True
2005-03-29,127056.18621995018,28112.720627907776,5,-0.04731666535270241,1.575003694288936,False,True
2005-03-30,128215.75156571547,25238.352261976965,5,-0.03862209790808577,1.3858847544590127,False,True
2005-03-31,127522.92221208448,25232.90469882217,5,-0.04381701992326481,1.385693878117963,False,True
2005-04-01,127305.01083103381,21161.064199182212,5,-0.04545094698603345,1.3796284699887778,False,True
2005-04-04,127818.93274073457,21152.750833081864,5,-0.04159749558592248,1.5525633036689241,False,True
2005-04-05,128937.16538982597,21144.865851514503,5,-0.03321284592231878,1.51247594699765,False,True
2005-04-06,129526.24252139496,25508.689294515934,5,-0.02879587117465794,1.4926514913318552,False,True
2005-04-07,130803.1668836018,25500.547956398437,5,-0.019221330999387217,1.5597654883882062,False,True
2005-04-08,130014.09509726227,20599.838299858,5,-0.025137890932838268,1.475056930766022,False,True
2005-04-11,128417.68299786418,20591.98667169479,5,-0.03710799052085078,1.5082043425453793,False,True
2005-04-12,129681.1320302264,20583.842768471757,5,-0.027634490071025745,1.5223284084230362,False,True
2005-04-13,128740.0439111966,19378.381594699284,5,-0.03469088767044854,1.4592591457835018,False,True
2005-04-14,126310.19582807965,23334.590635633052,5,-0.05291019554816851,1.384693079055595,False,True
2005-04-15,124502.10788786563,21739.43887216943,5,-0.06646746733056515,1.2864627187219166,False,True
2005-04-18,121645.30055866877,25087.002548347507,5,-0.08788816957101032,1.2722692076530555,False,True
2005-04-19,124525.26429913692,25084.54204685416,5,-0.0662938376336198,1.2250349123750202,False,True
2005-04-20,122584.85797624929,22537.140205059863,5,-0.0808432493644201,1.1828172506349237,False,True
2005-04-21,124746.53681939126,22834.081044068942,5,-0.06463470832450621,1.0231789327482266,False,True
2005-04-22,124522.31449012342,36585.35790408222,5,-0.0663159556742376,1.0207021074310954,False,True
2005-04-25,124346.52616860987,32953.29577817846,5,-0.06763403871540231,1.006487279374457,False,True
2005-04-26,124111.37197600758,32957.21878958062,5,-0.06939725455738284,0.992551821894468,False,True
2005-04-27,124841.4637695761,32959.55945068405,5,-0.0639229340603752,1.0562381990219731,False,True
2005-04-28,124049.11951895985,28809.06604166434,5,-0.06986403134436703,1.015098672020112,False,True
2005-04-29,125518.51009301419,24542.478575471203,5,-0.058846355199373535,0.9573266013281845,False,True
2005-05-02,126248.02079792788,28229.977512135192,5,-0.05337639177850592,0.9488686826300312,False,True
2005-05-03,126291.65497732894,28233.33822374378,5,-0.053049217189269915,0.9547351727869332,False,True
2005-05-04,127576.54583758216,25970.364988360896,5,-0.0434149432052798,0.9416699037723493,False,True
2005-05-05,127270.09208183795,25973.45669847856,5,-0.04571277217861427,0.9505161842311359,False,True
