date,value,cash,active_pairs,qualifying_pairs,gross_exposure
2000-01-03,100000.0,100011.90476190476,0,0,0.0
2000-01-04,100011.90476190476,100023.81094104309,0,0,0.0
2000-01-05,100023.81094104309,100035.71853758369,0,0,0.0
2000-01-06,100035.71853758369,100047.6275516953,0,0,0.0
2000-01-07,100047.6275516953,100059.53798354669,0,0,0.0
2000-01-10,100059.53798354669,100071.44983330663,0,0,0.0
2000-01-11,100071.44983330663,100083.36310114393,0,0,0.0
2000-01-12,100083.36310114393,100095.2777872274,0,0,0.0
2000-01-13,100095.2777872274,100107.19389172588,0,0,0.0
2000-01-14,100107.19389172588,100119.11141480823,0,0,0.0
2000-01-18,100119.11141480823,100131.03035664333,0,0,0.0
2000-01-19,100131.03035664333,100142.95071740008,0,0,0.0
2000-01-20,100142.95071740008,100154.87249724739,0,0,0.0
2000-01-21,100154.87249724739,100166.7956963542,0,0,0.0
2000-01-24,100166.7956963542,100178.72031488948,0,0,0.0
2000-01-25,100178.72031488948,100190.6463530222,0,0,0.0
2000-01-26,100190.6463530222,100202.57381092137,0,0,0.0
2000-01-27,100202.57381092137,100214.50268875601,0,0,0.0
2000-01-28,100214.50268875601,100226.43298669514,0,0,0.0
2000-01-31,100226.43298669514,100238.36470490784,0,0,0.0
2000-02-01,100238.36470490784,100250.2978435632,0,0,0.0
2000-02-02,100250.2978435632,100262.23240283028,0,0,0.0
2000-02-03,100262.23240283028,100274.16838287824,0,0,0.0
2000-02-04,100274.16838287824,100286.1057838762,0,0,0.0
2000-02-07,100286.1057838762,100298.04460599333,0,0,0.0
2000-02-08,100298.04460599333,100309.98484939881,0,0,0.0
2000-02-09,100309.98484939881,100321.92651426184,0,0,0.0
2000-02-10,100321.92651426184,100333.86960075163,0,0,0.0
2000-02-11,100333.86960075163,100345.81410903743,0,0,0.0
2000-02-14,100345.81410903743,100357.7600392885,0,0,0.0
2000-02-15,100357.7600392885,100369.70739167414,0,0,0.0
2000-02-16,100369.70739167414,100381.65616636362,0,0,0.0
2000-02-17,100381.65616636362,100393.60636352628,0,0,0.0
2000-02-18,100393.60636352628,100405.55798333147,0,0,0.0
2000-02-22,100405.55798333147,100417.51102594854,0,0,0.0
2000-02-23,100417.51102594854,100429.46549154687,0,0,0.0
2000-02-24,100429.46549154687,100441.42138029587,0,0,0.0
2000-02-25,100441.42138029587,100453.37869236495,0,0,0.0
2000-02-28,100453.37869236495,100465.33742792356,0,0,0.0
2000-02-29,100465.33742792356,100477.29758714116,0,0,0.0
2000-03-01,100477.29758714116,100489.25917018724,0,0,0.0
2000-03-02,100489.25917018724,100501.22217723132,0,0,0.0
2000-03-03,100501.22217723132,100513.18660844289,0,0,0.0
2000-03-06,100513.18660844289,100525.15246399152,0,0,0.0
2000-03-07,100525.15246399152,100537.11974404675,0,0,0.0
2000-03-08,100537.11974404675,100549.08844877819,0,0,0.0
2000-03-09,100549.08844877819,100561.05857835543,0,0,0.0
2000-03-10,100561.05857835543,100573.03013294809,0,0,0.0
2000-03-13,100573.03013294809,100585.00311272581,0,0,0.0
2000-03-14,100585.00311272581,100596.97751785828,0,0,0.0
2000-03-15,100596.97751785828,100608.95334851516,0,0,0.0
2000-03-16,100608.95334851516,100620.93060486618,0,0,0.0
2000-03-17,100620.93060486618,100632.90928708104,0,0,0.0
2000-03-20,100632.90928708104,100644.8893953295,0,0,0.0
2000-03-21,100644.8893953295,100656.87092978133,0,0,0.0
2000-03-22,100656.87092978133,100668.8538906063,0,0,0.0
2000-03-23,100668.8538906063,100680.83827797424,0,0,0.0
2000-03-24,100680.83827797424,100692.82409205494,0,0,0.0
2000-03-27,100692.82409205494,100704.81133301828,0,0,0.0
2000-03-28,100704.81133301828,100716.80000103412,0,0,0.0
2000-03-29,100716.80000103412,100728.79009627234,0,0,0.0
2000-03-30,100728.79009627234,100740.78161890284,0,0,0.0
2000-03-31,100740.78161890284,100752.77456909556,0,0,0.0
2000-04-03,100752.77456909556,100764.76894702045,0,0,0.0
2000-04-04,100764.76894702045,100776.76475284748,0,0,0.0
2000-04-05,100776.76475284748,100788.76198674663,0,0,0.0
2000-04-06,100788.76198674663,100800.76064888791,0,0,0.0
2000-04-07,100800.76064888791,100812.76073944135,0,0,0.0
2000-04-10,100812.76073944135,100824.762258577,0,0,0.0
2000-04-11,100824.762258577,100836.76520646493,0,0,0.0
2000-04-12,100836.76520646493,100848.76958327522,0,0,0.0
2000-04-13,100848.76958327522,100860.77538917799,0,0,0.0
2000-04-14,100860.77538917799,100872.78262434337,0,0,0.0
2000-04-17,100872.78262434337,100884.7912889415,0,0,0.0
2000-04-18,100884.7912889415,100896.80138314256,0,0,0.0
2000-04-19,100896.80138314256,100908.81290711675,0,0,0.0
2000-04-20,100908.81290711675,100920.82586103426,0,0,0.0
2000-04-24,100920.82586103426,100932.84024506534,0,0,0.0
2000-04-25,100932.84024506534,100944.85605938022,0,0,0.0
2000-04-26,100944.85605938022,100956.8733041492,0,0,0.0
2000-04-27,100956.8733041492,100968.89197954255,0,0,0.0
2000-04-28,100968.89197954255,100980.91208573058,0,0,0.0
2000-05-01,100980.91208573058,100992.93362288365,0,0,0.0
2000-05-02,100992.93362288365,101004.95659117209,0,0,0.0
2000-05-03,101004.95659117209,101016.98099076627,0,0,0.0
2000-05-04,101016.98099076627,101029.0068218366,0,0,0.0
2000-05-05,101029.0068218366,101041.0340845535,0,0,0.0
2000-05-08,101041.0340845535,101053.06277908737,0,0,0.0
2000-05-09,101053.06277908737,101065.09290560869,0,0,0.0
2000-05-10,101065.09290560869,101077.12446428793,0,0,0.0
2000-05-11,101077.12446428793,101089.15745529559,0,0,0.0
2000-05-12,101089.15745529559,101101.19187880217,0,0,0.0
2000-05-15,101101.19187880217,101113.22773497822,0,0,0.0
2000-05-16,101113.22773497822,101125.26502399429,0,0,0.0
2000-05-17,101125.26502399429,101137.30374602096,0,0,0.0
2000-05-18,101137.30374602096,101149.34390122881,0,0,0.0
2000-05-19,101149.34390122881,101161.38548978849,0,0,0.0
2000-05-22,101161.38548978849,101173.4285118706,0,0,0.0
2000-05-23,101173.4285118706,101185.47296764582,0,0,0.0
2000-05-24,101185.47296764582,101197.51885728483,0,0,0.0
2000-05-25,101197.51885728483,101209.56618095831,0,0,0.0
2000-05-26,101209.56618095831,101221.614938837,0,0,0.0
2000-05-30,101221.614938837,101233.66513109162,0,0,0.0
2000-05-31,101233.66513109162,101245.71675789294,0,0,0.0
2000-06-01,101245.71675789294,101257.76981941174,0,0,0.0
2000-06-02,101257.76981941174,101269.82431581881,0,0,0.0
2000-06-05,101269.82431581881,101281.88024728498,0,0,0.0
2000-06-06,101281.88024728498,101293.93761398108,0,0,0.0
2000-06-07,101293.93761398108,101305.99641607798,0,0,0.0
2000-06-08,101305.99641607798,101318.05665374656,0,0,0.0
2000-06-09,101318.05665374656,101330.11832715772,0,0,0.0
2000-06-12,101330.11832715772,101342.18143648238,0,0,0.0
2000-06-13,101342.18143648238,101354.24598189148,0,0,0.0
2000-06-14,101354.24598189148,101366.31196355599,0,0,0.0
2000-06-15,101366.31196355599,101378.37938164688,0,0,0.0
2000-06-16,101378.37938164688,101390.44823633517,0,0,0.0
2000-06-19,101390.44823633517,101402.51852779188,0,0,0.0
2000-06-20,101402.51852779188,101414.59025618805,0,0,0.0
2000-06-21,101414.59025618805,101426.66342169474,0,0,0.0
2000-06-22,101426.66342169474,101438.73802448304,0,0,0.0
2000-06-23,101438.73802448304,101450.81406472405,0,0,0.0
2000-06-26,101450.81406472405,101462.8915425889,0,0,0.0
2000-06-27,101462.8915425889,101474.97045824873,0,0,0.0
2000-06-28,101474.97045824873,101487.05081187471,0,0,0.0
2000-06-29,101487.05081187471,101499.13260363803,0,0,0.0
2000-06-30,101499.13260363803,101511.2158337099,0,0,0.0
2000-07-03,101511.2158337099,101523.30050226153,0,0,0.0
2000-07-05,101523.30050226153,101535.38660946417,0,0,0.0
2000-07-06,101535.38660946417,101547.47415548911,0,0,0.0
2000-07-07,101547.47415548911,101559.56314050761,0,0,0.0
2000-07-10,101559.56314050761,101571.653564691,0,0,0.0
2000-07-11,101571.653564691,101583.7454282106,0,0,0.0
2000-07-12,101583.7454282106,101595.83873123777,0,0,0.0
2000-07-13,101595.83873123777,101607.93347394388,0,0,0.0
2000-07-14,101607.93347394388,101620.0296565003,0,0,0.0
2000-07-17,101620.0296565003,101632.12727907844,0,0,0.0
2000-07-18,101632.12727907844,101644.22634184976,0,0,0.0
2000-07-19,101644.22634184976,101656.3268449857,0,0,0.0
2000-07-20,101656.3268449857,101668.42878865772,0,0,0.0
2000-07-21,101668.42878865772,101680.53217303733,0,0,0.0
2000-07-24,101680.53217303733,101692.63699829602,0,0,0.0
2000-07-25,101692.63699829602,101704.74326460533,0,0,0.0
2000-07-26,101704.74326460533,101716.85097213683,0,0,0.0
2000-07-27,101716.85097213683,101728.96012106209,0,0,0.0
2000-07-28,101728.96012106209,101741.07071155269,0,0,0.0
2000-07-31,101741.07071155269,101753.18274378026,0,0,0.0
2000-08-01,101753.18274378026,101765.29621791642,0,0,0.0
2000-08-02,101765.29621791642,101777.41113413284,0,0,0.0
2000-08-03,101777.41113413284,101789.52749260119,0,0,0.0
2000-08-04,101789.52749260119,101801.64529349317,0,0,0.0
2000-08-07,101801.64529349317,101813.7645369805,0,0,0.0
2000-08-08,101813.7645369805,101825.8852232349,0,0,0.0
2000-08-09,101825.8852232349,101838.00735242815,0,0,0.0
2000-08-10,101838.00735242815,101850.130924732,0,0,0.0
2000-08-11,101850.130924732,101862.25594031828,0,0,0.0
2000-08-14,101862.25594031828,101874.3823993588,0,0,0.0
2000-08-15,101874.3823993588,101886.51030202539,0,0,0.0
2000-08-16,101886.51030202539,101898.63964848992,0,0,0.0
2000-08-17,101898.63964848992,101910.77043892426,0,0,0.0
2000-08-18,101910.77043892426,101922.90267350031,0,0,0.0
2000-08-21,101922.90267350031,101935.03635239002,0,0,0.0
2000-08-22,101935.03635239002,101947.1714757653,0,0,0.0
2000-08-23,101947.1714757653,101959.30804379813,0,0,0.0
2000-08-24,101959.30804379813,101971.44605666048,0,0,0.0
2000-08-25,101971.44605666048,101983.58551452437,0,0,0.0
2000-08-28,101983.58551452437,101995.72641756182,0,0,0.0
2000-08-29,101995.72641756182,102007.86876594486,0,0,0.0
2000-08-30,102007.86876594486,102020.01255984556,0,0,0.0
2000-08-31,102020.01255984556,102032.15779943603,0,0,0.0
2000-09-01,102032.15779943603,102044.30448488834,0,0,0.0
2000-09-05,102044.30448488834,102056.45261637463,0,0,0.0
2000-09-06,102056.45261637463,102068.60219406706,0,0,0.0
2000-09-07,102068.60219406706,102080.75321813779,0,0,0.0
2000-09-08,102080.75321813779,102092.905688759,0,0,0.0
2000-09-11,102092.905688759,102105.05960610289,0,0,0.0
