date,value,cash,active_pairs,qualifying_pairs,gross_exposure
2014-06-18,167500.17287270146,4198.033721201752,10,26,354813.0155563763
2014-06-19,167257.56325537115,4193.338306784454,10,26,354813.0155563763
2014-06-20,167706.70909294958,4188.6713260408615,10,26,354813.0155563763
2014-06-23,168225.69160667917,2149.8005790165334,10,26,350212.1032222647
2014-06-24,167365.5032900222,2145.2289323987275,10,26,350212.1032222647
2014-06-25,167400.3722519009,2743.030656721534,10,26,348870.364525712
2014-06-26,167271.13736608514,2738.2337867421047,10,26,348870.364525712
2014-06-27,166793.26754983593,2733.4072253507597,10,26,348870.364525712
2014-06-30,165470.18818109937,4111.035391605677,10,26,347171.10841369734
2014-07-01,164924.56172777116,4106.280333869642,10,26,347171.10841369734
2014-07-02,165132.00879802456,4101.525455368974,10,26,347171.10841369734
2014-07-03,164846.08572023947,4096.745034749342,10,26,347171.10841369734
2014-07-07,163764.01336528864,4091.932789164516,10,26,347171.10841369734
2014-07-08,163678.0357851141,4087.146626792835,10,26,347171.10841369734
2014-07-09,163965.19039698763,4082.3536838015993,10,26,347171.10841369734
2014-07-10,163587.9589435982,4077.563267895646,10,26,347171.10841369734
2014-07-11,164289.00087311387,4072.7688635960753,10,26,347171.10841369734
2014-07-14,163577.1992857576,4067.9096978923935,10,26,347171.10841369734
2014-07-15,164157.9391186958,164107.9216291213,0,30,0.0
2014-07-16,164107.9216291213,164127.4582864581,0,30,0.0
2014-07-17,164127.4582864581,164146.99726958745,0,30,0.0
2014-07-18,164146.99726958745,164166.53857878622,0,30,0.0
2014-07-21,164166.53857878622,164186.0822143313,0,30,0.0
2014-07-22,164186.0822143313,164205.62817649968,0,30,0.0
2014-07-23,164205.62817649968,164225.1764655683,0,30,0.0
2014-07-24,164225.1764655683,164244.7270818142,0,30,0.0
2014-07-25,164244.7270818142,164264.28002551442,0,30,0.0
2014-07-28,164264.28002551442,164283.83529694602,0,30,0.0
2014-07-29,164283.83529694602,164303.39289638613,0,30,0.0
2014-07-30,164303.39289638613,164322.95282411188,0,30,0.0
2014-07-31,164322.95282411188,164342.51508040048,0,30,0.0
2014-08-01,164342.51508040048,164362.0796655291,0,30,0.0
