date,value,cash,long_positions,short_positions,drawdown,leverage,in_protection,risk_on
2021-12-06,114339.3348067203,114557.73787121719,0,10,-0.037481241054063974,0.9798529360502034,False,True
2021-12-07,114013.10314007851,114556.45475505962,0,10,-0.04022748843634684,0.8752950859671131,False,True
2021-12-08,114164.51540947623,114555.1807279131,0,10,-0.03895288639430918,0.8763882863120305,False,True
2021-12-09,114120.97818675582,114553.90418510017,0,10,-0.03931938663372054,0.8803741562350035,False,True
2021-12-10,114136.39311683639,114552.62863582729,0,10,-0.03918962237196869,0.8650863682693382,False,True
2021-12-13,114290.75134652448,114551.36235046983,0,10,-0.03789022097240989,0.8585951118369085,False,True
2021-12-14,114179.80938188946,114550.08953679813,0,10,-0.038824140365032206,0.8504376190999483,False,True
2021-12-15,114085.5063201093,114548.81118561166,0,10,-0.039617991983487685,0.8114982306484624,False,True
2021-12-16,113799.90771412819,114547.5159106005,0,10,-0.042022186622631866,0.800323173793605,False,True
2021-12-17,114365.2327552447,114546.2543629891,0,10,-0.03726322980434768,0.7872548215987939,False,True
2021-12-20,114550.01479597027,114545.0038894008,0,10,-0.03570771803916792,0.7744148828241169,False,True
2021-12-21,114326.85267592939,114543.74020678597,0,10,-0.03758631674877727,0.7319100703172041,False,True
2021-12-22,114257.07105499011,114542.47244572242,0,10,-0.03817374468245596,0.7207919154539137,False,True
2021-12-23,114163.26219900433,114541.19917626036,0,10,-0.03896343603228066,0.7175567992599713,False,True
2021-12-27,114021.34040058986,114539.91753486203,0,10,-0.04015814643975485,0.7643940240246496,False,True
2021-12-28,113981.28645142597,114538.63358558825,0,10,-0.04049532417045691,0.778004098954151,False,True
2021-12-29,113989.00398610989,114537.3501721171,0,10,-0.04043035727241918,0.8514647012396428,False,True
2021-12-30,114012.70994104694,114536.06824610835,0,10,-0.040230798421003744,0.8826389311449143,False,True
2021-12-31,114030.07575260803,114534.78743008398,0,10,-0.04008461146425677,0.9117869647951505,False,True
2022-01-03,113633.06910950317,32760.330217868657,5,10,-0.0434266489359679,0.9383519100427228,False,True
2022-01-04,112714.65438296719,32759.014539861793,5,10,-0.05115794634361317,0.9580692299162097,False,True
2022-01-05,109999.56103255521,18690.368521527827,5,10,-0.07401384529106182,0.9481121277604441,False,True
2022-01-06,109535.61696007002,18689.051400482713,5,10,-0.07791936803722459,0.9493957361973206,False,True
2022-01-07,106421.25064911634,18687.71824170987,5,10,-0.1041363825195057,0.9572204079145883,False,True
2022-01-10,106914.64334855606,21780.208852620744,5,10,-0.09998295859465538,0.9809845736165291,False,True
2022-01-11,107906.67824263357,21778.868495462804,5,10,-0.09163192002431003,0.9808341326325943,False,True
2022-01-12,108768.26624998997,21499.976225185677,5,10,-0.08437899502728052,0.9965957044242646,False,True
2022-01-13,106644.37965142507,21498.449253749717,5,10,-0.10225806259793113,1.007406133193371,False,True
2022-01-14,106236.85928051895,21496.38576586633,5,10,-0.10568860557172748,1.030437681010687,False,True
2022-01-18,104330.17604818575,23767.600429464186,5,10,-0.12173923575591251,0.9718927221426945,False,True
2022-01-19,102488.91801254591,21249.422414798064,5,10,-0.13723911077581796,0.9732750116668689,False,True
2022-01-20,99994.06947796527,48609.53616234528,2,0,-0.15824096914172395,0.5,True,True
2022-01-21,77321.37961482929,48609.53616234528,2,0,-0.3491017026410158,0.5,True,True
2022-01-24,76821.27032478558,48609.53616234528,2,0,-0.3533116674270092,0.5,True,True
2022-01-25,75894.24521080493,44067.01087821069,2,0,-0.3611154478471829,0.5,True,True
2022-01-26,76045.07878531773,44067.01087821069,2,0,-0.3598457173105058,0.5,True,True
2022-01-27,73223.89555062437,36773.04679719718,2,0,-0.38359469040367916,0.5,True,False
