date,value,c_alloc,r_alloc,efa_alloc,recycled_pct
2018-11-21,797163.6760430213,0.75,0.15110828990227992,0.1004076131208494,0.4211525326676223
2018-11-23,794628.0981815136,0.7499999999999999,0.13056063133383689,0.11903053020456512,0.4218978804626705
2018-11-26,798606.7685976174,0.75,0.14543833648517274,0.10560692091084385,0.4220199165664272
2018-11-27,793582.1104742925,0.75,0.13469172682984504,0.11559426433012837,0.4221728739200912
2018-11-28,802169.5357644917,0.75,0.1432124261404288,0.10714947818624063,0.42266246833225923
2018-11-29,799218.9094245706,0.75,0.13645943437490274,0.11338420832161282,0.42247432333718327
2018-11-30,802789.4386255309,0.7500000000000001,0.1414946457808991,0.10756007608154126,0.4226102670405373
2018-12-03,808215.8185646451,0.75,0.1371277339147221,0.11359693081731331,0.42197542675490585
2018-12-04,804371.6323068411,0.75,0.11359693081731331,0.13349928884711476,0.42203341233395486
2018-12-06,806383.0135519535,0.75,0.13349928884711476,0.11512212064889629,0.421000550921919
2018-12-07,803152.9519612676,0.7500000000000001,0.11512212064889629,0.13405220212815494,0.42025669282868344
2018-12-10,803307.8322752856,0.75,0.13405220212815494,0.11502856980081708,0.420103284197361
2018-12-11,806820.2725518917,0.7500000000000001,0.14203661127602143,0.10783220092467304,0.41969460012060955
2018-12-12,810061.2558462032,0.6660059143214561,0.19891869242853888,0.136515051173161,0.33538349119523325
2018-12-13,814061.6759956662,0.6494891578648763,0.22233202016695267,0.12732027167039286,0.3196305895356863
2018-12-14,797038.7073418443,0.656543962665928,0.21358616816689893,0.1309327677114665,0.3253837814138488
2018-12-17,784631.3826370271,0.6557570839938351,0.21513029132914618,0.13011301924984367,0.3271002748445389
2018-12-18,785955.2613766578,0.6553092328961406,0.2149623278789041,0.1296146739426154,0.32807381428648963
2018-12-19,779561.3406156385,0.652915246876049,0.21670282748869593,0.1301896856865347,0.32558007647631443
2018-12-20,776617.7805575869,0.6566841399012586,0.2139152405053318,0.12936109410983312,0.32939356544366444
2018-12-21,774733.9444304252,0.6523969323798605,0.21717321791711514,0.12847044008062056,0.32416102207381187
2018-12-24,756869.8462944909,0.75,0.15158453448860298,0.09956570803112451,0.4210829486534373
2018-12-26,774474.5495801494,0.7500000000000001,0.09956570803112451,0.15042591793014456,0.42210286308728
2018-12-27,781019.4132109869,0.75,0.15042591793014456,0.09902801916360694,0.4211097761103344
2018-12-28,781204.2909892696,0.7499999999999999,0.09902801916360694,0.15173773168721622,0.42032532508750775
2018-12-31,783572.5826525992,0.75,0.15173773168721622,0.09811552022333839,0.4206568025980388
2019-01-02,781826.7749197001,0.75,0.09811552022333839,0.1519128717204568,0.42039888075321635
2019-01-03,758114.3384155232,0.7500000000000001,0.1519128717204568,0.10024116270723377,0.42051278605011144
2019-01-04,767942.9516710996,0.75,0.10024116270723377,0.1523691937625656,0.42355471878699896
2019-01-07,776288.6808831121,0.75,0.1523691937625656,0.09695198026969375,0.4241376143613176
2019-01-08,779898.5515008884,0.7499999999999999,0.09695198026969375,0.15332753439941954,0.42313874905474885
2019-01-09,791791.305089226,0.75,0.15332753439941954,0.09629013480483256,0.42306999802308537
2019-01-10,796842.9107301178,0.75,0.09629013480483256,0.15333431318164403,0.4219072864745728
2019-01-11,796297.6993175923,0.75,0.15333431318164403,0.09607071679809408,0.4214809429856822
2019-01-14,792866.78739325,0.75,0.09607071679809408,0.15388608565403716,0.4212743184911297
2019-01-15,798667.5075971762,0.75,0.15388608565403716,0.09591844741148528,0.42144262972693114
2019-01-16,796618.2690864259,0.75,0.09591844741148528,0.1549079469198455,0.42087534060352105
2019-01-17,799541.4008567907,0.7499999999999999,0.1549079469198455,0.09508474527316689,0.42135129229810986
2019-01-18,792370.4921123743,0.75,0.09508474527316689,0.15789415234444712,0.4211079700453432
2019-01-22,787011.1548849614,0.75,0.15789415234444712,0.09129905812076534,0.4227966470147945
2019-01-23,788468.8702905921,0.75,0.09129905812076534,0.15913319181317967,0.4229220106995374
2019-01-24,791971.3760813818,0.7499999999999999,0.15913319181317967,0.0905681020159635,0.42304163653164695
2019-01-25,792808.5136726508,0.75,0.0905681020159635,0.16107715019987617,0.4226128351919887
2019-01-28,790487.7938433046,0.75,0.16107715019987617,0.08869619371482829,0.42329397100811367
2019-01-29,789789.133588282,0.75,0.08869619371482829,0.1618120709002101,0.42340961080020606
2019-01-30,794872.303570646,0.75,0.1618120709002101,0.08858546226808292,0.4236697052591823
2019-01-31,794022.0634570923,0.75,0.08858546226808292,0.16166474419354895,0.4234007625161011
2019-02-01,795327.7286182628,0.75,0.16166474419354895,0.08816210994900764,0.4235556232892299
2019-02-04,801093.3314575185,0.75,0.08816210994900764,0.16126285841109525,0.4233731053191348
2019-02-05,802680.6188478331,0.75,0.16126285841109525,0.08925169583570014,0.42285088154270195
2019-02-06,806107.2737539423,0.75,0.08925169583570014,0.1592568206671615,0.42294458562542836
2019-02-07,800952.1649931114,0.75,0.1592568206671615,0.09011069411322126,0.4221333571310162
2019-02-08,802332.6271951464,0.75,0.09011069411322126,0.15910111819275033,0.42231329417571917
2019-02-11,805622.0236232748,0.75,0.15910111819275033,0.0904401652487343,0.4219058617944632
2019-02-12,812768.1754548856,0.75,0.0904401652487343,0.15999476023903694,0.4214292628935183
2019-02-13,812340.2953099557,0.75,0.15999476023903694,0.09006701925052588,0.4212761116299496
2019-02-14,810837.986028103,0.75,0.09006701925052588,0.1602804119113792,0.42134847900943245
2019-02-15,815027.4718128765,0.75,0.1602804119113792,0.09055365455200899,0.42157855619806817
2019-02-19,814150.6277671794,0.75,0.09055365455200899,0.1602201966819053,0.42159132520950193
2019-02-20,814245.1258869302,0.7500000000000001,0.1602201966819053,0.09002242515360091,0.42197760814175833
2019-02-21,809415.1104261399,0.75,0.09002242515360091,0.1606055245521699,0.42208393066176364
2019-02-22,811368.6733754431,0.75,0.1606055245521699,0.08947227286900161,0.42259806834965463
2019-02-25,815281.350237305,0.75,0.08947227286900161,0.1602306994655259,0.4224715493795432
2019-02-26,813759.3456776665,0.7499999999999999,0.1602306994655259,0.09037073403761949,0.4221589473582432
2019-02-27,813928.2806725014,0.75,0.09037073403761949,0.15895399631468435,0.422561199472529
2019-02-28,818351.4410742264,0.75,0.15895399631468435,0.09042727506388186,0.4222628938320459
2019-03-01,817370.9613190053,0.75,0.09042727506388186,0.16063417808191235,0.42162531472300063
2019-03-04,814187.1032173975,0.7500000000000001,0.16063417808191235,0.08938208928274922,0.42214226558377493
2019-03-05,815208.8499486318,0.75,0.08938208928274922,0.1605661246036951,0.422432363356053
2019-03-06,809822.9991093318,0.7500000000000001,0.1605661246036951,0.089805111632409,0.42236545819724236
2019-03-07,803634.5961289956,0.7500000000000001,0.089805111632409,0.15936919810580955,0.42300253167033336
2019-03-08,802498.1195109726,0.75,0.15936919810580955,0.09077345027496479,0.4229487423581613
2019-03-11,806026.278630614,0.7499999999999999,0.09077345027496479,0.15990329316448365,0.42311765003720336
2019-03-12,796858.9539942323,0.7499999999999999,0.15990329316448365,0.0910762775572778,0.42324411715785454
2019-03-13,800581.859262635,0.75,0.12296158478462983,0.12753463375201418,0.4244807380100632
2019-03-14,798268.2449776909,0.75,0.1519024835664873,0.09836659544371587,0.4244978817703821
2019-03-15,814136.742960968,0.75,0.12890259459120645,0.12002528864562573,0.42467696109162845
2019-03-18,815814.5322805326,0.75,0.14582577291732013,0.10432662420660753,0.4232936012497838
2019-03-19,821052.34542398,0.75,0.13331213761974842,0.1161737614446259,0.4230093531698724
2019-03-20,823073.3776708221,0.75,0.1429551366945819,0.10683085791284998,0.42245534772611104
2019-03-21,830359.6099510434,0.75,0.13526803852638833,0.11365587344963683,0.4223051181327563
2019-03-22,818054.17330314,0.75,0.14011826363194652,0.10939134402876141,0.42121407790698356
2019-03-25,817706.0714107692,0.75,0.10939134402876141,0.14086538426293277,0.4215791325682
2019-03-26,820529.7682041378,0.75,0.14086538426293277,0.10929946608278149,0.4217118918213463
2019-03-27,815956.2352553378,0.75,0.10929946608278149,0.1415547620890258,0.4215791763003894
2019-03-28,818103.7987166968,0.75,0.1415547620890258,0.10789328321610615,0.4222272379954989
2019-03-29,820875.2614888626,0.75,0.10789328321610615,0.14221898954791545,0.4218309670557314
2019-04-01,829905.9341826759,0.7500000000000001,0.14221898954791545,0.1079724200793895,0.4217263036321802
2019-04-02,829128.9442713982,0.75,0.1079724200793895,0.14220393098933284,0.4211400468618471
2019-04-03,831387.8909346056,0.75,0.14220393098933284,0.10833755287310688,0.4212673812799133
2019-04-04,826177.0681137211,0.75,0.10833755287310688,0.14225457592169993,0.42134276518128766
2019-04-05,828991.5155946334,0.75,0.14225457592169993,0.10765585983047221,0.42190735829384096
2019-04-08,830973.8776589138,0.75,0.10765585983047221,0.14209031028936991,0.42166428774900067
2019-04-09,829312.6074442575,0.75,0.14209031028936991,0.1074408024459873,0.42144633110232854
2019-04-10,834532.8595214685,0.75,0.1074408024459873,0.1422051281950406,0.42137303994990793
2019-04-11,833072.4532252289,0.75,0.1422051281950406,0.10775521374055612,0.42092898470779977
2019-04-12,841992.3885123432,0.75,0.13759853814231587,0.11198601382851779,0.42102840432498767
2019-04-15,842155.4608948557,0.75,0.11198601382851779,0.1380495672211177,0.4209498408789646
2019-04-16,845436.4858522725,0.75,0.1380495672211177,0.11159984679883804,0.420955405700938
2019-04-17,844780.1501822064,0.7500000000000001,0.11159984679883804,0.1389032916324005,0.4205737284336863
2019-04-18,844796.070504776,0.6496793245842695,0.22293100211176448,0.12731090246412682,0.32051797314591657
2019-04-22,846909.581130527,0.656497144830734,0.21338610096103205,0.12957790203766942,0.3268095300755433
2019-04-23,850555.8322217473,0.6531852927131185,0.21691643581184125,0.1295940067727107,0.3230954801187373
2019-04-24,849031.0415129355,0.6527557493976962,0.21725146306901397,0.12932800685618065,0.3227673160748812
2019-04-25,852136.9941867664,0.6514093477277735,0.21824469878941538,0.12977280803384922,0.3214244475196848
2019-04-26,852954.5710802528,0.650086722297023,0.21950404690478934,0.1308157765127843,0.3199370662695713
2019-04-29,853499.0078530698,0.5424431016228193,0.3286879242088557,0.1293100443019858,0.21279797931919073
2019-04-30,856047.1526602972,0.543468761762441,0.3275347820273329,0.1286895914070058,0.21294201167289845
2019-05-01,850106.2133323658,0.75,0.15231170731962362,0.09781104823352817,0.4188125732805436
2019-05-02,848541.0320482497,0.75,0.1273443360047023,0.12269679459114084,0.41925343646486124
2019-05-03,855912.7203388574,0.75,0.14786890695526977,0.10233610015523967,0.41933523271684964
2019-05-06,851812.8776702716,0.75,0.13143342403983418,0.11778562458475055,0.4191680688790029
2019-05-07,841959.1102859911,0.7500000000000001,0.1435330464661184,0.1058264328155749,0.4190600420909466
2019-05-08,839918.3351478255,0.7500000000000001,0.1333420988531638,0.11708509771595679,0.41934234786438357
2019-05-09,839301.4918217578,0.75,0.11708509771595679,0.13240010151981602,0.4193972740503919
2019-05-10,842867.3826051587,0.7500000000000001,0.13240010151981602,0.11796913942286193,0.41920832639728683
2019-05-13,826530.7074697339,0.75,0.11796913942286193,0.1315078762952309,0.41913105147958973
2019-05-14,831037.0801633251,0.75,0.1552235575876966,0.09520793826515309,0.4199353010262822
2019-05-15,835684.2266376946,0.75,0.12685480918126127,0.12289741324198701,0.419769838268657
2019-05-16,846312.7350085643,0.75,0.14913171133201572,0.10040226965936863,0.41965714474880317
2019-05-17,844217.7251596497,0.75,0.10040226965936863,0.14897991264417612,0.4187944741841126
2019-05-20,839096.4930790897,0.75,0.14897991264417612,0.10122865043504624,0.4186312835915365
2019-05-21,845528.9447653864,0.75,0.13132672716292199,0.11855548518508241,0.41913305164275755
2019-05-22,838354.3316925905,0.6689989537060923,0.2005775933557332,0.1310129597802262,0.3378099424554346
2019-05-23,826482.8567215417,0.6571962757892508,0.21465218537909678,0.1288065070972861,0.32450458714517294
2019-05-24,827939.7652506619,0.6590356564321619,0.2122688719027476,0.12985214826062969,0.32713850003727873
2019-05-28,828223.080862259,0.659831166632997,0.21212278974719645,0.12675739152317445,0.32733693269549885
2019-05-29,826274.7227743166,0.6580311737549727,0.21257774269787133,0.12886724855925613,0.32447362833221255
2019-05-30,828370.7541531983,0.6553060811222369,0.21550584912194065,0.12934639099548906,0.321822268125175
2019-05-31,820561.0867346082,0.6559329457099613,0.21512768361778273,0.1289865371255212,0.3227504080339927
2019-06-03,813550.856403572,0.6556464603695209,0.21511144579851818,0.1311165129855842,0.32318736559404904
2019-06-04,826944.2592147256,0.5418959377427844,0.32970631085538377,0.1277641973094789,0.21141300566909904
2019-06-05,833690.699823915,0.6538361553010384,0.21578258903983252,0.12928609174745648,0.323514434907948
2019-06-06,836342.415508446,0.75,0.15353635356440845,0.09654550925438202,0.4183249947704787
2019-06-07,848211.7146711799,0.7499999999999999,0.12810034664246847,0.12171623988821392,0.4181568071044423
2019-06-10,849842.9387014201,0.7500000000000001,0.12171623988821392,0.1283890888639562,0.4176226600566439
2019-06-11,849711.5069307412,0.75,0.1283890888639562,0.122240279773073,0.4175653580428389
2019-06-12,849521.3570448528,0.7499999999999999,0.122240279773073,0.12684060973308162,0.41785990151758534
2019-06-13,849350.6138722191,0.75,0.12684060973308162,0.12329685068765651,0.4174714333096341
2019-06-14,849992.712203727,0.7500000000000001,0.12329685068765651,0.12568157489647855,0.41755038092540114
2019-06-17,851108.8825489755,0.75,0.12568157489647855,0.12424494949732333,0.4170627669823102
2019-06-18,854831.3075308981,0.7499999999999999,0.12424494949732333,0.12687477612385506,0.41696361569271334
2019-06-19,858158.5579292813,0.75,0.12687477612385506,0.1234063375119584,0.4172271223508887
2019-06-20,867900.5430039584,0.75,0.1234063375119584,0.12626899271413355,0.41714026446893604
2019-06-21,865074.178560367,0.7499999999999999,0.12626899271413355,0.12360581958962458,0.4163878455285102
2019-06-24,865736.928595251,0.75,0.12360581958962458,0.1265679108422255,0.4165223751320858
2019-06-25,858827.4211941144,0.75,0.1265679108422255,0.12368439069688211,0.41656408643940324
2019-06-26,858795.997120358,0.75,0.12368439069688211,0.12647540780830238,0.41713571327609594
2019-06-27,858086.3940844858,0.75,0.12647540780830238,0.12393013111547738,0.4172151786742341
2019-06-28,862955.4253701804,0.75,0.12393013111547738,0.12606818688357388,0.41744821593156956
2019-07-01,867418.7652531536,0.75,0.12606818688357388,0.12387560877758293,0.417143926854064
2019-07-02,872583.5845595327,0.75,0.12387560877758293,0.1257385866051393,0.41683771585407936
2019-07-03,878380.4110400024,0.75,0.1257385866051393,0.12428007022731179,0.416347139223163
2019-07-05,876338.6304408682,0.75,0.12428007022731179,0.12504902793998524,0.4159928984553555
2019-07-08,875664.959842362,0.7499999999999999,0.12504902793998524,0.12432898374239072,0.41582967493454737
2019-07-09,876229.7552179819,0.75,0.12432898374239072,0.1250555239663485,0.41560204399857326
2019-07-10,879294.695422788,0.75,0.1499685524829205,0.10003274341343625,0.41529848196715086
2019-07-11,883496.1092818538,0.75,0.13006817321619152,0.1193251699494751,0.4150171864859355
2019-07-12,887666.9561487063,0.75,0.1461967826140473,0.10344126810894247,0.41454099120839394
2019-07-15,889005.6251009458,0.75,0.13382327761035295,0.1161075622615609,0.4145185855785609
2019-07-16,885403.5475043851,0.7499999999999999,0.1161075622615609,0.13388597435453178,0.41453021293402775
2019-07-17,882570.1943006491,0.75,0.13388597435453178,0.11632695302440564,0.41473812081918465
2019-07-18,883142.5084343415,0.75,0.11632695302440564,0.1339943445536731,0.4150325868165997
2019-07-19,879202.0933212052,0.7500000000000001,0.1339943445536731,0.11618858751532515,0.4151485981832779
2019-07-22,878676.7398373822,0.75,0.11618858751532515,0.134034496867409,0.4155055463020955
2019-07-23,879404.6224121735,0.7500000000000001,0.134034496867409,0.1165939107061065,0.4156421952311205
2019-07-24,881944.2669632422,0.75,0.1165939107061065,0.1331227176795479,0.41587999522621794
2019-07-25,881424.9511422904,0.75,0.1331227176795479,0.11575968662527683,0.4156103492913391
2019-07-26,886423.6217231196,0.7499999999999999,0.11575968662527683,0.13374874527264702,0.4151541056021726
2019-07-29,886385.7891424157,0.75,0.13374874527264702,0.11650473121678287,0.4146493140498218
2019-07-30,882687.4442803337,0.75,0.11650473121678287,0.1325024577554751,0.4147723243845478
2019-07-31,872794.8523627972,0.75,0.1325024577554751,0.1180417475697427,0.414552976544726
2019-08-01,868186.5315736814,0.75,0.14450024433558173,0.10576353660712558,0.4154752286230232
2019-08-02,865350.0869511489,0.7500000000000001,0.13390176559322262,0.11544575354122526,0.41598316567443255
2019-08-05,841418.4739685568,0.7500000000000001,0.14099969915750604,0.1093023723005062,0.41549206396869276
2019-08-06,849773.5702689643,0.44313977113286984,0.46846525040611237,0.0881177286740681,0.11015021179230405
2019-08-07,849373.33150451,0.4468008848581574,0.46168008676776057,0.09191358570282591,0.11394027177043987
2019-08-08,859771.2928117731,0.44333203240867386,0.46626445933513383,0.09017810557283294,0.11223541751748838
2019-08-09,856347.1726341654,0.5640807472686451,0.2968510361810398,0.1386549757926688,0.23264587472533962
2019-08-12,847577.0451356339,0.5462274298994815,0.32599132459533864,0.1280778246491495,0.2149402341756282
2019-08-13,858592.4427122659,0.5471451597155638,0.3229520385993256,0.1294479076824881,0.21649577642293602
2019-08-14,843044.0866701028,0.6630862597524254,0.20918351474007932,0.12651547066414098,0.33234408762322004
2019-08-15,851034.3774426463,0.6705836211398553,0.2024287338532284,0.12622631180294566,0.33941247443673206
2019-08-16,856662.0623126726,0.75,0.12622631180294566,0.12443986182149658,0.41591318711868563
2019-08-19,861149.213879061,0.7499999999999999,0.12443986182149658,0.12566837209513057,0.4158342704291975
2019-08-20,860351.6839016194,0.75,0.12566837209513057,0.12402960155250108,0.41560015738985856
