symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct
ABT,2000-01-03 00:00:00-05:00,2000-01-06 00:00:00-05:00,8.093055725097656,8.121962547302246,2347.691730464482,67.8643074437241,0.0035718056549328475
NVDA,2000-01-03 00:00:00-05:00,2000-01-06 00:00:00-05:00,0.08941520005464554,0.07867080718278885,212491.83571012836,-2283.095764931644,-0.12016293499640232
AAPL,2000-01-03 00:00:00-05:00,2000-01-06 00:00:00-05:00,0.8384959101676941,0.7116211652755737,22659.621555220365,-2874.933704170575,-0.15131230021950395
WFC,2000-01-03 00:00:00-05:00,2000-01-06 00:00:00-05:00,9.601668357849121,9.432945251464844,1978.822772447455,-333.8731251512836,-0.0175722697448044
XOM,2000-01-03 00:00:00-05:00,2000-01-06 00:00:00-05:00,17.255516052246094,18.7703800201416,1101.0971762578397,1668.012437464491,0.0877901282876048
UNH,2000-01-06 00:00:00-05:00,2000-01-10 00:00:00-05:00,5.319042205810547,5.840041637420654,3437.9037392574733,1791.1458940834054,0.09794985853674273
BRK-B,2000-01-06 00:00:00-05:00,2000-01-10 00:00:00-05:00,36.08000183105469,36.2599983215332,506.8279977991856,91.22726088010677,0.004988816001766123
WFC,2000-01-06 00:00:00-05:00,2000-01-10 00:00:00-05:00,9.432945251464844,9.294902801513672,1938.5626229288998,-267.60393385287534,-0.014634077297303868
NVDA,2000-01-06 00:00:00-05:00,2000-01-10 00:00:00-05:00,0.07867080718278885,0.08261045813560486,232441.43213297272,915.738109576585,0.05007767295004835
ADBE,2000-01-06 00:00:00-05:00,2000-01-10 00:00:00-05:00,15.328289985656738,16.693567276000977,1192.9807633947187,1628.7495440803432,0.08906911936176708
WFC,2000-01-10 00:00:00-05:00,2000-01-13 00:00:00-05:00,9.294902801513672,9.923768043518066,2052.373682888175,1290.6664727729221,0.06765700034022773
NEE,2000-01-10 00:00:00-05:00,2000-01-13 00:00:00-05:00,2.4221861362457275,2.4221861362457275,7875.783619337393,0.0,0.0
COST,2000-01-10 00:00:00-05:00,2000-01-13 00:00:00-05:00,31.69045066833496,31.66961097717285,601.9672643498109,-12.544811878749897,-0.0006576016030889814
AMZN,2000-01-10 00:00:00-05:00,2000-01-13 00:00:00-05:00,3.4593749046325684,3.296875,5514.46848657082,-896.1006031670622,-0.046973776798507505
TMO,2000-01-10 00:00:00-05:00,2000-01-13 00:00:00-05:00,11.91511058807373,12.118788719177246,1601.0437967671667,326.097608340413,0.01709410328993373
MRK,2000-01-13 00:00:00-05:00,2000-01-18 00:00:00-05:00,27.86840057373047,26.40041160583496,689.3526734897025,-1011.9621196721564,-0.05267575238168759
MSFT,2000-01-13 00:00:00-05:00,2000-01-18 00:00:00-05:00,32.928951263427734,35.219669342041016,583.4123379058162,1336.433189726893,0.06956547326053007
AAPL,2000-01-13 00:00:00-05:00,2000-01-18 00:00:00-05:00,0.7247301936149597,0.7785696387290955,26508.01168578014,1427.1766402414287,0.07428894999611398
AMZN,2000-01-13 00:00:00-05:00,2000-01-18 00:00:00-05:00,3.296875,3.206249952316284,5827.080626770216,-528.0794596579071,-0.02748816612207492
JNJ,2000-01-13 00:00:00-05:00,2000-01-18 00:00:00-05:00,23.707487106323242,23.183834075927734,810.3413219302805,-424.3376888834937,-0.022088086689535314
UNH,2000-01-18 00:00:00-05:00,2000-01-21 00:00:00-05:00,5.718878746032715,5.658297538757324,3385.805348915453,-205.11617563677282,-0.010593196667688872
PFE,2000-01-18 00:00:00-05:00,2000-01-21 00:00:00-05:00,13.121610641479492,12.604832649230957,1475.658040553872,-762.5875994428388,-0.039383731644567994
