date,value,cash,positions,drawdown,leverage,in_protection,risk_on,regime_score,universe_size,in_crash_mode,har_forecast
2013-11-22,258900.25463423753,49921.20037229897,5,-0.0055021452747541204,1.0,False,True,0.7780785092065035,40,False,0.12195674242275156
2013-11-25,255810.3717346272,49062.77315417444,5,-0.01737112516183812,1.0,False,True,0.7754994768736649,40,False,0.12048082051248246
2013-11-26,256602.04384865495,49071.7874652738,5,-0.014330123057924844,1.0,False,True,0.778201249150333,40,False,0.12010887996261864
2013-11-27,257590.99484378265,48843.672123738004,5,-0.0105313255462254,1.0,False,True,0.8108132645668104,40,False,0.12073293860634046
2013-11-29,257344.72742362999,48852.64617937026,5,-0.011477297659603774,1.0,False,True,0.819959102466457,40,False,0.1191776675390117
2013-12-02,256558.91365221373,49273.08399205752,5,-0.014495796467150632,1.0,False,True,0.8196297444021146,40,False,0.11869893061535762
2013-12-03,255833.31362472472,48849.92388630856,5,-0.01728299987004359,1.0,False,True,0.8030787970718808,40,False,0.11907579074051043
2013-12-04,256873.0096252565,48858.87970568772,5,-0.013289278645025762,1.0,False,True,0.8115877988838347,40,False,0.11785081256639403
2013-12-05,255835.0878383938,49633.598280506325,5,-0.017276184690621574,1.0,False,True,0.7902042485838372,40,False,0.11875841247332786
2013-12-06,257252.7887787406,49642.697773524415,5,-0.011830456003298798,1.0,False,True,0.7707405775991614,40,False,0.12534400370068255
2013-12-09,257420.18012737154,49131.681809472204,5,-0.011187465762334285,1.0,False,True,0.7752831877907129,40,False,0.12142366247065628
2013-12-10,257254.21888407748,48965.519191612424,5,-0.011824962626354959,1.0,False,True,0.7638937521786524,40,False,0.125532742078564
2013-12-11,257395.2542482459,48974.49620346422,5,-0.011283212030921773,1.0,False,True,0.6467239072101013,40,False,0.13189444620173602
2013-12-12,256340.31142297282,49076.66116646373,5,-0.015335499959622537,1.0,False,True,0.6523633331510337,40,False,0.12470718290785775
2013-12-13,255882.57736610933,49085.65855434425,5,-0.017093766046415458,1.0,False,True,0.6449397596617259,40,False,0.12260657490761667
2013-12-16,257486.91639357392,50221.36278673936,5,-0.010931115788231697,1.0,False,True,0.6019396477020174,40,False,0.125065406040906
2013-12-17,256677.5249166761,48561.857190817136,5,-0.014040182206667454,1.0,False,True,0.6018336160458047,40,False,0.12322160678174261
2013-12-18,258327.7856692567,48570.76019796878,5,-0.007701135609369756,1.0,False,True,0.5450626308430068,40,False,0.13689102448113058
2013-12-19,256916.35428217932,48696.92701004041,5,-0.013122781441751667,1.0,False,True,0.5477516850397557,40,False,0.11952338354134526
2013-12-20,258822.15880624694,48705.85477999225,5,-0.005802130044986798,1.0,False,True,0.5539532453105855,40,False,0.1224067487429874
2013-12-23,260855.48773889817,50437.2960687371,5,0.0,1.0,False,True,0.5551354242783795,40,False,0.12312004384256997
2013-12-24,260545.28515758825,51870.705466583706,5,-0.0011891740672153796,1.0,False,True,0.5617760047963455,40,False,0.12184067579111166
2013-12-26,262011.3680999081,51880.215095919244,5,0.0,1.0,False,True,0.6517227138555035,40,False,0.11483014590689085
2013-12-27,259954.0762191496,51156.025219653624,5,-0.007851918394525684,1.0,False,True,0.6925435894724163,40,False,0.11131524246418353
2013-12-30,258541.3245338178,49455.540299431785,5,-0.013243866444631314,1.0,False,True,0.6910037117397005,40,False,0.10905992310284285
2013-12-31,260740.5607194711,62956.683101478615,5,-0.004850199400326907,1.0,False,True,0.7032800930538134,40,False,0.10944704763125487
2014-01-02,260007.40693141278,67578.53122137775,5,-0.00764837488933378,1.0,False,True,0.5989576111183131,40,False,0.11541982940167848
2014-01-03,258740.85483751155,67590.57199936124,5,-0.012482333442682821,1.0,False,True,0.7745565344837138,40,False,0.10567497817765768
2014-01-06,259648.37712243767,60994.199196844704,5,-0.009018658215506915,1.0,False,True,0.7556518662416363,40,False,0.10661557891628982
2014-01-07,263660.7786845094,57935.19612352125,5,0.0,1.0,False,True,0.7530181540569045,40,False,0.11053311988913285
2014-01-08,267312.9914349292,60146.84948821347,5,0.0,1.0,False,True,0.7772781018407827,40,False,0.10787957672193671
2014-01-09,266846.30862589495,53024.28541390058,5,-0.0017458291365829428,1.0,False,True,0.7836504554859002,40,False,0.10516970015239875
2014-01-10,265778.88376792363,53033.73299491282,5,-0.005738994048775978,1.0,False,True,0.8113160464414042,40,False,0.10618537435911227
2014-01-13,261976.2930160954,55762.25998480057,5,-0.019964231405987874,1.0,False,True,0.6383490407869139,40,False,0.1270842941353891
2014-01-14,265046.7980334758,56063.2213068744,5,-0.008477677756283034,1.0,False,True,0.5875538687125298,40,False,0.12177910007097262
2014-01-15,265987.628665935,57815.84144199334,5,-0.004958093364185802,1.0,False,True,0.5892845301604933,40,False,0.11300634516774867
2014-01-16,265118.8951191742,54573.317395355945,5,-0.008207967386759368,1.0,False,True,0.633978025023922,40,False,0.11097598798602301
2014-01-17,266360.86764007877,54583.04097452678,5,-0.003561831356341687,1.0,False,True,0.5976215419257065,40,False,0.11294177643392982
2014-01-21,267958.4607600649,55292.70595622924,5,0.0,1.0,False,True,0.6132275429425857,40,False,0.11242847451564544
2014-01-22,270438.6489320223,56304.61679592085,5,0.0,1.0,False,True,0.6258364168945073,40,False,0.10862753063156484
2014-01-23,268300.7630746994,56799.83213881004,5,-0.007905252691379459,1.0,False,True,0.574450238513145,40,False,0.11542903019898536
2014-01-24,261033.07936232374,92461.48716212972,4,-0.034778940091742316,1.0,False,False,0.47242730847129855,40,False,0.15071061823275042
2014-01-27,259701.79958768794,76047.61715357314,4,-0.03970160843035848,1.0,False,False,0.466422565848767,40,False,0.1159959817457635
2014-01-28,263141.1669808138,66978.55776398111,4,-0.026983872238774555,1.0,False,False,0.47872104257827547,40,False,0.11855036354939728
2014-01-29,259384.39686509166,61058.23982565162,4,-0.040875267313250106,1.0,False,False,0.47619841714602357,40,False,0.12461494460808775
2014-01-30,264405.51662498515,74038.36720637692,4,-0.022308691198030733,1.0,False,False,0.4764852968315108,40,False,0.12566111633118274
2014-01-31,258316.53749667513,67231.3011372693,4,-0.04482388698219748,1.0,False,False,0.47417511682853336,40,False,0.10782893760225506
2014-02-03,253394.6406206639,96946.22705487968,3,-0.06302356700370355,1.0,False,False,0.3972116006417406,40,False,0.14628542316245943
2014-02-04,255038.74030162342,58175.96593431549,4,-0.056944185645113894,0.9980245028697445,False,False,0.401061743394497,40,False,0.11863443295203524
2014-02-05,252839.3422587031,105543.78252529234,3,-0.06507689171950769,1.0,False,False,0.39744424305769116,40,False,0.11514684566856725
2014-02-06,253358.93467187198,105562.4202170478,3,-0.06315559675955737,0.954886057509917,False,False,0.38790290985881565,40,False,0.12701287127766975
2014-02-07,256066.86415916233,60195.32565118643,4,-0.05314249582896138,0.9107955246340095,False,False,0.4298030497913762,40,False,0.13120089024375503
2014-02-10,256762.7697406327,76251.3150527149,4,-0.050569248313421175,0.912117135597342,False,False,0.4310752986967667,40,False,0.09523349480405183
2014-02-11,258880.15983184404,69669.98944200465,4,-0.0427397827411998,0.9198571594352487,False,False,0.4516856012651446,40,False,0.10282524360131375
2014-02-12,258754.899806757,69682.29227744183,4,-0.043202956276423794,0.9489935905523321,False,False,0.4582416612615571,40,False,0.10248410418318075
2014-02-13,257765.05716441525,69694.59728540352,4,-0.046863093783583686,0.9496425233071265,False,False,0.4637642839639995,40,False,0.09600938639146046
2014-02-14,257566.217873739,58830.67796302,4,-0.0475983410992373,0.9416884056109905,False,False,0.48457300365977457,40,False,0.08620340489874458
