config,bull,mild_bull,mild_bear,bear,cagr,sharpe,sortino,max_dd,trades,win_rate,cagr_delta,sharpe_delta,dd_delta,is_cagr,is_sharpe,is_max_dd,oos_cagr,oos_sharpe,oos_max_dd,oos_sharpe_delta,passes_kill
b5/mb4/mbr3/br2,5,4,3,2,0.09819711731181391,0.7114187674271985,0.976997043919596,-0.3491755873440542,6292,0.5410044500953591,-0.01019370186321722,-0.0650082671839658,-0.00018555080371557287,0.07293722407772796,0.5529897782779598,-0.3491755873440542,0.4901630410764113,3.1371778461307183,-0.2462590706026563,-0.37092200489988514,False
b5/mb4/mbr3/br3,5,4,3,3,0.09358082519481026,0.6890415954032046,0.948780209482094,-0.37770018083003815,6035,0.5428334714167357,-0.01480999398022087,-0.0873854392079596,0.02833904268226839,0.066220992428913,0.5117158319814541,-0.37770018083003815,0.46367070613948913,2.99689432575168,-0.26239227781346536,-0.5112055252789234,False
b5/mb4/mbr4/br2,5,4,4,2,0.09482360156731051,0.6818135061784849,0.9444712169029956,-0.33658383444735784,5987,0.5391681977618172,-0.013567217607720616,-0.09461352843267934,-0.012777303700411913,0.08130539549453375,0.6074360786046511,-0.33658383444735784,0.47076710429713375,3.040386631086038,-0.3120106049870498,-0.4677132199445655,False
b5/mb4/mbr4/br3,5,4,4,3,0.09108809906193893,0.6682893594231554,0.925086009551016,-0.37364731850353156,5761,0.538795348029856,-0.017302720113092196,-0.10813767518800887,0.0242861803557618,0.0674368449999565,0.5202113413834749,-0.37364731850353156,0.44951594715106147,2.88234729404498,-0.2556928430487361,-0.6257525569856233,False
b5/mb4/mbr4/br4,5,4,4,4,0.09221507867243361,0.6628151478351628,0.9285441229152991,-0.3527365649008143,5663,0.5421154864912591,-0.016175740502597513,-0.11361188677600143,0.0033754267530445303,0.07441268535294077,0.5569171630743892,-0.3527365649008143,0.45590238197190125,2.9286390196325356,-0.31949706098845926,-0.5794608313980678,False
b5/mb5/mbr3/br2,5,5,3,2,0.11256386941975483,0.8050813032474001,1.0955732119453403,-0.31011601647124337,5943,0.541477368332492,0.004173050244723697,0.02865426863623588,-0.039245121676526384,0.09089546534183524,0.6809404935610296,-0.31011601647124337,0.5749656566256176,3.624699451756397,-0.2565570496545246,0.11659960072579345,True
b5/mb5/mbr3/br3,5,5,3,3,0.11174775173448559,0.8140446234408313,1.1223060856574498,-0.3830129864828105,5681,0.54286217215279,0.003356932559454462,0.03761758882966704,0.03365184833504076,0.08579683716151809,0.6576312231336585,-0.3830129864828105,0.5700517337409934,3.623438782313574,-0.22946825427589637,0.11533893128297068,False
b5/mb5/mbr4/br2,5,5,4,2,0.0980097778625717,0.7107255566073519,0.9685197544550274,-0.3150908968103112,5661,0.5407171877760113,-0.010381041312459427,-0.06570147800381232,-0.03427024133745854,0.07966483269673219,0.6073592381158368,-0.3150908968103112,0.48908083370785227,3.0993343140323404,-0.30803552837002934,-0.408765536998263,False
b5/mb5/mbr4/br3,5,5,4,3,0.11306106306033925,0.8298228308705032,1.1554840416881056,-0.33998166952642034,5431,0.5409685140858037,0.004670243885308123,0.05339579625933899,-0.009379468621349418,0.083426045173149,0.6356224864779542,-0.33998166952642034,0.5779650702067336,3.821419081502387,-0.1476816260675866,0.3133192304717838,True
b5/mb5/mbr4/br4,5,5,4,4,0.10320822445503319,0.7518741271240621,1.0267766823370965,-0.36912473963376186,5330,0.5463414634146342,-0.005182594719997935,-0.02455290748710215,0.0197636014859921,0.07924224732167451,0.609970571966323,-0.36912473963376186,0.5193348475869899,3.270486451022094,-0.22592785482330052,-0.2376134000085095,False
