date,value,cash,positions,drawdown,leverage,in_protection,risk_on,regime_score,universe_size
2005-12-07,85096.03516952049,20547.034409300893,5,-0.19469845358794072,0.6212061856482372,True,True,0.6442691743838869,40
2005-12-08,85154.25671791978,18846.572475010216,5,-0.19414747723672704,0.6234100910530919,True,True,0.6938121993905033,40
2005-12-09,85406.40778150251,21627.556920272575,5,-0.19176125981745357,0.6329549607301858,True,True,0.6822493804261882,40
2005-12-12,85479.5803713383,21632.16564966392,5,-0.19106879512585712,0.6357248194965716,True,True,0.712505708929758,40
2005-12-13,86085.33700850813,21636.775361153548,5,-0.18533625123364825,0.658654995065407,True,True,0.7048338052437215,40
2005-12-14,85730.7991587856,21502.676560963955,5,-0.1886914002493973,0.6452343990024109,True,True,0.7384277063499962,40
2005-12-15,85475.30649484356,24257.92291206611,5,-0.19110924071587237,0.6355630371365105,True,True,0.7768926494937429,40
2005-12-16,87191.94667685719,20580.398609781103,5,-0.1748639128289181,0.7005443486843276,True,True,0.7585471311326584,40
2005-12-19,86619.22382772436,20584.78419472295,5,-0.18028384332454458,0.6788646267018217,True,True,0.7361360469206819,40
2005-12-20,86967.1799976832,20589.170714212065,5,-0.17699097966534752,0.6920360813386099,True,True,0.7333634786786527,40
2005-12-21,87052.17570965363,21686.567013080075,5,-0.17618662752189185,0.6952534899124326,True,True,0.7583309102244605,40
2005-12-22,87302.6214014046,22868.25429681207,5,-0.173816548793106,0.704733804827576,True,True,0.751440496822289,40
2005-12-23,87221.15577011276,21900.61600785916,5,-0.17458749421645106,0.7016500231341958,True,True,0.7530805393352586,40
2005-12-27,86987.95347632255,21905.282924841787,5,-0.17679439101771777,0.692822435929129,True,True,0.6575610816533044,40
2005-12-28,86754.05055836594,21909.9508363222,5,-0.179007918136408,0.683968327454368,True,True,0.7020207065558197,40
2005-12-29,86239.03565520122,21829.188128262394,5,-0.18388173272856373,0.6644730690857451,True,True,0.7104753845935803,40
2005-12-30,86160.55342720254,21448.433280092635,5,-0.1846244448825119,0.6615022204699524,True,True,0.6872354784655919,40
2006-01-03,88116.10600867105,29439.535728622523,4,-0.1661181829302424,0.7355272682790305,True,False,0.4558605199348347,40
2006-01-04,88036.06830195774,29445.715694654446,4,-0.16687561526958816,0.7324975389216474,True,False,0.47350741686149345,40
2006-01-05,88137.80232164067,29451.89695798876,4,-0.1659128610917916,0.7363485556328336,True,False,0.47361883166775276,40
2006-01-06,89077.24638492362,26515.50936933871,4,-0.1570224849958632,0.7719100600165473,True,False,0.47225891652018154,40
2006-01-09,89263.78591173209,18829.91849720393,4,-0.15525717866747107,0.7789712853301157,True,False,0.4853943642719929,40
2006-01-10,90731.47768807101,18833.871285650366,4,-0.1413677600266677,0.8345289598933292,True,False,0.48765517068743025,40
2006-01-11,91779.32188104388,11302.051686330284,5,-0.13145154539552834,0.8741938184178867,True,True,0.587547162253099,40
2006-01-12,91344.03566486186,11304.424220196184,5,-0.13557085203919192,0.8577165918432323,True,True,0.5400742454181934,40
2006-01-13,91633.33192236436,17363.292468229345,5,-0.13283311316482624,0.8686675473406951,True,True,0.564518797761534,40
2006-01-17,90602.81391600994,17909.6149205474,5,-0.1425853624026372,0.8296585503894512,True,True,0.5879869540068584,40
2006-01-18,89815.43943651272,23735.370658529675,5,-0.15003663653875124,0.7998534538449951,True,True,0.7661262381661949,40
2006-01-19,89819.16150807282,18426.532031336974,5,-0.15000141292372343,0.7999943483051063,True,True,0.7823005387798212,40
2006-01-20,86983.60626069021,26552.215993601138,4,-0.17683553064854002,0.69265787740584,True,False,0.4936076805231191,40
