date,value,cash,positions,drawdown,leverage,in_protection,risk_on,universe_size
2023-10-05,1287564.9097056638,250006.1677668006,5,-0.05001551180316888,1.0,False,True,40
2023-10-06,1298504.500800341,272437.6724318044,5,-0.041944119231950745,1.0,False,True,40
2023-10-09,1315332.7499845019,272498.3222469767,5,-0.029527987378747008,1.0,False,True,40
2023-10-10,1320076.3482623284,266400.54396908573,5,-0.026028090209910232,1.0,False,True,40
2023-10-11,1315710.226277542,266459.8498044693,5,-0.02924947977082205,1.0,False,True,40
2023-10-12,1314762.911749041,257472.35920836,5,-0.029948422480999895,1.0,False,True,40
2023-10-13,1296119.1990232652,237364.5542922562,5,-0.04370403026308338,1.0,False,True,40
2023-10-16,1307419.2797507623,237417.39616327125,5,-0.03536666309380552,1.0,False,True,40
2023-10-17,1302544.9398929917,254516.61716761463,5,-0.03896302333955045,1.0,False,True,40
2023-10-18,1278068.7046729254,245309.5635955239,5,-0.05702195272885425,1.0,False,True,40
2023-10-19,1247426.2074336323,274880.92074494506,5,-0.07963044169707033,1.0,False,True,40
2023-10-20,1224350.0551982764,257138.3198563298,5,-0.09665636909351367,1.0,False,True,40
2023-10-23,1231364.5223572012,257195.56374420258,5,-0.09148099118152324,1.0,False,True,40
2023-10-24,1237669.1569669393,252559.8916152006,5,-0.08682933825291923,1.0,False,True,40
2023-10-25,1211566.600971512,248721.54713284736,5,-0.10608819123269927,1.0,False,True,40
2023-10-26,1191281.2080972763,252976.81802031703,5,-0.1210550549785494,1.0,False,True,40
2023-10-27,1188357.6030136133,744809.1400225938,2,-0.12321213417366988,1.0,False,False,40
2023-10-30,1197205.3797747535,744974.9487240036,2,-0.11668411324458676,1.0,False,False,40
2023-10-31,1200542.7985904424,745140.7943375886,2,-0.11422171614008234,1.0,False,False,40
2023-11-01,1206308.4191954194,745296.9190754498,2,-0.10996775573912027,1.0,False,False,40
2023-11-02,1219322.5770080122,439004.51928939705,2,-0.10036571707239783,1.0,False,False,40
2023-11-03,1211999.7197720413,119463.93407623033,5,-0.10576862975743097,0.962445955584918,False,True,40
2023-11-06,1206327.6138705271,119488.96461479868,5,-0.10995359362312064,0.9707622441131092,False,True,40
2023-11-07,1205351.2445880354,119514.00039786083,5,-0.1106739733617476,0.9754414835980686,False,True,40
2023-11-08,1206951.4541829058,119539.04142651561,5,-0.10949331498753159,0.9794777114975696,False,True,40
2023-11-09,1191001.0450883908,313124.8995021384,5,-0.12126176340202498,0.9729022311691531,False,True,40
2023-11-10,1203962.1052366907,248441.50248156558,5,-0.11169890097958934,0.9239647519069728,False,True,40
2023-11-13,1203125.8134084796,248493.55689160933,5,-0.11231592949474824,0.9459364245672714,False,True,40
2023-11-14,1215264.6941729998,248545.62220829137,5,-0.10335968321664697,0.8715876831665582,False,True,40
2023-11-15,1211511.757240815,248597.69843389693,5,-0.10612865575067751,0.920522050907328,False,True,40
2023-11-16,1213829.6408807305,292510.65896691754,5,-0.10441848682112181,0.9509382147165114,False,True,40
2023-11-17,1212837.6247632923,168810.38903026082,5,-0.10515041102665408,1.0,False,True,40
2023-11-20,1218063.072188223,168845.75882605763,5,-0.10129499841005281,1.0,False,True,40
2023-11-21,1216527.9602777387,168881.13603266882,5,-0.1024276267471668,1.0,False,True,40
2023-11-22,1219921.1306746895,168916.5206516471,5,-0.09992409529907163,1.0,False,True,40
2023-11-24,1225322.6074177416,308828.74075504707,5,-0.09593880564060435,1.0,False,True,40
2023-11-27,1224470.9827718074,200832.3906252772,5,-0.09656714693610342,1.0,False,True,40
2023-11-28,1222114.4034640335,200874.46979283678,5,-0.09830586610335888,1.0,False,True,40
2023-11-29,1220846.3876128162,200916.55777698386,5,-0.09924142700624146,1.0,False,True,40
2023-11-30,1209702.8039123921,200958.65457956571,5,-0.10746332834770153,1.0,False,True,40
2023-12-01,1205327.8442809642,226735.54537790784,5,-0.11069123845538993,1.0,False,True,40
2023-12-04,1187146.5428317976,219196.76910356642,5,-0.12410567233887251,1.0,False,True,40
2023-12-05,1187807.5354450867,219237.99897204066,5,-0.12361798218461006,1.0,False,True,40
2023-12-06,1177123.4818067357,219279.23659565684,5,-0.13150083543028954,1.0,False,True,40
2023-12-07,1194344.7156114583,219320.48197587364,5,-0.11879475369508817,1.0,False,True,40
2023-12-08,1202917.3660357958,203738.74204517942,5,-0.11246972505811152,1.0,False,True,40
2023-12-11,1215934.9830191701,219479.35477495202,5,-0.10286513416387828,1.0,False,True,40
