variant,final_value,cagr,sharpe,sortino,max_drawdown,calmar,volatility,win_rate,trades,stop_events,risk_off_pct,pos_stop_pct,best_year,worst_year
BASE v8.2,4822626.466511546,0.16044168278530035,0.7695067258642827,1.0685609283612183,-0.28814875420312447,0.5568015840602952,0.20849938979428403,0.5525436316375789,5386,11,25.685557586837295,6.498329001113999,1.1020383479965195,-0.2748832461129501
A1: Dual SMA,2710933.7730220766,0.13506096972542458,0.6939611378885452,0.9708080055426302,-0.351403147367783,0.38434763813901773,0.19462324667972442,0.553983330102733,5159,10,31.23095673369896,6.415972087613879,0.9756969981241268,-0.2966231433710097
A2: VIX Override,4324882.651129911,0.15559873642528332,0.7473191542842619,1.028116952287332,-0.28602009637688314,0.5440132997516856,0.20820921761908617,0.548169014084507,5325,11,26.72151127361365,6.460093896713614,0.9984591591522294,-0.2748832461129501
B: Risk-Adj Mom,748600.978646679,0.0803476792257154,0.49907421103404137,0.6879317987504033,-0.2729407778882584,0.29437770291183696,0.16099345037132154,0.548051948051948,5390,8,25.685557586837295,3.970315398886828,0.5469663621070375,-0.23204193772411041
C: Breadth Filter,1528732.5494356574,0.11037055716017785,0.6009934401441629,0.7987678587817026,-0.40569247935975344,0.2720547280895124,0.18364685833127029,0.5489681050656661,5330,10,25.685557586837295,4.896810506566604,1.1028068594688292,-0.3490933952155638
