pair_id,y_symbol,x_symbol,direction,beta,entry_date,exit_date,exit_reason,y_entry,x_entry,y_exit,x_exit,gross_pnl,costs,net_pnl,return_pct,capital,hold_days
QCOM_COST,QCOM,COST,-1,1.5065891497827364,2001-01-26,2001-01-31,mean_reversion,25.087848663330078,27.520647048950195,26.036405563354492,30.856491088867188,593.8153825127204,5.068187397234288,588.7471951154861,0.05727781991713858,10278.798948130392,5
WMT_JPM,WMT,JPM,-1,0.1689373089054138,2001-01-31,2001-02-05,mean_reversion,12.13809871673584,26.77450180053711,11.505556106567383,26.584606170654297,450.08242107611943,5.607268617455602,444.47515245866384,0.04301316305500731,10333.468196473892,5
WMT_BA,WMT,BA,-1,-0.0807294035255214,2001-01-31,2001-02-06,mean_reversion,12.13809871673584,38.221038818359375,11.368789672851562,37.06462860107422,582.6548464547494,5.623369817293758,577.0314766374556,0.0558410270072111,10333.468196473892,6
WMT_LRCX,WMT,LRCX,-1,0.551123749889723,2001-01-31,2001-02-06,mean_reversion,12.13809871673584,2.2472119331359863,11.368789672851562,1.9603341817855835,-46.47647243560681,8.320531987636043,-54.79700442324285,-0.0053028667027727764,10333.468196473892,6
WMT_DIS,WMT,DIS,-1,0.07796080661619335,2001-01-31,2001-02-06,mean_reversion,12.13809871673584,23.176685333251953,11.368789672851562,24.05961036682129,636.0360808002291,5.661569351839608,630.3745114483895,0.0610031888096867,10333.468196473892,6
WMT_KLAC,WMT,KLAC,-1,0.05556953648469308,2001-01-31,2001-02-08,mean_reversion,12.13809871673584,24.134536743164062,11.176456451416016,19.202409744262695,664.4010769081231,5.614134692131468,658.7869422159915,0.06375274299879208,10333.468196473892,8
WMT_XOM,WMT,XOM,-1,-0.4626414981627037,2001-01-31,2001-02-09,mean_reversion,12.13809871673584,18.941123962402344,10.770431518554688,19.427370071411133,879.9536316061456,5.500177888889642,874.453453717256,0.08462342333580194,10333.468196473892,9
WMT_BA,WMT,BA,1,-0.0807294035255214,2001-02-09,2001-02-12,mean_reversion,10.770431518554688,37.57574462890625,11.422218322753906,38.70945739746094,555.6314763177251,6.073547072639359,549.5579292450857,0.05315458346520853,10338.86249160037,3
AMAT_BA,AMAT,BA,1,-0.8334054325945346,2001-02-06,2001-02-14,mean_reversion,16.615591049194336,37.06462860107422,16.95514488220215,39.70552444458008,-223.63956254969568,5.252385940439254,-228.89194849013495,-0.021740891519160883,10528.176744196795,8
AMZN_JNJ,AMZN,JNJ,-1,-0.2988650432099304,2001-02-12,2001-02-15,mean_reversion,0.7250000238418579,25.25641632080078,0.7250000238418579,24.333765029907227,-87.85211652475817,26.550888032483698,-114.40300455724187,-0.010946169264778592,10451.419285590218,3
QCOM_COST,QCOM,COST,-1,1.5065891497827364,2001-02-05,2001-02-20,mean_reversion,26.77200698852539,28.813278198242188,23.38920021057129,29.438749313354492,665.9537918047025,4.870015284723392,661.0837765199791,0.06299300057439743,10494.559244549891,15
PFE_JNJ,PFE,JNJ,-1,0.5214496937648317,2001-01-24,2001-02-21,mean_reversion,15.57131576538086,23.315855026245117,16.290180206298828,25.033803939819336,-52.54735832209178,5.418912253251232,-57.96627057534301,-0.005615285226601399,10322.943223033137,28
PG_BAC,PG,BAC,-1,-1.2640975247379904,2001-01-30,2001-02-23,mean_reversion,18.214975357055664,14.868562698364258,19.2217960357666,13.171834945678711,-912.0290285968722,5.3374112344928,-917.366439831365,-0.08864222900198909,10349.090384570312,24
TXN_BA,TXN,BA,1,-0.9891448946370576,2001-01-24,2001-03-06,mean_reversion,26.520503997802734,37.52684783935547,22.020116806030273,40.7147102355957,-1316.7221224585096,4.705208585585149,-1321.4273310440947,-0.12800877642101635,10322.943223033137,41
HD_KLAC,HD,KLAC,1,0.4015039985166644,2001-02-15,2001-03-09,mean_reversion,26.038564682006836,23.31251335144043,26.011144638061523,21.9315185546875,168.24166747325208,4.9358401706866335,163.30582730256543,0.015743437182185266,10372.94622595863,22
ADBE_LRCX,ADBE,LRCX,1,-4.376714206946577,2001-02-07,2001-03-20,mean_reversion,20.030441284179688,1.8965833187103271,16.303850173950195,2.018772602081299,-912.6577913469561,13.426178240119775,-926.0839695870759,-0.0883263743622631,10484.795467646181,41
WMT_ADBE,WMT,ADBE,1,-0.0978011320723541,2001-02-06,2001-03-26,mean_reversion,11.368789672851562,21.862682342529297,10.614984512329102,16.69683837890625,-414.257675995055,5.812690411009193,-420.07036640606424,-0.03989963092494719,10528.176744196795,48
AXP_JNJ,AXP,JNJ,1,0.9200525745360674,2001-02-20,2001-03-27,mean_reversion,28.506711959838867,24.806489944458008,24.582256317138672,21.50516128540039,-82.67397637642898,4.672003331637537,-87.34597970806652,-0.00837712074911152,10426.73041537935,35
HD_MRK,HD,MRK,1,-0.9245063091825576,2001-02-21,2001-03-28,mean_reversion,23.902240753173828,29.85293197631836,25.257450103759766,28.628374099731445,501.033820401393,4.867154028818227,496.16666637257475,0.048688743053903104,10190.582776459658,35
HD_KLAC,HD,KLAC,1,0.4015039985166644,2001-03-12,2001-03-30,mean_reversion,24.57386589050293,21.701358795166016,25.181486129760742,20.714933395385742,305.08901134432415,4.8293417964593015,300.25966954786486,0.030179131154577397,9949.248307048203,18
JPM_KLAC,JPM,KLAC,1,0.2491735943834541,2001-02-14,2001-04-02,mean_reversion,24.924283981323242,22.687774658203125,21.715633392333984,18.314626693725586,-677.9464158064861,4.758872413869129,-682.7052882203553,-0.06506170267478276,10493.197382689537,47
JPM_KLAC,JPM,KLAC,1,0.2491735943834541,2001-04-02,2001-04-03,breakdown_stop,21.715633392333984,18.314626693725586,20.254940032958984,18.64344024658203,-578.9245077182621,4.893797587847365,-583.8183053061096,-0.05791395516465129,10080.788018126112,1
WMT_BIIB,WMT,BIIB,1,-0.04967249166932445,2001-02-09,2001-04-05,mean_reversion,10.770431518554688,59.3125,10.816163063049316,42.125,183.59726214251393,5.961060713947209,177.63620142856672,0.01718140671402528,10338.86249160037,55
AMZN_JNJ,AMZN,JNJ,1,-0.2988650432099304,2001-03-20,2001-04-10,mean_reversion,0.512499988079071,23.45547866821289,0.6004999876022339,23.773204803466797,1285.1442202731475,34.3603139941548,1250.7839062789928,0.1256299088963241,9956.099763721077,21
TXN_BA,TXN,BA,1,-0.9891448946370576,2001-03-06,2001-04-11,mean_reversion,22.020116806030273,40.7147102355957,20.739168167114258,38.74220657348633,-51.32754658954829,4.57587852335662,-55.90342511290491,-0.005612735386477852,9960.10345465188,36
AMAT_BIIB,AMAT,BIIB,1,-0.4015307079992741,2001-04-02,2001-04-11,mean_reversion,14.487716674804688,38.6875,16.671735763549805,45.369998931884766,585.4370299082144,5.4911876921325735,579.9458422160819,0.05752981226996244,10080.788018126112,9
AXP_COST,AXP,COST,1,-0.33770850448379974,2001-02-23,2001-04-18,mean_reversion,27.837148666381836,27.604040145874023,26.454498291015625,25.592525482177734,-188.90597441096543,4.6475246398904595,-193.55349905085586,-0.019194671524021455,10083.709888373472,54
