date,hydra_value,combined_value,in_commodity
2000-01-04,99668.2038752212,99668.2038752212,False
2000-01-05,99925.511741168,99925.511741168,False
2000-01-06,100902.59101044756,100902.59101044756,False
2000-01-07,101942.1396800826,101942.1396800826,False
2000-01-10,104221.21219974846,104221.21219974848,False
2000-01-11,103492.92027101356,103492.92027101357,False
2000-01-12,103372.51517963943,103372.51517963945,False
2000-01-13,104353.66808800664,104353.66808800666,False
2000-01-14,104658.3822666226,104658.3822666226,False
2000-01-18,104756.27663768244,104756.27663768244,False
2000-01-19,105062.6238817522,105062.62388175221,False
2000-01-20,104890.52276740164,104890.52276740165,False
2000-01-21,104863.6200722842,104863.62007228422,False
2000-01-24,104443.52639836128,104443.5263983613,False
2000-01-25,103585.5711292983,103585.57112929832,False
2000-01-26,103423.2379082057,103423.23790820572,False
2000-01-27,102861.52546057144,102861.52546057146,False
2000-01-28,101626.71238538044,101626.71238538045,False
2000-01-31,103291.96338785316,103291.96338785316,False
2000-02-01,104489.5166114503,104489.5166114503,False
2000-02-02,105367.7543328682,105367.7543328682,False
2000-02-03,105794.80693310668,105794.80693310668,False
2000-02-04,105860.58985231252,105860.58985231254,False
2000-02-07,105936.99870157817,105936.99870157818,False
2000-02-08,105803.81950651178,105803.81950651179,False
2000-02-09,105822.5090961308,105822.50909613082,False
2000-02-10,105527.77061199106,105527.77061199107,False
2000-02-11,105321.93587780236,105321.93587780237,False
2000-02-14,105244.44857753368,105244.4485775337,False
2000-02-15,105062.42870014031,105062.42870014033,False
2000-02-16,104471.7605983807,105062.42870014033,True
2000-02-17,106301.5021572702,105062.42870014033,True
2000-02-18,105998.54120303388,105062.42870014033,True
2000-02-22,105912.4060862332,105062.42870014033,True
2000-02-23,107628.3585844972,105062.42870014033,True
2000-02-24,107440.84864723316,105062.42870014033,True
2000-02-25,106843.84830864354,105062.42870014033,True
2000-02-28,107848.20216329208,105062.42870014033,True
2000-02-29,108447.87634704672,105062.42870014033,True
2000-03-01,108469.06333596652,105062.42870014033,True
2000-03-02,108322.80371501316,105062.42870014033,True
2000-03-03,111010.80130828732,105062.42870014033,True
2000-03-06,110855.12841650366,105062.42870014033,True
2000-03-07,112852.0136308916,105062.42870014033,True
2000-03-08,112756.28872744698,105062.42870014033,True
2000-03-09,112643.9355491888,105062.42870014033,True
2000-03-10,113973.34977160375,105062.42870014033,True
2000-03-13,112819.82271123024,105062.42870014033,True
2000-03-14,111917.92648134282,105062.42870014033,True
2000-03-15,114275.56503487236,105062.42870014033,True
2000-03-16,116959.77176648028,105062.42870014033,True
2000-03-17,117442.81780442764,105496.33848941434,False
2000-03-20,116875.94145701434,104987.12574957745,False
2000-03-21,116415.15601740334,104573.21217344761,False
2000-03-22,117025.17389427232,105121.17801440631,False
2000-03-23,117424.25915747228,105479.66765898204,False
2000-03-24,117214.82639755188,105291.5387487227,False
2000-03-27,117862.66555635494,105873.4786277334,False
2000-03-28,117446.26361253568,105499.43378417422,False
2000-03-29,117083.01127014638,105173.13207593703,False
2000-03-30,116853.54284426635,104967.0055610778,False
2000-03-31,119931.36290308044,107731.74462988036,False
2000-04-03,120971.4969673952,108666.0745222885,False
2000-04-04,117157.04525934116,105239.63520426642,False
2000-04-05,118607.56432197057,106542.6050484618,False
2000-04-06,119906.19134031671,107709.1335604657,False
2000-04-07,120230.9584284986,108000.86479874467,False
2000-04-10,120017.18012059251,107808.83237688885,False
2000-04-11,120044.53746113632,107833.40688312205,False
2000-04-12,120075.40605648344,107861.1354734634,False
2000-04-13,119993.401970337,107787.47297973793,False
2000-04-14,116025.58256512615,107787.47297973793,True
2000-04-17,120207.96343951496,107787.47297973793,True
2000-04-18,126661.58196071944,107787.47297973793,True
2000-04-19,126849.12200711248,107787.47297973793,True
2000-04-20,127719.56150015628,107787.47297973793,True
2000-04-24,128179.00504179308,107787.47297973793,True
2000-04-25,128407.42273520688,107787.47297973793,True
2000-04-26,128459.13334330134,107787.47297973793,True
2000-04-27,128381.42390519568,107787.47297973793,True
2000-04-28,128028.87982728254,107787.47297973793,True
2000-05-01,128427.9918240159,107787.47297973793,True
2000-05-02,128740.04558014704,107787.47297973793,True
2000-05-03,128506.58974159123,107787.47297973793,True
2000-05-04,128170.68857591794,107787.47297973793,True
2000-05-05,128356.26926723108,107787.47297973793,True
2000-05-08,128829.50273276816,107787.47297973793,True
2000-05-09,127862.10144684048,107787.47297973793,True
2000-05-10,126722.47887601258,107787.47297973793,True
2000-05-11,127449.91181253984,107787.47297973793,True
2000-05-12,128434.12152363156,107787.47297973793,True
2000-05-15,130389.38786519662,107787.47297973793,True
2000-05-16,131073.4531763914,108352.9612641297,False
2000-05-17,131100.18211013937,108375.05695973276,False
2000-05-18,131135.2592124361,108404.05373836574,False
2000-05-19,130937.85423261244,108240.86726838395,False
2000-05-22,131187.73801718286,108447.43577919944,False
2000-05-23,127564.0554267673,108447.43577919944,True
2000-05-24,129189.9179888666,108447.43577919944,True
2000-05-25,129417.59732769847,108447.43577919944,True
2000-05-26,128773.66602504166,108447.43577919944,True
