date,value,cash,positions,drawdown,leverage,in_protection,risk_on,regime_score,universe_size
2019-03-08,489733.6945595055,191156.2358017751,4,-0.05740525788406238,1.0,False,True,0.6329666588923514,40
2019-03-11,487829.69874596276,93782.43000031673,4,-0.061069895344775395,1.0,False,True,0.5313422351185098,40
2019-03-12,481738.2449996014,112748.97886848317,4,-0.07279416985753305,1.0,False,True,0.529425355952357,40
2019-03-13,484021.7572875388,112765.84647365517,4,-0.06839907370613808,1.0,False,True,0.5162815915880706,40
2019-03-14,481938.2828297203,112782.71660227443,4,-0.07240915528943405,1.0,False,True,0.5189811210752807,40
2019-03-15,496608.99622969714,67678.8091247741,5,-0.044172304389586976,1.0,False,True,0.5388550269488719,40
2019-03-18,498489.1081487094,133228.9704786225,5,-0.04055363647039372,1.0,False,True,0.5446925987958924,40
2019-03-19,499659.39617067814,125856.28243645816,5,-0.03830117283858013,1.0,False,True,0.5481260966297373,40
2019-03-20,502745.53799518174,125875.1109358544,5,-0.03236124857051913,1.0,False,True,0.5579031002423138,40
2019-03-21,505329.10831181344,125893.94225205394,5,-0.027388628096581227,1.0,False,True,0.5992690150505123,40
2019-03-22,497588.77342290455,237058.79865313944,3,-0.04228651862270587,1.0,False,False,0.4496153642820816,40
2019-03-25,497766.74457835563,149143.02459204153,3,-0.04194397597710053,1.0,False,False,0.46269543180751727,40
2019-03-26,500434.0246634948,83545.42646082678,4,-0.03681023857668723,1.0,False,False,0.47156089800861745,40
2019-03-27,497274.49433522753,173894.0780072962,3,-0.04289141434234346,1.0,False,False,0.46636596877049397,40
2019-03-28,499459.4220569147,165418.74509218795,3,-0.03868606477125028,1.0,False,False,0.4721731367459796,40
2019-03-29,503716.7822325831,99263.46263227881,4,-0.030491886258603138,1.0,False,False,0.47398061677350345,40
2019-04-01,510888.55734588637,99277.99763930711,4,-0.01668830772493088,1.0,False,False,0.4860804554565096,40
2019-04-02,510625.46358441276,93666.86388451802,4,-0.017194686597782543,1.0,False,False,0.489523801524938,40
2019-04-03,513139.56380405335,56208.18456046312,5,-0.01235577582951846,1.0,False,True,0.5032470550339803,40
2019-04-04,508725.8735729676,84942.5429046095,5,-0.020850844172512383,1.0,False,True,0.5215273442601114,40
2019-04-05,510513.126520213,84954.98091982053,5,-0.01741090273164424,1.0,False,True,0.704354218988099,40
2019-04-08,511934.8419092986,156275.81708372384,5,-0.014674514638636255,1.0,False,True,0.7022856140117555,40
2019-04-09,510660.62367081945,131850.30671209045,5,-0.017127013670745952,1.0,False,True,0.6663473639235404,40
2019-04-10,514969.6084461955,95238.66037567187,5,-0.008833472837742133,1.0,False,True,0.7061704384468667,40
2019-04-11,513817.93861871806,91601.83601871379,5,-0.011050101867137795,1.0,False,True,0.7010743520850242,40
2019-04-12,520324.36398366047,91615.24914470225,5,0.0,1.0,False,True,0.7048813269581287,40
2019-04-15,520884.11085031985,118690.74275990893,5,0.0,1.0,False,True,0.7749211668292212,40
2019-04-16,522223.5076854691,98425.5598944846,5,0.0,1.0,False,True,0.7783467863509694,40
2019-04-17,523410.1889848592,123611.61112949048,5,0.0,1.0,False,True,0.7665229677597942,40
2019-04-18,521479.990275839,111576.60033126986,5,-0.003687736214619337,1.0,False,True,0.7619023229853952,40
2019-04-22,523768.43996323185,111592.93833346122,5,0.0,1.0,False,True,0.795035660401515,40
2019-04-23,525920.5764590248,114549.00893150874,5,0.0,1.0,False,True,0.7480487460958527,40
2019-04-24,525024.8664160203,103569.79258148254,5,-0.0017031279685522384,1.0,False,True,0.7610180211355144,40
2019-04-25,526130.7545776721,94614.15042555597,5,0.0,1.0,False,True,0.7633768188006644,40
2019-04-26,524442.570966024,94628.00464043971,5,-0.0032086769248136256,1.0,False,True,0.766389747752217,40
2019-04-29,526666.764276994,94641.86088397635,5,0.0,1.0,False,True,0.7914862280783641,40
2019-04-30,530726.7232301371,102013.09862447003,5,0.0,1.0,False,True,0.7894899249838343,40
2019-05-01,524384.7312832578,104800.7790242285,5,-0.011949637486276065,1.0,False,True,0.700517996356739,40
2019-05-02,523100.9426230883,97571.60554553015,5,-0.014368563468288159,1.0,False,True,0.7002675513532686,40
2019-05-03,528346.1682240382,97585.81537856,5,-0.004485462860453443,1.0,False,True,0.6550855658273892,40
2019-05-06,526326.0309466524,101118.53411402047,5,-0.008291823439191093,1.0,False,True,0.625124025475285,40
2019-05-07,519150.3514044746,99660.07338652594,5,-0.02181230248819172,1.0,False,True,0.5450801383490607,40
2019-05-08,519582.7036337184,128711.94764306083,5,-0.020997660582443244,1.0,False,True,0.5472891090091805,40
2019-05-09,518862.61791049084,108325.71160369644,5,-0.022354452490046774,1.0,False,True,0.5390463785757185,40
2019-05-10,519341.9194196827,108341.48761010857,5,-0.021451348334532022,1.0,False,True,0.5470271515006698,40
2019-05-13,504799.1456904281,240790.2199700469,3,-0.04885297160449591,1.0,False,False,0.451028533471714,40
2019-05-14,506786.08233448555,183289.64697767346,3,-0.045109167953599164,1.0,False,False,0.4548649259454092,40
2019-05-15,512938.1057231702,97363.91699019172,4,-0.03351747090988918,1.0,False,False,0.45987963905964246,40
2019-05-16,519051.85454727337,130008.93989925511,4,-0.021997891140298282,1.0,False,False,0.4656776410752034,40
2019-05-17,517724.1324981154,130027.87374089917,4,-0.024499596803576548,1.0,False,False,0.4670173220567241,40
2019-05-20,512706.6209909595,149175.8090313233,4,-0.033953636495827305,1.0,False,False,0.45572828011534616,40
2019-05-21,516322.1462432322,149197.5342384322,4,-0.027141231742081978,1.0,False,False,0.47420829650004276,40
2019-05-22,516240.2090137997,102979.81409856938,4,-0.027295618596645893,1.0,False,False,0.47175237211918875,40
2019-05-23,508613.96937429236,228918.60974179785,3,-0.04166504697796442,1.0,False,False,0.4431769985645178,40
2019-05-24,509308.503634222,228951.94828535945,3,-0.04035639936417448,1.0,False,False,0.44835904478025956,40
2019-05-28,509579.3103589682,196627.9735349676,3,-0.03984614293107462,1.0,False,False,0.4868829557987163,40
2019-05-29,508337.5671549052,196656.60943428797,3,-0.04218584649170461,1.0,False,False,0.4886249275142932,40
2019-05-30,509137.77512086666,81795.66471024114,4,-0.04067808754357549,1.0,False,True,0.5034358574371864,40
2019-05-31,503262.6166426133,134769.96966872012,3,-0.05174811326697538,0.9817461664192297,False,False,0.4906598292667517,40
