date,symbol,action,shares,price,cost,stop_price,proceeds,pnl_pct
2000-04-03 00:00:00-04:00,AMD,BUY,311,30.4375,9475.5285625,29.524375,,
2000-04-03 00:00:00-04:00,ADBE,BUY,362,26.21035385131836,9497.636242271423,25.424043235778807,,
2000-04-03 00:00:00-04:00,DIS,BUY,300,31.607351303100586,9491.687596321104,30.659130764007568,,
2000-04-03 00:00:00-04:00,JPM,BUY,324,29.2447566986084,9484.77647151947,28.367413997650146,,
2000-04-03 00:00:00-04:00,AAPL,BUY,9494,0.9995450973510742,9499.170835405348,0.969558744430542,,
2000-04-03 00:00:00-04:00,COST,BUY,270,35.026283264160156,9466.553577804565,33.97549476623535,,
2000-04-03 00:00:00-04:00,PFE,BUY,692,13.695515632629395,9486.77411459732,13.284650163650513,,
2000-04-03 00:00:00-04:00,BAC,BUY,659,14.394508361816406,9495.466991447447,13.962673110961914,,
2000-04-03 00:00:00-04:00,WFC,BUY,880,10.779998779296875,9495.885324707031,10.45659881591797,,
2000-04-03 00:00:00-04:00,UNH,BUY,1576,6.0189714431762695,9495.384893440245,5.838402299880982,,
2000-04-04 00:00:00-04:00,ADBE,SELL_STOP_LOSS,362,25.263742446899414,,,9136.32929101181,-0.03611593379428304
2000-04-04 00:00:00-04:00,JPM,SELL_STOP_LOSS,324,27.569902420043945,,,8923.715735710144,-0.05727024149406415
2000-04-04 00:00:00-04:00,AAPL,SELL_STOP_LOSS,9494,0.9545588493347168,,,9053.519133868218,-0.04500672169327516
2000-04-05 00:00:00-04:00,AMD,SELL_PROFIT_TARGET_2,311,34.1875,,,10621.6801875,0.12320328542094455
2000-04-05 00:00:00-04:00,DIS,SELL_STOP_LOSS,300,30.23721694946289,,,9062.093919754028,-0.04334859762523946
2000-04-05 00:00:00-04:00,UNH,SELL_STOP_LOSS,1576,5.818946838378906,,,9161.489557067871,-0.033232356505716924
2000-04-06 00:00:00-04:00,BAC,SELL_STOP_LOSS,659,13.859583854675293,,,9124.332294470787,-0.037161707346676794
2000-04-06 00:00:00-04:00,WFC,SELL_STOP_LOSS,880,9.993471145629883,,,8785.460353546143,-0.07296175535543924
2000-04-11 00:00:00-04:00,COST,SELL_PROFIT_TARGET_1,135,38.3204231262207,,,5168.083864917755,0.09404765664734974
2000-04-12 00:00:00-04:00,PFE,SELL_PROFIT_TARGET_1,346,14.551486015319824,,,5029.779347139359,0.06250004787341419
2000-04-14 00:00:00-04:00,COST,SELL_STOP_LOSS,135,33.9421272277832,,,4577.604988574982,-0.030952642853953362
2000-04-24 00:00:00-04:00,PFE,SELL_PROFIT_TARGET_2,346,15.677766799926758,,,5419.082805461883,0.144737242501091
2000-05-01 00:00:00-04:00,NVDA,BUY,53561,0.17572692036628723,9421.521691320448,0.17045511275529862,,
2000-05-01 00:00:00-04:00,AMD,BUY,213,44.1875,9421.3494375,42.861875,,
2000-05-01 00:00:00-04:00,ADBE,BUY,290,32.44870376586914,9419.534216194152,31.475242652893066,,
2000-05-01 00:00:00-04:00,TXN,BUY,193,48.734222412109375,9415.110630462645,47.272195739746095,,
2000-05-01 00:00:00-04:00,DHR,BUY,1606,5.8570356369018555,9415.805632097243,5.6813245677948,,
2000-05-01 00:00:00-04:00,AAPL,BUY,10098,0.932065486907959,9421.409284083365,0.9041035223007202,,
2000-05-01 00:00:00-04:00,DIS,BUY,296,31.74908447265625,9407.126732910156,30.796611938476563,,
2000-05-01 00:00:00-04:00,PFE,BUY,624,15.069571495056152,9412.816025527953,14.617484350204467,,
2000-05-01 00:00:00-04:00,COST,BUY,241,38.987606048583984,9405.409070766447,37.817977867126466,,
2000-05-01 00:00:00-04:00,PEP,BUY,491,19.131160736083984,9402.793321338653,18.557225914001464,,
2000-05-02 00:00:00-04:00,NVDA,SELL_STOP_LOSS,53561,0.16892218589782715,,,9038.593557674647,-0.03872334673751873
2000-05-02 00:00:00-04:00,ADBE,SELL_STOP_LOSS,290,28.677753448486328,,,8308.231951560974,-0.11621266428982135
2000-05-02 00:00:00-04:00,AAPL,SELL_STOP_LOSS,10098,0.883798360824585,,,8915.671251759053,-0.051785123214352406
2000-05-02 00:00:00-04:00,COST,SELL_STOP_LOSS,241,36.52741622924805,,,8794.30420393753,-0.06310184360307218
2000-05-03 00:00:00-04:00,TXN,SELL_STOP_LOSS,193,46.24040222167969,,,8915.473231155396,-0.05117184735895219
2000-05-03 00:00:00-04:00,DHR,SELL_STOP_LOSS,1606,5.602112293243408,,,8987.995350605965,-0.04352429444893933
2000-05-04 00:00:00-04:00,DIS,SELL_STOP_LOSS,296,30.000995635986328,,,8871.414413543702,-0.05505950378428881
2000-05-05 00:00:00-04:00,PFE,SELL_PROFIT_TARGET_1,312,16.08321762084961,,,5012.945933807373,0.06726442925905372
2000-05-08 00:00:00-04:00,PFE,SELL_PROFIT_TARGET_2,312,16.623830795288086,,,5181.448572921753,0.10313891810008245
2000-05-09 00:00:00-04:00,AMD,SELL_STOP_LOSS,213,41.75,,,8883.85725,-0.055162659123055166
2000-05-10 00:00:00-04:00,PEP,SELL_PROFIT_TARGET_1,245,20.262235641479492,,,4959.283484430313,0.05912212651384743
2000-05-24 00:00:00-04:00,PEP,SELL_PROFIT_TARGET_2,246,21.070138931274414,,,5178.070922916412,0.10135183232940236
2000-06-01 00:00:00-04:00,AMD,BUY,217,42.0,9123.114,40.74,,
2000-06-01 00:00:00-04:00,NVDA,BUY,40693,0.22407524287700653,9127.41215225242,0.21735298559069632,,
2000-06-01 00:00:00-04:00,NKE,BUY,2265,4.025748252868652,9127.438112540243,3.9049758052825925,,
2000-06-01 00:00:00-04:00,UNH,BUY,1237,7.370663642883301,9126.628437172889,7.1495437335968015,,
2000-06-01 00:00:00-04:00,PFE,BUY,561,16.250089645385742,9125.416591352461,15.762586956024169,,
2000-06-01 00:00:00-04:00,WFC,BUY,800,11.395792007446289,9125.750239562987,11.0539182472229,,
2000-06-01 00:00:00-04:00,BRK-B,BUY,235,38.7599983215332,9117.708205165862,37.5971983718872,,
2000-06-01 00:00:00-04:00,ADBE,BUY,309,29.422643661499023,9100.6884882946,28.539964351654053,,
2000-06-01 00:00:00-04:00,NEE,BUY,3279,2.7805049419403076,9126.39298032689,2.6970897936820983,,
2000-06-01 00:00:00-04:00,BAC,BUY,613,14.870264053344727,9124.587336565017,14.424156131744384,,
2000-06-02 00:00:00-04:00,AMD,SELL_PROFIT_TARGET_1,108,45.0625,,,4861.88325,0.07291666666666667
2000-06-02 00:00:00-04:00,NVDA,SELL_PROFIT_TARGET_2,40693,0.25129425525665283,,,10215.691212029815,0.12147264476953683
2000-06-02 00:00:00-04:00,PFE,SELL_STOP_LOSS,561,15.730984687805176,,,8816.257327448844,-0.031944744238870566
2000-06-02 00:00:00-04:00,ADBE,SELL_PROFIT_TARGET_1,154,31.036537170410156,,,4774.847097518921,0.05485209036545523
2000-06-02 00:00:00-04:00,BAC,SELL_PROFIT_TARGET_1,306,15.966314315795898,,,4880.806488452911,0.07370751847574895
2000-06-05 00:00:00-04:00,NEE,SELL_STOP_LOSS,3279,2.6647963523864746,,,8729.129372235775,-0.041614236252027155
2000-06-06 00:00:00-04:00,UNH,SELL_STOP_LOSS,1237,7.116086959838867,,,8793.796969751358,-0.03453918064626902
2000-06-07 00:00:00-04:00,ADBE,SELL_STOP_LOSS,155,28.382911682128906,,,4394.951959419251,-0.0353378163883573
2000-06-07 00:00:00-04:00,BAC,SELL_TRAILING_STOP,307,15.132002830505371,,,4640.879344096184,0.017601488192926364
2000-06-09 00:00:00-04:00,NKE,SELL_STOP_LOSS,2265,3.868675708770752,,,8753.787929885388,-0.03901698124962837
2000-06-09 00:00:00-04:00,WFC,SELL_STOP_LOSS,800,10.713586807250977,,,8562.29857635498,-0.05986465879243347
2000-06-12 00:00:00-04:00,AMD,SELL_TRAILING_STOP,109,42.75,,,4655.09025,0.017857142857142856
2000-06-14 00:00:00-04:00,BRK-B,SELL_STOP_LOSS,235,37.47999954223633,,,8798.992092533112,-0.0330237057462866
2000-07-03 00:00:00-04:00,UNH,BUY,1063,8.540515899658203,9087.646969738005,8.284300422668457,,
2000-07-03 00:00:00-04:00,JNJ,BUY,351,25.845195770263672,9080.73537907791,25.06983989715576,,
2000-07-03 00:00:00-04:00,ADBE,BUY,286,31.756763458251953,9091.516783409117,30.804060554504392,,
2000-07-03 00:00:00-04:00,PFE,BUY,527,17.2205753326416,9084.318443502425,16.703958072662353,,
2000-07-03 00:00:00-04:00,PEP,BUY,407,22.3096923828125,9089.124844604492,21.640401611328123,,
2000-07-03 00:00:00-04:00,MRK,BUY,315,28.755294799804688,9066.975779800414,27.892635955810547,,
2000-07-03 00:00:00-04:00,ABT,BUY,877,10.348420143127441,9084.640029988288,10.037967538833618,,
2000-07-03 00:00:00-04:00,TMO,BUY,508,17.872665405273438,9088.393339904784,17.336485443115233,,
2000-07-03 00:00:00-04:00,KO,BUY,642,14.151094436645508,9094.087630954742,13.726561603546143,,
2000-07-03 00:00:00-04:00,NEE,BUY,3251,2.7945303916931152,9094.10332169771,2.7106944799423216,,
2000-07-06 00:00:00-04:00,ADBE,SELL_PROFIT_TARGET_1,143,33.510677337646484,,,4787.234832424164,0.05522961688776187
2000-07-06 00:00:00-04:00,TMO,SELL_PROFIT_TARGET_1,254,19.0438175201416,,,4832.29252046585,0.06552755777113181
2000-07-07 00:00:00-04:00,PFE,SELL_STOP_LOSS,527,16.543487548828125,,,8709.699520294189,-0.039318534412149206
2000-07-10 00:00:00-04:00,PEP,SELL_STOP_LOSS,407,21.23961639404297,,,8635.879348503113,-0.04796462319641499
2000-07-10 00:00:00-04:00,NEE,SELL_PROFIT_TARGET_1,1625,2.9733526706695557,,,4826.86639174819,0.06399009991374537
2000-07-11 00:00:00-04:00,KO,SELL_STOP_LOSS,642,13.664703369140625,,,8763.966823425293,-0.034371268574487794
2000-07-12 00:00:00-04:00,MRK,SELL_STOP_LOSS,315,27.597803115844727,,,8684.614673509597,-0.04025316700866593
2000-07-12 00:00:00-04:00,TMO,SELL_TRAILING_STOP,254,18.381868362426758,,,4664.32556949234,0.028490599785025737
2000-07-13 00:00:00-04:00,JNJ,SELL_STOP_LOSS,351,24.35874366760254,,,8541.369108301164,-0.057513671626793335
2000-07-14 00:00:00-04:00,UNH,SELL_STOP_LOSS,1063,8.195012092590332,,,8702.5865565691,-0.04045467640680798
2000-07-14 00:00:00-04:00,ABT,SELL_STOP_LOSS,877,9.969189643859863,,,8734.236338347435,-0.03664622174423711
2000-07-18 00:00:00-04:00,ADBE,SELL_TRAILING_STOP,143,32.51731872558594,,,4645.32660118103,0.023949394853597875
2000-07-31 00:00:00-04:00,NEE,SELL_STOP_LOSS,1626,2.7068722248077393,,,4396.972863299847,-0.031367762950778554
2000-08-01 00:00:00-04:00,KO,BUY,580,15.321488380432129,8895.349723911284,14.861843729019165,,
2000-08-01 00:00:00-04:00,PEP,BUY,374,23.801332473754883,8910.60004352951,23.087292499542237,,
2000-08-01 00:00:00-04:00,ABT,BUY,899,9.89588737487793,8905.299152765274,9.59901075363159,,
2000-08-01 00:00:00-04:00,MRK,BUY,319,27.862205505371094,8896.931599769592,27.02633934020996,,
2000-08-01 00:00:00-04:00,BRK-B,BUY,238,37.2599983215332,8876.747480125427,36.142198371887204,,
2000-08-01 00:00:00-04:00,NKE,BUY,2145,4.148483753204346,8907.396148273943,4.024029240608216,,
2000-08-01 00:00:00-04:00,JPM,BUY,359,24.782482147216797,8905.80800194168,24.039007682800293,,
2000-08-01 00:00:00-04:00,XOM,BUY,499,17.82236671447754,8902.254351514815,17.287695713043213,,
2000-08-01 00:00:00-04:00,BAC,BUY,713,12.48186206817627,8908.46722226429,12.107406206130982,,
2000-08-01 00:00:00-04:00,PG,BUY,597,14.906326293945312,8907.975874282836,14.459136505126953,,
2000-08-03 00:00:00-04:00,BRK-B,SELL_PROFIT_TARGET_1,119,39.20000076293945,,,4660.135290699005,0.05206662718192042
2000-08-04 00:00:00-04:00,BRK-B,SELL_PROFIT_TARGET_2,119,41.400001525878906,,,4921.67358139801,0.11111120211600017
2000-08-04 00:00:00-04:00,BAC,SELL_PROFIT_TARGET_2,713,13.741496086120605,,,9787.889022694588,0.10091715571476281
2000-08-07 00:00:00-04:00,ABT,SELL_STOP_LOSS,899,9.485393524169922,,,8518.841409450532,-0.04148125733020193
2000-08-08 00:00:00-04:00,KO,SELL_STOP_LOSS,580,14.819894790649414,,,8586.943439598084,-0.03273791535966741
2000-08-08 00:00:00-04:00,PEP,SELL_STOP_LOSS,374,23.05550193786621,,,8614.1349670372,-0.031335663106722283
2000-08-08 00:00:00-04:00,NKE,SELL_PROFIT_TARGET_1,1072,4.474767208099365,,,4792.153496635437,0.07865125532744191
2000-08-08 00:00:00-04:00,PG,SELL_STOP_LOSS,597,14.335444450378418,,,8549.702076539039,-0.03829795700894973
2000-08-09 00:00:00-04:00,MRK,SELL_STOP_LOSS,319,26.53432273864746,,,8455.984504674912,-0.04765892515104923
2000-08-17 00:00:00-04:00,XOM,SELL_PROFIT_TARGET_1,249,18.77362060546875,,,4669.956899230957,0.05337416215426004
2000-08-22 00:00:00-04:00,NKE,SELL_STOP_LOSS,1073,3.9270753860473633,,,4209.538137339592,-0.05337091340564214
2000-08-23 00:00:00-04:00,JPM,SELL_PROFIT_TARGET_1,179,26.072614669799805,,,4662.331027868271,0.05205824480853692
2000-08-31 00:00:00-04:00,JPM,SELL_TIME_EXIT,180,26.822668075561523,,,4823.252173347473,0.08232371221838447
2000-08-31 00:00:00-04:00,XOM,SELL_TIME_EXIT,250,18.28713607788086,,,4567.212235450745,0.026077870063451053
2000-09-01 00:00:00-04:00,AAPL,BUY,9437,0.9512788653373718,8986.195870840966,0.9227404993772507,,
2000-09-01 00:00:00-04:00,UNH,BUY,985,9.1102876663208,8982.606984677313,8.836979036331176,,
2000-09-01 00:00:00-04:00,NVDA,BUY,29561,0.3037012815475464,8986.691297410845,0.29459024310112,,
2000-09-01 00:00:00-04:00,TMO,BUY,463,19.34932518005371,8967.696295923231,18.7688454246521,,
2000-09-01 00:00:00-04:00,ADBE,BUY,267,33.60380935668945,8981.189315334319,32.59569507598877,,
2000-09-01 00:00:00-04:00,NEE,BUY,2923,3.0704283714294434,8983.83699181795,2.97831552028656,,
2000-09-01 00:00:00-04:00,DHR,BUY,1602,5.603826522827148,8986.30741965866,5.435711727142333,,
2000-09-01 00:00:00-04:00,COST,BUY,381,23.55933952331543,8985.08446674156,22.852559337615965,,
2000-09-01 00:00:00-04:00,JPM,BUY,332,27.03271484375,8983.836189453124,26.2217333984375,,
2000-09-01 00:00:00-04:00,ABT,BUY,884,10.145112991333008,8977.248164222716,9.840759601593017,,
