date,value,cash,positions,drawdown,leverage,in_protection,risk_on,universe_size
2020-07-14,2275441.8286937615,763774.5077169931,3,0.22459007360548078,1.0,True,True,40
2020-07-15,2266384.1181477015,763839.3679331247,3,0.21971542364325158,1.0,True,True,40
2020-07-16,2244940.565696664,763904.2336572269,3,0.20817500052926965,1.0,True,True,40
2020-07-17,2242421.364366273,736144.4364776736,3,0.20681922473939512,1.0,True,True,40
2020-07-20,2345348.189055437,779962.7603369975,3,0.26221205712590284,1.0,True,True,40
2020-07-21,2303134.3214132544,772039.3968872109,3,0.23949353159330833,1.0,True,True,40
2020-07-22,2309822.677169808,771429.8412354109,3,0.2430930497022462,1.0,True,True,40
2020-07-23,2250591.1176072387,771495.3515473254,3,0.2112159966526706,1.0,True,True,40
2020-07-24,2227188.8371371566,732000.6837890923,3,0.19862143149964911,1.0,True,True,40
2020-07-27,2288461.0669319537,732062.8457519221,3,0.23159672598892025,1.0,True,True,40
2020-07-28,2247417.491850805,774182.3026940206,3,0.2095080247987391,1.0,True,True,40
2020-07-29,2272544.9053524868,766509.3809341916,3,0.22303101658060506,1.0,True,True,40
2020-07-30,2263995.6367083034,766574.4733974932,3,0.21842999827012438,1.0,True,True,40
2020-07-31,2234293.938301741,766639.5713884882,3,0.20244523233181883,1.0,True,True,40
2020-08-03,2284357.510916682,766708.0213502193,3,0.22938828721478094,1.0,True,True,40
2020-08-04,2304656.4412688105,749542.6223824034,3,0.24031270123431908,1.0,True,True,40
2020-08-05,2334866.721913672,771639.5810278178,3,0.2565711743501845,1.0,True,True,40
2020-08-06,2341980.671213602,771708.477418981,3,0.2603997370437991,1.0,True,True,40
2020-08-07,2313192.2000341364,771777.3799616077,3,0.24490644884100238,1.0,True,True,40
2020-08-10,2296063.7582673393,771846.2886562472,3,0.2356883183225921,1.0,True,True,40
2020-08-11,2255021.279721303,633795.8478155837,3,0.21360020726220327,1.0,True,True,40
2020-08-12,2392032.0626070485,684805.7687914872,3,0.28733623627557364,1.0,True,True,40
2020-08-13,2421864.0805637413,684866.9121637007,3,0.30339113717644967,1.0,True,True,40
2020-08-14,2439009.614840037,684928.0609951438,3,0.3126184664874642,1.0,True,True,40
2020-08-17,2570832.4998581405,684989.2152863041,3,0.3835624890643348,1.0,True,True,40
2020-08-18,2590036.3907918665,818737.4370119108,3,0.39389757823932076,1.0,True,True,40
2020-08-19,2582540.301090918,781913.8577971491,3,0.3898633564355019,1.0,True,True,40
2020-08-20,2653595.926141453,781983.6715344525,3,0.4281038475847172,1.0,True,True,40
2020-08-21,2707923.839933191,782053.4915051252,3,0.457341872090599,1.0,True,True,40
2020-08-24,2696368.1060470897,782123.3177097238,3,0.45112284384223916,1.0,True,True,40
2020-08-25,2716147.8506546123,868778.4193194567,3,0.46176784412279065,1.0,True,True,40
2020-08-26,2760834.281419276,853088.4750449517,3,0.4858170458423,1.0,True,True,40
2020-08-27,2777686.4193955907,853164.6436587949,3,0.49488647606221997,1.0,True,True,40
2020-08-28,2791518.682241811,853240.8190734073,3,0.5023306794531311,1.0,True,True,40
2020-08-31,2918964.7373819402,853317.0012893961,3,0.5709191935943043,1.0,True,True,40
2020-09-01,2921613.1177683845,965239.9322740298,3,0.5723444905592603,1.0,True,True,40
2020-09-02,2892209.9652510853,933581.3969948923,3,0.5565203951016926,1.0,True,True,40
2020-09-03,2720178.0950247734,876441.1778405389,3,0.46393682826805305,1.0,True,True,40
2020-09-04,2720508.2382022035,414493.06589092605,5,0.0,0.8940019341186849,False,True,40
2020-09-08,2485999.571007018,566827.0390002783,5,-0.08620031503751525,0.7662739341881982,False,True,40
2020-09-09,2601330.6024525883,566878.99814552,5,-0.043807121800289624,0.7295403906472172,False,True,40
2020-09-10,2560130.1926207636,566930.9620536834,5,-0.05895150153539795,0.7152915800709104,False,True,40
2020-09-11,2534743.7817335343,665007.1737943552,5,-0.06828299722092669,0.7154227603165539,False,True,40
2020-09-14,2638579.2166071543,574247.3430443623,5,-0.03011533670237677,0.697402528170776,False,True,40
2020-09-15,2688928.0485543674,653393.8614085243,5,-0.01160819482344421,0.6960045713941638,False,True,40
2020-09-16,2638053.4986405387,653453.7558458201,5,-0.030308579258761417,0.6945806031957233,False,True,40
