symbol,strategy,entry_date,exit_date,exit_reason,pnl_pct,hold_days
NVDA,RATTLESNAKE,2001-09-04,2001-09-17,STOP,-0.13752903486083656,5
BKNG,RATTLESNAKE,2001-09-06,2001-09-17,STOP,-0.3919192035229796,3
GD,RATTLESNAKE,2001-10-18,2001-10-22,PROFIT,0.055251243344334844,2
GD,RATTLESNAKE,2001-10-23,2001-10-25,PROFIT,0.04072861409210793,2
GILD,RATTLESNAKE,2001-10-31,2001-11-05,PROFIT,0.040063790323312753,3
TGT,RATTLESNAKE,2001-12-12,2001-12-19,PROFIT,0.04527913129459549,5
CSCO,RATTLESNAKE,2001-12-13,2001-12-26,TIME,-0.04050525525129722,8
BKNG,RATTLESNAKE,2001-12-26,2001-12-27,PROFIT,0.06261494196107797,1
GILD,RATTLESNAKE,2002-01-03,2002-01-04,PROFIT,0.04724524336754543,1
NVDA,RATTLESNAKE,2002-01-11,2002-01-14,STOP,-0.05248026557562102,1
NVDA,RATTLESNAKE,2002-01-14,2002-01-15,PROFIT,0.0933738492388223,1
AAPL,RATTLESNAKE,2002-01-10,2002-01-17,PROFIT,0.05888047765087512,5
FDX,RATTLESNAKE,2002-01-15,2002-01-23,PROFIT,0.04520956211992755,5
INTC,RATTLESNAKE,2002-01-22,2002-01-24,PROFIT,0.04731826549810969,2
AMZN,RATTLESNAKE,2002-02-04,2002-02-05,STOP,-0.08220274788348814,1
SBUX,RATTLESNAKE,2002-02-07,2002-02-20,TIME,-0.001385502928069049,8
AAPL,RATTLESNAKE,2002-02-19,2002-02-25,PROFIT,0.052608329579630464,4
INTC,RATTLESNAKE,2002-02-21,2002-02-25,PROFIT,0.05223884404884971,2
ACN,RATTLESNAKE,2002-02-25,2002-03-04,PROFIT,0.06349249319748806,5
COST,RATTLESNAKE,2002-02-27,2002-03-05,STOP,-0.07466311428995231,4
TGT,RATTLESNAKE,2002-03-05,2002-03-07,PROFIT,0.047951949211846756,2
LOW,RATTLESNAKE,2002-03-04,2002-03-14,TIME,0.010854073699482436,8
NVDA,RATTLESNAKE,2002-03-14,2002-03-15,PROFIT,0.04226693634743417,1
AMZN,RATTLESNAKE,2002-03-15,2002-03-18,PROFIT,0.06985035623015534,1
NVDA,RATTLESNAKE,2002-03-15,2002-03-20,STOP,-0.11843781754939808,3
ACN,RATTLESNAKE,2002-03-19,2002-03-21,PROFIT,0.053461073354549304,2
EMR,RATTLESNAKE,2002-03-27,2002-04-09,TIME,-0.005817563284187255,8
ACN,RATTLESNAKE,2002-04-08,2002-04-11,STOP,-0.06158959062991354,3
ACN,RATTLESNAKE,2002-04-11,2002-04-16,PROFIT,0.05321536202167931,3
BA,RATTLESNAKE,2002-04-17,2002-04-19,STOP,-0.057747122380206406,2
RTX,RATTLESNAKE,2002-04-18,2002-04-30,PROFIT,0.04341951797348398,8
ACN,RATTLESNAKE,2002-04-30,2002-05-03,STOP,-0.07322787403176279,3
AAPL,RATTLESNAKE,2002-04-24,2002-05-06,TIME,-0.04711806812045927,8
ADBE,RATTLESNAKE,2002-05-07,2002-05-08,PROFIT,0.13920234913812402,1
AAPL,RATTLESNAKE,2002-05-21,2002-05-23,PROFIT,0.0733157215713558,2
ADBE,RATTLESNAKE,2002-05-21,2002-06-03,TIME,-0.049798252882856775,8
GILD,RATTLESNAKE,2002-06-04,2002-06-06,STOP,-0.0672488978964324,2
AAPL,RATTLESNAKE,2002-06-06,2002-06-11,STOP,-0.0767147581800427,3
NEE,RATTLESNAKE,2002-06-06,2002-06-13,PROFIT,0.05777293022461838,5
AMZN,RATTLESNAKE,2002-06-14,2002-06-17,PROFIT,0.09453027111466139,1
