date,value,cash,positions,drawdown,leverage,in_protection,risk_on,regime_score,universe_size
2010-06-11,131127.5074185466,54444.39991201442,2,-0.07457503769968005,0.49538534345324203,False,False,0.3385747313390203,40
2010-06-14,131059.91559850913,54454.943113267225,2,-0.07505206314416071,0.5046826614914262,False,False,0.34905669459562627,40
2010-06-15,132118.88898789842,50414.61511989126,3,-0.06757841838231413,0.4843257143633802,False,False,0.37900529546062156,40
2010-06-16,133146.5127590633,50424.37795012083,3,-0.06032602177681996,0.490315327819382,False,False,0.3928229632963151,40
2010-06-17,133629.02016398162,50434.14267093022,3,-0.056920753074648306,0.4914383770199336,False,False,0.4005184728685489,40
2010-06-18,133926.28735653142,30265.663895917074,4,-0.0548228066873931,0.5555121931952492,False,True,0.5036863674786778,40
2010-06-21,133119.6834043458,30271.524865750886,4,-0.06051536842930186,0.562738637937351,False,True,0.5140277064259383,40
2010-06-22,132354.505272867,43004.457294566986,3,-0.0659155697861121,0.5566477837515913,False,False,0.4494765010156806,40
2010-06-23,131672.89948009647,50057.86236726727,3,-0.07072596409235772,0.5557407448215266,False,False,0.4474785250844157,40
2010-06-24,130500.07656653397,50067.55611204315,3,-0.07900309542761724,0.5433077022064234,False,False,0.48124597488730897,40
2010-06-25,130902.11065940374,41939.92319888439,3,-0.07616576257075226,0.605396326565789,False,False,0.46083406311022784,40
2010-06-28,130676.27853395385,41948.04489829751,3,-0.07775956001489634,0.614338658336704,False,False,0.45725418436598897,40
2010-06-29,128099.95913310973,41828.38575057787,3,-0.09594178837671247,0.5744243548928619,False,False,0.41750400902280427,40
2010-06-30,126883.84434540044,43683.731428674626,3,-0.10452444966361153,0.6205775790213417,True,False,0.3979822059798377,40
2010-07-01,126764.78725927007,43691.91346091047,3,-0.10536468831080938,0.6235705354245128,True,False,0.4030339477622251,40
2010-07-02,126328.54311930422,41993.41094342774,3,-0.10844345663889961,0.7154586003731658,True,False,0.42052170215922147,40
2010-07-06,126815.94425942963,42001.276375953654,3,-0.10500365067747024,0.7218379256998,True,False,0.3962147582733358,40
2010-07-07,129611.0290093557,70251.17077037682,2,-0.08527749824577473,0.6393242428199487,False,False,0.31892653714127117,40
2010-07-08,130019.42924588657,60081.895481572246,2,-0.08239523669032046,0.6351559765235074,False,False,0.33391362424812554,40
2010-07-09,130994.2642766812,60093.14891596403,2,-0.07551539363235227,0.7042742709582724,False,False,0.32320993975754525,40
