date,value,cash,positions,drawdown,leverage,in_protection,risk_on,protection_stage,inverse_value
2019-07-15,650522.6605077977,150187.35397345113,5,-0.026915865135768675,1.8732459046085557,False,True,0,0.0
2019-07-16,646778.2398375757,152175.44600568933,5,-0.03251695571977158,1.8257014963977838,False,True,0,0.0
2019-07-17,643855.7854071882,150113.0673513216,5,-0.036888508340019846,1.8407800319441152,False,True,0,0.0
2019-07-18,640252.7213513833,148148.0096755128,5,-0.042278150672950335,1.8317459123626791,False,True,0,0.0
2019-07-19,638051.4388788856,147111.74673807563,5,-0.045570938427138816,1.897938835899149,False,True,0,0.0
2019-07-22,643335.6249883451,145615.2073025101,5,-0.03766659015313531,1.899071196857497,False,True,0,0.0
2019-07-23,643822.526749223,148724.41826375067,5,-0.0369382582939839,1.8323520346375881,False,True,0,0.0
2019-07-24,649704.8357171812,148704.12283267133,5,-0.028139208113900117,2.0,False,True,0,0.0
2019-07-25,649017.744590789,150082.93418380216,5,-0.02916699317795366,2.0,False,True,0,0.0
2019-07-26,650985.8818873754,149030.6148478064,5,-0.026222955568183322,1.9515888444312035,False,True,0,0.0
2019-07-29,648846.4411615117,148744.24964973624,5,-0.0294232373634328,1.9532065553854265,False,True,0,0.0
2019-07-30,647897.2854714626,149892.5436277935,5,-0.030843031629756865,2.0,False,True,0,0.0
2019-07-31,630155.0237970792,122405.09394071308,5,-0.05738278865908982,1.803185812555861,False,True,0,0.0
2019-08-01,621702.0571290611,131056.59156678093,5,-0.07002715642141163,1.7962870189227198,False,True,0,0.0
2019-08-02,618787.9796915511,134991.13767467206,5,-0.07438617831927036,1.7240139107896877,False,True,0,0.0
2019-08-05,598965.123214879,125626.15490114994,5,-0.10403819248597607,1.1140381029446769,False,True,0,0.0
2019-08-06,607497.6510353435,125637.38157829824,5,-0.09127481319662042,1.0264585181982007,False,True,0,0.0
2019-08-07,605611.759424737,121559.20686910924,5,-0.0940958236206421,1.0382775967941664,False,True,0,0.0
2019-08-08,637320.1730740196,124199.49829485033,5,-0.04666480217129854,0.9211228624685459,False,True,0,0.0
2019-08-09,637349.1507058328,128788.9574060956,5,-0.04662145598907439,0.9212472575288817,False,True,0,0.0
2019-08-12,622461.8944853422,135401.20256120426,5,-0.06889055393027448,0.8983038745482808,False,True,0,0.0
2019-08-13,631835.5676159008,135417.32175198535,5,-0.054868947670425605,0.8416349735269499,False,True,0,0.0
2019-08-14,622436.5730915047,129158.2448458268,5,-0.0689284309299729,0.7345451062934449,False,True,0,0.0
2019-08-15,633495.7155608375,125476.65957261021,5,-0.05238561584385343,0.7358525683012749,False,True,0,0.0
2019-08-16,643292.4396599068,128091.39350179618,5,-0.03773118891427517,0.7069233547653291,False,True,0,0.0
2019-08-19,648058.8137965356,149977.97655437904,5,-0.030601409531093936,0.690822576724752,False,True,0,0.0
2019-08-20,645731.8842954291,149995.8310753974,5,-0.034082146356936044,0.6936261347509823,False,True,0,0.0
2019-08-21,652928.1030949306,142802.59408172383,5,-0.02331768453274608,0.6883309891972067,False,True,0,0.0
2019-08-22,649671.3245548853,139651.5474802967,5,-0.028189335776394736,0.6893916216741439,False,True,0,0.0
2019-08-23,636194.983836844,135201.9644934075,5,-0.04834791616852795,0.6468588846408784,False,True,0,0.0
2019-08-26,643229.4780825998,146061.93612879066,5,-0.03782536997160469,0.6327155697225373,False,True,0,0.0
2019-08-27,639769.6070169753,146079.32445452028,5,-0.043000817111304546,0.6325012265041134,False,True,0,0.0
2019-08-28,644901.0140400358,141689.0673095384,5,-0.03532500338980668,0.6329072319979374,False,True,0,0.0
2019-08-29,651211.9148294067,141965.9162191482,5,-0.02588484425677162,0.6239677134224164,False,True,0,0.0
2019-08-30,649927.5199229999,142761.07767310864,5,-0.027806106008590122,0.6279519415030397,False,True,0,0.0
2019-09-03,649789.4675540887,138292.97872364713,5,-0.028012611604971753,0.7064937249835779,False,True,0,0.0
2019-09-04,654592.3004320062,138309.4421734952,5,-0.02082829542410617,0.7129498939401245,False,True,0,0.0
2019-09-05,658346.4959565685,142487.48867132392,5,-0.015212583127046146,0.6995573147854579,False,True,0,0.0
2019-09-06,660079.456835057,143077.68912892588,5,-0.01262033409473543,0.7360675552450772,False,True,0,0.0
2019-09-09,655732.0735960193,145437.17709272826,5,-0.01912336606410609,0.7433351551040486,False,True,0,0.0
2019-09-10,647425.3903488794,146254.29458786137,5,-0.03154891581332571,0.7666319267591012,False,True,0,0.0
2019-09-11,647480.5526988617,146271.70581340755,5,-0.03146640122794953,0.7894749904933128,False,True,0,0.0
2019-09-12,654110.0527684276,145498.05278997793,5,-0.021549665453149233,0.9946796742221438,False,True,0,0.0
2019-09-13,654504.5800710245,144782.65990147548,5,-0.020959511900883916,0.9909642035426941,False,True,0,0.0
2019-09-16,649098.5472989518,143897.7297635898,5,-0.02904612447015812,1.0279985039863302,False,True,0,0.0
2019-09-17,651022.1633538498,130830.03103758881,5,-0.026168683946979084,1.0636830233235226,False,True,0,0.0
2019-09-18,650136.0275862059,130832.08554424786,5,-0.027494209880475292,1.0956917283595737,False,True,0,0.0
2019-09-19,649006.271204055,136035.91615427032,5,-0.02918415564020396,1.1108810893913459,False,True,0,0.0
2019-09-20,646570.2732937238,137231.228980578,5,-0.03282804241465604,1.0972325093603523,False,True,0,0.0
2019-09-23,648581.0267639001,140819.6244185306,5,-0.029820257413862433,1.6126557431337865,False,True,0,0.0
2019-09-24,642474.525379576,133275.33895909414,5,-0.03895466575556995,1.5914381525325363,False,True,0,0.0
2019-09-25,649949.4607535842,133232.47032637647,5,-0.02777328582346294,1.6116065132853237,False,True,0,0.0
2019-09-26,648162.0211278038,133635.95136436433,5,-0.030447026874261658,1.625721118588764,False,True,0,0.0
2019-09-27,626712.3694717924,129271.15176496275,5,-0.06253248214270092,1.7554361569663022,False,True,0,0.0
2019-09-30,628851.2449404297,131835.28389451656,5,-0.05933304588731112,1.73559116389747,False,True,0,0.0
2019-10-01,627807.5969276391,132424.6970377923,5,-0.06089418646746611,1.578939659587125,False,True,0,0.0
2019-10-02,622139.3655910972,132397.84425587504,5,-0.0693730086840876,1.4038497269975694,False,True,0,0.0
2019-10-03,624631.6112456118,130765.82228028768,5,-0.0656449837376554,1.4996449253844566,False,True,0,0.0
2019-10-04,632988.7399180371,154255.11940873798,5,-0.05314397521351261,1.333193293277933,False,True,0,0.0
2019-10-07,633750.6821084411,146066.50524217606,5,-0.05200422420685726,1.3237694159272078,False,True,0,0.0
2019-10-08,629210.9536580241,140701.37286887167,5,-0.05879497570542041,1.1997033826002022,False,True,0,0.0
2019-10-09,636533.9288001645,140695.3282242431,5,-0.04784090544250364,1.177007277353902,False,True,0,0.0
2019-10-10,640444.7005937796,139328.152865214,5,-0.041990978578356,1.1575566711300964,False,True,0,0.0
2019-10-11,651866.1307795884,158418.33797196776,5,-0.024906235515609533,1.1043151321075195,False,True,0,0.0
2019-10-14,650945.8816878403,155744.75379414594,5,-0.026282789855168152,1.1068492396455243,False,True,0,0.0
2019-10-15,658381.4879203598,153835.34680642645,5,-0.015160240408060017,1.0705889041493732,False,True,0,0.0
2019-10-16,654157.3165306209,153843.4713326743,5,-0.021478965968048495,1.069989902722851,False,True,0,0.0
2019-10-17,655231.9496060126,151466.99616806902,5,-0.01987147639090189,1.0666334548860308,False,True,0,0.0
2019-10-18,654518.3283000976,130595.55702776538,5,-0.020938946616373924,1.0677605930840106,False,True,0,0.0
2019-10-21,661887.9554210914,141879.43655870203,5,-0.009915092004289638,1.0524357608065786,False,True,0,0.0
2019-10-22,659964.5197765621,147082.73565189107,5,-0.012792262660670453,1.0718665491506183,False,True,0,0.0
2019-10-23,655826.823927011,147088.60699704938,5,-0.018981633808708286,1.0805269382461475,False,True,0,0.0
2019-10-24,687967.6169901558,148100.4251190258,5,0.0,1.0825572809601642,False,True,0,0.0
2019-10-25,706490.7264054306,172311.42788639443,5,0.0,1.093234441171258,False,True,0,0.0
2019-10-28,714191.048101689,176753.6789371507,5,0.0,1.0901426435424266,False,True,0,0.0
2019-10-29,705916.2678124064,167056.5551252045,5,-0.0115862279585789,1.1634443415159206,False,True,0,0.0
2019-10-30,706849.3167389862,167027.86157033383,5,-0.010279786315184183,1.4057354333809011,False,True,0,0.0
2019-10-31,707645.0909294466,162123.1323084698,5,-0.009165554776472509,1.411006486907698,False,True,0,0.0
2019-11-01,717201.1591815132,134793.4741658322,5,0.0,1.4817755444161513,False,True,0,0.0
2019-11-04,727083.9716748123,153948.4005532947,5,0.0,1.5206828725421253,False,True,0,0.0
2019-11-05,724870.1967176488,161329.17518977635,5,-0.0030447307923239454,2.0,False,True,0,0.0
2019-11-06,726284.8069092305,161261.90827380057,5,-0.0010991368214882714,2.0,False,True,0,0.0
2019-11-07,733624.9584987623,163570.9064468806,5,0.0,2.0,False,True,0,0.0
2019-11-08,732241.872179038,148427.44658662874,5,-0.0018852770802053676,2.0,False,True,0,0.0
2019-11-11,736215.0763738645,151904.14830846587,5,0.0,2.0,False,True,0,0.0
2019-11-12,740161.2292008774,155608.10545298818,5,0.0,2.0,False,True,0,0.0
2019-11-13,738743.0312257636,155538.67415877726,5,-0.0019160662828083105,2.0,False,True,0,0.0
2019-11-14,740892.2107177117,159900.3690026994,5,0.0,2.0,False,True,0,0.0
2019-11-15,752084.1174565242,155565.77844605915,5,0.0,2.0,False,True,0,0.0
2019-11-18,755613.2396175063,155191.88134690985,5,0.0,2.0,False,True,0,0.0
2019-11-19,752262.1390726087,154810.67388654643,5,-0.004434941540455199,2.0,False,True,0,0.0
2019-11-20,744249.7640222491,160050.42462180997,5,-0.015038746013779953,2.0,False,True,0,0.0
2019-11-21,745122.3548321681,159980.76264142274,5,-0.013883934578288631,2.0,False,True,0,0.0
2019-11-22,734799.8790982326,151309.30632072937,5,-0.027544991839753178,2.0,False,True,0,0.0
2019-11-25,746092.1235571179,152648.2534443821,5,-0.012600515132858191,2.0,False,True,0,0.0
2019-11-26,738509.7688269848,156147.56856316188,5,-0.022635218513613265,2.0,False,True,0,0.0
2019-11-27,744135.9960791802,158490.62774275054,5,-0.01518930973752648,2.0,False,True,0,0.0
2019-11-29,740196.7449079,158421.36652419993,5,-0.020402626504281686,2.0,False,True,0,0.0
2019-12-02,736779.9202496638,154646.0191652001,5,-0.024924549201091287,2.0,False,True,0,0.0
2019-12-03,732897.5309681382,152217.40224876435,5,-0.030062613329627185,2.0,False,True,0,0.0
2019-12-04,737732.7441171738,154866.3778536215,5,-0.02366355506076575,2.0,False,True,0,0.0
2019-12-05,738211.049625579,155098.68119988157,5,-0.023030551980185367,2.0,False,True,0,0.0
2019-12-06,747420.4664235711,155028.15610894698,5,-0.010842548494891873,2.0,False,True,0,0.0
2019-12-09,747219.5290693631,156134.49039327985,5,-0.011108474690560024,2.0,False,True,0,0.0
2019-12-10,753989.7722033127,156624.15636330473,5,-0.0021485428378880153,2.0,False,True,0,0.0
2019-12-11,762955.5715804636,157036.81155626697,5,0.0,2.0,False,True,0,0.0
2019-12-12,780784.0634614693,161240.9393248781,5,0.0,1.8856568045942432,False,True,0,0.0
2019-12-13,776648.3967882235,162716.13236587952,5,-0.005296812354123841,1.8848234398518109,False,True,0,0.0
2019-12-16,794347.4753756006,214539.37867073447,5,0.0,1.8932900653215048,False,True,0,0.0
2019-12-17,796829.7943107305,195498.3447474648,5,0.0,1.891751818469533,False,True,0,0.0
2019-12-18,801121.6112854497,182152.47728892748,5,0.0,1.8936167283920058,False,True,0,0.0
2019-12-19,809512.9132842793,173430.74937064713,5,0.0,1.9333447551093712,False,True,0,0.0
2019-12-20,815388.639478419,173841.51969229724,5,0.0,1.9430796609328909,False,True,0,0.0
2019-12-23,822746.6633377455,198555.24389013252,5,0.0,1.9430098594064233,False,True,0,0.0
2019-12-24,825054.5890995136,200799.46253142064,5,0.0,2.0,False,True,0,0.0
2019-12-26,831722.8903507362,195942.61910078023,5,0.0,1.9886928259686296,False,True,0,0.0
2019-12-27,829637.2043979714,187793.78726828255,5,-0.002507669293417293,2.0,False,True,0,0.0
2019-12-30,820376.7252779593,182544.0117603035,5,-0.013641761221688031,1.952239995905068,False,True,0,0.0
2019-12-31,825876.0538839833,188728.46874025973,5,-0.007029789049436071,2.0,False,True,0,0.0
2020-01-02,852225.1039130287,193917.59237188095,5,0.0,2.0,False,True,0,0.0
2020-01-03,851635.371347079,196711.43130900673,5,-0.000691991544536635,2.0,False,True,0,0.0
2020-01-06,856995.3448467707,196688.84155609924,5,0.0,2.0,False,True,0,0.0
2020-01-07,861738.0203019965,197370.96988846635,5,0.0,2.0,False,True,0,0.0
2020-01-08,871145.0035909733,207180.71862927414,5,0.0,2.0,False,True,0,0.0
2020-01-09,875604.4237674528,202826.67550434562,5,0.0,2.0,False,True,0,0.0
2020-01-10,868919.3242378505,203743.5422800141,5,-0.007634839829655534,2.0,False,True,0,0.0
2020-01-13,892744.8106122664,201454.46302775634,5,0.0,2.0,False,True,0,0.0
2020-01-14,892928.105582202,201345.29417795365,5,0.0,2.0,False,True,0,0.0
2020-01-15,884974.4482799874,208064.6622975015,5,-0.008907388234832895,2.0,False,True,0,0.0
2020-01-16,890096.0758382994,205440.8368508537,5,-0.0031716212382586996,2.0,False,True,0,0.0
2020-01-17,894000.3532993094,206916.56300821787,5,0.0,2.0,False,True,0,0.0
2020-01-21,903857.437430228,208480.5182754745,5,0.0,2.0,False,True,0,0.0
2020-01-22,912452.5973753373,206491.10510372164,5,0.0,2.0,False,True,0,0.0
2020-01-23,918169.7025804284,215684.81994661622,5,0.0,2.0,False,True,0,0.0
2020-01-24,905837.1031048439,208316.48495008665,5,-0.013431721217684465,1.8329134721953233,False,True,0,0.0
2020-01-27,892767.3415574094,205187.4153941556,5,-0.02766630281050241,1.4931835180409876,False,True,0,0.0
2020-01-28,908191.1419592701,205629.37262920244,5,-0.010867882694358726,1.4023701320989916,False,True,0,0.0
2020-01-29,919639.8333404964,217330.10444269018,5,0.0,1.4333030649657448,False,True,0,0.0
2020-01-30,937286.935222332,226987.82625989892,5,0.0,1.4305644224839549,False,True,0,0.0
2020-01-31,920958.8388020435,217934.47666258953,5,-0.01742059534459999,1.2511073731442939,False,True,0,0.0
2020-02-03,957307.5659704623,212744.46650810563,5,0.0,1.2509109619238266,False,True,0,0.0
2020-02-04,997504.7472891556,208133.94972144885,5,0.0,1.1473561379747137,False,True,0,0.0
2020-02-05,970218.0410373269,220892.36412697486,5,-0.027354963799404212,1.109131484022924,False,True,0,0.0
2020-02-06,974802.3193400161,220894.98025959104,5,-0.0227592179494245,1.1136070541732852,False,True,0,0.0
2020-02-07,969910.7288347594,222981.91792063136,5,-0.027663044741778296,1.1091538974299902,False,True,0,0.0
2020-02-10,990427.903155661,222651.95060962503,5,-0.007094546820681172,1.0996456060281303,False,True,0,0.0
2020-02-11,996756.4071466422,224166.67611739185,5,-0.0007502121113178667,1.1121097870872483,False,True,0,0.0
2020-02-12,1005246.9464835969,227654.86588897198,5,0.0,1.1049280609364143,False,True,0,0.0
2020-02-13,1010212.079035389,227659.56926664634,5,0.0,1.1026710099328703,False,True,0,0.0
2020-02-14,1021536.6595411253,239326.7663223577,5,0.0,1.1231797659616887,False,True,0,0.0
2020-02-18,1034585.0549324651,231949.40707197212,5,0.0,1.1202302226463379,False,True,0,0.0
2020-02-19,1053204.738499796,237333.93066721028,5,0.0,1.1174812678119777,False,True,0,0.0
2020-02-20,1043762.5703570731,241281.36114322185,5,-0.008965178181948284,1.1072772547631915,False,True,0,0.0
2020-02-21,1026277.5264091168,230649.25015953346,5,-0.02556693025235988,1.0628086973471467,False,True,0,0.0
2020-02-24,984817.2042215818,232098.97082114764,5,-0.06493280155160207,0.822451620367283,False,True,0,0.0
2020-02-25,955682.3091597452,274534.0769376727,5,-0.09259588926552259,0.7358457109258812,False,True,0,0.0
2020-02-26,954768.7122729481,274566.75956587953,5,-0.09346333398296514,0.7544134246351936,False,True,0,0.0
2020-02-27,909065.6786009207,250630.38589730978,5,-0.13685758773188736,0.6011553164052619,False,True,0,0.0
2020-02-28,929915.7509811057,250660.22284801185,5,-0.11706079835370412,0.6052448317065102,False,True,0,0.0
2020-03-02,966459.0197161944,244351.8302166199,5,-0.08236358574227821,0.5073175763041025,False,True,0,0.0
2020-03-03,947100.9569794817,298961.4118735392,5,-0.1007437373206756,0.4868057798225897,False,True,0,0.0
2020-03-04,972077.4611118656,298997.00251780986,5,-0.07702897112245204,0.43776678674310987,False,True,0,0.0
2020-03-05,939695.5156471692,363133.6033617607,5,-0.10777507801029401,0.4221877608939425,False,True,0,0.0
2020-03-06,924120.629914071,363176.8335526371,5,-0.12256316731882048,0.4208295543604515,False,True,0,0.0
2020-03-09,873501.8159762999,468451.6390353037,2,-0.17062487088642253,0.3,True,False,1,218368.5465519891
2020-03-10,886878.2982663075,468507.4070875698,2,-0.15792412828526292,0.3,True,False,1,207450.11305672897
2020-03-11,865877.8435540904,415608.4774753717,2,-0.17786370313196415,0.3,True,False,1,217425.91653636846
2020-03-12,842682.4601197551,447085.2464785321,2,-0.19988732549752164,0.3,True,False,1,238320.1887550435
2020-03-13,873591.7401454877,447138.47091263667,2,-0.17053948941603922,0.3,True,False,1,216326.24025777003
2020-03-16,823980.6262738351,434486.75086671236,2,-0.21764439889671588,0.3,True,False,1,241226.54906773125
2020-03-17,855412.8119979823,434538.4754799108,2,-0.18780007274136662,0.3,True,False,1,224652.47645384882
2020-03-18,819211.4802050192,425126.08270821883,2,-0.22217262203745972,0.3,True,False,1,237848.89136912086
2020-03-19,849439.5852498508,425176.6929561603,2,-0.19347155002377986,0.3,True,False,1,238477.32312745973
2020-03-20,849635.2734419364,425227.30922913126,2,-0.19328574741111373,0.3,True,False,1,249238.62225030363
2020-03-23,866447.4181735179,425277.931527849,2,-0.1773229017107335,0.3,True,False,1,255679.7217683549
2020-03-24,899402.5057537312,425328.5598530309,2,-0.14603260612475355,0.3,True,False,1,232036.24123129607
2020-03-25,880326.8092516466,463558.1734311948,2,-0.1641446557621834,0.3,True,False,1,228875.52659187783
2020-03-26,891866.3521839568,463613.35892803187,2,-0.1531880558623887,0.3,True,False,1,215430.74879168547
2020-03-27,875469.4700842468,463668.55099457095,2,-0.16875661675119175,0.3,True,False,1,221877.96310476068
2020-03-30,893204.4035473953,463723.7496315941,2,-0.1519175988329754,0.3,True,False,1,214487.25530356864
2020-03-31,884499.499582333,463778.9548398836,2,-0.16018275720803327,0.3,True,False,1,217474.993493549
2020-04-01,884000.7031834256,476584.836583429,2,-0.16065635591175534,0.3,True,False,1,227460.2599268711
2020-04-02,894031.4770388049,476641.5728734985,2,-0.15113230660898885,0.3,True,False,1,222113.83207131797
2020-04-03,888784.6853449066,412379.4744652504,2,-0.15611404615316515,0.3,True,False,1,225416.0504687829
2020-04-06,917940.0013267692,412428.5672598296,2,-0.12843156912273326,0.3,True,False,1,209927.04558861468
2020-04-07,908128.2678121356,412477.6658987891,2,-0.13774764334455042,0.3,True,False,1,209769.82310676004
2020-04-08,913402.6020763151,368488.0580289264,2,-0.1327397525979779,0.3,True,False,1,202536.3377874226
2020-04-09,911094.741880999,368531.9256548822,2,-0.13493102663136622,0.3,True,False,1,199784.53905155027
2020-04-13,939128.2561771311,404099.235170393,2,-0.10831368123652534,0.3,True,False,1,201435.60419556353
2020-04-14,964053.3037183236,404147.342222199,2,-0.08464777219713364,0.3,True,False,1,195381.5341965632
2020-04-15,963461.8107654089,404195.455001035,2,-0.08520938470350842,0.3,True,False,1,199548.61721932993
2020-04-16,975752.4219641177,431623.36331790406,2,-0.07353965824916704,0.3,True,False,1,198683.73497214043
2020-04-17,979787.3767757628,431674.7470516324,2,-0.06970853722953267,0.3,True,False,1,193180.04939095734
2020-04-20,973154.2382924859,434489.7356945781,2,-0.07600658948927201,0.3,True,False,1,196639.50789216455
2020-04-21,952287.4255786439,434541.46066311316,2,-0.09581927352976076,0.3,True,False,1,202614.94902834986
