date,value,cash,positions,drawdown,leverage,in_protection,risk_on,protection_stage,inverse_value
2003-10-09,111174.92758055305,21888.584941924473,5,-0.007417020881645391,1.003526676372649,False,True,0,0.0
2003-10-10,111562.35707493874,19795.8079958515,5,-0.003958004266077672,1.0029314498847974,False,True,0,0.0
2003-10-13,112696.95756946724,19797.91588577938,5,0.0,1.009356204865066,False,True,0,0.0
2003-10-14,113549.65280757517,22196.298483981285,5,0.0,1.0657199488998894,False,True,0,0.0
2003-10-15,113310.35509316495,22718.71708777821,5,-0.0021074279708784335,1.0639996565760081,False,True,0,0.0
2003-10-16,114502.56486323228,22718.817349263645,5,0.0,1.1056041541944923,False,True,0,0.0
2003-10-17,112790.49400509057,20887.520557764117,5,-0.014952248975267042,1.0683038490246743,False,True,0,0.0
2003-10-20,114562.12801041132,20887.48500859247,5,0.0,1.1018733582096967,False,True,0,0.0
2003-10-21,116431.12068666866,21322.178593586905,5,0.0,1.1016446282314052,False,True,0,0.0
2003-10-22,113609.62832555255,19221.584210014506,5,-0.024233146125159363,1.1748928823243479,False,True,0,0.0
2003-10-23,113290.30588059625,19219.081458314115,5,-0.02697573284143462,1.215948030794672,False,True,0,0.0
2003-10-24,113493.11094298944,21006.532418664872,5,-0.0252338870084896,1.229066106924544,False,True,0,0.0
2003-10-27,114056.21455934492,21003.307771371285,5,-0.02039752012449415,1.2671182114437909,False,True,0,0.0
2003-10-28,119559.55197931986,20999.815584524666,5,0.0,1.26660508313595,False,True,0,0.0
2003-10-29,119790.31271892536,17079.195394299644,5,0.0,1.5730989159445088,False,True,0,0.0
2003-10-30,120170.7817722923,17070.7473284435,5,0.0,1.5779856319266579,False,True,0,0.0
2003-10-31,119763.38637616378,21043.78820044913,5,-0.0033901368545682753,1.6514958300019946,False,True,0,0.0
2003-11-03,123153.23469197653,21034.98451788615,5,0.0,1.627686336706817,False,True,0,0.0
2003-11-04,122844.0287136689,21026.214963775186,5,-0.0025107418337893686,1.6270722500891848,False,True,0,0.0
2003-11-05,122799.2574063733,18234.62361663104,5,-0.0028742832982711995,1.6411171419426862,False,True,0,0.0
2003-11-06,123226.92257649975,18225.55358088719,5,0.0,1.6209572653924713,False,True,0,0.0
2003-11-07,122745.27740054713,20450.642811200134,5,-0.003908603460040294,1.5471504116295185,False,True,0,0.0
2003-11-10,119964.22775072261,23395.182741952336,5,-0.02647712656908761,1.534844207911743,False,True,0,0.0
2003-11-11,120067.28591975415,23387.849917498865,5,-0.025640798217484367,1.5477197599965251,False,True,0,0.0
2003-11-12,122351.78367377546,25105.982285945116,5,-0.007101848235973019,1.4396429166131184,False,True,0,0.0
2003-11-13,121246.92627691144,25100.00969829496,5,-0.01606788726188566,1.4500871017235915,False,True,0,0.0
2003-11-14,118400.32404884149,18860.681399787245,5,-0.039168376737331034,1.4972636088394782,False,True,0,0.0
2003-11-17,116923.55935914209,18853.385822426528,5,-0.051152484258823475,1.5213217172984341,False,True,0,0.0
2003-11-18,114670.49850534723,26496.598358913423,5,-0.06943632034501761,1.4265639886365853,False,True,0,0.0
2003-11-19,116127.04459279624,25470.242663569225,5,-0.05761628899963706,1.5095469523840972,False,True,0,0.0
2003-11-20,114680.32807942512,25465.038980169305,5,-0.06935655227264867,1.4318243221870368,False,True,0,0.0
2003-11-21,115223.25983027117,17350.598763099282,5,-0.06495060153157585,1.4222735194706138,False,True,0,0.0
2003-11-24,119274.39743366736,17346.039612087858,5,-0.03207517529603691,1.3042013367231529,False,True,0,0.0
