date,symbol,action,shares,price,cost,planned_exit,proceeds,pnl_pct,minutes_held
2000-01-03 00:00:00-05:00,PG,BUY_RANDOM,707,26.83368682861328,18990.38800441742,2000-01-03 11:06:00-05:00,,,
2000-01-03 00:00:00-05:00,AMZN,BUY_RANDOM,4247,4.46875,18997.760031249996,2000-01-03 11:06:00-05:00,,,
2000-01-03 00:00:00-05:00,NKE,BUY_RANDOM,4245,4.471375465393066,18999.96983944416,2000-01-03 11:06:00-05:00,,,
2000-01-03 00:00:00-05:00,WFC,BUY_RANDOM,1976,9.601664543151855,18991.86202640533,2000-01-03 11:06:00-05:00,,,
2000-01-03 00:00:00-05:00,ADBE,BUY_RANDOM,1166,16.274673461914062,18995.245525848386,2000-01-03 11:06:00-05:00,,,
2000-01-04 00:00:00-05:00,PG,SELL_666,707,26.31737518310547,,,18587.77787020111,-0.01924117430472727,1440.0
2000-01-04 00:00:00-05:00,AMZN,SELL_666,4247,4.096875190734863,,,17382.029506115912,-0.08321674053485577,1440.0
2000-01-04 00:00:00-05:00,NKE,SELL_666,4245,4.227483749389648,,,17927.722847642897,-0.05454512104632173,1440.0
2000-01-04 00:00:00-05:00,WFC,SELL_666,1976,9.126187324523926,,,18015.312807106016,-0.0495202906215935,1440.0
2000-01-04 00:00:00-05:00,ADBE,SELL_666,1166,14.90939998626709,,,17366.976023603438,-0.08388945430100218,1440.0
2000-01-04 00:00:00-05:00,CVX,BUY_RANDOM,1127,15.87527847290039,17909.330277797697,2000-01-04 11:06:00-05:00,,,
2000-01-04 00:00:00-05:00,WMT,BUY_RANDOM,1308,13.67892074584961,17909.92036390686,2000-01-04 11:06:00-05:00,,,
2000-01-04 00:00:00-05:00,GE,BUY_RANDOM,143,124.44144439697266,17812.921675315854,2000-01-04 11:06:00-05:00,,,
2000-01-04 00:00:00-05:00,UNH,BUY_RANDOM,3480,5.143355846405029,17916.77722383499,2000-01-04 11:06:00-05:00,,,
2000-01-04 00:00:00-05:00,TJX,BUY_RANDOM,10106,1.7711694240570068,17917.33763771963,2000-01-04 11:06:00-05:00,,,
2000-01-05 00:00:00-05:00,CVX,SELL_666,1127,16.160037994384766,,,18194.15045685196,0.017937293003739658,1440.0
2000-01-05 00:00:00-05:00,WMT,SELL_666,1308,13.399762153625488,,,17509.3620080452,-0.02040793988142829,1440.0
2000-01-05 00:00:00-05:00,GE,SELL_666,143,124.22541046142578,,,17746.469462287903,-0.0017360288334304368,1440.0
2000-01-05 00:00:00-05:00,UNH,SELL_666,3480,5.131240367889404,,,17838.85976377487,-0.0023555590702698834,1440.0
2000-01-05 00:00:00-05:00,TJX,SELL_666,10106,1.7194159030914307,,,17359.040699525358,-0.02921997199287155,1440.0
2000-01-05 00:00:00-05:00,T,BUY_RANDOM,2969,5.976585865020752,17762.227916679858,2000-01-05 11:06:00-05:00,,,
2000-01-05 00:00:00-05:00,NVDA,BUY_RANDOM,210837,0.08416268974542618,17762.353626874272,2000-01-05 11:06:00-05:00,,,
2000-01-05 00:00:00-05:00,AMZN,BUY_RANDOM,5088,3.487499952316284,17762.144157142637,2000-01-05 11:06:00-05:00,,,
2000-01-05 00:00:00-05:00,UNH,BUY_RANDOM,3458,5.131240367889404,17761.57302135372,2000-01-05 11:06:00-05:00,,,
2000-01-05 00:00:00-05:00,ABT,BUY_RANDOM,2261,7.847378253936768,17760.66515438318,2000-01-05 11:06:00-05:00,,,
2000-01-06 00:00:00-05:00,T,SELL_666,2969,5.860785007476807,,,17383.27001651144,-0.019375754010612416,1440.0
2000-01-06 00:00:00-05:00,NVDA,SELL_666,210837,0.07867080718278885,,,16570.130257023655,-0.06525317310139539,1440.0
2000-01-06 00:00:00-05:00,AMZN,SELL_666,5088,3.278125047683716,,,16662.42114237213,-0.060035815769261404,1440.0
2000-01-06 00:00:00-05:00,UNH,SELL_666,3458,5.319043159484863,,,18374.857994253158,0.036599881925372856,1440.0
2000-01-06 00:00:00-05:00,ABT,SELL_666,2261,8.121962547302246,,,18345.39356213093,0.0349905770411575,1440.0
2000-01-06 00:00:00-05:00,BAC,BUY_RANDOM,1361,12.827069282531738,17475.09893481922,2000-01-06 11:06:00-05:00,,,
2000-01-06 00:00:00-05:00,PLD,BUY_RANDOM,2375,7.353493690490723,17482.012062430378,2000-01-06 11:06:00-05:00,,,
2000-01-06 00:00:00-05:00,APD,BUY_RANDOM,1020,17.108793258666992,17468.42009296417,2000-01-06 11:06:00-05:00,,,
2000-01-06 00:00:00-05:00,AMZN,BUY_RANDOM,5327,3.278125047683716,17480.034701140165,2000-01-06 11:06:00-05:00,,,
2000-01-06 00:00:00-05:00,HUM,BUY_RANDOM,2449,7.129884243011475,17478.547597646233,2000-01-06 11:06:00-05:00,,,
2000-01-07 00:00:00-05:00,BAC,SELL_666,1361,12.490363121032715,,,16982.3848235178,-0.026249656416650006,1440.0
2000-01-07 00:00:00-05:00,PLD,SELL_666,2375,7.4940056800842285,,,17780.465226709843,0.019108194758528315,1440.0
2000-01-07 00:00:00-05:00,APD,SELL_666,1020,18.299518585205078,,,18646.84344795227,0.06959727132916793,1440.0
2000-01-07 00:00:00-05:00,AMZN,SELL_666,5327,3.4781250953674316,,,18509.444410639288,0.06101049983588438,1440.0
2000-01-07 00:00:00-05:00,HUM,SELL_666,2449,7.678335666656494,,,18785.439803594112,0.07692290715415152,1440.0
2000-01-07 00:00:00-05:00,TMO,BUY_RANDOM,1505,12.016949653625488,18103.594737935065,2000-01-07 11:06:00-05:00,,,
2000-01-07 00:00:00-05:00,GE,BUY_RANDOM,138,130.76071166992188,18063.023188659667,2000-01-07 11:06:00-05:00,,,
2000-01-07 00:00:00-05:00,CVS,BUY_RANDOM,1521,11.895730972290039,18111.500215662,2000-01-07 11:06:00-05:00,,,
2000-01-07 00:00:00-05:00,ADBE,BUY_RANDOM,1125,16.072980880737305,18100.185594320294,2000-01-07 11:06:00-05:00,,,
2000-01-07 00:00:00-05:00,MS,BUY_RANDOM,590,30.640756607055664,18096.124444561003,2000-01-07 11:06:00-05:00,,,
2000-01-10 00:00:00-05:00,TMO,SELL_666,1505,11.915109634399414,,,17914.307759771345,-0.008474698002529228,4320.0
2000-01-10 00:00:00-05:00,GE,SELL_666,138,130.7066192626953,,,18019.4759447937,-0.00041367476924649576,4320.0
2000-01-10 00:00:00-05:00,CVS,SELL_666,1521,11.8759765625,,,18045.296991210937,-0.0016606301736358244,4320.0
2000-01-10 00:00:00-05:00,ADBE,SELL_666,1125,16.69356346130371,,,18761.478635072708,0.03861029793858242,4320.0
2000-01-10 00:00:00-05:00,MS,SELL_666,590,31.72454833984375,,,18698.766036987305,0.03537091941582541,4320.0
2000-01-10 00:00:00-05:00,TJX,BUY_RANDOM,9932,1.8401771783828735,18294.916375434397,2000-01-10 11:06:00-05:00,,,
2000-01-10 00:00:00-05:00,NKE,BUY_RANDOM,4040,4.523637771606445,18293.772093887328,2000-01-10 11:06:00-05:00,,,
2000-01-10 00:00:00-05:00,AAPL,BUY_RANDOM,24939,0.7329061031341553,18296.22325136876,2000-01-10 11:06:00-05:00,,,
2000-01-10 00:00:00-05:00,PEP,BUY_RANDOM,962,18.982484817504883,18279.411544834136,2000-01-10 11:06:00-05:00,,,
2000-01-10 00:00:00-05:00,T,BUY_RANDOM,3049,5.99474573135376,18296.25771463251,2000-01-10 11:06:00-05:00,,,
2000-01-11 00:00:00-05:00,TJX,SELL_666,9932,1.8114244937896729,,,17973.077004246712,-0.015624954450564488,1440.0
2000-01-11 00:00:00-05:00,NKE,SELL_666,4040,4.7501068115234375,,,19171.241087036135,0.05006347796865441,1440.0
2000-01-11 00:00:00-05:00,AAPL,SELL_666,24939,0.6954174041748047,,,17325.671628072738,-0.051150752871392646,1440.0
2000-01-11 00:00:00-05:00,PEP,SELL_666,962,18.918127059936523,,,18181.038993427275,-0.0033903758220847485,1440.0
2000-01-11 00:00:00-05:00,T,SELL_666,3049,5.911017894744873,,,18004.67086751604,-0.013966870383004374,1440.0
2000-01-11 00:00:00-05:00,IBM,BUY_RANDOM,307,58.898433685302734,18099.900960529325,2000-01-11 11:06:00-05:00,,,
2000-01-11 00:00:00-05:00,NKE,BUY_RANDOM,3815,4.7501068115234375,18139.779143447875,2000-01-11 11:06:00-05:00,,,
2000-01-11 00:00:00-05:00,ABT,BUY_RANDOM,2255,8.035252571105957,18137.614042391775,2000-01-11 11:06:00-05:00,,,
2000-01-11 00:00:00-05:00,WMT,BUY_RANDOM,1286,14.091015815734863,18139.16738537407,2000-01-11 11:06:00-05:00,,,
2000-01-12 00:00:00-05:00,IBM,SELL_666,307,59.14591598510742,,,18139.63841122055,0.004201848577620888,1440.0
2000-01-12 00:00:00-05:00,NKE,SELL_666,3815,4.587515354156494,,,17483.869705030917,-0.034229010802979735,1440.0
