date,value,cash,positions,drawdown,leverage,regime_score,regime_label,dd_leverage,universe_size
2003-03-31 00:00:00-05:00,262314.7168173152,115123.17460222317,8,-0.3121040427517672,0.25,0.5,MILD,0.25,50
2003-04-01 00:00:00-05:00,261868.98443076393,115139.16393202903,8,-0.31327293449540794,0.25,0.5,MILD,0.25,50
2003-04-02 00:00:00-05:00,265537.943417051,119259.95518885573,8,-0.3036514306598677,0.25,0.5,MILD,0.25,50
2003-04-03 00:00:00-05:00,266129.7388882388,118717.3984119647,8,-0.3020995020563673,0.25,0.5,MILD,0.25,50
2003-04-04 00:00:00-05:00,264965.1310804064,118733.88693952192,8,-0.3051535777579054,0.25,0.5,MILD,0.25,50
2003-04-07 00:00:00-04:00,265809.18022059335,118750.37775715241,8,-0.3029401373596765,0.25,0.5,MILD,0.25,50
2003-04-08 00:00:00-04:00,264728.3989846201,118766.87086517423,8,-0.3057743856699362,0.25,0.5,MILD,0.25,50
2003-04-09 00:00:00-04:00,261131.46696543586,117983.08744353845,8,-0.315207005480653,0.25,0.5,MILD,0.25,50
2003-04-10 00:00:00-04:00,263999.59806205874,116608.87883749016,8,-0.30768559833215947,0.25,0.5,MILD,0.25,50
2003-04-11 00:00:00-04:00,264763.2692819679,116625.07451510648,8,-0.3056829415570606,0.25,0.5,MILD,0.25,50
2003-04-14 00:00:00-04:00,264950.91988870525,117693.66865966053,8,-0.3051908452869161,0.25,0.5,MILD,0.25,50
2003-04-15 00:00:00-04:00,266810.9712980773,116297.3425296639,8,-0.3003130333962778,0.25,0.5,MILD,0.25,50
2003-04-16 00:00:00-04:00,263487.3219740252,116313.49493834858,8,-0.30902899474631723,0.25,0.5,MILD,0.25,50
2003-04-17 00:00:00-04:00,267580.9678134877,116329.64959042335,8,-0.2982937891217947,0.25,0.5,MILD,0.25,50
2003-04-21 00:00:00-04:00,268079.44207310275,116345.8064861998,8,-0.29698658671949746,0.25,0.5,MILD,0.25,50
2003-04-22 00:00:00-04:00,269417.3873492048,118906.48681925116,8,-0.29347794962274265,0.25,0.5,MILD,0.25,50
2003-04-23 00:00:00-04:00,271006.62092264683,121228.7280508108,8,-0.28931033232868403,0.25,0.5,MILD,0.25,50
2003-04-24 00:00:00-04:00,269970.0530808196,121245.56537415118,8,-0.2920286351233498,0.25,0.5,MILD,0.25,50
2003-04-25 00:00:00-04:00,273235.8136731743,121297.3478132376,8,-0.28346448159022597,0.25,0.5,MILD,0.25,50
2003-04-28 00:00:00-04:00,274976.17900471715,124456.45402159743,8,-0.27890053531138614,0.25,0.5,MILD,0.25,50
2003-04-29 00:00:00-04:00,274677.8734384383,124473.73964021154,8,-0.2796828139252498,0.25,0.5,MILD,0.25,50
2003-04-30 00:00:00-04:00,274414.35645402654,124491.02765960601,8,-0.28037386271748865,0.25,0.5,MILD,0.25,50
2003-05-01 00:00:00-04:00,275495.7718523657,124508.31808011429,8,-0.27753795137538284,0.25,0.5,MILD,0.25,50
2003-05-02 00:00:00-04:00,278719.373721263,123376.07448570624,8,-0.26908435517499635,0.25,0.5,MILD,0.25,50
2003-05-05 00:00:00-04:00,278787.2727509285,123930.62366670452,8,-0.26890629628232476,0.25,0.5,MILD,0.25,50
2003-05-06 00:00:00-04:00,280552.8198084038,123947.83625332489,8,-0.2642763132683919,0.25,0.5,MILD,0.25,50
2003-05-07 00:00:00-04:00,279159.29239371145,123102.5891422779,8,-0.2679307093560847,0.25,0.5,MILD,0.25,50
2003-05-08 00:00:00-04:00,277267.1231149807,124758.58793681426,8,-0.27289274737309266,0.25,0.5,MILD,0.25,50
2003-05-09 00:00:00-04:00,280120.9798659125,124775.91551847216,8,-0.26540877336907676,0.25,0.5,MILD,0.25,50
2003-05-12 00:00:00-04:00,283459.4945402676,124793.24550673862,8,-0.25665382901991096,0.25,0.5,MILD,0.25,50
2003-05-13 00:00:00-04:00,284877.63672438974,124810.5779019479,8,-0.252934882987843,0.25,0.5,MILD,0.25,50
2003-05-14 00:00:00-04:00,283983.0034741856,125003.78474821133,8,-0.2552809755117477,0.25,0.5,MILD,0.25,50
2003-05-15 00:00:00-04:00,285915.2504889844,125015.78265859766,8,-0.2502138373579599,0.25,0.5,MILD,0.25,50
2003-05-16 00:00:00-04:00,286198.3204743305,125033.14596174468,8,-0.2494715126386285,0.2513212184034288,0.5,MILD,0.2513212184034288,50
2003-05-19 00:00:00-04:00,279658.0692283654,125217.5049353624,8,-0.2666227134788787,0.25,0.5,MILD,0.25,50
2003-05-20 00:00:00-04:00,278685.00888846733,126085.88738781595,8,-0.26917447375407755,0.25,0.5,MILD,0.25,50
2003-05-21 00:00:00-04:00,279771.73350247083,126103.39931661982,8,-0.26632463948749396,0.25,0.5,MILD,0.25,50
2003-05-22 00:00:00-04:00,284392.3273157014,126120.91367763601,8,-0.2542075617925314,0.25,0.5,MILD,0.25,50
