symbol,entry_date,exit_date,exit_reason,pnl,return
AMD,2000-05-18,2000-05-23,position_stop,-3873.295004625387,-0.1271907514450867
MU,2000-05-18,2000-05-23,position_stop,-1463.2911342616308,-0.09847157274826526
TXN,2000-05-18,2000-05-23,position_stop,-0.0,
ADBE,2000-05-18,2000-05-25,position_stop,-1424.215389307036,-0.09133912483994155
AMAT,2000-05-23,2000-05-26,trailing_stop,4.0141084549846553e-13,0.033874850744579126
AMD,2000-05-23,2000-05-31,trailing_stop,1962.831583843845,0.08275496688741721
ORCL,2000-05-23,2000-05-31,trailing_stop,3448.3517473629495,0.1476648080955342
ADBE,2000-05-25,2000-05-31,trailing_stop,1518.1811450798518,0.07711431928137118
MU,2000-05-26,2000-06-05,hold_expired,3028.0635988778645,0.25627052561649033
ADBE,2000-05-31,2000-06-06,trailing_stop,171.43007339731378,0.027726710583929254
AMD,2000-05-31,2000-06-07,trailing_stop,1653.8018948987929,0.06419571865443424
PFE,2000-05-31,2000-06-07,hold_expired,-441.1950388919793,-0.022534068378892675
MU,2000-06-05,2000-06-12,hold_expired,-455.69954958662726,-0.020797792654535564
ADBE,2000-06-06,2000-06-13,hold_expired,1559.3464078284662,0.09937094247922883
AMD,2000-06-07,2000-06-14,hold_expired,-759.9843636094745,-0.03737931034482759
ORCL,2000-06-07,2000-06-14,hold_expired,-249.4518773381887,-0.01253118152699177
MU,2000-06-12,2000-06-19,hold_expired,516.3826066768362,0.025144431089664774
ADBE,2000-06-13,2000-06-20,hold_expired,613.4989506971964,0.031909445544090406
AMD,2000-06-14,2000-06-21,hold_expired,2527.686426153417,0.13430447761194028
ORCL,2000-06-14,2000-06-21,hold_expired,1711.7123609619118,0.09094903231756224
MU,2000-06-19,2000-06-22,trailing_stop,1358.7196691977458,0.06593813189872849
AMD,2000-06-21,2000-06-26,position_stop,-2172.64995187365,-0.0816
BAC,2000-06-20,2000-06-27,hold_expired,-629.5334323280524,-0.031006695125960326
C,2000-06-21,2000-06-28,hold_expired,493.6696680086155,0.02699610621585093
MU,2000-06-22,2000-06-29,hold_expired,895.4201630179697,0.0453120156340036
AMD,2000-06-26,2000-06-29,position_stop,-2729.383092623943,-0.1260974212034384
ADBE,2000-06-27,2000-07-05,hold_expired,1704.4455114533125,0.08170793574408089
ORCL,2000-06-28,2000-07-05,position_stop,-2566.855402502136,-0.12813900237941805
AMD,2000-06-29,2000-07-05,trailing_stop,-219.59530854614238,-0.013140983606557376
MU,2000-06-29,2000-07-07,hold_expired,-402.84658034146287,-0.01446413544835339
AMD,2000-07-05,2000-07-12,hold_expired,3897.8931277704464,0.12040531561461794
