date,symbol,action,price,hold_minutes,pnl,pnl_pct
2000-01-03,JPM,BUY,23.499963556606076,999,,
2000-01-03,XOM,BUY,17.51717966723613,999,,
2000-01-03,WFC,BUY,9.893092796825371,999,,
2000-01-03,ABT,BUY,8.150869190316556,999,,
2000-01-03,COST,BUY,30.376952311965855,999,,
2000-01-03,CVX,BUY,16.302417968955275,999,,
2000-01-03,JNJ,BUY,23.64400798991575,999,,
2000-01-03,PEP,BUY,18.21031228404934,999,,
2000-01-03,BAC,BUY,12.891209977672945,999,,
2000-01-03,BRK-B,BUY,36.5,999,,
2000-01-04,MRK,BUY,24.979033990217573,999,,
2000-01-04,AMD,BUY,15.125,999,,
2000-01-04,PG,BUY,26.630289293214343,999,,
2000-01-04,ABT,BUY,7.962991469028575,999,,
2000-01-04,KO,BUY,13.614951709312194,999,,
2000-01-04,BAC,BUY,12.249853597256383,999,,
2000-01-04,VZ,BUY,15.247020192297096,999,,
2000-01-04,JNJ,BUY,23.136218740099505,999,,
2000-01-04,MSFT,BUY,34.68516148684689,999,,
2000-01-04,CVX,BUY,15.744766117033222,999,,
2000-01-05,JPM,SELL,22.378491477271098,999,-340.0213173103202,-0.047722290148816904
2000-01-05,XOM,SELL,17.805047694964173,999,117.0884660958618,0.016433468925734985
2000-01-05,CVX,SELL,16.088539817642175,999,-93.47581634870221,-0.013119412820870414
2000-01-05,JNJ,SELL,22.621141694192687,999,-308.2354886758267,-0.04326112121765982
2000-01-05,PEP,SELL,18.210085311694183,999,-0.08880561767819017,-1.2463946340809992e-05
2000-01-05,BAC,BUY,11.560397929705305,999,,
2000-01-05,BRK-B,BUY,34.13999938964844,999,,
2000-01-05,DIS,BUY,23.906307512935168,999,,
2000-01-05,MRK,BUY,24.256675965681136,999,,
2000-01-05,PEP,BUY,18.435536359083205,999,,
2000-01-05,HD,BUY,35.919091164119656,999,,
2000-01-05,JPM,BUY,22.210207466205915,999,,
2000-01-05,PG,BUY,26.254770521684126,999,,
2000-01-05,WMT,BUY,13.585871739600233,999,,
2000-01-05,CVX,BUY,15.768493362460369,999,,
2000-01-06,WFC,SELL,9.064828481906797,999,-596.5155048063989,-0.08372147435879287
2000-01-06,ABT,SELL,8.001050025492574,999,-130.96291014448343,-0.01838075931852398
2000-01-06,COST,SELL,28.854982664966684,999,-356.98228128690516,-0.05010277632096912
2000-01-06,BAC,SELL,12.126924458775843,999,-422.42228088544834,-0.059287337668133086
2000-01-06,BRK-B,SELL,35.341429825300935,999,-226.15924643098242,-0.031741648621892195
2000-01-06,PG,SELL,26.642124766015908,999,0.9104004109758534,0.00044443650879077756
2000-01-06,ABT,SELL,8.131192656983607,999,43.268867270765895,0.02112286426643026
2000-01-06,VZ,SELL,15.345577173547209,999,13.241132610392015,0.0064640159196420735
2000-01-06,JNJ,SELL,23.459469640569147,999,28.62002965433294,0.01397163919052105
2000-01-06,MSFT,SELL,33.62631723742748,999,-62.533261319615804,-0.03052729766937765
2000-01-06,CVX,SELL,16.778857904914062,999,134.5381938983228,0.06567844705944055
2000-01-06,MRK,BUY,25.281940840229588,999,,
2000-01-06,PFE,BUY,11.2342540226321,999,,
2000-01-06,KO,BUY,13.750800706838307,999,,
2000-01-06,WMT,BUY,13.399764451629702,999,,
2000-01-06,AMD,BUY,15.5,999,,
2000-01-06,UNH,BUY,5.137300009064902,999,,
2000-01-06,BRK-B,BUY,34.900001525878906,999,,
2000-01-06,WFC,BUY,9.09550472042425,999,,
2000-01-06,CVX,BUY,16.195641557935257,999,,
2000-01-06,VZ,BUY,15.345577173547209,999,,
2000-01-07,MRK,SELL,26.70719393588265,999,141.71995762865254,0.06918441867455195
2000-01-07,AMD,SELL,15.629613634255252,999,68.34178455667688,0.03336288490943814
2000-01-07,KO,SELL,14.142849159917763,999,79.4248086267703,0.0387733619535722
2000-01-07,BAC,SELL,12.676243245139307,999,71.30146800536477,0.034807734190261966
2000-01-07,BAC,SELL,12.52276752584749,999,256.6254012337904,0.08324709945055651
2000-01-07,DIS,SELL,23.8718913893833,999,-4.437925234489285,-0.0014396252341874977
2000-01-07,MRK,SELL,27.041861390047476,999,353.9593247802236,0.11482139714060077
2000-01-07,PEP,SELL,19.351614234958376,999,153.18179283859445,0.04969087191346178
2000-01-07,PG,SELL,29.118443772665373,999,336.2372051398802,0.10907249212542555
2000-01-07,WMT,SELL,14.565036660832732,999,222.17688172224462,0.07207229245204926
2000-01-07,CVX,SELL,17.112579178343648,999,262.76488631529674,0.08523869623987718
2000-01-07,PG,BUY,27.4282564431301,999,,
2000-01-07,WMT,BUY,13.718798851447493,999,,
2000-01-07,BRK-B,BUY,36.599998474121094,999,,
2000-01-07,XOM,BUY,18.935622319831317,999,,
2000-01-07,HD,BUY,35.91908854386938,999,,
2000-01-07,JNJ,BUY,23.897898837074717,999,,
2000-01-07,BAC,BUY,12.730873671055452,999,,
2000-01-07,PFE,BUY,12.22286711870498,999,,
2000-01-07,ABT,BUY,7.977440298814267,999,,
2000-01-07,VZ,BUY,15.136693759906812,999,,
2000-01-10,BRK-B,SELL,36.6682261733928,999,228.28798237602587,0.07405468157421664
2000-01-10,HD,SELL,36.064501301117396,999,12.479577288420387,0.004048268825437117
2000-01-10,JPM,SELL,23.01276423622207,999,111.39191705398889,0.03613459132415978
2000-01-10,PFE,SELL,12.387307760930765,999,429.84966969176367,0.10263732117644542
2000-01-10,AMD,SELL,17.327780061563907,999,493.8596294320023,0.11792129429444559
2000-01-10,WFC,SELL,9.264224653590237,999,77.68745241750548,0.018549815359572126
2000-01-10,CVX,SELL,16.79253428157434,999,154.3509892225611,0.03685514534906635
2000-01-10,JNJ,BUY,24.548519480505654,999,,
2000-01-10,DIS,BUY,25.701645013383043,999,,
2000-01-10,AMD,BUY,16.75,999,,
2000-01-10,BRK-B,BUY,36.900001525878906,999,,
2000-01-10,BAC,BUY,12.554501428249035,999,,
2000-01-10,WFC,BUY,9.417605856464247,999,,
2000-01-10,ABT,BUY,8.324291628873095,999,,
2000-01-10,XOM,BUY,18.550030009426287,999,,
2000-01-10,KO,BUY,14.671546319846012,999,,
2000-01-10,HD,BUY,36.064501301117396,999,,
2000-01-11,MRK,SELL,27.014928815877855,999,287.07569671374404,0.06854647697342409
2000-01-11,KO,SELL,14.636686986904063,999,269.81200969243855,0.06442434145854525
2000-01-11,WMT,SELL,14.345070644889237,999,295.45179165240097,0.07054647838563799
2000-01-11,UNH,SELL,5.814506986183161,999,552.0746226783222,0.13182157474223982
2000-01-11,BRK-B,SELL,35.610693005177254,999,85.28388021642968,0.02036365181162982
2000-01-11,VZ,SELL,14.779377429226,999,-154.5246363268816,-0.03689660792278485
2000-01-11,PG,SELL,29.171967962663867,999,220.19834506554434,0.06357354588503245
2000-01-11,XOM,SELL,18.587506914852177,999,-63.676806521159506,-0.01838415443122553
2000-01-11,JNJ,SELL,23.923805132799806,999,3.7547689314837953,0.0010840407310160351
2000-01-11,ABT,SELL,7.998495542547345,999,9.141854938276083,0.002639348330341918
2000-01-11,VZ,SELL,14.918116176861522,999,-50.016374727352286,-0.01444024610078626
2000-01-11,AMD,BUY,17.5,999,,
2000-01-11,JNJ,BUY,23.612273806136177,999,,
2000-01-11,MSFT,BUY,34.0552157156808,999,,
2000-01-11,PEP,BUY,19.175524276941005,999,,
2000-01-11,UNH,BUY,5.7188814372503,999,,
2000-01-11,DIS,BUY,27.119013522777134,999,,
2000-01-11,PFE,BUY,12.312745306198698,999,,
2000-01-11,TXN,BUY,30.5906759578379,999,,
2000-01-11,BRK-B,BUY,35.79999923706055,999,,
2000-01-11,VZ,BUY,14.847456140322832,999,,
2000-01-12,WMT,SELL,14.003796160904068,999,71.95521694137233,0.02077421737446819
2000-01-12,BRK-B,SELL,35.67941597933006,999,-87.12027956081147,-0.025152528228708924
2000-01-12,HD,SELL,35.77755248028562,999,-13.648327033603437,-0.003940413560630687
2000-01-12,BAC,SELL,11.828993134852295,999,-245.3739312520329,-0.07084199871165531
2000-01-12,PFE,SELL,12.519619071998514,999,84.09266406707684,0.024278424236438435
2000-01-12,JNJ,SELL,23.783379978182033,999,-92.12663007073434,-0.031168458160225475
2000-01-12,DIS,SELL,26.34101297313553,999,73.5291954805125,0.024876538424663617
2000-01-12,BAC,SELL,11.928921285145965,999,-147.28324724312415,-0.04982915065790225
2000-01-12,ABT,SELL,7.945016537196162,999,-134.67187336538154,-0.04556244646227959
2000-01-12,KO,SELL,14.735266312560157,999,12.837181882011464,0.0043430999926675285
2000-01-12,PFE,BUY,12.40262165331463,999,,
2000-01-12,MSFT,BUY,33.13892989544494,999,,
2000-01-12,DIS,BUY,27.166250790459667,999,,
2000-01-12,AMD,BUY,17.0,999,,
2000-01-12,WMT,BUY,14.077716472856592,999,,
2000-01-12,VZ,BUY,14.49394352154591,999,,
2000-01-12,MRK,BUY,27.44897270205464,999,,
2000-01-12,ABT,BUY,8.089275194878528,999,,
2000-01-12,TXN,BUY,30.210166846171468,999,,
2000-01-12,BAC,BUY,11.800911277853032,999,,
2000-01-13,AMD,SELL,18.08368022669224,999,235.34597058770578,0.07962270010102933
2000-01-13,BRK-B,SELL,35.190952275867886,999,-136.89830155484196,-0.04631569591704273
2000-01-13,WFC,SELL,9.789716569321515,999,116.78888949729298,0.0395122410651589
2000-01-13,XOM,SELL,18.551269620773272,999,0.1975198706622905,6.682530143377425e-05
2000-01-13,HD,SELL,36.22970003332152,999,13.539313520513133,0.00458064651510949
2000-01-13,JNJ,SELL,23.791503951069583,999,30.193275790824828,0.007590549999756026
2000-01-13,UNH,SELL,5.895562851213289,999,122.89006158727898,0.030894400574938283
2000-01-13,PFE,SELL,12.927364047814272,999,198.5582295025256,0.049917278911483065
2000-01-13,BRK-B,SELL,35.190952275867886,999,-67.67133619187598,-0.017012485312071425
2000-01-13,BAC,BUY,12.057450924847036,999,,
2000-01-13,PFE,BUY,12.559898113434457,999,,
2000-01-13,XOM,BUY,18.39854056100908,999,,
2000-01-13,PG,BUY,29.258899108223297,999,,
2000-01-13,JPM,BUY,22.48684169984675,999,,
2000-01-13,HD,BUY,36.1372184753418,999,,
2000-01-13,CVX,BUY,16.421064574236873,999,,
2000-01-13,UNH,BUY,5.827926372938448,999,,
2000-01-13,JNJ,BUY,23.850295618355993,999,,
2000-01-13,AMD,BUY,18.375,999,,
2000-01-14,AMD,SELL,18.5,999,227.29974049910334,0.05714285714285714
2000-01-14,MSFT,SELL,32.408281653393075,999,-192.36655382815206,-0.048360699754117026
2000-01-14,PEP,SELL,18.499875768684557,999,-140.15563520469368,-0.035234943175396244
2000-01-14,DIS,SELL,25.935054360113313,999,-173.66001085022526,-0.04365789934318296
2000-01-14,TXN,SELL,32.36381342830766,999,230.56337593172975,0.057963330817325354
2000-01-14,VZ,SELL,14.37882333283523,999,-125.55026289891975,-0.03156317170150684
