date,value,c_alloc,r_alloc,recycled_pct
2000-01-04,99668.20387522121,0.75,0.25,0.25
2000-01-05,99925.51174116801,0.6017812186534146,0.3982187813465854,0.0999618363100453
2000-01-06,100902.59101044756,0.5037793898897688,0.4962206101102313,0.0030976629732130494
2000-01-07,101942.13968008259,0.4990515784363316,0.5009484215636684,0.003065069851575472
2000-01-10,104221.21219974846,0.4977842002883809,0.5022157997116192,0.006703918973605929
2000-01-11,103492.92027101359,0.5906950115879802,0.4093049884120198,0.11020520385501716
2000-01-12,103372.51517963948,0.6940466946701646,0.3059533053298354,0.2100262376996845
2000-01-13,104353.66808800667,0.6903844126856528,0.30961558731434724,0.20565057797130154
2000-01-14,104658.38226662265,0.75,0.25000000000000006,0.26967547950800047
2000-01-18,104756.2766376825,0.7500000000000001,0.24999999999999986,0.2709260913941474
2000-01-19,105062.62388175225,0.75,0.25000000000000006,0.27122601792457096
2000-01-20,104890.5227674017,0.75,0.25,0.27247467185817986
2000-01-21,104863.62007228425,0.75,0.25000000000000006,0.27154349475721784
2000-01-24,104443.52639836131,0.6941932179518544,0.30580678204814554,0.21546621314785047
2000-01-25,103585.57112929833,0.5834835556232052,0.41651644437679497,0.10268261889775651
2000-01-26,103423.23790820575,0.7500000000000001,0.25,0.2650671262260071
2000-01-27,102861.52546057149,0.5894743261173689,0.41052567388263095,0.10363035281019152
2000-01-28,101626.71238538047,0.5908079599861757,0.40919204001382437,0.10216004669928666
2000-01-31,103291.9633878532,0.5840883611359516,0.4159116388640484,0.08935044903404618
2000-02-01,104489.51661145032,0.5858855195218511,0.41411448047814897,0.09897338845146995
2000-02-02,105367.75433286824,0.4829396903081046,0.5170603096918955,0.001459452331019383
2000-02-03,105794.80693310672,0.6943727584293369,0.305627241570663,0.21676013297555308
2000-02-04,105860.58985231255,0.6929729635312827,0.30702703646871726,0.21714330441985671
2000-02-07,105936.99870157818,0.7499999999999999,0.25000000000000006,0.27432110196236414
2000-02-08,105803.8195065118,0.75,0.24999999999999994,0.2745193291545157
2000-02-09,105822.50909613083,0.75,0.24999999999999997,0.2737757331877092
2000-02-10,105527.77061199112,0.75,0.25000000000000006,0.27371473101685106
2000-02-11,105321.9358778024,0.75,0.25,0.2722389098556199
2000-02-14,105244.44857753372,0.7499999999999999,0.25000000000000006,0.27115931493441525
2000-02-15,105062.42870014031,0.75,0.24999999999999997,0.2706607237455126
2000-02-16,104471.7605983807,0.4837453516112459,0.5162546483887541,0.0034292861799303503
2000-02-17,106301.50215727018,0.4864781416583201,0.5135218583416798,0.0032992295645752194
2000-02-18,105998.54120303386,0.47560563239044046,0.5243943676095596,0.0005988399625794354
2000-02-22,105912.40608623321,0.4790281409780624,0.5209718590219377,0.002518524669061417
2000-02-23,107628.35858449721,0.47948345430606815,0.5205165456939318,0.002440968134189534
2000-02-24,107440.84864723313,0.6944775451719389,0.305522454828061,0.224897629714139
2000-02-25,106843.8483086435,0.48418188604882617,0.5158181139511738,0.01363908167433582
2000-02-28,107848.20216329204,0.6828596388182674,0.3171403611817326,0.2095434262012404
2000-02-29,108447.87634704668,0.75,0.24999999999999994,0.2809487158821493
2000-03-01,108469.06333596651,0.75,0.25000000000000006,0.28340022684078564
2000-03-02,108322.80371501311,0.75,0.24999999999999997,0.28334919253946034
2000-03-03,111010.80130828726,0.5701670203437558,0.42983297965624423,0.1027437221950562
2000-03-06,110855.12841650366,0.75,0.24999999999999997,0.29375581052861754
2000-03-07,112852.0136308916,0.75,0.24999999999999994,0.29297586967609224
2000-03-08,112756.28872744697,0.5596172996024599,0.44038270039754,0.11054326608574933
2000-03-09,112643.93554918878,0.5603386914645012,0.43966130853549873,0.11074643790010454
2000-03-10,113973.34977160375,0.5643588722679519,0.43564112773204816,0.11418103168408647
2000-03-13,112819.82271123021,0.5675061407882088,0.4324938592117911,0.12244369260706692
2000-03-14,111917.92648134279,0.5698397915583406,0.43016020844165936,0.12008977437474
2000-03-15,114275.56503487236,0.5543881662742833,0.4456118337257167,0.10087564476494665
2000-03-16,116959.77176648026,0.5493827046581407,0.4506172953418593,0.10509131501968878
2000-03-17,117442.81780442761,0.6643744292550295,0.33562557074497046,0.23014715530736277
2000-03-20,116875.94145701436,0.7500000000000001,0.24999999999999994,0.31742692498575575
2000-03-21,116415.1560174033,0.6672406054282342,0.33275939457176573,0.23243697604239652
2000-03-22,117025.17389427229,0.6642100065767007,0.3357899934232993,0.2275523351156823
2000-03-23,117424.25915747223,0.75,0.25000000000000006,0.3154861138580403
2000-03-24,117214.82639755186,0.75,0.25,0.3168309060877448
2000-03-27,117862.6655563549,0.75,0.24999999999999994,0.3159246949684879
2000-03-28,117446.26361253564,0.75,0.25000000000000006,0.3181790532485293
2000-03-29,117083.01127014637,0.7499999999999999,0.2500000000000001,0.316515976827056
2000-03-30,116853.54284426638,0.75,0.24999999999999997,0.31503856484135956
2000-03-31,119931.36290308044,0.4387169745350695,0.5612830254649305,0.0027685739921111513
2000-04-03,120971.49696739521,0.4406476285408584,0.5593523714591416,0.01575759908336919
2000-04-04,117157.04525934116,0.43810500533579133,0.5618949946642086,0.016739877664185332
2000-04-05,118607.56432197055,0.5410040028252291,0.45899599717477096,0.1057879735878086
2000-04-06,119906.19134031673,0.6519318026460723,0.3480681973539277,0.22190794386112656
2000-04-07,120230.9584284986,0.75,0.24999999999999994,0.3245044933627853
2000-04-10,120017.18012059253,0.75,0.24999999999999997,0.3255251880975487
2000-04-11,120044.53746113631,0.75,0.25000000000000006,0.3246401812436514
2000-04-12,120075.40605648345,0.75,0.24999999999999997,0.32460818897231725
2000-04-13,119993.401970337,0.75,0.25000000000000006,0.32458861247846355
2000-04-14,116025.58256512615,0.5496116337557055,0.45038836624429457,0.12378045591161828
2000-04-17,120207.96343951495,0.5401232351534856,0.4598767648465144,0.09959605264313075
2000-04-18,126661.58196071943,0.4256617197968151,0.574338280203185,0.0003328354852540308
2000-04-19,126849.12200711248,0.5223626122042838,0.47763738779571635,0.11858256406387019
2000-04-20,127719.5615001563,0.520360271169007,0.479639728830993,0.11705495664950535
2000-04-24,128179.0050417931,0.6426261440833794,0.35737385591662063,0.2419480135501904
2000-04-25,128407.4227352069,0.75,0.25,0.35063701612619613
2000-04-26,128459.13334330136,0.75,0.25000000000000006,0.3512265620982606
2000-04-27,128381.4239051957,0.75,0.25,0.35126623712145705
2000-04-28,128028.87982728255,0.7500000000000001,0.2499999999999999,0.3509039239482166
2000-05-01,128427.99182401592,0.6478806974143969,0.3521193025856031,0.24756432973213305
2000-05-02,128740.04558014704,0.75,0.25,0.3508066954522045
2000-05-03,128506.58974159126,0.7499999999999999,0.2500000000000001,0.35164803962830415
2000-05-04,128170.68857591794,0.4016963159658542,0.5983036840341458,0.002494143728847042
2000-05-05,128356.26926723108,0.5223423382795374,0.47765766172046265,0.12196705954983864
2000-05-08,128829.50273276819,0.4019937573866429,0.5980062426133571,0.0020705903631603496
2000-05-09,127862.10144684049,0.40068270833449615,0.5993172916655037,0.002102256408900836
2000-05-10,126722.47887601258,0.4038471590286338,0.5961528409713662,0.0021237264580281027
2000-05-11,127449.91181253988,0.5064130532449862,0.49358694675501374,0.10094838134887742
2000-05-12,128434.12152363158,0.5108263965244596,0.48917360347554034,0.10754812992952802
2000-05-15,130389.38786519665,0.5114881366091055,0.48851186339089436,0.11117336618079117
2000-05-16,131073.45317639137,0.7499999999999999,0.25,0.3555631655200061
2000-05-17,131100.18211013937,0.75,0.2500000000000001,0.3574973013402297
2000-05-18,131135.25921243615,0.75,0.2500000000000001,0.3574529025713494
2000-05-19,130937.85423261244,0.75,0.24999999999999994,0.35743347513029705
2000-05-22,131187.73801718286,0.7500000000000001,0.2499999999999999,0.3567169764659574
2000-05-23,127564.0554267673,0.39311223006403495,0.606887769935965,0.00045386601144687126
2000-05-24,129189.9179888666,0.5115256949686585,0.4884743050313415,0.10758514146445329
2000-05-25,129417.59732769846,0.5147668247314002,0.48523317526859966,0.11578342339528451
2000-05-26,128773.66602504166,0.5148429326498203,0.4851570673501798,0.11643516675475529
2000-05-30,131192.46407625824,0.5122982434854992,0.4877017565145008,0.11177129171064693
2000-05-31,130326.71009353315,0.6450610961689058,0.3549389038310941,0.25179401660306344
2000-06-01,130795.50640213038,0.6366639446231531,0.36333605537684693,0.24065889206914304
2000-06-02,131029.85218464248,0.6348627773672452,0.3651372226327548,0.240151974542003
2000-06-05,131271.17577533342,0.6355904002232067,0.36440959977679327,0.2414656130084686
2000-06-06,132454.8347221475,0.5118396123246239,0.48816038767537606,0.11831963079292025
2000-06-07,132930.83438317123,0.630828125992759,0.3691718740072411,0.2407060620085991
2000-06-08,133036.90461054406,0.75,0.2500000000000001,0.36115657348011965
2000-06-09,133226.4452986805,0.6314647097481446,0.36853529025185544,0.24281305180995286
