date,portfolio_value,cash,num_positions,returns
2000-01-03 00:00:00-05:00,100000.0,5024.774572634709,5,
2000-01-04 00:00:00-05:00,94393.962815547,4838.306448729061,5,-0.056060371844530055
2000-01-05 00:00:00-05:00,93574.92545822385,4677.224962780689,5,-0.008676798101204919
2000-01-06 00:00:00-05:00,92100.72143154076,4629.184546071814,5,-0.01575426343610864
2000-01-07 00:00:00-05:00,95424.55763157063,4859.334077347106,5,0.036089144019360475
2000-01-10 00:00:00-05:00,96390.19030140716,4838.078465025981,5,0.010119330849452712
2000-01-11 00:00:00-05:00,95584.52449135121,22977.31651358186,4,-0.008358379701675744
2000-01-12 00:00:00-05:00,94281.03972057877,4758.0053419982105,5,-0.013636985460867002
2000-01-13 00:00:00-05:00,95824.32733296501,22994.861257675275,4,0.016369013504306862
2000-01-14 00:00:00-05:00,95205.80736363231,40914.239942062486,3,-0.006454728006422661
2000-01-18 00:00:00-05:00,93685.26284931957,22544.150968866474,4,-0.015971131976278752
2000-01-19 00:00:00-05:00,94294.15852005972,22655.598416538363,4,0.0064993751655419985
2000-01-20 00:00:00-05:00,93163.59343454373,4666.165882063044,5,-0.011989768011721358
2000-01-21 00:00:00-05:00,92412.61647028936,22249.898363902223,4,-0.00806084154302189
2000-01-24 00:00:00-05:00,91153.12255747522,21878.421761764665,4,-0.013629025569458553
2000-01-25 00:00:00-05:00,91597.94337393202,4626.660206347118,5,0.004879929551248496
2000-01-26 00:00:00-05:00,91975.47849658073,4645.96627225406,5,0.004121655014758252
2000-01-27 00:00:00-05:00,91412.26254225947,21939.390740002298,4,-0.00612354470482257
2000-01-28 00:00:00-05:00,90882.22711428514,4576.540661110066,5,-0.005798296784627732
2000-01-31 00:00:00-05:00,90606.26899303355,4554.893790984428,5,-0.0030364366060766645
2000-02-01 00:00:00-05:00,90846.99329402474,4571.748128393938,5,0.002656817278390511
2000-02-02 00:00:00-05:00,90635.45356796151,21769.67336529665,4,-0.002328527542772796
2000-02-03 00:00:00-05:00,91795.19093197756,39461.977380851094,3,0.012795625975948077
2000-02-04 00:00:00-05:00,90963.48161707241,39119.57627025921,3,-0.009060488969639624
2000-02-07 00:00:00-05:00,90798.88531318982,21840.13854594453,4,-0.0018094767367797804
2000-02-08 00:00:00-05:00,91634.17180056794,22008.75894801174,4,0.009199303322909635
2000-02-09 00:00:00-05:00,89705.40530077968,4534.359900648469,5,-0.02104855057768218
2000-02-10 00:00:00-05:00,91027.83254783857,4582.362127287764,5,0.014741890331188223
2000-02-11 00:00:00-05:00,89803.96081732072,21584.523615059763,4,-0.01344502770484679
2000-02-14 00:00:00-05:00,90389.55803316584,21746.993128646576,4,0.006520839509922549
2000-02-15 00:00:00-05:00,91373.57785813924,39287.528981331736,3,0.010886432530318846
2000-02-16 00:00:00-05:00,90691.40262520686,39035.01331844799,3,-0.007465782219795325
2000-02-17 00:00:00-05:00,90082.77928295605,4550.87418206401,5,-0.00671092655569594
2000-02-18 00:00:00-05:00,90857.73349078365,4573.388654283965,5,0.008602689814813713
2000-02-22 00:00:00-05:00,90792.9786897225,4645.480355198375,5,-0.0007127054414990397
2000-02-23 00:00:00-05:00,89884.43398278474,21598.56585006929,4,-0.010006772770861816
2000-02-24 00:00:00-05:00,89469.17400579668,21537.649165625364,4,-0.004619932045937913
2000-02-25 00:00:00-05:00,87571.12109803656,4387.535531474987,5,-0.021214601887764695
2000-02-28 00:00:00-05:00,90165.68589813892,21667.513583324304,4,0.029628087063059638
2000-02-29 00:00:00-05:00,91085.12391170804,56435.5155423207,2,0.010197205338268178
2000-03-01 00:00:00-05:00,90904.96116857955,4756.557634959216,5,-0.001977960125553846
2000-03-02 00:00:00-05:00,91299.3684793806,4629.532432926189,5,0.004338677512546685
2000-03-03 00:00:00-05:00,92879.07280196,4758.835555380363,5,0.017302467135204447
2000-03-06 00:00:00-05:00,90822.2395923791,39060.33122441961,3,-0.022145281466865563
2000-03-07 00:00:00-05:00,92361.88832662298,4687.587162632979,5,0.0169523317323379
2000-03-08 00:00:00-05:00,90118.67186607841,21629.86534046942,4,-0.024287252038544316
2000-03-09 00:00:00-05:00,91032.456056593,39140.1648719371,3,0.01013978758888645
2000-03-10 00:00:00-05:00,91186.92245841629,21971.69354952654,4,0.0016968277965307976
2000-03-13 00:00:00-05:00,89722.46336878618,21584.56511366114,4,-0.016059968361120447
2000-03-14 00:00:00-05:00,87889.72146475062,4444.269141585675,5,-0.02042678984974411
2000-03-15 00:00:00-05:00,94394.20526543364,4790.689401902531,5,0.0740073320552248
2000-03-16 00:00:00-05:00,98427.87126187263,23654.879603036272,4,0.042732135782026504
2000-03-17 00:00:00-05:00,97494.45984757744,23479.967608046412,4,-0.009483202291470816
2000-03-20 00:00:00-05:00,97086.80800254333,23333.116746512784,4,-0.004181282153585264
2000-03-21 00:00:00-05:00,97864.10428294314,23509.878968372712,4,0.008006198745142079
2000-03-22 00:00:00-05:00,98508.6471187023,61050.9238496498,2,0.006586100598189315
2000-03-23 00:00:00-05:00,99300.18175179519,42703.153817881,3,0.00803517920755814
2000-03-24 00:00:00-05:00,99144.46668123092,42630.09075614108,3,-0.0015681247286484234
2000-03-27 00:00:00-05:00,97785.57615347995,23486.106908147583,4,-0.013706166095179717
2000-03-28 00:00:00-05:00,96760.77423972393,23254.724182755363,4,-0.010480092811924857
2000-03-29 00:00:00-05:00,97771.88399377526,23478.817591995623,4,0.010449583129071627
2000-03-30 00:00:00-05:00,98740.53036460343,42461.36159229865,3,0.009907207790839312
2000-03-31 00:00:00-05:00,98505.73615360846,4961.808351777225,5,-0.0023778909241015667
2000-04-03 00:00:00-04:00,99958.2015621883,5059.677350688129,5,0.014744983036468984
2000-04-04 00:00:00-04:00,98944.83261077419,5042.706186790627,5,-0.01013792700925753
2000-04-05 00:00:00-04:00,98371.96889926927,4941.50301406781,5,-0.005789728441488506
2000-04-06 00:00:00-04:00,98649.90584371488,23671.67677812831,4,0.0028253673028564297
2000-04-07 00:00:00-04:00,98483.30996542232,4985.864662711781,5,-0.0016887586142908528
2000-04-10 00:00:00-04:00,97132.96875149505,23493.06779057375,4,-0.013711371138940942
2000-04-11 00:00:00-04:00,98206.94459492556,42201.83786348882,3,0.011056759174921993
