date,value,cash,positions,drawdown,leverage,in_protection,risk_on,regime_score,universe_size
2012-04-25,249697.90362750104,44115.119112946464,5,-0.04621951781286482,1.0,False,True,0.6730479785183907,40
2012-04-26,249513.5047125379,45253.426223828355,5,-0.04692387328991645,1.0,False,True,0.704866897191341,40
2012-04-27,250757.9666515886,51861.12901274682,5,-0.042170355174434015,1.0,False,True,0.7426918210043663,40
2012-04-30,248311.81976524732,51869.278618734534,5,-0.0515139945196631,1.0,False,True,0.7333377329708184,40
2012-05-01,249755.3779492561,51877.10017662148,5,-0.04599998098247679,1.0,False,True,0.7649138870032768,40
2012-05-02,249819.40706725634,51884.922913949704,5,-0.04575540655012037,1.0,False,True,0.7658750892607454,40
2012-05-03,245373.56871593161,39274.90749965334,5,-0.06273734266111915,1.0,False,True,0.7522931197360874,40
2012-05-04,239441.4238734928,36306.412162739005,5,-0.08539657962718418,0.9855464042261906,False,True,0.6873081247355657,40
2012-05-07,239025.738764657,36311.88693917624,5,-0.08698438768557655,1.0,False,True,0.7095509577604306,40
2012-05-08,235074.56892275374,62243.291602220546,5,-0.10207681986969162,1.0,False,True,0.7183555654911795,40
2012-05-09,235998.8263289751,62252.67749539866,5,-0.09854639906213085,1.0,False,True,0.7402790400383574,40
2012-05-10,230971.3027503233,55227.613286512365,5,-0.1177502201330803,1.0,False,True,0.7580592387697921,40
2012-05-11,230170.2676160168,42202.96209585356,5,-0.12080996418999251,1.0,False,True,0.7705802113187652,40
2012-05-14,226730.91784966545,42209.3260345823,5,-0.13394737796441678,1.0,False,True,0.73236390372388,40
2012-05-15,226846.37636501162,42215.690932952595,5,-0.1335063567269948,1.0,False,True,0.7617418872608037,40
2012-05-16,224740.06982465385,42222.05679110915,5,-0.14155189510962093,1.0,False,True,0.7633968749259987,40
2012-05-17,220136.07231889718,126031.96393928336,5,-0.15913795769659309,0.3,True,True,0.7104559934298995,40
2012-05-18,219307.17852628688,121502.03232977266,5,-0.16230411451934781,0.3,True,True,0.7351148348109466,40
2012-05-21,223261.36700276472,121520.35406480651,5,-0.1472001519431139,0.3,True,True,0.6475601065135361,40
2012-05-22,222959.0325150783,121538.67856264168,5,-0.14835499036689792,0.3,True,True,0.6382643528392024,40
2012-05-23,224606.75883807216,121557.00582369478,5,-0.14206110810346495,0.3,True,True,0.6270825303791319,40
2012-05-24,224414.5435118036,123557.08658292243,5,-0.14279532022102306,0.3,True,True,0.6241794317844219,40
2012-05-25,223800.8499643264,123575.7182070897,5,-0.1451394685663818,0.3,True,True,0.6156844975578437,40
2012-05-29,225255.2761049851,123594.35264078759,5,-0.13958394228606325,0.3,True,True,0.6160625478108448,40
2012-05-30,225414.34364095452,123612.98988443977,5,-0.1389763460309358,0.3,True,True,0.5619187624439165,40
2012-05-31,225097.0105835276,128439.20515912915,4,-0.14018847505616822,0.3,True,True,0.5609872710244518,40
2012-06-01,222594.87857977612,61696.874055028,3,-0.1497459628618892,0.9809788107682685,False,False,0.4913204126311105,40
2012-06-04,223833.6522935448,40761.397693395724,4,-0.1450141722746458,1.0,False,True,0.5009847762027868,40
2012-06-05,224066.44604799224,40767.285450840325,4,-0.14412496120742643,0.9936944192877525,False,True,0.531663708566714,40
2012-06-06,228560.08770945165,24462.95193875273,5,-0.12696042899318438,0.8534614528159494,False,True,0.5265285140389132,40
2012-06-07,227726.8419042689,24466.485476254995,5,-0.1301432093621906,0.8563030657418482,False,True,0.5293021177595572,40
2012-06-08,229530.71090819538,57021.74968989781,5,-0.12325290302251837,0.8431453520008348,False,True,0.5356495156254955,40
2012-06-11,227389.00069857258,78121.61468152594,4,-0.1314336741333823,0.8214682805416101,False,True,0.5158304435384446,40
2012-06-12,228743.52781550324,46878.77035227839,5,-0.12625973591462591,0.8130506037332365,False,True,0.5399563150967508,40
2012-06-13,227706.1775930877,63213.84121214915,4,-0.13022214160950282,0.8118790727536606,False,True,0.5391077653639194,40
2012-06-14,229299.9751610085,37932.306498680526,5,-0.12413425304193226,0.7966591165364817,False,True,0.5506765899920082,40
2012-06-15,232125.2068116934,43586.06778308324,5,-0.11334260935196169,0.8219821719511311,False,True,0.6441366948042272,40
2012-06-18,233986.54784655746,58171.743622123344,5,-0.10623277493222327,0.8402114226725952,False,True,0.6531294536436141,40
2012-06-19,234298.0414131237,54725.50420394139,5,-0.10504295123005498,0.8722658077210681,False,True,0.6529065167686402,40
2012-06-20,234405.94352278629,54733.40899899307,5,-0.1046307934798781,0.870214392416272,False,True,0.6991503942696025,40
2012-06-21,232179.50099482675,48177.78815112343,5,-0.11313521981678108,0.7800752377653216,False,True,0.5751936286019921,40
2012-06-22,232687.8882102814,45243.50808040157,5,-0.11119331403203139,0.7732673274415031,False,True,0.5849191214661887,40
2012-06-25,232167.7257557572,83413.06251679051,4,-0.11318019814072566,0.7406008912548872,False,True,0.5516496823786088,40
2012-06-26,232747.92199723487,71846.39248994505,4,-0.11096400071607578,0.7558304982885359,False,True,0.561298381401908,40
2012-06-27,233973.5636815408,43113.375771653424,5,-0.1062823710361171,0.77459265932543,False,True,0.5800915247251066,40
2012-06-28,233520.5366398899,45080.17849949283,5,-0.10801281548099395,0.7739903634419761,False,True,0.5852708590937661,40
2012-06-29,237302.08137184495,45941.17710743384,5,-0.09356830671476551,0.8061080213761416,False,True,0.5951735131170344,40
2012-07-02,238382.4323524983,45947.37552021818,5,-0.08944164940491456,0.808428262470713,False,True,0.5963024578916509,40
2012-07-03,239761.9312846811,45953.574769296305,5,-0.08417232540339317,0.8095285208975913,False,True,0.6088169145374068,40
2012-07-05,238591.6133268733,44906.833359692784,5,-0.0886426329626243,0.8674535360991,False,True,0.5835261551562247,40
2012-07-06,237932.61607801076,44984.84704911172,5,-0.09115982956159044,0.843916522286005,False,True,0.6091321335645223,40
2012-07-09,237926.67240827758,47026.92382260341,5,-0.09118253282061552,0.8504277925538871,False,True,0.6057888826067038,40
2012-07-10,236925.49251877592,47033.26872502392,5,-0.09500677733325459,0.8682072429136245,False,True,0.6228307760976547,40
2012-07-11,236396.0063722079,57871.44433274911,5,-0.0970292754994324,0.8898157114935982,False,True,0.6151318300043482,40
2012-07-12,237816.49620899564,87381.30190317078,4,-0.09160337699651792,0.8939877069698753,False,True,0.6132969149990009,40
