date,value,cash,positions,shorts,drawdown,leverage,in_protection,risk_on,protection_stage
2018-05-16,597926.8310492563,113994.6776009042,5,0,-0.07684868115040694,1.3444066905849839,False,True,0
2018-05-17,596138.9230452878,113528.02142401382,5,0,-0.07960906845222586,1.3698895747868236,False,True,0
2018-05-18,593053.6326576308,114078.04724187592,5,0,-0.08437251063695181,1.4301757120707321,False,True,0
2018-05-21,599033.3265404886,115094.8338195068,5,0,-0.07514034039868017,1.3970590754134307,False,True,0
2018-05-22,603241.5725462543,115054.65170205827,5,0,-0.06864314433967601,1.6002961903961408,False,True,0
2018-05-23,609516.6509071396,115013.93444589528,5,0,-0.05895492403591333,1.5997642177929359,False,True,0
2018-05-24,610444.7904483029,114401.98069643856,5,0,-0.057521950640158984,1.6801155996605548,False,True,0
2018-05-25,612319.7486369712,115245.68394636638,5,0,-0.054627164798855175,1.6631189043378667,False,True,0
2018-05-29,612332.0853383638,119534.73297945589,5,0,-0.05460811791624448,1.5637454495565968,False,True,0
2018-05-30,616789.633852011,119505.56510106398,5,0,-0.047726018676796836,1.4194118635984165,False,True,0
2018-05-31,608942.9499401283,115657.36484527726,5,0,-0.059840672553658346,1.4273305784859653,False,True,0
2018-06-01,618821.6937229881,116970.84613142877,5,0,-0.04458868037307487,1.3871489649232567,False,True,0
2018-06-04,622568.2586775252,118113.64506578336,5,0,-0.038804283019861496,1.4870056946490604,False,True,0
2018-06-05,625141.5516930098,152278.3615609518,5,0,-0.034831323925748954,1.489375820916508,False,True,0
2018-06-06,628746.0268242982,152249.94421711063,5,0,-0.029266301922353796,1.4511401069361867,False,True,0
2018-06-07,625549.377455346,139230.57859694498,5,0,-0.0342016734889206,1.5085241683730035,False,True,0
2018-06-08,625834.5043668277,131979.25337225833,5,0,-0.03376146028773031,1.5755515170508596,False,True,0
2018-06-11,624552.8962207164,123676.76302150541,5,0,-0.03574016100643667,1.5799146519638716,False,True,0
2018-06-12,625187.6253710816,133248.54674711314,5,0,-0.034760189843002345,1.5802735431168924,False,True,0
2018-06-13,623470.2077016367,133206.6567683166,5,0,-0.03741174569270643,1.6366758211149819,False,True,0
2018-06-14,624393.3319151931,135168.54486562742,5,0,-0.03598651556260646,1.6460186354288595,False,True,0
2018-06-15,619293.8027405592,133083.03513345966,5,0,-0.04385978171929355,1.6434798868736287,False,True,0
2018-06-18,621009.0999601578,127009.91644464934,5,0,-0.04121149967496261,1.647508577337759,False,True,0
2018-06-19,617685.5396092393,127638.96119700889,5,0,-0.04634281167151998,1.6761224197545384,False,True,0
2018-06-20,618466.8890006917,127593.91175397902,5,0,-0.04513647055460466,1.6922513889960806,False,True,0
2018-06-21,610648.9824891451,130834.76059785788,5,0,-0.05720669442148196,1.6339602737837202,False,True,0
2018-06-22,607365.3303350675,129943.67151556506,5,0,-0.062276391346372736,1.6400686571322514,False,True,0
2018-06-25,590234.7245288298,113220.59577908416,5,0,-0.08872467986851476,1.4406526605062053,False,True,0
2018-06-26,598316.3640359811,115817.85294571983,5,0,-0.07624727329955093,1.5798324749041848,False,True,0
2018-06-27,587563.3156802958,115773.39163442796,5,0,-0.09284912198024109,1.713282297296128,False,True,0
2018-06-28,595902.0174167299,115727.86467181554,5,0,-0.0799748318401346,1.7181300501856673,False,True,0
2018-06-29,590801.4579176352,118711.81802843568,5,0,-0.0878496887355801,1.8786000121165995,False,True,0
2018-07-02,595617.3285533703,120588.40509413899,5,0,-0.08041436872997619,1.9175700927204162,False,True,0
2018-07-03,587699.077576166,118461.15839969889,5,0,-0.09263951644539299,1.90053870596439,False,True,0
2018-07-05,595649.9647803322,118407.76898948691,5,0,-0.08036398099957573,1.907803903214506,False,True,0
2018-07-06,602433.0204495046,118359.59188810307,5,0,-0.06989148426307971,1.7670987501428472,False,True,0
2018-07-09,607671.3377788512,123604.17028139904,5,0,-0.06180394026935553,1.660618987475603,False,True,0
2018-07-10,611671.7602906728,120155.35373414136,5,0,-0.055627607102865635,1.6471904166193745,False,True,0
2018-07-11,605884.9001148918,121160.33425988225,5,0,-0.06456205748351813,1.5811638157579866,False,True,0
2018-07-12,611911.3565457705,121125.68834978662,5,0,-0.055257689602263106,1.5077542519374132,False,True,0
2018-07-13,612595.2734584656,121090.71089586087,5,0,-0.054201776458459125,1.5120141279628523,False,True,0
2018-07-16,613655.9834262213,122370.52169924519,5,0,-0.052564124901775706,1.5131754681128613,False,True,0
2018-07-17,619359.4814985818,114315.60706017865,5,0,-0.043758378957382736,1.5078943628648358,False,True,0
2018-07-18,619359.2808996052,116812.02710355054,5,0,-0.04375868866619687,1.5291355935594948,False,True,0
2018-07-19,618114.7954560034,116776.38194619502,5,0,-0.045680074894231065,1.5075092083581727,False,True,0
2018-07-20,616308.4928240997,116737.76766406138,5,0,-0.04846886203388361,1.5572525236175985,False,True,0
2018-07-23,619756.0997616221,122209.72347192685,5,0,-0.043146032005226403,1.557185298130065,False,True,0
2018-07-24,616584.0868613722,108608.16873768021,5,0,-0.0480433668298488,1.8704951749501342,False,True,0
2018-07-25,621364.2303252865,113008.04796922827,5,0,-0.040663206726882596,1.7955252315323313,False,True,0
2018-07-26,641942.0790022763,112946.02164729468,5,0,-0.008892650266127995,1.9754176861785548,False,True,0
2018-07-27,644352.2589361754,112889.64470657718,5,0,-0.005171524755270171,1.8350765124068935,False,True,0
2018-07-30,645518.3796077474,115967.53190633276,5,0,-0.003371127482563023,1.752492255380267,False,True,0
2018-07-31,637282.7693024824,130188.37464313627,5,0,-0.01608625267855952,1.7361103736945365,False,True,0
2018-08-01,638187.7145011162,122228.13296343594,5,0,-0.014689089497005281,1.7617824384624106,False,True,0
2018-08-02,646058.5471930264,122173.9488868512,5,0,-0.0025371518306006686,1.807633472395526,False,True,0
2018-08-03,644153.5799928895,122116.62696667976,5,0,-0.005478269191207439,1.8815618404835137,False,True,0
2018-08-06,655131.5523235367,123585.79833287689,5,0,0.0,1.9958153303883024,False,True,0
2018-08-07,659788.5566013542,141864.4571679331,5,0,0.0,1.99894145750871,False,True,0
2018-08-08,661849.3265161393,136402.38122531492,5,0,0.0,2.0,False,True,0
2018-08-09,656991.4279927145,136340.397027692,5,0,-0.007339885875530022,2.0,False,True,0
2018-08-10,656619.1680453962,136278.4497729341,5,0,-0.007902340096459348,2.0,False,True,0
2018-08-13,661867.4624722742,130460.74948585688,5,0,0.0,2.0,False,True,0
2018-08-14,665510.9589905258,129632.6352285798,5,0,0.0,2.0,False,True,0
2018-08-15,659693.8614517988,132190.28005949315,5,0,-0.008740799020876527,1.9368319494188555,False,True,0
2018-08-16,657964.967040773,132133.81326216587,5,0,-0.011338644161771366,1.8547527661051526,False,True,0
2018-08-17,651408.4841242689,142083.38006927576,5,0,-0.02119044724319513,1.8488200813575757,False,True,0
2018-08-20,655146.66351934,138462.0445704739,5,0,-0.01557344072426216,1.8477477145850987,False,True,0
2018-08-21,661077.4801092143,137179.71668779847,5,0,-0.006661766904689847,1.8761279470406667,False,True,0
2018-08-22,666923.5323472192,135770.73389264834,5,0,0.0,2.0,False,True,0
2018-08-23,677058.9517555069,135706.28522358654,5,0,0.0,2.0,False,True,0
2018-08-24,692486.4078286132,141436.78684959438,5,0,0.0,2.0,False,True,0
2018-08-27,706323.4260142269,141760.10859660807,5,0,0.0,2.0,False,True,0
2018-08-28,709689.7876218022,152635.92107965267,5,0,0.0,2.0,False,True,0
2018-08-29,714598.6323989112,148505.6473053028,5,0,0.0,2.0,False,True,0
2018-08-30,710336.8036973057,148438.752576696,5,0,-0.005963947464184836,2.0,False,True,0
2018-08-31,715846.9285602898,148597.25721979165,5,0,0.0,2.0,False,True,0
2018-09-04,736453.0389003989,148578.01823347984,5,0,0.0,2.0,False,True,0
2018-09-05,738246.958371006,158484.5859760106,5,0,0.0,2.0,False,True,0
2018-09-06,728490.8281634181,153268.10704131782,5,0,-0.013215266377954931,2.0,False,True,0
2018-09-07,723935.0197093742,153200.1602442454,5,0,-0.019386383512113727,2.0,False,True,0
2018-09-10,739919.8362779093,148886.3399991818,5,0,0.0,2.0,False,True,0
2018-09-11,747749.1549348718,150866.86691814358,5,0,0.0,2.0,False,True,0
2018-09-12,756917.7695296808,189804.54627683767,5,0,0.0,2.0,False,True,0
2018-09-13,757191.8528010333,176136.7204276227,5,0,0.0,2.0,False,True,0
2018-09-14,763582.8765905148,176066.77553966007,5,0,0.0,2.0,False,True,0
2018-09-17,755511.294338217,165028.9170535216,5,0,-0.010570669536669451,2.0,False,True,0
2018-09-18,759910.9387160214,161158.8695247529,5,0,-0.004808826896287992,2.0,False,True,0
2018-09-19,754000.8250750416,153254.163307329,5,0,-0.012548803553922174,2.0,False,True,0
2018-09-20,756733.3245232604,160217.1321040393,5,0,-0.008970279818005446,2.0,False,True,0
2018-09-21,753422.0918472103,160146.50178822392,5,0,-0.013306721581648808,2.0,False,True,0
2018-09-24,760610.5060439811,162963.6026111313,5,0,-0.0038926626534708346,2.0,False,True,0
2018-09-25,759208.0050310467,160488.77468142885,5,0,-0.005729399772559597,2.0,False,True,0
2018-09-26,754468.1831978309,156251.109264035,5,0,-0.011936744094343787,2.0,False,True,0
2018-09-27,756654.5041402687,157814.4966299568,5,0,-0.009073504216309963,2.0,False,True,0
2018-09-28,749189.4250357243,157744.08423500168,5,0,-0.018849887806624086,2.0,False,True,0
2018-10-01,754512.3191553253,160289.42524934985,5,0,-0.011878942958609248,2.0,False,True,0
2018-10-02,743894.7397356844,152860.244056409,5,0,-0.025783889946223288,2.0,False,True,0
2018-10-03,738719.7044689131,154189.2482067785,5,0,-0.03256119654308981,2.0,False,True,0
2018-10-04,731709.3559477378,156042.57757322522,5,0,-0.04174205789566144,2.0,False,True,0
2018-10-05,726883.3628661747,155974.61003524586,5,0,-0.048062253423240275,2.0,False,True,0
2018-10-08,720925.0466009452,151213.57080028838,5,0,-0.0558653569865811,2.0,False,True,0
2018-10-09,730159.4736644055,149144.65263535292,5,0,-0.043771807816524906,2.0,False,True,0
2018-10-10,695492.9603346095,144918.6064255624,5,0,-0.08917161233360102,1.1676499500350261,False,True,0
2018-10-11,690647.8788462724,119785.69639689781,5,0,-0.09551680633529339,1.0417080396145604,False,True,0
2018-10-12,705119.7616975028,119799.95659884982,5,0,-0.07656420368415869,0.9627351749273443,False,True,0
2018-10-15,701351.1851943427,167310.4149867068,5,0,-0.08149959003015322,0.9622115655853939,False,True,0
2018-10-16,719846.3286420789,167330.33289325284,5,0,-0.057278062787008255,0.8504428665362243,False,True,0
2018-10-17,717207.165559557,186786.7759047894,5,0,-0.060734351768115376,0.8511509306813357,False,True,0
2018-10-18,710912.8052213765,145349.5085218924,5,0,-0.06897754387096294,0.8430166013797791,False,True,0
2018-10-19,708372.3440512464,124334.28094968664,5,0,-0.072304571293937,0.8427560489713473,False,True,0
2018-10-22,711314.0634406852,141909.57683989347,5,0,-0.06845204987206611,0.8422750422885519,False,True,0
2018-10-23,716166.4302310641,141926.47083713632,5,0,-0.062097314925618256,0.8420695447275377,False,True,0
2018-10-24,698803.7303513956,164770.35435511087,5,0,-0.08483577647571873,0.7395362947517992,False,True,0
2018-10-25,692344.7422501186,484416.9477841653,2,0,-0.09329456765516089,1.0,False,False,0
2018-10-26,692579.6664201638,484474.6164684254,2,0,-0.09298690731173603,1.0,False,False,0
2018-10-29,696180.1066864709,349017.58589197375,2,0,-0.08827171479408362,1.0,False,False,0
2018-10-30,702895.9773393404,349059.13560457993,2,0,-0.07947650623354519,1.0,False,False,0
2018-10-31,710650.3394250338,275528.07271414914,2,0,-0.06932127315613842,1.0,False,False,0
2018-11-01,735095.5410589739,275560.87367518654,2,0,-0.037307457258261394,1.0,False,False,0
2018-11-02,737132.6152321752,275593.67854110023,2,0,-0.03463967326826791,1.0,False,False,0
2018-11-05,734474.5479736552,330246.65896478074,2,0,-0.038120719452001926,1.0,False,False,0
2018-11-06,736869.8318588394,330285.97404322895,2,0,-0.03498381845720824,1.0,False,False,0
2018-11-07,745074.3718952455,309482.95614424953,2,0,-0.02423902534052607,1.0,False,False,0
2018-11-08,745404.4821058423,124908.45440979318,5,0,-0.02380670787936089,0.6961485304358813,False,True,0
2018-11-09,738223.6369109481,124923.32446388958,5,0,-0.033210854325071586,0.7011672731855078,False,True,0
2018-11-12,720755.6836788715,157453.63231073788,5,0,-0.056087157300948966,0.6707684848866238,False,True,0
2018-11-13,719751.1134965952,157472.37679077487,5,0,-0.057402758021019885,0.7217865211622767,False,True,0
2018-11-14,720646.5157081733,511615.779423859,2,0,-0.05623012537166534,1.0,False,False,0
2018-11-15,724035.3922884726,511676.68606426666,2,0,-0.05179199994455903,1.0,False,False,0
2018-11-16,722648.322761171,345947.5898064211,2,0,-0.0536085277502833,1.0,False,False,0
2018-11-19,720013.8083329987,294934.96915074426,2,0,-0.0570587287814219,1.0,False,False,0
2018-11-20,711749.9063432564,294970.0804565955,2,0,-0.06788126323457985,1.0,False,False,0
2018-11-21,710621.5437544088,295005.19594236417,2,0,-0.06935898441382603,1.0,False,False,0
2018-11-23,709754.2506461551,295040.31560854777,2,0,-0.07049480494469794,1.0,False,False,0
2018-11-26,709878.4520503285,311814.3577291899,2,0,-0.07033214885590772,1.0,False,False,0
2018-11-27,721066.6694769866,301901.5298570864,2,0,-0.055679885467531574,1.0,False,False,0
2018-11-28,726353.1275799191,301937.47051540273,2,0,-0.04875665779310143,1.0,False,False,0
2018-11-29,727503.5155756704,301973.41545236885,2,0,-0.04725009179873555,1.0,False,False,0
2018-11-30,725706.3420837295,302009.36466849415,2,0,-0.04960369812888996,1.0,False,False,0
2018-12-03,753068.0846320727,328493.5158308622,2,0,-0.01377033493128058,1.0,False,False,0
2018-12-04,750235.5210326927,318917.4382461054,2,0,-0.017479904234389745,1.0,False,False,0
2018-12-06,749910.7295434561,318955.40460780135,2,0,-0.017905256215417487,1.0,False,False,0
2018-12-07,744997.2954862945,318993.37548930227,2,0,-0.024339965803328374,1.0,False,False,0
2018-12-10,747320.6419703276,319031.3508911462,2,0,-0.02129727514687069,1.0,False,False,0
2018-12-11,750914.404563154,324385.96783396206,2,0,-0.016590827814168638,1.0,False,False,0
2018-12-12,757017.8130140365,321221.9304302591,2,0,-0.008597709270003593,1.0,False,False,0
2018-12-13,752863.9637943006,321260.1711362627,2,0,-0.014037654752127758,1.0,False,False,0
2018-12-14,748250.9682018368,321298.4163947313,2,0,-0.020078905458352753,1.0,False,False,0
2018-12-17,733890.1600111807,321336.6662062069,2,0,-0.0388860430080825,1.0,False,False,0
2018-12-18,742637.7683258217,319457.8631646503,2,0,-0.027430039235839563,1.0,False,False,0
2018-12-19,735289.5251162994,316159.71939340513,2,0,-0.03705341272259595,1.0,False,False,0
2018-12-20,730113.3015282196,316197.35745523765,2,0,-0.04383227556351275,1.0,False,False,0
2018-12-21,727356.3588255666,316234.99999779183,2,0,-0.04744281056524441,1.0,False,False,0
2018-12-24,716089.9586021138,316272.6470216011,2,0,-0.062197463359134446,1.0,False,False,0
2018-12-26,730738.741283796,313923.72643747553,2,0,-0.04301318994130879,1.0,False,False,0
2018-12-27,733444.7508269916,313138.16519499413,2,0,-0.03946935779661973,1.0,False,False,0
2018-12-28,736413.1465540039,313175.44354799355,2,0,-0.03558190062855628,1.0,False,False,0
2018-12-31,740368.6111301719,313212.7263388921,2,0,-0.030401762758218504,1.0,False,False,0
2019-01-02,739492.141909148,315421.4791466198,2,0,-0.031549600468955934,1.0,False,False,0
2019-01-03,719029.0053240588,306138.08151536493,2,0,-0.05834844210414215,1.0,False,False,0
