date,portfolio_value,cash,num_positions,returns
2016-02-12 00:00:00-05:00,1000000.0,1000000.0,0,
2016-02-19 00:00:00-05:00,1001986.6714734983,849923.2610111189,3,0.0019866714734984026
2016-02-26 00:00:00-05:00,1004675.6287565985,799790.6084452429,4,0.002683625800277145
2016-03-04 00:00:00-05:00,1011952.6742049017,799790.6084452429,4,0.007243179032131453
2016-03-11 00:00:00-05:00,1019242.9173985281,799790.6084452429,4,0.007204134520771399
2016-03-18 00:00:00-04:00,1019816.0245651578,828713.4080633497,4,0.0005622871219870262
2016-03-24 00:00:00-04:00,1018314.6755806092,843174.8078724031,4,-0.0014721763027686352
2016-04-01 00:00:00-04:00,1019214.1110015992,843174.8078724031,4,0.0008832588222076332
2016-04-08 00:00:00-04:00,1022821.4670854692,843174.8078724031,4,0.0035393506084064885
2016-04-15 00:00:00-04:00,1028656.3299063816,805507.8707236423,4,0.005704673795651649
2016-04-22 00:00:00-04:00,1038178.8718680515,805507.8707236423,4,0.009257262785265397
2016-04-29 00:00:00-04:00,1035877.8591777858,864939.2119419154,4,-0.002216393294659613
2016-05-06 00:00:00-04:00,1036069.068245039,879697.8541833019,4,0.00018458649884167677
2016-05-13 00:00:00-04:00,1033642.4715769005,863220.2428877067,4,-0.002342118631385115
2016-05-20 00:00:00-04:00,1037104.3890653801,866874.5159031105,4,0.003349240751686855
2016-05-27 00:00:00-04:00,1039776.7550428124,897618.1230142327,4,0.002576756983779349
2016-06-03 00:00:00-04:00,1037411.6575055333,913417.2030339452,4,-0.0022746205142677445
2016-06-10 00:00:00-04:00,1035607.569027958,921316.8505459405,4,-0.0017390285375367132
2016-06-17 00:00:00-04:00,1033373.1006773653,924369.0762098971,4,-0.0021576400341395408
2016-06-24 00:00:00-04:00,1031462.7426357412,926342.0881137991,4,-0.0018486624437696886
2016-07-01 00:00:00-04:00,1033460.6746920528,924319.2611388149,4,0.0019369890677836121
2016-07-08 00:00:00-04:00,1033624.8381278133,924802.2782942867,4,0.00015884826561918253
2016-07-15 00:00:00-04:00,1036478.891200552,925047.5211634731,4,0.0027612079039316395
2016-07-22 00:00:00-04:00,1038799.285648241,925161.0012625599,4,0.002238728127884393
2016-07-29 00:00:00-04:00,1039104.9782516842,925229.0337593441,4,0.0002942749457632843
2016-08-05 00:00:00-04:00,1041861.6323424989,925251.8038493806,4,0.0026529120238194537
2016-08-12 00:00:00-04:00,1043163.2065519505,903063.8506788426,4,0.0012492774175061339
2016-08-19 00:00:00-04:00,1044591.1771374303,931840.4455166417,4,0.0013688851145352565
2016-08-26 00:00:00-04:00,1044521.3902909966,961335.0991628381,4,-6.680780764867222e-05
2016-09-02 00:00:00-04:00,1044580.9915832425,976397.9939664747,4,5.706086328149951e-05
2016-09-09 00:00:00-04:00,1044583.4709363861,983986.9005285187,4,2.3735384460099596e-06
2016-09-16 00:00:00-04:00,1042418.2376202279,933693.0370148354,4,-0.0020728198142149212
2016-09-23 00:00:00-04:00,1043630.9177690096,934661.458789403,4,0.0011633335882057505
2016-09-30 00:00:00-04:00,1044959.8475850477,935140.3068717375,4,0.0012733714509713945
2016-10-07 00:00:00-04:00,1044153.8787638855,935381.7363993835,4,-0.0007712916654404323
2016-10-14 00:00:00-04:00,1042143.4307536983,935512.7018852138,4,-0.0019254326886829487
2016-10-21 00:00:00-04:00,1041511.6332508039,935577.6568494749,4,-0.0006062481269373254
2016-10-28 00:00:00-04:00,1042334.2261873484,932716.7077499628,4,0.0007898067676661569
2016-11-04 00:00:00-04:00,1039687.4263948689,932730.2508634815,4,-0.002539300471942618
2016-11-11 00:00:00-05:00,1050628.086941496,880831.6694410001,4,0.010523028622712038
2016-11-18 00:00:00-05:00,1050899.1618268644,880831.6694410001,4,0.0002580122202495705
2016-11-25 00:00:00-05:00,1052374.5779092466,880831.6694410001,4,0.0014039559036447269
2016-12-02 00:00:00-05:00,1053766.021621481,880831.6694410001,4,0.0013221943416752424
2016-12-09 00:00:00-05:00,1057360.476606146,880831.6694410001,4,0.0034110560702402815
2016-12-16 00:00:00-05:00,1059876.0606997283,941208.9391463072,4,0.002379116818945981
2016-12-23 00:00:00-05:00,1059311.36599581,971770.4108490202,4,-0.0005327931489891302
2016-12-30 00:00:00-05:00,1059140.4968667203,987016.4581189329,4,-0.00016130208225317855
2017-01-06 00:00:00-05:00,1060878.0457623503,990859.7114823363,4,0.0016405272962087825
2017-01-13 00:00:00-05:00,1059119.2575434172,992767.2977751219,4,-0.0016578608879301848
2017-01-20 00:00:00-05:00,1057721.0037321073,993717.3359827024,4,-0.0013202043125464247
2017-01-27 00:00:00-05:00,1057214.2713335934,996799.3463000241,4,-0.00047907945169467503
2017-02-03 00:00:00-05:00,1058858.1751674558,1000808.9887870695,4,0.0015549391248650402
2017-02-10 00:00:00-05:00,1059295.8592985899,1000963.5053194792,4,0.00041335482069149165
2017-02-17 00:00:00-05:00,1061534.7917479307,1000963.5053194792,4,0.002113604456854379
2017-02-24 00:00:00-05:00,1062474.4108488904,949896.365951811,4,0.0008851514884524736
2017-03-03 00:00:00-05:00,1064592.541401518,950916.6646391279,4,0.0019935826510262267
2017-03-10 00:00:00-05:00,1062487.7296859417,951443.1775771772,4,-0.00197710544994556
2017-03-17 00:00:00-04:00,1061427.9430802749,951617.982592909,4,-0.0009974577362696913
2017-03-24 00:00:00-04:00,1060932.0402139951,950427.4284681608,4,-0.0004672035153329146
2017-03-31 00:00:00-04:00,1062003.2272597505,897347.2596980287,4,0.0010096660343477115
2017-04-07 00:00:00-04:00,1061349.767592392,844456.5311021424,4,-0.000615308551410565
2017-04-13 00:00:00-04:00,1056700.1316194152,844456.5311021424,4,-0.004380870580981133
2017-04-21 00:00:00-04:00,1056634.0803563804,842780.3881547662,4,-6.25071021176371e-05
2017-04-28 00:00:00-04:00,1060057.9421861381,842780.3881547662,4,0.003240347716782832
2017-05-05 00:00:00-04:00,1060242.311736843,842780.3881547662,4,0.0001739240312890189
2017-05-12 00:00:00-04:00,1059660.6859204979,842780.3881547662,4,-0.0005485781975560489
2017-05-19 00:00:00-04:00,1057264.1022966118,842780.3881547662,4,-0.002261651919080343
2017-05-26 00:00:00-04:00,1056968.526740139,844922.2865305595,4,-0.0002795664355110805
2017-06-02 00:00:00-04:00,1055316.2632456473,844922.2865305595,4,-0.0015632097386923949
2017-06-09 00:00:00-04:00,1061267.8357648964,845313.8706922645,4,0.005639610348602941
2017-06-16 00:00:00-04:00,1062151.6358804817,845313.8706922645,4,0.0008327776323762137
2017-06-23 00:00:00-04:00,1059969.3008680458,845313.8706922645,4,-0.002054636022498668
2017-06-30 00:00:00-04:00,1062760.0159998054,845313.8706922645,4,0.002632826374758368
2017-07-07 00:00:00-04:00,1063854.1279516334,845313.8706922645,4,0.001029500484922563
2017-07-14 00:00:00-04:00,1062468.4703493232,845313.8706922645,4,-0.0013024883448806701
2017-07-21 00:00:00-04:00,1061589.2056608314,845313.8706922645,4,-0.0008275677942731763
2017-07-28 00:00:00-04:00,1064859.8898630256,845313.8706922645,4,0.003080932044856599
2017-08-04 00:00:00-04:00,1071274.095145237,845313.8706922645,4,0.006023520411719385
2017-08-11 00:00:00-04:00,1066130.020533573,845313.8706922645,4,-0.004801828621615711
2017-08-18 00:00:00-04:00,1064482.897639286,845313.8706922645,4,-0.0015449549891323189
2017-08-25 00:00:00-04:00,1067423.4374464704,847512.6277235699,4,0.0027624115086355427
2017-09-01 00:00:00-04:00,1069984.5169447614,847512.6277235699,4,0.002399309785081849
2017-09-08 00:00:00-04:00,1066849.0504168225,847512.6277235699,4,-0.002930384952570919
2017-09-15 00:00:00-04:00,1075623.8084791852,847512.6277235699,4,0.008224929345847398
2017-09-22 00:00:00-04:00,1080021.7379873944,847512.6277235699,4,0.004088724583390713
2017-09-29 00:00:00-04:00,1080888.5610579206,847512.6277235699,4,0.0008025977996901634
2017-10-06 00:00:00-04:00,1084504.765487547,847512.6277235699,4,0.0033455848825776346
2017-10-13 00:00:00-04:00,1085171.808866377,847512.6277235699,4,0.0006150672639322341
2017-10-20 00:00:00-04:00,1088607.2444552137,847512.6277235699,4,0.0031657987802184984
2017-10-27 00:00:00-04:00,1085237.0913996715,878240.7612414379,4,-0.003095839268669187
2017-11-03 00:00:00-04:00,1085458.940618822,893961.077873537,4,0.00020442465605774451
2017-11-10 00:00:00-05:00,1084958.7682597865,901826.8914993037,4,-0.0004607934398238589
2017-11-17 00:00:00-05:00,1083770.783821844,901826.8914993037,4,-0.0010949581428315591
2017-11-24 00:00:00-05:00,1085287.2504890193,901826.8914993037,4,0.0013992503671556022
2017-12-01 00:00:00-05:00,1092575.750027441,901826.8914993037,4,0.006715733125158829
2017-12-08 00:00:00-05:00,1092170.9139283923,936708.7831968097,4,-0.0003705336669228565
2017-12-15 00:00:00-05:00,1094585.7976916865,954280.1825316981,4,0.0022110859504655966
2017-12-22 00:00:00-05:00,1096363.2592855357,994033.5219598674,4,0.0016238668522809974
2017-12-29 00:00:00-05:00,1096446.1570543326,1030153.9388593711,4,7.561158958480085e-05
2018-01-05 00:00:00-05:00,1097341.9958357906,1048252.8185267544,4,0.0008170385528687429
2018-01-12 00:00:00-05:00,1097595.815742754,1072703.0364039172,4,0.00023130428610818043
2018-01-19 00:00:00-05:00,1097694.4811999872,1077452.6722686365,4,8.989234089473719e-05
2018-01-26 00:00:00-05:00,1098121.8992446896,1087385.3073944089,4,0.0003893779662944574
2018-02-02 00:00:00-05:00,1097786.8799264368,1092701.839803451,4,-0.0003050839059700605
2018-02-09 00:00:00-05:00,1091636.911364673,987738.8025027497,4,-0.005602151632724928
2018-02-16 00:00:00-05:00,1099773.8798174185,875327.9981607718,4,0.007453914729370403
2018-02-23 00:00:00-05:00,1099805.5921186728,875327.9981607718,4,2.8835292268825086e-05
2018-03-02 00:00:00-05:00,1097966.0337576193,875327.9981607718,4,-0.0016726213925769562
2018-03-09 00:00:00-05:00,1107074.3268865866,875327.9981607718,4,0.008295605555115104
2018-03-16 00:00:00-04:00,1103584.8952612204,875327.9981607718,4,-0.0031519397935814153
2018-03-23 00:00:00-04:00,1089348.922624044,875327.9981607718,4,-0.012899753066851094
2018-03-29 00:00:00-04:00,1094615.1813312334,872907.2973209184,4,0.004834317634889729
2018-04-06 00:00:00-04:00,1092645.0587573808,872907.2973209184,4,-0.001799831216899972
2018-04-13 00:00:00-04:00,1097614.6326938432,872907.2973209184,4,0.004548205198597666
2018-04-20 00:00:00-04:00,1100964.398509578,872907.2973209184,4,0.0030518596563473555
2018-04-27 00:00:00-04:00,1102534.9997897905,872907.2973209184,4,0.00142656863595092
2018-05-04 00:00:00-04:00,1096579.410808162,872907.2973209184,4,-0.005401723285667903
2018-05-11 00:00:00-04:00,1104125.328531993,872981.4336955674,4,0.00688132354980997
2018-05-18 00:00:00-04:00,1101795.0442760116,872981.4336955674,4,-0.002110525133120267
2018-05-25 00:00:00-04:00,1098460.8434169418,872981.4336955674,4,-0.003026153436060053
2018-06-01 00:00:00-04:00,1098262.2935254928,875513.0050886032,4,-0.00018075281666973808
2018-06-08 00:00:00-04:00,1102306.4278562423,875513.0050886032,4,0.003682302811077731
2018-06-15 00:00:00-04:00,1098164.5416028854,875513.0050886032,4,-0.003757472648882265
2018-06-22 00:00:00-04:00,1097529.143585002,875513.0050886032,4,-0.0005786000128503721
2018-06-29 00:00:00-04:00,1095374.5488081924,873440.5465537064,4,-0.00196313217685673
2018-07-06 00:00:00-04:00,1095625.371180629,873440.5465537064,4,0.00022898320278619266
2018-07-13 00:00:00-04:00,1098217.8161307327,873440.5465537064,4,0.0023661782743404913
2018-07-20 00:00:00-04:00,1101782.638529872,873440.5465537064,4,0.003246006709032523
2018-07-27 00:00:00-04:00,1107260.4945059768,873440.5465537064,4,0.0049718118479467055
