date,next_open_date,signal,instruments,overnight_pnl,overnight_return,capital_after,SPY_weight,QQQ_weight,TLT_weight,GLD_weight,SPY_ret,QQQ_ret,TLT_ret,GLD_ret
2002-01-08,2002-01-09,RISK_ON,"SPY,QQQ",284.33242395686324,0.0056866484791372645,50284.33242395686,0.6,0.4,0.0,0.0,0.0013734526835256222,0.013256442172554728,0.0,0.0
2002-01-09,2002-01-10,RISK_ON,"SPY,QQQ",38.561544708089784,0.0007668699741893756,50322.893968664954,0.6,0.4,0.0,0.0,0.0010378733047693434,0.001459799528983119,0.0,0.0
2002-01-10,2002-01-11,RISK_ON,"SPY,QQQ",-2.90162116764078,-5.766006163015109e-05,50319.99234749731,0.6,0.4,0.0,0.0,0.0011203424721555333,-0.0007253055065846725,0.0,0.0
2002-03-07,2002-03-08,RISK_ON,"SPY,QQQ",499.70000984128654,0.009930446856797651,50819.6923573386,0.6,0.4,0.0,0.0,0.007552979843633567,0.01459601146160705,0.0,0.0
2002-03-08,2002-03-11,RISK_ON,"SPY,QQQ",-216.6188458007782,-0.004262498172512007,50603.07351153783,0.6,0.4,0.0,0.0,-0.0008547361487142302,-0.008275754150592451,0.0,0.0
2002-03-12,2002-03-13,RISK_ON,"SPY,QQQ",-476.445583195985,-0.009415348715673413,50126.62792834184,0.6,0.4,0.0,0.0,-0.004608576965929756,-0.01552669811278351,0.0,0.0
2002-03-13,2002-03-14,RISK_ON,"SPY,QQQ",-32.84808647477714,-0.0006553021384509424,50093.779841867065,0.6,0.4,0.0,0.0,2.8525977580073913e-07,-0.0005389358518826937,0.0,0.0
2002-03-14,2002-03-15,RISK_ON,"SPY,QQQ",103.80216340901025,0.002072156737556768,50197.582005276076,0.6,0.4,0.0,0.0,0.003644045078503355,0.0008141370175809293,0.0,0.0
2002-03-15,2002-03-18,RISK_ON,"SPY,QQQ",309.8261884977809,0.006172133718815704,50507.40819377386,0.6,0.4,0.0,0.0,0.0038575033952765736,0.01074368559551342,0.0,0.0
2002-03-19,2002-03-20,RISK_ON,"SPY,QQQ",-542.9653694023757,-0.010750212470203689,49964.44282437149,0.6,0.4,0.0,0.0,-0.00808846176974587,-0.013643843142216117,0.0,0.0
2002-03-20,2002-03-21,RISK_ON,"SPY,QQQ",43.506200553342595,0.000870743234469159,50007.94902492483,0.6,0.4,0.0,0.0,0.0005204401351528443,0.002496269048403388,0.0,0.0
2002-03-21,2002-03-22,RISK_ON,"SPY,QQQ",-10.564310164698036,-0.00021125261824740305,49997.38471476013,0.6,0.4,0.0,0.0,0.001821924601966618,-0.002161034344091206,0.0,0.0
2002-03-22,2002-03-25,RISK_ON,"SPY,QQQ",-3.519554051438421,-7.039476307646518e-05,49993.86516070869,0.6,0.4,0.0,0.0,0.0004344411144008298,0.0002723566515516751,0.0,0.0
2002-03-26,2002-03-27,RISK_ON,"SPY,QQQ",-229.87574958113066,-0.0045980791611566615,49763.98941112756,0.6,0.4,0.0,0.0,-0.0021004547188031575,-0.007244503553502701,0.0,0.0
2002-03-27,2002-03-28,RISK_ON,"SPY,QQQ",311.5121111670081,0.006259789756673967,50075.501522294566,0.6,0.4,0.0,0.0,0.0034910716323057756,0.011513341203010619,0.0,0.0
2002-03-28,2002-04-01,RISK_ON,"SPY,QQQ",-242.52129571658367,-0.004843112666751996,49832.98022657798,0.6,0.4,0.0,0.0,-0.00253199470963561,-0.007209940377795765,0.0,0.0
2002-04-02,2002-04-03,RISK_ON,"SPY,QQQ",115.73292630099085,0.0023224163149541217,49948.71315287897,0.6,0.4,0.0,0.0,0.0006143889558047899,0.005984792512788939,0.0,0.0
2002-04-03,2002-04-04,RISK_ON,"SPY,QQQ",-467.3004558749258,-0.009355605507686464,49481.412697004045,0.6,0.4,0.0,0.0,-0.004772721478520481,-0.015129828872419537,0.0,0.0
2002-04-04,2002-04-05,RISK_ON,"SPY,QQQ",257.57958981493306,0.005205582778976089,49738.992286818975,0.6,0.4,0.0,0.0,0.004615258309124126,0.007192117528413089,0.0,0.0
2003-04-16,2003-04-17,RISK_ON,"SPY,QQQ",-50.507585863779,-0.001015452536161729,49688.484700955196,0.6,0.4,0.0,0.0,0.0005669806385397713,-0.0022885775434869915,0.0,0.0
2003-04-17,2003-04-21,NEUTRAL,TLT,-308.8919352618307,-0.006216569837475697,49379.59276569336,0.0,0.0,1.0,0.0,0.0,0.0,-0.005796444450154703,0.0
2003-04-21,2003-04-22,NEUTRAL,TLT,176.09788975450098,0.003566207817672518,49555.69065544786,0.0,0.0,1.0,0.0,0.0,0.0,0.003986459098495043,0.0
2003-04-22,2003-04-23,NEUTRAL,TLT,-3.8632490609518904,-7.795772816107825e-05,49551.82740638691,0.0,0.0,1.0,0.0,0.0,0.0,0.0003422215890227509,0.0
2003-04-23,2003-04-24,RISK_ON,"SPY,QQQ",-425.1547457477381,-0.008580001344066241,49126.672660639175,0.6,0.4,0.0,0.0,-0.007051648970623492,-0.009771625452029364,0.0,0.0
2003-04-24,2003-04-25,RISK_ON,"SPY,QQQ",-155.41897368048075,-0.0031636372923950153,48971.25368695869,0.6,0.4,0.0,0.0,-0.0006566343290504983,-0.005822364032364691,0.0,0.0
2003-04-25,2003-04-28,RISK_ON,"SPY,QQQ",119.4662313466576,0.002439517520019548,49090.719918305345,0.6,0.4,0.0,0.0,0.002326948908732751,0.003710471151625372,0.0,0.0
2003-04-28,2003-04-29,NEUTRAL,TLT,-158.8748144184772,-0.0032363512835596993,48931.845103886866,0.0,0.0,1.0,0.0,0.0,0.0,-0.0028159808346914783,0.0
2003-04-29,2003-04-30,RISK_ON,"SPY,QQQ",-141.79191436675455,-0.0028977430559938445,48790.05318952011,0.6,0.4,0.0,0.0,-0.0021714721041601326,-0.002884966539500544,0.0,0.0
2003-04-30,2003-05-01,RISK_ON,"SPY,QQQ",-25.438755144497293,-0.0005213922404569426,48764.61443437562,0.6,0.4,0.0,0.0,0.00010894084903156909,-0.0003644119700136894,0.0,0.0
2003-05-01,2003-05-02,RISK_ON,"SPY,QQQ",-186.10878935426928,-0.003816472077406106,48578.505645021345,0.6,0.4,0.0,0.0,-0.0036997997055391307,-0.0028889472704297647,0.0,0.0
2003-05-02,2003-05-05,NEUTRAL,TLT,-25.88532319094861,-0.0005328554851007756,48552.6203218304,0.0,0.0,1.0,0.0,0.0,0.0,-0.0001122702491672678,0.0
2003-05-05,2003-05-06,NEUTRAL,TLT,6.906403743224871,0.0001422457469328301,48559.526725573625,0.0,0.0,1.0,0.0,0.0,0.0,0.0005628419576702015,0.0
2003-05-06,2003-05-07,RISK_ON,"SPY,QQQ",-309.2484165331265,-0.0063684396736565065,48250.2783090405,0.6,0.4,0.0,0.0,-0.005218119047911363,-0.006990954205120858,0.0,0.0
2003-05-07,2003-05-08,RISK_ON,"SPY,QQQ",-591.171408766883,-0.01225218650513187,47659.10690027362,0.6,0.4,0.0,0.0,-0.009315960820847069,-0.015552898686277183,0.0,0.0
2003-05-08,2003-05-09,RISK_ON,"SPY,QQQ",281.8279279162849,0.005913411858640324,47940.9348281899,0.6,0.4,0.0,0.0,0.004110724199205773,0.009722355091322354,0.0,0.0
2003-05-09,2003-05-12,RISK_ON,"SPY,QQQ",-125.50393131908791,-0.0026178866091966556,47815.430896870814,0.6,0.4,0.0,0.0,-0.0024538512288648784,-0.0017596446754788442,0.0,0.0
2003-05-12,2003-05-13,NEUTRAL,TLT,-151.2811369600425,-0.0031638559795963855,47664.14975991077,0.0,0.0,1.0,0.0,0.0,0.0,-0.00274294222892546,0.0
2003-05-13,2003-05-14,RISK_ON,"SPY,QQQ",233.38078852230973,0.0048963589972311015,47897.530548433075,0.6,0.4,0.0,0.0,0.004012034562465239,0.007327746293263937,0.0,0.0
2003-05-14,2003-05-15,RISK_ON,"SPY,QQQ",194.87157187143202,0.004068509788294442,48092.402120304505,0.6,0.4,0.0,0.0,0.004020689786098375,0.005244629306929927,0.0,0.0
