symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl_pct,pnl_dollar,hold_days,exit_reason
QCOM,2002-01-07,2002-01-08,14.619098663330078,14.925729751586914,1424,0.02097469175893707,425.38030254516605,1,mean_reverted_ibs
MRK,2002-01-07,2002-01-08,22.46916389465332,22.712804794311523,927,0.01084334516408858,215.62437698822023,1,mean_reverted_ibs
BIIB,2002-01-07,2002-01-08,62.310001373291016,64.26000213623047,334,0.03129514877165951,642.1773785873413,1,mean_reverted_ibs
AIG,2002-01-08,2002-01-09,901.2748413085938,919.0164794921875,23,0.019685047635229713,399.6383381469726,1,mean_reverted_sma
JNJ,2002-01-07,2002-01-10,30.1945858001709,30.40850830078125,689,0.007084796659444281,137.66349655342103,3,mean_reverted_sma
LLY,2002-01-08,2002-01-10,38.68695068359375,39.2750358581543,543,0.015201125034906005,309.7775780479431,2,mean_reverted_sma
MDT,2002-01-08,2002-01-10,30.6237735748291,30.705698013305664,686,0.0026751908374837985,46.413761293029786,2,mean_reverted_sma
MU,2002-01-10,2002-01-11,32.929779052734375,34.27622985839844,644,0.040888546610283294,857.1701848999023,1,mean_reverted_sma
BMY,2002-01-07,2002-01-16,19.69766616821289,19.174434661865234,1057,-0.02656312183785614,-563.3872643249512,7,time_stop
LOW,2002-01-09,2002-01-17,15.136356353759766,14.634689331054688,1388,-0.03314318261147886,-707.354269796753,6,mean_reverted_ibs
GS,2002-03-13,2002-03-14,61.85916519165039,62.14031982421875,344,0.004545076411834659,87.49802903442382,1,mean_reverted_ibs
NVDA,2002-03-13,2002-03-15,0.4095195531845093,0.4031778573989868,52015,-0.015485697169300261,-442.3477974462509,2,mean_reverted_ibs
MU,2002-03-14,2002-03-15,31.24181365966797,32.578521728515625,676,0.04278586651239458,893.6341451965333,1,mean_reverted_ibs
AMD,2002-03-13,2002-03-18,14.300000190734863,14.819999694824219,1489,0.036363601199548956,762.6293256231307,3,mean_reverted_sma
ORCL,2002-03-14,2002-03-21,10.745807647705078,10.513946533203125,1966,-0.021576890458435694,-468.13028645477294,5,mean_reverted_sma
MRK,2002-03-15,2002-03-21,23.23885726928711,22.577678680419922,915,-0.028451424319431262,-615.1928348922729,4,mean_reverted_ibs
NVDA,2002-03-20,2002-03-21,0.35542649030685425,0.3742976188659668,59180,0.053094322099684677,989.7963735721111,1,mean_reverted_ibs
MSFT,2002-03-20,2002-03-21,18.356218338012695,18.74106216430664,1145,0.020965311002920428,429.86090387153627,1,mean_reverted_ibs
GE,2002-03-13,2002-03-22,107.03196716308594,101.33252716064453,199,-0.053249885557621335,-1142.8794673599243,7,mean_reverted_ibs
AIG,2002-03-21,2002-03-22,856.8255615234375,854.9320678710938,24,-0.002209893982361044,-53.70828427734375,1,mean_reverted_ibs
COST,2002-03-22,2002-03-26,27.020261764526367,26.780094146728516,789,-0.008888426762510337,-199.5599466053009,2,mean_reverted_ibs
SLB,2002-03-22,2002-03-27,17.644922256469727,18.194494247436523,1209,0.03114618375636602,653.3485661682129,3,mean_reverted_sma
AIG,2002-03-25,2002-03-27,836.58837890625,855.5242309570312,25,0.022634610434749014,464.8857382202149,2,mean_reverted_sma
BMY,2002-03-21,2002-03-28,15.972143173217773,15.92887020111084,1338,-0.002709277749243677,-69.11194785804749,5,mean_reverted_sma
LLY,2002-03-25,2002-03-28,39.72397994995117,39.12833023071289,534,-0.014994714023840228,-327.5663768005371,3,mean_reverted_ibs
IBM,2002-03-26,2002-03-28,51.19427490234375,51.74156951904297,415,0.010690543380939,217.75359084320067,2,mean_reverted_sma
BIIB,2002-03-28,2002-04-01,64.30000305175781,65.55000305175781,335,0.019440123494143924,409.38004959106445,1,mean_reverted_ibs
AMGN,2002-03-28,2002-04-01,40.64658737182617,41.811222076416016,530,0.028652705673320567,607.4558656311036,1,mean_reverted_sma
COST,2002-04-02,2002-04-04,25.879417419433594,26.33308219909668,840,0.017529945605437636,370.6267149810791,2,mean_reverted_sma
AXP,2002-04-03,2002-04-04,24.776386260986328,25.17135238647461,874,0.015941232160648244,334.72152896118166,1,mean_reverted_sma
LOW,2002-04-02,2002-04-05,15.076886177062988,15.26640510559082,1442,0.012570163779318966,261.6512897312164,3,mean_reverted_sma
NVDA,2002-04-02,2002-04-08,0.32463547587394714,0.33242857456207275,67008,0.02400569028121735,379.37824731559755,4,mean_reverted_sma
MSFT,2002-04-02,2002-04-08,17.494916915893555,17.476587295532227,1243,-0.0010477111980267129,-33.96363405609131,4,mean_reverted_sma
PFE,2002-04-04,2002-04-08,14.334747314453125,14.139932632446289,1524,-0.013590381311459399,-308.6246578262329,2,mean_reverted_ibs
BIIB,2002-04-04,2002-04-10,60.93000030517578,61.70000076293945,358,0.012637460264352862,266.1638558029175,4,mean_reverted_sma
BIIB,2003-04-16,2003-04-17,30.06999969482422,31.8799991607666,758,0.06019286612277308,1361.0719753578185,1,mean_reverted_sma
MMM,2003-04-16,2003-04-17,28.39972686767578,28.615461349487305,803,0.007596357627547068,162.47214966697692,1,mean_reverted_ibs
AMZN,2003-04-16,2003-04-17,1.218999981880188,1.249500036239624,18714,0.025020553579002236,524.1109154146671,1,mean_reverted_ibs
KO,2003-04-16,2003-04-17,10.20357608795166,10.331446647644043,2235,0.012531935724316545,272.1415457496643,1,mean_reverted_ibs
JNJ,2003-04-16,2003-04-22,28.88471221923828,29.787519454956055,789,0.031255538530741145,701.4784308231355,3,mean_reverted_sma
MMM,2003-04-23,2003-04-28,28.135530471801758,27.915376663208008,832,-0.007824761250348367,-194.15883969726562,3,mean_reverted_sma
KO,2003-04-25,2003-04-28,10.080822944641113,10.313543319702148,2306,0.02308545406848439,522.6353031696318,1,mean_reverted_sma
