date,value,cash,positions,drawdown,leverage,in_protection,risk_on,regime_score,universe_size
1997-08-12,124598.7225282368,27314.879195739835,5,-0.05758883258128751,0.8407214622952343,False,True,0.6089325427250644,40
1997-08-13,126892.78929530774,27318.672928961467,5,-0.040237497862732535,0.8731376786088136,False,True,0.6532612808982652,40
1997-08-14,127223.74753375967,26027.538821070422,5,-0.03773427203876278,0.873556357549192,False,True,0.6489302368184475,40
1997-08-15,124159.34223385577,26107.64959599956,5,-0.06091211622149149,0.7922089245103604,False,True,0.5111124477641195,40
1997-08-18,125979.40413937034,43926.168164188006,4,-0.04714595048282113,0.727103048678118,False,False,0.481297456395205,40
1997-08-19,128254.17344618401,43932.26902087747,4,-0.02994057345693145,0.80188469570573,False,False,0.4704050636429313,40
1997-08-20,130301.74308914108,43938.37072490815,4,-0.014453637006575914,0.769187134283351,False,False,0.48453741758138713,40
1997-08-21,128879.33605076344,36851.45558899261,4,-0.025212112297350115,0.7342319026312722,False,False,0.4621799020683543,40
1997-08-22,128220.94968040267,30326.159713903893,4,-0.030191863737126266,0.7342154804079861,False,False,0.4651132573331601,40
1997-08-25,127931.6871245833,30330.371680530825,4,-0.032379721344241566,0.7332175250322034,False,False,0.4660055396657068,40
1997-08-26,126557.47621273811,33498.074559604676,4,-0.04277366185529351,0.7154333173283551,False,False,0.4484814550133255,40
1997-08-27,126390.83027981973,33502.72706996018,4,-0.04403410004438975,0.7297473171348984,False,False,0.4432657191996925,40
1997-08-28,124180.31093484702,33728.33147769561,4,-0.060753517982445056,0.711895880675776,False,False,0.4234789355805325,40
1997-08-29,123978.10240388464,34426.751733458295,4,-0.06228293637341687,0.7075503531457228,False,False,0.483916661056127,40
1997-09-02,126546.61863155798,34431.53322675461,4,-0.04285578393124809,0.6115879639157872,False,False,0.4766987299740029,40
1997-09-03,127198.52102026278,34092.51301347031,4,-0.037925074541004494,0.6105202810638731,False,False,0.4750259914092221,40
1997-09-04,126794.86596529195,34097.248084722174,4,-0.04097814782996473,0.6125966118259124,False,False,0.48705091172785714,40
1997-09-05,127781.76575709673,26671.419045743565,5,-0.03351366211094577,0.6151337264928792,False,True,0.5234475646812752,40
1997-09-08,126478.02376073194,28580.86329585331,5,-0.043374606042602036,0.6424629443992934,False,True,0.5428512675436536,40
1997-09-09,124652.19328093706,29903.490635082908,5,-0.05718440279699666,0.6466968373784235,False,True,0.5423953330949137,39
1997-09-10,120946.49441109564,28916.814710097402,5,-0.08521271582595269,0.6334311500337008,False,True,0.50200422983878,40
1997-09-11,121451.39281411635,54749.30376104971,4,-0.08139388138075397,0.6323024921355586,False,False,0.4992040536100031,40
1997-09-12,122358.76444409043,30479.11087205532,5,-0.07453091248560578,0.6144584261078064,False,True,0.521392970987026,40
1997-09-15,121558.52410532889,28350.524775851798,5,-0.08058358635388638,0.6958196722718902,False,True,0.5405205011887922,40
1997-09-16,124566.538074543,28354.462348737332,5,-0.05783226195169245,0.6842214818023611,False,True,0.6020996229044462,40
1997-09-17,125374.72636732928,28358.40046850799,5,-0.051719473176299956,0.6939602084932909,False,True,0.5964028689768921,40
1997-09-18,125219.74908446833,28362.339135239727,5,-0.052891654713163316,0.7137069626695163,False,True,0.59743874739054,40
1997-09-19,126199.57825018176,31364.862970474755,5,-0.04548064816996518,0.7541213704927214,False,True,0.6185699087214923,40
1997-09-22,126703.54217823273,31241.152357164494,5,-0.04166888169167079,0.7527456583768443,False,True,0.622437637699376,40
1997-09-23,125638.72813271318,31245.49140610299,5,-0.04972267732745278,0.7514517374299763,False,True,0.6067294794878333,40
1997-09-24,124280.24175969939,31069.865822332664,5,-0.059997684187368235,0.7744260215638797,False,True,0.6871551746713004,40
1997-09-25,123290.42907938157,30335.357263456724,5,-0.06748420174273694,0.7664472531116047,False,True,0.6662599901701887,40
1997-09-26,123313.75769531348,24005.964393645118,5,-0.06730775412169755,0.8034340735179397,False,True,0.7250026671097363,40
1997-09-29,124901.050796248,24009.29855536646,5,-0.05530215154460556,0.7966928525868745,False,True,0.7297742128305469,40
1997-09-30,124494.00240008508,24012.633180165816,5,-0.05838089060741481,0.9481525123380845,False,True,0.8102826887006407,40
1997-10-01,125025.917031268,26864.67454483103,5,-0.05435771702771305,0.9240373095024861,False,True,0.7884404728559142,40
1997-10-02,125792.97722734763,26868.40574962892,5,-0.048556003493258476,0.925712595129472,False,True,0.7873115764930345,40
1997-10-03,126583.28451348888,20832.130861282454,5,-0.0425784589643962,0.928617471360007,False,True,0.7873035280296512,40
1997-10-06,126750.48075738165,20835.024212790966,5,-0.04131385845968955,0.925042888357137,False,True,0.7902572139664865,40
1997-10-07,127323.90216685145,20837.917966153855,5,-0.03697674545438689,0.914945207681684,False,True,0.7999271347303848,40
1997-10-08,127239.76458254075,23172.63041531005,5,-0.03761312596812821,1.0,False,True,0.8197762721287665,40
1997-10-09,128117.42121351547,27163.41908164422,5,-0.03097490854978981,1.0,False,True,0.835606225852596,40
1997-10-10,128381.47635396452,21496.034908375008,5,-0.028977708994897818,1.0,False,True,0.8200914881833936,40
1997-10-13,127951.40952193527,21499.02046877895,5,-0.03223054961008871,1.0,False,True,0.8430077069947922,40
1997-10-14,127121.1335321105,21502.006443844057,5,-0.03851040022952962,1.0,False,True,0.8530612568700091,40
1997-10-15,126069.53686499613,22620.57742255884,5,-0.046464225297714316,1.0,False,True,0.8647425206306587,40
1997-10-16,122485.23316785593,25371.76077798346,5,-0.07357435743281387,1.0,False,True,0.8098497178972117,40
1997-10-17,121025.19647550146,22686.123857618735,5,-0.08461744724783268,1.0,False,True,0.7890134435294249,40
1997-10-20,122040.79962265943,22885.295534760233,5,-0.07693586168959912,1.0,False,True,0.7332759914757615,40
1997-10-21,124900.58994205808,22888.47404802895,5,-0.05530563724755918,0.990672133442435,False,True,0.6604187905043547,40
1997-10-22,124292.58799593749,22891.653002757845,5,-0.059904302564585274,0.9989618390131062,False,True,0.6604603951160197,40
1997-10-23,121565.62700357067,22110.96471194565,5,-0.08052986308539481,0.9063103139245531,False,True,0.5894112838216249,40
1997-10-24,119342.42062265331,21396.41757812055,5,-0.09734524030869053,0.8982115269790542,False,True,0.55374560188495,40
1997-10-27,110264.51195773616,52636.92215737214,2,-0.16600663850790753,0.49605135208989226,True,False,0.3453271552721465,40
1997-10-28,113934.31056879563,37638.700387991325,4,-0.13824985960147568,0.3,True,False,0.4230270432915067,40
1997-10-29,114255.92981818205,37643.92798526744,4,-0.13581726987560672,0.3,True,False,0.41116057440160403,40
1997-10-30,113136.47957782993,44849.48946811316,3,-0.14428431019889987,0.3,True,False,0.3765884897471396,40
1997-10-31,113027.205994879,48212.329950991014,4,-0.14511080859942302,0.3,True,False,0.4020001314867238,40
1997-11-03,115410.59461906122,48219.02610792865,4,-0.12708388175658142,0.3,True,False,0.42249793692903753,40
1997-11-04,116395.98547784751,39669.886116402464,4,-0.11963080895816593,0.3,True,False,0.41891839650551316,40
1997-11-05,118313.31703899777,39675.39582280752,4,-0.10512893736423466,0.3,True,False,0.4270163695637542,40
1997-11-06,116684.54156658726,39680.906294449574,4,-0.11744829476430352,0.3,True,False,0.4290465745354711,40
1997-11-07,115125.15460630534,42550.35712766782,4,-0.1292428272914228,0.3,True,False,0.4151638054001992,40
1997-11-10,113795.73136391584,69415.21465449288,4,-0.13929801312665424,0.3,True,False,0.41765588429212375,40
1997-11-11,113423.22937974575,69424.85565652823,4,-0.1421154579819814,0.381834794046389,True,False,0.48928002792049685,40
1997-11-12,112009.60865781702,55519.69139832267,4,-0.15280747735271155,0.37660584465323954,True,False,0.420419816254912,40
1997-11-13,112098.82901997579,55527.402466572436,4,-0.15213265289260916,0.37505886957644,True,False,0.4825556392342564,40
1997-11-14,111735.72669143087,46785.33132562373,5,-0.1548790027940612,0.37310739935288884,True,True,0.5530834915853173,40
1997-11-17,113948.03945271875,36368.80081417722,5,-0.13814602022605663,0.3709834789137249,True,True,0.5871889098504143,40
1997-11-18,111806.44301784373,36373.85203651252,5,-0.1543441349047439,0.37681648225006803,True,True,0.5482097113822115,40
1997-11-19,112776.34861911689,44080.472042121335,5,-0.14700818593644976,0.3766960920632899,True,True,0.5566695651753971,40
1997-11-20,113301.78455989968,44086.59432990496,5,-0.14303401438549634,0.3792270707289734,True,True,0.5717052099475028,40
1997-11-21,113234.0707701806,44595.27920951977,5,-0.14354617237816794,0.38076376595699435,True,True,0.6148321749184932,40
1997-11-24,111759.38401927281,37751.790480198266,5,-0.15470006893746024,0.5132961536503651,True,True,0.5860387823152214,40
1997-11-25,111913.43575946202,37757.033784431624,5,-0.15353488780743943,0.700706791297088,True,True,0.5537524675796219,40
1997-11-26,112318.97351782564,37462.74267856483,5,-0.1504675745594628,0.7026967308970917,True,True,0.6557306350987816,40
1997-11-28,112654.99164477242,37467.945837270185,5,-0.14792607791435872,0.7741823576369004,True,True,0.6927502125625773,40
1997-12-01,113035.15956166548,20243.48643247145,5,-0.14505065123979444,0.7616057648304244,True,True,0.6363679002700684,40
1997-12-02,114122.67871698616,27107.495937022522,5,-0.136825123915277,0.7989191955973353,True,True,0.6509743330033965,40
1997-12-03,114916.99782691387,27111.260867013774,5,-0.1308172356761314,0.7993751132440042,True,True,0.6586018437920707,40
1997-12-04,113732.5401787822,31591.36743766667,5,-0.13977596408268322,0.7984085513076682,True,True,0.6528233807565665,40
1997-12-05,113809.13929358414,31595.75512758857,5,-0.13919660131122805,0.7874223374052861,True,True,0.6726211344882361,40
1997-12-08,113022.560314514,20476.889141977263,5,-0.1451459465283471,0.8106085080971838,True,True,0.6746409284164049,40
1997-12-09,112558.45739197018,23013.259081425236,5,-0.14865622149876537,0.8053751140049386,True,True,0.7603058300269998,40
1997-12-10,112782.02486843492,23016.45536740877,5,-0.14696525322704618,0.7918215366567074,True,True,0.7167008208448574,40
1997-12-11,112512.94425578164,25994.510434858155,5,-0.1490004632930471,0.8039981468278117,True,True,0.646426039341164,40
1997-12-12,113321.9999821177,25998.120783529663,5,-0.14288111362322703,0.8284755455070919,True,True,0.6378395561872485,40
1997-12-15,114789.48386643303,24755.397459811742,5,-0.1317816964500506,0.8517895968122258,True,True,0.7797126255988149,40
1997-12-16,114532.05838533916,24210.897631571475,5,-0.13372875211192567,0.8650849915522973,True,True,0.759665858002401,40
1997-12-17,113551.81233442304,24214.260256242527,5,-0.141142911795562,0.8354283528177521,True,True,0.7532905988925755,40
1997-12-18,113385.38249407003,25134.464353627973,5,-0.14240171555340025,0.830393137786399,True,True,0.7141832456427044,40
