date,hydra_value,combined_value,source,event
2000-01-04,99668.2038752212,99668.2038752212,HYDRA,
2000-01-05,99925.511741168,99925.511741168,HYDRA,
2000-01-06,100902.59101044756,100902.59101044756,HYDRA,
2000-01-07,101942.1396800826,101942.1396800826,HYDRA,
2000-01-10,104221.21219974846,104221.21219974848,HYDRA,
2000-01-11,103492.92027101356,103492.92027101357,HYDRA,
2000-01-12,103372.51517963943,103372.51517963945,HYDRA,
2000-01-13,104353.66808800664,104353.66808800666,HYDRA,
2000-01-14,104658.3822666226,104658.3822666226,HYDRA,
2000-01-18,104756.27663768244,104756.27663768244,HYDRA,
2000-01-19,105062.6238817522,105062.62388175221,HYDRA,
2000-01-20,104890.52276740164,104890.52276740165,HYDRA,
2000-01-21,104863.6200722842,104863.62007228422,HYDRA,
2000-01-24,104443.52639836128,104443.5263983613,HYDRA,
2000-01-25,103585.5711292983,103585.57112929832,HYDRA,
2000-01-26,103423.2379082057,103423.23790820572,HYDRA,
2000-01-27,102861.52546057144,102861.52546057146,HYDRA,
2000-01-28,101626.71238538044,101626.71238538045,HYDRA,
2000-01-31,103291.96338785316,103291.96338785316,HYDRA,
2000-02-01,104489.5166114503,104489.5166114503,HYDRA,
2000-02-02,105367.7543328682,105367.7543328682,HYDRA,
2000-02-03,105794.80693310668,105794.80693310668,HYDRA,
2000-02-04,105860.58985231252,105860.58985231254,HYDRA,
2000-02-07,105936.99870157817,105936.99870157818,HYDRA,
2000-02-08,105803.81950651178,105803.81950651179,HYDRA,
2000-02-09,105822.5090961308,105822.50909613082,HYDRA,
2000-02-10,105527.77061199106,105527.77061199107,HYDRA,
2000-02-11,105321.93587780236,105321.93587780237,HYDRA,
2000-02-14,105244.44857753368,105244.4485775337,HYDRA,
2000-02-15,105062.42870014031,105062.42870014033,HYDRA,
2000-02-16,104471.7605983807,104471.76059838072,HYDRA,
2000-02-17,106301.5021572702,106301.50215727022,HYDRA,
