date,ief_blend,tlt_blend,edv_blend,zroz_blend
2010-01-04,100000.0,100000.0,100000.0,100000.0
2010-01-05,99583.78571852439,99583.78571852439,99583.78571852439,99583.78571852439
2010-01-06,99751.45299883658,99751.45299883658,99751.45299883658,99751.45299883658
2010-01-07,99339.79620676817,99339.79620676817,99339.79620676817,99339.79620676817
2010-01-08,99664.6195771238,99664.6195771238,99664.6195771238,99664.6195771238
2010-01-11,99573.00593966938,99573.00593966938,99573.00593966938,99573.00593966938
2010-01-12,97969.20488352896,97969.20488352896,97969.20488352896,97969.20488352896
2010-01-13,98555.46084908515,98555.46084908515,98555.46084908515,98555.46084908515
2010-01-14,98481.21160715377,98481.21160715377,98481.21160715377,98481.21160715377
2010-01-15,97641.5749936207,97608.79401441738,97608.79401441738,97608.79401441738
2010-01-19,98396.78039626231,98363.7458737031,98363.7458737031,98363.7458737031
2010-01-20,97012.27367117167,96934.76781334706,96934.76781334706,96934.76781334706
2010-01-21,95806.35871507776,95690.01738024034,95690.01738024034,95690.01738024034
2010-01-22,93524.73585384886,93383.56857946672,93383.56857946672,93383.56857946672
2010-01-25,94108.65285962529,93982.37503564161,93982.37503564161,93982.37503564161
2010-01-26,93605.6584944915,93466.85162362724,93466.85162362724,93466.85162362724
2010-01-27,94089.69249155253,93944.93185981049,93944.93185981049,93944.93185981049
2010-01-28,93607.43746674921,93448.91070552832,93448.91070552832,93448.91070552832
2010-01-29,93137.1647167661,92946.85505442331,92946.85505442331,92946.85505442331
2010-02-01,93745.56966977786,93597.86790878838,93597.86790878838,93597.86790878838
2010-02-02,94848.95678105742,94723.29650286077,94723.29650286077,94723.29650286077
2010-02-03,94475.76457547978,94344.6438645116,94344.6438645116,94344.6438645116
2010-02-04,91720.11959233573,91485.77762145962,91485.77762145962,91485.77762145962
2010-02-05,91969.46690181487,91729.67285146832,91729.67285146832,91729.67285146832
2010-02-08,91718.14497010097,91461.31547076892,91461.31547076892,91461.31547076892
2010-02-09,92646.81950956727,92443.3600840188,92443.3600840188,92443.3600840188
2010-02-10,92368.35123808471,92163.39075492816,92163.39075492816,92163.39075492816
2010-02-11,93600.45835424264,93418.3655824406,93418.3655824406,93418.3655824406
2010-02-12,93253.46521192712,93058.57972698331,93058.57972698331,93058.57972698331
2010-02-16,94050.40047163257,93892.7435770905,93892.7435770905,93892.7435770905
2010-02-17,93983.59305597717,93834.91345877883,93834.91345877883,93834.91345877883
2010-02-18,94388.54415973031,94258.64307491443,94258.64307491443,94258.64307491443
2010-02-19,94147.4234698134,94015.4447362481,94015.4447362481,94015.4447362481
2010-02-22,94137.84588252551,94004.05327461107,94004.05327461107,94004.05327461107
2010-02-23,93556.6068347307,93384.22012002867,93384.22012002867,93384.22012002867
2010-02-24,94249.09552783481,94083.13023900871,94083.13023900871,94083.13023900871
2010-02-25,93977.40183358936,93797.73442245553,93797.73442245553,93797.73442245553
2010-02-26,94358.79238151143,94191.79079312131,94191.79079312131,94191.79079312131
2010-03-01,96199.63959624247,96031.19917854002,96031.19917854002,96031.19917854002
2010-03-02,96602.8859592027,96449.7409944213,96449.7409944213,96449.7409944213
2010-03-03,97242.5851940852,97103.89037466125,97103.89037466125,97103.89037466125
2010-03-04,97154.02786182158,97004.48781141928,97004.48781141928,97004.48781141928
2010-03-05,98293.37919201955,98173.3156179514,98173.3156179514,98173.3156179514
2010-03-08,97936.88662347005,97817.82978723582,97817.82978723582,97817.82978723582
2010-03-09,98031.80079410157,97901.25415614605,97901.25415614605,97901.25415614605
2010-03-10,98324.68681595084,98197.11313463713,98197.11313463713,98197.11313463713
2010-03-11,98343.84695117977,98221.25967273003,98221.25967273003,98221.25967273003
2010-03-12,98559.77907684412,98431.35145892313,98431.35145892313,98431.35145892313
2010-03-15,98446.03843354816,98315.34037838866,98315.34037838866,98315.34037838866
2010-03-16,99165.46853030984,99052.13283167349,99052.13283167349,99052.13283167349
2010-03-17,99865.33983304995,99755.17010426488,99755.17010426488,99755.17010426488
2010-03-18,99412.30475442066,99307.10207134804,99307.10207134804,99307.10207134804
2010-03-19,98396.57350375578,98272.16890051715,98272.16890051715,98272.16890051715
2010-03-22,99124.64439131736,98994.42554157057,98994.42554157057,98994.42554157057
2010-03-23,99708.25015742147,99588.88228871743,99588.88228871743,99588.88228871743
2010-03-24,98806.41944815923,98679.77365470675,98679.77365470675,98679.77365470675
2010-03-25,98796.7744543835,98670.14102346673,98670.14102346673,98670.14102346673
2010-03-26,99168.30909350295,99041.1994455607,99041.1994455607,99041.1994455607
2010-03-29,99745.52260159467,99617.67310635169,99617.67310635169,99617.67310635169
2010-03-30,99517.00255201125,99389.4459638806,99389.4459638806,99389.4459638806
2010-03-31,98817.17331463088,98688.23559564994,98688.23559564994,98688.23559564994
2010-04-01,99418.93531979877,99289.21241523,99289.21241523,99289.21241523
2010-04-05,99851.98916340077,99721.70120548228,99721.70120548228,99721.70120548228
2010-04-06,99601.65425627593,99471.69293805806,99471.69293805806,99471.69293805806
2010-04-07,99316.5429924441,99186.95369049405,99186.95369049405,99186.95369049405
2010-04-08,99499.40557605025,99369.57767301876,99369.57767301876,99369.57767301876
2010-04-09,100260.40177416558,100129.58091504511,100129.58091504511,100129.58091504511
2010-04-12,100486.39289664838,100349.06729434173,100349.06729434173,100349.06729434173
2010-04-13,100937.6447219064,100796.26239823407,100796.26239823407,100796.26239823407
2010-04-14,102330.80950625021,102187.47579095376,102187.47579095376,102187.47579095376
2010-04-15,102816.05739502853,102673.34945737282,102673.34945737282,102673.34945737282
2010-04-16,100786.54901323524,100594.51498630452,100594.51498630452,100594.51498630452
2010-04-19,100868.02742279031,100674.48927798514,100674.48927798514,100674.48927798514
2010-04-20,102022.47893005674,101838.83693689613,101838.83693689613,101838.83693689613
2010-04-21,102859.78529859388,102670.23175270497,102670.23175270497,102670.23175270497
2010-04-22,103762.85093448329,103572.44890430746,103572.44890430746,103572.44890430746
2010-04-23,104200.57660493864,104032.05773362053,104032.05773362053,104032.05773362053
2010-04-26,104017.03902374745,103841.43715260325,103841.43715260325,103841.43715260325
2010-04-27,100829.12286375128,100668.68183156749,100607.07845757465,100607.07845757465
2010-04-28,101112.34678427503,100965.88062076506,100904.0953784113,100904.0953784113
2010-04-29,102250.15597359321,102116.60398213085,102054.11456405626,102054.11456405626
2010-04-30,101286.51537202984,101165.31297778766,101073.64923769435,101073.64923769435
2010-05-03,102308.7817298005,102189.0108797102,102113.33716424962,102113.33716424962
2010-05-04,100358.27524427544,100269.48742787518,100218.63131508138,100100.09413099728
2010-05-05,99650.7229882637,99569.37466722354,99518.86562177591,99374.76356327436
2010-05-06,98205.77864136128,98191.71858936473,98192.05077785486,97891.40521378165
2010-05-07,97011.2838892945,96965.35637222021,96980.05733294725,96682.28811972804
2010-05-10,100785.59961582658,100695.54319874641,100666.08584230013,100529.77511865662
2010-05-11,101414.11397512285,101310.84290892354,101257.3866287946,101191.92965607131
2010-05-12,102486.56813365476,102365.0220334162,102299.68268178402,102304.45706803919
2010-05-13,101370.95543870323,101263.8344973951,101202.49593497765,101148.47491992786
2010-05-14,100403.35180575249,100334.08892648786,100327.255815471,100128.04217009783
2010-05-17,100435.81245074995,100361.46751999813,100345.06054605228,100154.55148103832
2010-05-18,99207.84199790959,99161.28651332158,99161.11546578932,98884.74830380004
2010-05-19,98505.86111482937,98467.79318150497,98493.61184773606,98133.37059949181
2010-05-20,95454.3575695103,95473.34666156855,95531.72190747167,95012.42623758166
2010-05-21,96790.6617002269,96812.21815013418,96921.71807229843,96314.57302178403
2010-05-24,96371.46456474652,96376.20397274732,96444.49621684279,95965.14703477758
2010-05-25,96792.247643838,96804.08653204479,96885.51706135613,96389.07992150976
2010-05-26,96599.8971668818,96607.7719975554,96705.99814448357,96252.87739070697
2010-05-27,98119.71872265394,98085.2848384305,98131.69473537453,97854.4740874985
2010-05-28,97385.10056070692,97351.16774319798,97406.82968043559,97107.50354298137
2010-06-01,97011.80911762321,97005.92867381724,97075.44264828904,96771.06961999623
2010-06-02,97994.63823110901,97976.4144492862,98029.9014048407,97810.09819488792
2010-06-03,97732.68400645598,97695.26800803374,97739.14500568564,97534.0656078701
2010-06-04,97317.36988836572,97343.69145480465,97455.60783171773,97102.82120379695
2010-06-07,98026.29388458845,98070.37073220506,98175.54037197708,97884.1551186906
2010-06-08,97926.62374044734,97961.41176027367,98091.4132736751,97779.99792116389
2010-06-09,97452.71120942086,97481.31107953834,97585.83932747878,97288.49409888135
2010-06-10,98026.7992471427,98013.74082493677,98058.51322595144,97842.63654202722
2010-06-11,98358.48689329052,98376.38584718714,98491.19294990301,98185.36441008442
2010-06-14,99194.98351828755,99192.00151222668,99284.12234138779,99007.82406549715
2010-06-15,100154.17857991024,100147.79506478863,100219.39594720383,100032.16328796647
2010-06-16,100543.65680416483,100546.94222011877,100623.76968981547,100402.15767591361
2010-06-17,101031.29901501808,101046.07397197024,101147.5830891503,100897.85266496864
2010-06-18,101400.71440339673,101416.86025406637,101523.12886570435,101288.24821700605
2010-06-21,100938.80557093506,100947.72240508813,101052.63952550969,100791.01197726965
2010-06-22,100999.800117274,101038.58830772969,101146.69312147943,100866.09583354641
2010-06-23,100700.53856458589,100754.74357308749,100891.82993902215,100527.69571585386
2010-06-24,100167.71118607266,100195.94609585116,100339.37566166354,100014.58448511091
2010-06-25,100515.01080961648,100555.69219140208,100695.93880946877,100413.58955548269
2010-06-28,100224.55497625138,100276.65925853564,100432.52806484651,100019.51175113014
2010-06-29,98556.57183740498,98640.85768115638,98806.69172617797,98340.81717968664
2010-06-30,98248.70384600769,98358.68520239448,98546.5381781146,98043.04213009715
2010-07-01,97300.46125054326,97419.29937357575,97642.61385968984,96912.01102261133
2010-07-02,97054.26350767216,97142.65215780618,97342.56864096559,96735.46329183168
2010-07-06,96889.60297515447,97006.10488389296,97189.53625093175,96478.83704814469
2010-07-07,98560.53907135865,98637.49839159058,98821.61993737014,98208.36552065
2010-07-08,98550.87756441029,98608.31990381223,98788.84498827027,98188.91807244951
2010-07-09,99031.2192307846,99073.76770323249,99212.81765040812,98728.59576066444
2010-07-12,98603.64158326465,98635.64026863164,98764.09231899983,98251.44173915501
2010-07-13,99414.40048951384,99428.83599948885,99516.43179946033,99126.35548334385
2010-07-14,99335.34511020503,99375.05906911167,99518.89057791133,99020.33048073617
2010-07-15,99257.9353025691,99321.47015849302,99482.69598561045,98914.65094369765
2010-07-16,98236.8530887754,98295.33437291684,98470.93717124067,97803.30326546189
2010-07-19,97568.15068721728,97608.82699557566,97755.39385853065,97110.90833463585
2010-07-20,98363.63911907117,98406.84445580759,98547.82146441103,97936.18592552765
2010-07-21,97803.66236650897,97898.63281396244,98105.66360984123,97313.8502851681
2010-07-22,98852.52331249694,98918.8363053674,99097.44699313222,98426.65222288937
2010-07-23,99406.51791114156,99436.73684414606,99571.09112189553,98961.76217417246
2010-07-26,99212.10045296827,99237.6573687213,99357.4264794032,98778.33154821246
2010-07-27,98049.71008041473,98054.51792581756,98166.15065117032,97603.61379014522
2010-07-28,97848.06283086978,97849.37388390946,97950.88553943961,97382.22943206129
2010-07-29,97892.49942668353,97882.08505984151,97978.57238820917,97438.08383463064
2010-07-30,97927.33239742316,97964.46467568111,98110.38305843287,97495.41178662871
2010-08-02,99708.17082439883,99719.17157914456,99849.08589328939,99322.02075384345
2010-08-03,99552.0825956261,99565.20333444385,99685.16581484888,99157.71903999582
2010-08-04,100075.27365501644,100081.50775108504,100198.53757066293,99698.2161862944
2010-08-05,100073.22022852839,100079.18252717885,100193.81933367952,99684.4816139174
2010-08-06,100540.34828759199,100557.2526006407,100685.94900599326,100138.68538882189
2010-08-09,100917.07450927727,100925.26792802106,101055.16779899981,100516.69323481794
2010-08-10,100166.94348983967,100167.62290423429,100292.34396507504,99747.96460451181
2010-08-11,98593.54064379627,98633.07003269136,98790.86314589891,98136.44131428767
2010-08-12,98730.393269805,98770.39893070997,98923.5381884606,98344.99133393547
2010-08-13,98333.8748901491,98414.06620418439,98596.6246834069,97927.62810307623
2010-08-16,98636.32409451761,98804.29106504242,99079.76229068672,98234.20525554374
2010-08-17,99044.97137199479,99210.37624634625,99473.91818305335,98666.87133640588
2010-08-18,99151.20902103417,99335.15481773631,99625.55182303465,98797.0831624447
2010-08-19,98482.2469631831,98720.13859627442,99053.99557951,98115.35466079504
2010-08-20,98143.01605205912,98390.52649950735,98733.30055912519,97780.54755763568
2010-08-23,97510.92676144754,97751.26310543313,98077.1366246365,97143.21969700618
2010-08-24,97549.68040393926,97829.72622271316,98227.85965046419,97298.10304115477
2010-08-25,98134.71432991745,98422.73826881174,98786.49660651151,97881.2367349798
2010-08-26,98364.14630643012,98676.6987438605,99086.72171021554,98174.76873407085
2010-08-27,98624.88919650295,98855.25505772902,99201.78084737882,98248.61199950486
2010-08-30,98528.37223119073,98815.48671447513,99210.31695885524,98265.6953505825
2010-08-31,99449.95906265959,99772.51834548339,100169.7793017311,99251.0725463449
2010-09-01,99630.34295982224,99886.26624735635,100235.14979990231,99284.39322960093
2010-09-02,100150.46522674074,100375.78001364302,100685.27094246619,99713.54723489519
