symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct
HD,2000-01-03 00:00:00-05:00,2000-01-06 00:00:00-05:00,37.91862487792969,34.901153564453125,501.0730231163746,-1511.9734732106408,-0.07957755122161267
AAPL,2000-01-03 00:00:00-05:00,2000-01-06 00:00:00-05:00,0.8384961485862732,0.711621105670929,22659.615112167783,-2874.9396398014705,-0.15131261262113002
DHR,2000-01-03 00:00:00-05:00,2000-01-06 00:00:00-05:00,4.624373435974121,4.556002140045166,4108.664722488543,-280.9147316141207,-0.014784985874427404
JNJ,2000-01-03 00:00:00-05:00,2000-01-06 00:00:00-05:00,23.405982971191406,23.501201629638672,811.7582595606266,77.29453245885088,0.004068133287307941
VZ,2000-01-03 00:00:00-05:00,2000-01-06 00:00:00-05:00,15.310877799987793,15.233112335205078,1240.9477920341803,-96.50288181862197,-0.005079099043085367
WMT,2000-01-06 00:00:00-05:00,2000-01-10 00:00:00-05:00,13.545990943908691,14.303716659545898,1336.8872899834655,1012.9938785290069,0.055937267253078855
NVDA,2000-01-06 00:00:00-05:00,2000-01-10 00:00:00-05:00,0.07867080718278885,0.08261042833328247,230192.92380038707,906.8729112979709,0.050077294126905904
DHR,2000-01-06 00:00:00-05:00,2000-01-10 00:00:00-05:00,4.556002140045166,4.68652868270874,3974.858344329735,518.8245172628194,0.028649359383812828
MSFT,2000-01-06 00:00:00-05:00,2000-01-10 00:00:00-05:00,33.597068786621094,34.2843017578125,539.0191399778943,370.43172509604483,0.020455146714021488
ADBE,2000-01-06 00:00:00-05:00,2000-01-10 00:00:00-05:00,15.328289031982422,16.693557739257812,1181.4406086261372,1612.983892461656,0.08906856495377673
NVDA,2000-01-10 00:00:00-05:00,2000-01-13 00:00:00-05:00,0.08261042833328247,0.08046138286590576,229385.85141303705,-492.9606242595364,-0.026014215284136225
WFC,2000-01-10 00:00:00-05:00,2000-01-13 00:00:00-05:00,9.294901847839355,9.92376708984375,2038.7158196006792,1282.0775172713693,0.0676570072819626
XOM,2000-01-10 00:00:00-05:00,2000-01-13 00:00:00-05:00,18.453628540039062,18.82546043395996,1026.8800738949722,381.8267627060013,0.020149527401298443
AAPL,2000-01-10 00:00:00-05:00,2000-01-13 00:00:00-05:00,0.7322208881378174,0.7247299551963806,25879.708904533472,-193.8631639477644,-0.010230427815966435
NKE,2000-01-10 00:00:00-05:00,2000-01-13 00:00:00-05:00,4.523637771606445,4.645585060119629,4189.032012635315,510.84109543580416,0.026957792526760636
NVDA,2000-01-13 00:00:00-05:00,2000-01-18 00:00:00-05:00,0.08046138286590576,0.08750542998313904,239026.07506071348,1683.7109349750026,0.0875456879603057
HD,2000-01-13 00:00:00-05:00,2000-01-18 00:00:00-05:00,36.13722229003906,35.191978454589844,532.2038419564983,-503.0624008117702,-0.02615706951305351
NEE,2000-01-13 00:00:00-05:00,2000-01-18 00:00:00-05:00,2.422184467315674,2.319550037384033,7940.092424797272,-814.926859623607,-0.04237267281520586
MRK,2000-01-13 00:00:00-05:00,2000-01-18 00:00:00-05:00,27.868391036987305,26.400407791137695,690.1140620163302,-1013.075880765191,-0.052675565083799857
