symbol,entry_date,exit_date,entry_price,exit_price,return,pnl,exit_reason,days_held
QCOM,2000-01-03,2000-01-06,55.56563361740112,43.359420589447026,-0.21976196855838587,-2609.673376630832,hard_stop,3
VIAV,2000-01-03,2000-01-06,427.97269898986815,340.5577243347168,-0.20426530678589133,-2425.6505180824597,hard_stop,3
TWX,2000-01-03,2000-01-11,121.91757963180541,95.38220904922485,-0.21769108821495006,-2585.081672552532,hard_stop,6
QCOM,2000-01-06,2000-01-11,43.402801700592036,44.71378075981141,0.03008974093950152,201.54730020972661,trailing_stop,3
VIAV,2000-01-06,2000-01-12,340.8984524230957,410.91504516601566,0.20537374765206384,1375.63578418475,trailing_stop,4
VRSN,2000-01-03,2000-01-13,159.53506519317625,147.53506702423095,-0.0752499029251582,-893.5925972362535,hold_expired,8
ORCL,2000-01-03,2000-01-13,23.623202487945555,20.989900342941286,-0.11168266226183944,-1326.2316143593434,hold_expired,8
WMT,2000-01-03,2000-01-13,14.217763402462005,13.844808294296266,-0.02658330269445126,-315.6767194966087,hold_expired,8
GE,2000-01-03,2000-01-13,129.69127807617187,132.80072340393068,0.023937194341900656,275.193897217106,hold_expired,8
HD,2000-01-03,2000-01-13,37.937595640182494,36.119157491683964,-0.04806414633633746,-331.53308439523244,hold_expired,8
MSI,2000-01-11,2000-01-19,111.93937219619751,118.56661782073975,0.05915921712456408,492.6298540167852,trailing_stop,5
QCOM,2000-01-11,2000-01-24,44.758516908645625,43.359420589447026,-0.03137048356772922,-346.88354933501705,hold_expired,8
VIAV,2000-01-12,2000-01-24,411.32616577148434,491.3639668426514,0.19457259890349388,1600.7959989197334,trailing_stop,7
ORCL,2000-01-13,2000-01-24,21.010900743484495,21.651690101623537,0.03025997628094078,301.42997693991686,trailing_stop,6
VRSN,2000-01-13,2000-01-24,147.68267589569092,164.2480198440552,0.11213464171018227,1117.0115320333364,trailing_stop,6
WMT,2000-01-13,2000-01-26,13.85866002845764,13.167179253101349,-0.05025599689480256,-500.61717975087254,hold_expired,8
HD,2000-01-13,2000-01-26,36.15529471778869,33.35753087806702,-0.07752014916760429,-772.2047287488291,hold_expired,8
CMVT,2000-01-13,2000-01-26,39.33706058692932,39.46805669784546,0.0032029874382126238,30.64478086042427,hold_expired,8
QCOM,2000-01-24,2000-01-28,43.402801700592036,34.22703380584717,-0.21152477570634884,-1210.9746967058734,hard_stop,4
MSI,2000-01-19,2000-01-31,118.68524375152587,114.5653083190918,-0.034755250965064,-266.44318316893265,hold_expired,8
VIAV,2000-01-24,2000-02-03,491.85557661437986,490.79543411254883,-0.002165559470043596,-12.397780419231827,hold_expired,8
ORCL,2000-01-24,2000-02-03,21.67335262298584,22.650601025581363,0.04485916044038332,256.8177085987701,hold_expired,8
VRSN,2000-01-24,2000-02-03,164.41235002899168,152.9838335876465,-0.069541712890358,-398.12477944767096,hold_expired,8
CSCO,2000-01-26,2000-02-07,34.695241172790524,40.4811187915802,0.16661874722240827,1538.272437044049,hold_expired,8
AMAT,2000-01-26,2000-02-07,24.30536713027954,27.77238081932068,0.14243823886651677,1315.0309943033321,hold_expired,8
GE,2000-01-26,2000-02-07,122.28805744171142,117.90111059188844,-0.03591476503677717,-331.57549231385406,hold_expired,8
QCOM,2000-01-28,2000-02-07,34.261277961730954,41.30848276519776,0.20554413677542274,965.239088764435,trailing_stop,6
MSI,2000-01-31,2000-02-10,114.6799309387207,130.80764085388185,0.14058876547262947,698.4926763624701,hold_expired,8
AMAT,2000-02-07,2000-02-11,27.800167093276976,29.828757588386537,0.07279058749250951,172.40463421470054,trailing_stop,4
VRSN,2000-02-03,2000-02-14,153.136893951416,168.91090940093994,0.10297332695363927,220.57803814288016,trailing_stop,7
VIAV,2000-02-03,2000-02-15,491.28647506713867,454.4086378326416,-0.07507399268310143,-160.81517914874172,hold_expired,8
ORCL,2000-02-03,2000-02-15,22.673262957572934,24.523601663589478,0.081388316691321,174.34102358959026,hold_expired,8
CSCO,2000-02-07,2000-02-15,40.52162016105652,41.3905721321106,0.021320765744810607,50.498271081953376,trailing_stop,6
CIEN,2000-02-07,2000-02-16,282.985171875,411.70029687500005,0.4548299267668124,1077.265479718797,rsi_overbought,7
QCOM,2000-02-07,2000-02-17,41.349811912536616,40.24434072494507,-0.026855531772198217,-63.607374130667,hold_expired,8
AMAT,2000-02-11,2000-02-18,29.858601267814635,32.1337091960907,0.07602860924108568,735.3087332686175,trailing_stop,5
VRSN,2000-02-14,2000-02-22,169.07990480804443,187.45755490112305,0.10866252919846975,2806.1021652487575,trailing_stop,5
DIS,2000-02-10,2000-02-23,27.93613935756683,25.783236881256105,-0.07724411912078438,-839.255602957953,hold_expired,8
QCOM,2000-02-17,2000-02-25,40.284605197906494,41.34719020843506,0.026252832945313945,243.51651828794996,trailing_stop,5
VIAV,2000-02-15,2000-02-28,454.86327378845215,575.3663477172852,0.2649105365777987,1246.7944694844289,hold_expired,8
CSCO,2000-02-15,2000-02-28,41.43198340988159,42.219198139190674,0.01887949030995522,88.85582434439772,trailing_stop,8
