date,value,cash,positions,drawdown,leverage,in_protection,risk_on,protection_stage
2015-09-24,300241.5278000701,130020.51210262571,2,-0.0543640273148461,1.0,False,False,0
2015-09-25,296827.4330544205,130035.99073501889,2,-0.06511700618921248,1.0,False,False,0
2015-09-28,291545.8881540179,126251.89509443057,2,-0.08175167656864879,1.0,False,False,0
2015-09-29,290048.8466757183,123663.90105276223,2,-0.08646673475814927,1.0,False,False,0
2015-09-30,294811.53491582244,123678.6229457447,2,-0.0714662471189908,1.0,False,False,0
2015-10-01,296783.1973163717,123693.34659133348,2,-0.0652563303709262,1.0,False,False,0
2015-10-02,300783.51407251396,123708.0719897372,2,-0.052656995913561336,1.0,False,False,0
2015-10-05,304630.36345656705,128570.06126477855,2,-0.040541019866821154,1.0,False,False,0
2015-10-06,302507.81999351317,130742.17949072752,2,-0.047226149225701945,1.0,False,False,0
2015-10-07,302875.1246669001,130757.74403590498,2,-0.04606929222915306,1.0,False,False,0
2015-10-08,301530.6514176763,130773.3104340045,2,-0.05030382393465887,1.0,False,False,0
2015-10-09,303325.083837154,130788.87868524664,2,-0.044652107935063745,1.0,False,False,0
2015-10-12,305955.5987510121,130044.68333493044,2,-0.036367079719761435,1.0,False,False,0
2015-10-13,306622.36144307826,131440.32244476886,2,-0.034267054478476375,1.0,False,False,0
2015-10-14,305627.89236589515,131455.97010220276,2,-0.037399218573156735,1.0,False,False,0
2015-10-15,310071.11406200565,131471.61962245303,2,-0.023404917713966095,1.0,False,False,0
2015-10-16,311709.80577776395,131487.2710057414,2,-0.018243720174383644,1.0,False,False,0
2015-10-19,312700.43140846374,132725.31696769342,2,-0.015123661338027606,1.0,False,False,0
2015-10-20,308230.1149897218,133364.51887020055,2,-0.02920329930757056,1.0,False,False,0
2015-10-21,306392.86825500464,133380.3955986375,2,-0.03498986259805512,1.0,False,False,0
2015-10-22,308879.8405775105,133396.27421716115,2,-0.027156933860762317,1.0,False,False,0
2015-10-23,319290.86594358383,133412.15472599652,2,0.0,1.0,False,False,0
2015-10-26,322315.8276810351,50746.93673685601,5,0.0,1.1185087928933588,False,True,0
2015-10-27,322140.8624525792,88558.5904155235,5,-0.000542837842357044,1.107326168650983,False,True,0
2015-10-28,323961.52650064306,88557.70473068896,5,0.0,1.1739094608579768,False,True,0
2015-10-29,325292.73286968714,88557.32749779019,5,0.0,1.1641089254582175,False,True,0
2015-10-30,322903.76786209526,88555.39741622229,5,-0.0073440466576574276,1.1936189680379428,False,True,0
2015-11-02,322791.1940335888,43234.73187169466,5,-0.007690115958109815,1.2704997688185269,False,True,0
