date,portfolio_value,cash,num_positions,deployed_pct,returns
2000-01-03 00:00:00-05:00,100000.0,100000.0,0,0.0,
2000-01-04 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-01-05 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-01-06 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-01-07 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-01-10 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-01-11 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-01-12 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-01-13 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-01-14 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-01-18 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-01-19 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-01-20 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-01-21 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-01-24 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-01-25 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-01-26 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-01-27 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-01-28 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-01-31 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-02-01 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-02-02 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-02-03 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-02-04 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-02-07 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-02-08 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-02-09 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-02-10 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-02-11 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-02-14 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-02-15 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-02-16 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-02-17 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-02-18 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-02-22 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-02-23 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-02-24 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-02-25 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-02-28 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-02-29 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-03-01 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-03-02 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-03-03 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-03-06 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-03-07 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-03-08 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-03-09 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-03-10 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-03-13 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-03-14 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-03-15 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-03-16 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-03-17 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-03-20 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-03-21 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-03-22 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-03-23 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-03-24 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-03-27 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-03-28 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-03-29 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-03-30 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-03-31 00:00:00-05:00,100000.0,100000.0,0,0.0,0.0
2000-04-03 00:00:00-04:00,100000.0,5111.135389986039,10,0.9488886461001396,0.0
2000-04-04 00:00:00-04:00,98673.72198933602,32224.69955057621,7,0.6734216678878411,-0.013262780106639838
2000-04-05 00:00:00-04:00,98813.8138389063,61069.96321489811,4,0.38196937409521553,0.0014197483052824644
2000-04-06 00:00:00-04:00,97913.01915075778,78979.75586291504,2,0.1933681899716623,-0.009116080567612261
2000-04-07 00:00:00-04:00,98173.07994052125,78979.75586291504,2,0.19550496010957985,0.0026560389212699764
2000-04-10 00:00:00-04:00,98681.42317935181,78979.75586291504,2,0.1996492012547217,0.005178030873010719
2000-04-11 00:00:00-04:00,99255.60782595826,84147.8397278328,2,0.1522107257115031,0.005818568765094456
2000-04-12 00:00:00-04:00,99176.81415410234,89177.61907497216,2,0.10082190242160116,-0.0007938460464025354
2000-04-13 00:00:00-04:00,99038.84770503808,89177.61907497216,2,0.09956929890213455,-0.0013911159603280376
2000-04-14 00:00:00-04:00,98490.66007724572,93755.22406354714,1,0.0480800515499094,-0.00553507679557208
2000-04-17 00:00:00-04:00,98493.87247243691,93755.22406354714,1,0.04811109858855292,3.261624187178569e-05
2000-04-18 00:00:00-04:00,98688.71690336037,93755.22406354714,1,0.04999044464874632,0.0019782391130775956
2000-04-19 00:00:00-04:00,98906.94706121254,93755.22406354714,1,0.05208656369180068,0.0022112979548196687
2000-04-20 00:00:00-04:00,98930.32585874367,93755.22406354714,1,0.052310570598804375,0.00023637164249601383
