date,value,cash,positions,drawdown,leverage,in_protection,risk_on
2008-02-20,89812.58598293588,50255.43531955919,2,-0.17650282922890295,0.3,True,False
2008-02-21,89491.95603385613,49922.23541296929,2,-0.17944270511647425,0.3,True,False
2008-02-22,89470.22022113795,49928.178536232735,2,-0.17964200213127388,0.3,True,False
2008-02-25,89136.12483626274,49934.12236701086,2,-0.1827053434347376,0.3,True,False
2008-02-26,89322.46293509769,49940.06690538788,2,-0.18099679785041825,0.3,True,False
2008-02-27,88889.18968840271,48861.161796563465,2,-0.18496950711960594,0.3,True,False
2008-02-28,88958.77144112432,49425.33812468029,2,-0.18433150771366041,0.3,True,False
2008-02-29,88051.02111939152,49431.22209350466,2,-0.1926547267094429,0.3,True,False
2008-03-03,88026.7934498119,49437.1067628015,2,-0.19287687171434212,0.3,True,False
2008-03-04,88423.21910307425,49442.99213265422,2,-0.18924202031450982,0.3,True,False
2008-03-05,88155.01640065265,49266.334972662255,2,-0.19170118752609996,0.3,True,False
2008-03-06,87819.81334583322,49113.36400092704,2,-0.19477468512397647,0.3,True,False
2008-03-07,87701.04837602958,49119.21082997477,2,-0.1958636484975352,0.3,True,False
2008-03-10,86789.27647662429,49125.058355073576,2,-0.2042237415884022,0.3,True,False
2008-03-11,87461.81089135453,49130.90657630632,2,-0.1980572318312756,0.3,True,False
2008-03-12,87733.23102843619,48580.59568972212,2,-0.1955685637617523,0.3,True,False
2008-03-13,88704.36754908656,48975.25084478226,2,-0.18666415277708237,0.3,True,False
2008-03-14,87830.39235633412,48981.08123178759,2,-0.19467768552061676,0.3,True,False
2008-03-17,86117.80601064303,48986.91231288661,2,-0.21038049593346667,0.3,True,False
2008-03-18,87165.10961887983,48992.744088161955,2,-0.2007777041990741,0.3,True,False
2008-03-19,87352.46595159867,48451.37083229869,2,-0.19905982236512565,0.3,True,False
2008-03-20,88703.40131529281,49327.9929687782,2,-0.18667301223466,0.3,True,False
2008-03-24,88676.11542956078,49333.86534889353,2,-0.1869231982131216,0.3,True,False
2008-03-25,88234.15829332778,49339.73842810173,2,-0.19097553060403086,0.3,True,False
2008-03-26,87876.28114297535,49345.612206486025,2,-0.19425692839002542,0.3,True,False
2008-03-27,87359.34653336366,48632.1490023801,2,-0.19899673388421052,0.3,True,False
2008-03-28,86824.02261392085,48539.13569675872,2,-0.20390515210068408,0.3,True,False
2008-03-31,87024.78783732245,48544.914165294045,2,-0.20206432331648835,0.3,True,False
2008-04-01,88122.72612667899,48550.69332174229,2,-0.1919972590507055,0.3,True,False
2008-04-02,88744.98764219036,48556.47316618536,2,-0.18629170462428343,0.3,True,False
2008-04-03,89177.50500640796,49184.83527348921,2,-0.18232592608840836,0.3,True,False
