date,symbol,action,shares,price,reason,total_score,value_score,quality_score,momentum_score,pnl_pct
2016-04-29 00:00:00-04:00,BRK-B,BUY,3113,145.47999572753906,CONSOLIDATED_STRATEGY,52.5,80.0,0.0,50.0,
2016-04-29 00:00:00-04:00,BAC,BUY,15460,11.738999366760254,CONSOLIDATED_STRATEGY,52.5,80.0,0.0,50.0,
2016-04-29 00:00:00-04:00,BRK-B,BUY_FULL_DEPLOY,1191,145.47999572753906,FULL_CAPITAL_DEPLOYMENT,,,,,
2016-04-29 00:00:00-04:00,BAC,BUY_FULL_DEPLOY,14769,11.738999366760254,FULL_CAPITAL_DEPLOYMENT,,,,,
2016-05-06 00:00:00-04:00,BRK-B,SELL_REDUCE,1270,144.6199951171875,REBALANCE_REDUCE,,,,,
2016-05-06 00:00:00-04:00,BAC,SELL_REDUCE,14459,11.376188278198242,REBALANCE_REDUCE,,,,,
2016-05-06 00:00:00-04:00,BRK-B,BUY_FULL_DEPLOY,1201,144.6199951171875,FULL_CAPITAL_DEPLOYMENT,,,,,
2016-05-06 00:00:00-04:00,BAC,BUY_FULL_DEPLOY,15274,11.376188278198242,FULL_CAPITAL_DEPLOYMENT,,,,,
2016-05-13 00:00:00-04:00,BRK-B,SELL_REDUCE,1315,141.39999389648438,REBALANCE_REDUCE,,,,,
2016-05-13 00:00:00-04:00,BAC,SELL_REDUCE,14816,11.190752029418945,REBALANCE_REDUCE,,,,,
2016-05-13 00:00:00-04:00,BRK-B,BUY_FULL_DEPLOY,1240,141.39999389648438,FULL_CAPITAL_DEPLOYMENT,,,,,
2016-05-13 00:00:00-04:00,BAC,BUY_FULL_DEPLOY,15680,11.190752029418945,FULL_CAPITAL_DEPLOYMENT,,,,,
2016-05-20 00:00:00-04:00,BRK-B,SELL_REDUCE,1195,141.8300018310547,REBALANCE_REDUCE,,,,,
2016-05-20 00:00:00-04:00,BAC,SELL_REDUCE,15747,11.706748962402344,REBALANCE_REDUCE,,,,,
2016-05-20 00:00:00-04:00,BRK-B,BUY_FULL_DEPLOY,1244,141.8300018310547,FULL_CAPITAL_DEPLOYMENT,,,,,
2016-05-20 00:00:00-04:00,BAC,BUY_FULL_DEPLOY,15083,11.706748962402344,FULL_CAPITAL_DEPLOYMENT,,,,,
2016-05-27 00:00:00-04:00,BRK-B,SELL_REDUCE,1204,143.35000610351562,REBALANCE_REDUCE,,,,,
2016-05-27 00:00:00-04:00,BAC,SELL_REDUCE,14766,11.997000694274902,REBALANCE_REDUCE,,,,,
2016-05-27 00:00:00-04:00,BRK-B,BUY_FULL_DEPLOY,1218,143.35000610351562,FULL_CAPITAL_DEPLOYMENT,,,,,
2016-05-27 00:00:00-04:00,BAC,BUY_FULL_DEPLOY,14561,11.997000694274902,FULL_CAPITAL_DEPLOYMENT,,,,,
2016-06-03 00:00:00-04:00,BRK-B,SELL_REDUCE,1299,141.13999938964844,REBALANCE_REDUCE,,,,,
2016-06-03 00:00:00-04:00,BAC,SELL_REDUCE,13939,11.66556167602539,REBALANCE_REDUCE,,,,,
2016-06-03 00:00:00-04:00,BRK-B,BUY_FULL_DEPLOY,1224,141.13999938964844,FULL_CAPITAL_DEPLOYMENT,,,,,
2016-06-03 00:00:00-04:00,BAC,BUY_FULL_DEPLOY,14810,11.66556167602539,FULL_CAPITAL_DEPLOYMENT,,,,,
2016-06-10 00:00:00-04:00,BAC,SELL_STOP,31910,11.188263893127441,STOP_LOSS,,,,,-0.04474575555654499
2016-06-10 00:00:00-04:00,BRK-B,SELL_REDUCE,1195,141.75999450683594,REBALANCE_REDUCE,,,,,
2016-06-10 00:00:00-04:00,BAC,BUY,18332,11.188263893127441,CONSOLIDATED_STRATEGY,52.5,80.0,0.0,50.0,
2016-06-10 00:00:00-04:00,BRK-B,BUY_FULL_DEPLOY,1134,141.75999450683594,FULL_CAPITAL_DEPLOYMENT,,,,,
2016-06-10 00:00:00-04:00,BAC,BUY_FULL_DEPLOY,14368,11.188263893127441,FULL_CAPITAL_DEPLOYMENT,,,,,
2016-06-17 00:00:00-04:00,BRK-B,SELL_REDUCE,1140,140.72999572753906,REBALANCE_REDUCE,,,,,
2016-06-17 00:00:00-04:00,BAC,SELL_REDUCE,14066,10.840398788452148,REBALANCE_REDUCE,,,,,
2016-06-17 00:00:00-04:00,BRK-B,BUY_FULL_DEPLOY,1111,140.72999572753906,FULL_CAPITAL_DEPLOYMENT,,,,,
2016-06-17 00:00:00-04:00,BAC,BUY_FULL_DEPLOY,14425,10.840398788452148,FULL_CAPITAL_DEPLOYMENT,,,,,
2016-06-24 00:00:00-04:00,BAC,SELL_STOP,33059,10.516802787780762,STOP_LOSS,,,,,-0.047086883964968865
2016-06-24 00:00:00-04:00,BRK-B,SELL_REDUCE,1390,139.7100067138672,REBALANCE_REDUCE,,,,,
2016-06-24 00:00:00-04:00,BAC,BUY,18131,10.516802787780762,CONSOLIDATED_STRATEGY,52.5,80.0,0.0,50.0,
2016-06-24 00:00:00-04:00,BRK-B,BUY_FULL_DEPLOY,1246,139.7100067138672,FULL_CAPITAL_DEPLOYMENT,,,,,
2016-06-24 00:00:00-04:00,BAC,BUY_FULL_DEPLOY,16559,10.516802787780762,FULL_CAPITAL_DEPLOYMENT,,,,,
2016-07-01 00:00:00-04:00,BRK-B,SELL_REDUCE,1266,143.9600067138672,REBALANCE_REDUCE,,,,,
2016-07-01 00:00:00-04:00,BAC,SELL_REDUCE,17922,10.597701072692871,REBALANCE_REDUCE,,,,,
2016-07-01 00:00:00-04:00,BRK-B,BUY_FULL_DEPLOY,1286,143.9600067138672,FULL_CAPITAL_DEPLOYMENT,,,,,
2016-07-01 00:00:00-04:00,BAC,BUY_FULL_DEPLOY,17474,10.597701072692871,FULL_CAPITAL_DEPLOYMENT,,,,,
