date,value,cash,positions,drawdown,leverage,in_protection,risk_on,regime_score,universe_size
2004-06-14,97808.15514380178,21071.224130277515,5,-0.08480777723440004,1.0,False,True,0.5394942812001956,40
2004-06-15,98553.19901250533,21350.18502069083,5,-0.07783639173741172,1.0,False,True,0.5348273552142732,40
2004-06-16,98468.2171936312,20676.778852814914,5,-0.0786315677592448,1.0,False,True,0.539241895314911,40
2004-06-17,97769.34773931395,23831.851520480814,5,-0.0851708986399798,1.0,False,True,0.5352823885587734,40
2004-06-18,96874.15761703091,22154.764799917146,5,-0.09354720465051126,1.0,False,True,0.5753046695122804,40
2004-06-21,96932.41543440853,21354.113607263742,5,-0.09300208547000018,1.0,False,True,0.5663219032156049,40
2004-06-22,98331.82265400006,21359.20639388198,5,-0.07990781330047377,1.0,False,True,0.7143189024969552,40
2004-06-23,98947.266803564,21505.79888042149,5,-0.07414909411801514,1.0,False,True,0.6415663375643321,40
2004-06-24,98872.61431858076,23460.194901704086,5,-0.07484761842374744,1.0,False,True,0.7116765185485441,40
2004-06-25,99654.19051563693,23329.03152203862,5,-0.06753439943916616,1.0,False,True,0.6945677035214338,40
2004-06-28,99427.8657001223,22956.648683599084,5,-0.06965212378099957,1.0,False,True,0.7435718915011357,40
2004-06-29,99933.18204628711,22962.123662114496,5,-0.06492387193567613,1.0,False,True,0.7601048906980111,40
2004-06-30,100120.775256051,22492.382513850054,5,-0.06316855974962039,1.0,False,True,0.7579812553034431,40
2004-07-01,99295.28376703993,19289.39113727693,5,-0.07089269471148915,1.0,False,True,0.5692148940400964,40
2004-07-02,99466.15921259225,21006.272776593,5,-0.06929381086994073,1.0,False,True,0.582715639786177,40
2004-07-06,98971.52077355882,36118.705235546135,4,-0.07392214939466545,1.0,False,True,0.5374965783423993,40
2004-07-07,99570.65636845867,36127.0469365172,4,-0.0683160295774762,1.0,False,True,0.5343797857126367,40
2004-07-08,98863.89517472152,30631.88480960463,4,-0.07492920357007211,1.0,False,True,0.5974551470096574,40
2004-07-09,99245.18474759674,23429.060484109614,4,-0.07136147191002831,1.0,False,True,0.5735111758253407,40
2004-07-12,99539.02008269785,22237.194546428538,4,-0.06861205072870764,1.0,False,True,0.5711103179268918,40
2004-07-13,99802.88040612548,22242.330279454738,4,-0.06614310613464656,1.0,False,True,0.5734355224148759,40
2004-07-14,99273.49326883591,22247.467198590708,4,-0.07109658869616954,1.0,False,True,0.602291156019338,40
2004-07-15,98770.87876979119,25726.67622696295,4,-0.07579955932166249,1.0,False,True,0.637570887278311,40
2004-07-16,97422.32289872754,25641.195825404076,5,-0.08841801473928886,1.0,False,True,0.7068960031689548,40
2004-07-19,96219.81649934434,20257.107162743192,5,-0.09966988328668484,1.0,False,True,0.6944179039182963,40
2004-07-20,96738.45379134579,30577.65019779724,4,-0.09481698717206037,1.0,False,True,0.6306652402527313,40
2004-07-21,94960.38649290575,42555.8876228023,3,-0.11145438679066764,0.9541824528373295,True,False,0.414851908995977,40
2004-07-22,95151.10837424244,42565.71600637233,3,-0.10966979958263845,0.9613208016694462,True,False,0.41264129875213085,40
2004-07-23,94543.08488854404,35360.096511151816,3,-0.11535908351353234,0.9385636659458707,True,False,0.3924296194238558,40
2004-07-26,93779.67425935007,29854.158389018052,3,-0.12250232703538082,0.9099906918584768,True,False,0.3952443220963589,40
2004-07-27,93924.32009199282,29861.053277979325,3,-0.12114887403449891,0.9154045038620044,True,False,0.36387146143189053,40
2004-07-28,94213.20796194885,29867.94975933162,3,-0.11844574635106225,0.926217014595751,True,False,0.3631089332777492,40
2004-07-29,93793.90683631503,29874.8478334427,3,-0.12236915262135477,0.910523389514581,True,False,0.3669769044072513,40
2004-07-30,94112.60729756819,31952.955838023165,3,-0.11938706812030399,0.922451727518784,True,False,0.3783695140614292,40
2004-08-02,94383.16742903227,32552.10975048529,3,-0.11685543333236313,0.9325782666705476,True,False,0.38497759936105475,40
2004-08-03,94356.37635657014,32559.408140171414,3,-0.11710611775761216,0.9315755289695513,True,False,0.41572334974653724,40
2004-08-04,94109.90255821623,19539.8854634135,4,-0.119412376402787,0.9223504943888521,True,True,0.638568527556721,40
2004-08-05,93176.31264938418,37626.290056641534,3,-0.12814798973236402,0.8874080410705439,True,False,0.42290551510154173,40
2004-08-06,92330.17784894674,35205.529794063,3,-0.1360652844368102,0.8557388622527592,True,False,0.3554175089057156,40
