date,value,cash,positions,drawdown,leverage,in_protection,risk_on,protection_stage
2002-10-23,96342.37724262151,53199.78972680684,2,-0.18584067378931673,0.3,True,False,1
2002-10-24,95567.33726416777,53206.12303510765,2,-0.19239029447238504,0.3,True,False,1
2002-10-25,96925.64437476973,53212.457097373735,2,-0.18091166550758472,0.3,True,False,1
2002-10-28,96208.05573505195,53909.25300421157,2,-0.18697578287867456,0.3,True,False,1
2002-10-29,95088.35139315003,53915.670772426354,2,-0.19643805440081366,0.3,True,False,1
2002-10-30,94716.64084240736,53121.137306806864,2,-0.1995792641176544,0.3,True,False,1
2002-10-31,95901.1111160023,53127.461251724344,2,-0.18956967594402965,0.3,True,False,1
2002-11-01,96866.48842666282,53133.785949492405,2,-0.181411573940722,0.3,True,False,1
2002-11-04,96781.98839240638,53491.1379745699,2,-0.1821256573267044,0.3,True,False,1
2002-11-05,96723.64739026527,53497.50596718592,2,-0.18261867890612885,0.3,True,False,1
2002-11-06,96524.78531177962,53709.38951109244,2,-0.18429920019346432,0.3,True,False,1
2002-11-07,95089.77661059251,53715.78348603424,2,-0.1964260103335415,0.3,True,False,1
2002-11-08,94277.01738236698,53722.17822216353,2,-0.2032943846103896,0.3,True,False,1
2002-11-11,93208.74145624986,52497.81227995919,2,-0.21232205066044252,0.3,True,False,1
2002-11-12,93940.76725464751,52504.06201951633,2,-0.20613592937249275,0.3,True,False,1
2002-11-13,93592.63711115104,51706.416492887234,2,-0.20907786843580792,0.3,True,False,1
2002-11-14,94672.93417520697,51712.5720186602,2,-0.1999486155052496,0.3,True,False,1
2002-11-15,94040.3977487369,51718.728277233844,2,-0.20529398319823985,0.3,True,False,1
2002-11-18,92814.31765861955,52621.22173372324,2,-0.21565520292957804,0.3,True,False,1
2002-11-19,92688.0557319271,50987.59747561401,2,-0.2167222030193008,0.3,True,False,1
2002-11-20,93782.05817482906,50993.66742769445,2,-0.20747713021460093,0.3,True,False,1
2002-11-21,94750.58455399123,50999.73810238822,2,-0.19929241641736758,0.3,True,False,1
2002-11-22,94921.83231799511,51005.80949978136,2,-0.19784525507314027,0.3,True,False,1
2002-11-25,95470.65597282644,53377.14145012568,2,-0.19320731785574427,0.3,True,False,1
2002-11-26,94741.80002575851,53109.38565116217,2,-0.19936665172058227,0.3,True,False,1
2002-11-27,95691.40217042748,53115.70819707302,2,-0.19134186071584172,0.3,True,False,1
2002-11-29,95259.54741851715,53122.031495667914,2,-0.19499133028363905,0.3,True,False,1
2002-12-02,94981.94826613452,53128.355547036444,2,-0.19733723397969719,0.3,True,False,1
2002-12-03,94627.34373257257,52472.84384616152,2,-0.20033388609041897,0.3,True,False,1
2002-12-04,94344.01561871907,52806.32586053838,2,-0.2027282034497529,0.3,True,False,1
2002-12-05,93456.16630728736,52812.61232790273,2,-0.21023114055656192,0.3,True,False,1
2002-12-06,95560.18444780118,52818.89954365605,2,-0.19245074068847612,0.3,True,False,1
2002-12-09,92964.06589207111,52825.18750788744,2,-0.21438972740014267,0.3,True,False,1
2002-12-10,93509.44796606818,52095.189333152346,2,-0.20978087390699468,0.3,True,False,1
2002-12-11,94345.0297182459,52640.06751853865,2,-0.20271963361152484,0.3,True,False,1
2002-12-12,93460.26671533562,52646.33419324324,2,-0.2101964892893906,0.3,True,False,1
2002-12-13,92190.14288930627,52652.60161398053,2,-0.22092990887068276,0.3,True,False,1
2002-12-16,94294.81169704322,52658.86978083933,2,-0.20314401041720662,0.3,True,False,1
2002-12-17,94351.21570824028,52129.27777211851,2,-0.20266735774300346,0.3,True,False,1
